This file was generated by Console at 2021:06:12-00:00:01



[2021:06:12-00:00:01]  (Local) -> (LOCAL)[1]NexoFX: lol
[2021:06:12-05:34:04]  (Global) -> #F7BAF2Andres_Ramires|2cb|#F7BAF2 âœ˜â—¡âœ˜: pense que tina mp 
[2021:06:12-05:34:06]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: relajado
[2021:06:12-05:34:10]  (Local) -> (LOCAL)[2]^bblin: a
[2021:06:12-05:34:10]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: haga plata
[2021:06:12-05:34:12]  (Global) -> ghostemane|CDG: FABIUS
[2021:06:12-05:34:15]  (Global) -> ghostemane|CDG: :{
[2021:06:12-05:34:16]  (Global) -> JuanPablo'2cb: XDDDDDDDDDD
[2021:06:12-05:34:17]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: el owner es diego caceres
[2021:06:12-05:34:23]  (Global) -> ghostemane|CDG: TODO BIEN :{
[2021:06:12-05:34:26]  (Local) -> (LOCAL)[2]^bblin: ese soy yo
[2021:06:12-05:34:28]  (Global) -> JuanPablo'2cb: q man tan demelas de buena}
[2021:06:12-05:34:32]  (Local) -> (LOCAL)[1]anthony[2CB]: nat
[2021:06:12-05:34:35]  (Global) -> ghostemane|CDG: ;{
[2021:06:12-05:34:37]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : chillando por un palo
[2021:06:12-05:34:38]  (Local) -> (LOCAL)[1]Guarachero|AUC: Q JAJA
[2021:06:12-05:34:39]  (Local) -> (LOCAL)[1]anthony[2CB]: voy a matar polis
[2021:06:12-05:34:40]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : xd
[2021:06:12-05:34:41]  (Global) -> hernacio[LMB]: Lele|LMB| DONDE ANDAS
[2021:06:12-05:34:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Nicole: ai
[2021:06:12-05:34:45]  (Local) -> (LOCAL)[1]IDavid: eso no sirv3
[2021:06:12-05:34:45]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : yo le doy
[2021:06:12-05:34:47]  (Local) -> (LOCAL)[2]^bblin: listo
[2021:06:12-05:34:47]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : bro
[2021:06:12-05:34:47]  (Local) -> (LOCAL)[1]IDavid: xd
[2021:06:12-05:34:49]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : ghostemane|CDG
[2021:06:12-05:34:49]  ([Msg] de DENII para Andres_Ramires|2cb: nada solo el rango) -> nil
[2021:06:12-05:34:50]  (Global) -> ghostemane|CDG: CALLESE MK A USTED QUE TODO LE REGALAN
[2021:06:12-05:34:52]  (Local) -> (LOCAL)[2]^bblin: la bna
[2021:06:12-05:34:52]  (Local) -> (LOCAL)[1]JuanPablo'2cb: el siervo anda a pie
[2021:06:12-05:34:53]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: subite
[2021:06:12-05:34:54]  (Global) -> W~>|Fabius|#9E016Cà¶ž: mano yo que tengo que ver
[2021:06:12-05:34:54]  (Local) -> (LOCAL)[2]^bblin: <3
[2021:06:12-05:34:55]  (Global) -> Lele|LMB|: ayy no se
[2021:06:12-05:34:55]  (Global) -> ghostemane|CDG: .{
[2021:06:12-05:34:57]  (Global) -> anthony[2CB]: voy a matar polis 
[2021:06:12-05:34:58]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : q se lo voy a regalar
[2021:06:12-05:35:00]  (Local) -> (LOCAL)[2]Raptus~~: uwu
[2021:06:12-05:35:00]  (Global) -> Lele|LMB|: re lej0s 
[2021:06:12-05:35:00]  (Local) -> (LOCAL)[1]CristianCDM: SUBA
[2021:06:12-05:35:01]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : atembao
[2021:06:12-05:35:02]  (Global) -> hernacio[LMB]: VOY POR TI?
[2021:06:12-05:35:02]  (Local) -> (LOCAL)[1]Daza_18(ELN): uwu
[2021:06:12-05:35:03]  (Local) -> (LOCAL)[1]Raptus~~: oli
[2021:06:12-05:35:04]  (Local) -> (LOCAL)[1]CristianCDM: MAS BIEN
[2021:06:12-05:35:04]  (Global) -> W~>|Fabius|#9E016Cà¶ž: sabe q
[2021:06:12-05:35:05]  (Local) -> (LOCAL)[1]primo(CDG): DIGA REY
[2021:06:12-05:35:05]  (Global) -> #7F7F7F|ADM|#FF5C00Nicole|#CBFF00âœ˜ : Pq pelean
[2021:06:12-05:35:05]  (Global) -> JuanPablo'2cb:  [Group] W~>|Fabius: ya me le golie un palo
[2021:06:12-05:35:05]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : llege a la comisaria
[2021:06:12-05:35:07]  (Local) -> (LOCAL)[2]Daza_18(ELN): ola:3
[2021:06:12-05:35:07]  (Global) -> ghostemane|CDG: fabius que usted se lo robo>:Ã±
[2021:06:12-05:35:07]  (Global) -> W~>|Fabius|#9E016Cà¶ž: ahi le doy 50k
[2021:06:12-05:35:08]  (Local) -> (LOCAL)[1]IDavid: pareciera que me faltara permisos
[2021:06:12-05:35:10]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : ghostemane|CDG
[2021:06:12-05:35:13]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: <3
[2021:06:12-05:35:13]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: dele guata
[2021:06:12-05:35:13]  (Local) -> (LOCAL)[1]Benito'AUC: necesito 90 millones
[2021:06:12-05:35:14]  (Global) -> #7F7F7F|ADM|#FF5C00Nicole|#CBFF00âœ˜ : Cual es el problema?
[2021:06:12-05:35:14]  (Global) -> ghostemane|CDG: :{
[2021:06:12-05:35:15]  (Global) -> Lele|LMB|: sisi
[2021:06:12-05:35:18]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: guaya
[2021:06:12-05:35:22]  (Global) -> W~>|Fabius|#9E016Cà¶ž: y yo acaso lo mate
[2021:06:12-05:35:23]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: y hagamos plata
[2021:06:12-05:35:23]  (Local) -> (LOCAL)[1]IDavid: eo
[2021:06:12-05:35:25]  (Local) -> (LOCAL)[1]primo(CDG): Y YO 10
[2021:06:12-05:35:25]  (Global) -> W~>|Fabius|#9E016Cà¶ž: lo mato juan pablo
[2021:06:12-05:35:27]  (Global) -> ghostemane|CDG: me faltaba eso para mi carro:{
[2021:06:12-05:35:27]  (Local) -> (LOCAL)[2]^bblin: la bna si le intersa algo mas
[2021:06:12-05:35:28]  (Global) -> hernacio[LMB]: VO Y
[2021:06:12-05:35:30]  (Local) -> (LOCAL)[2]^bblin: vmz
[2021:06:12-05:35:30]  (Local) -> (LOCAL)[1]IDavid: pillo una trasnmisio0on
[2021:06:12-05:35:30]  (Global) -> Alcapone"2cb: Vendo Hotring Racer 2
[2021:06:12-05:35:35]  (Local) -> (LOCAL)[1]Benito'AUC: si se va a comprar el vip primo?
[2021:06:12-05:35:39]  (Team - Criminals) -> (TEAM)JuanPablo'2cb:  
[2021:06:12-05:35:41]  (Global) -> W~>|Fabius|#9E016Cà¶ž: el domingo sorteo 2 palos en mi stream pa que llegue bro
[2021:06:12-05:35:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Juan~AUC: a como mrd
[2021:06:12-05:35:42]  (Global) -> ghostemane|CDG: que me robaron;{
[2021:06:12-05:35:43]  (Local) -> (LOCAL)[1]primo(CDG): VENGA Y LO LLEVO A VER QUE AUTO QUIERO
[2021:06:12-05:35:43]  (Local) -> (LOCAL)[1]IDavid: pero no escucho
[2021:06:12-05:35:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Juan~AUC: no le doy nada
[2021:06:12-05:35:45]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: pai aun esta reclutando
[2021:06:12-05:35:46]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: mire lo q cuesta tanquearka
[2021:06:12-05:35:46]  (Global) -> W~>|Fabius|#9E016Cà¶ž: ahi lo favorezco por eso
[2021:06:12-05:35:49]  (Global) -> #000000Juanma'ELN'|#000000â€ : JAJAJAJA 
[2021:06:12-05:35:50]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: tanquearla
[2021:06:12-05:35:53]  (Global) -> JuanPablo'2cb: JAJAJAJJAJAJAJ Q GONORREA
[2021:06:12-05:35:53]  (Local) -> (LOCAL)[2]^bblin: sisas pq
[2021:06:12-05:35:53]  (Global) -> ghostemane|CDG: no me los tiene que dar:{
[2021:06:12-05:35:55]  (Global) -> #000000Juanma'ELN'|#000000â€ : el parcero aporto pal sorteo
[2021:06:12-05:35:59]  (Global) -> W~>|Fabius|#9E016Cà¶ž: XDD
[2021:06:12-05:36:04]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: mi amigo se quiere unir
[2021:06:12-05:36:05]  (Global) -> #9E016CTartaru$ZcB|#9E016Cà¶ž: fambiusm
[2021:06:12-05:36:05]  (Global) -> ghostemane|CDG: admin decile a fabius que me los de,{
[2021:06:12-05:36:06]  (Global) -> #7F7F7F|LG|#FF0000tussy'2cb|#9E016Cà¶ž: (LOCAL)[8]Caceres|CDG|í ½í±»: llame a los auc
[2021:06:12-05:36:09]  (Global) -> #7F7F7F|LG|#FF0000tussy'2cb|#9E016Cà¶ž: (LOCAL)[7]Caceres|CDG|í ½í±»: esos mks se fuman a todo 2cb solos
[2021:06:12-05:36:10]  (Local) -> (LOCAL)[1]anthony[2CB]: a 21
[2021:06:12-05:36:11]  (Local) -> (LOCAL)[2]^bblin: como se llama
[2021:06:12-05:36:12]  (Global) -> #9E016CTartaru$ZcB|#9E016Cà¶ž: mi millon >:b
[2021:06:12-05:36:12]  (Global) -> JuanPablo'2cb: XDDDDDDDDDDDDD
[2021:06:12-05:36:12]  (Global) -> #7F7F7F|LG|#FF0000tussy'2cb|#9E016Cà¶ž: #FF0000k#FF0095k#BB00FFk#5500FFk#00AAFFk#00FFFBk#00FF95k#00FF2Ak#B7FF00k#FFFB00k#FF8000k
[2021:06:12-05:36:13]  (Local) -> (LOCAL)[1]IDavid: aaaaa
[2021:06:12-05:36:14]  (Local) -> (LOCAL)[1]Benito'AUC: primo
[2021:06:12-05:36:15]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: xd
[2021:06:12-05:36:16]  (Local) -> (LOCAL)[1]anthony[2CB]: que hp
[2021:06:12-05:36:17]  (Global) -> #9E016CTartaru$ZcB|#9E016Cà¶ž: rXDDDDDDDDDDDDDDDDDD
[2021:06:12-05:36:18]  (Local) -> (LOCAL)[1]Benito'AUC: yo se cual es
[2021:06:12-05:36:19]  (Local) -> (LOCAL)[2]CristianCDM: VAMOS A MORIR
[2021:06:12-05:36:20]  (Local) -> (LOCAL)[1]primo(CDG): diga
[2021:06:12-05:36:21]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: y tengo una q vale 14
[2021:06:12-05:36:22]  (Global) -> DebonairCandelabra31: sapo hpta
[2021:06:12-05:36:22]  (Global) -> ghostemane|CDG: ;{
[2021:06:12-05:36:23]  ([Msg] de Andres_Ramires|2cb para DENII: pero es no le quita nada a uno para darcelo al server o algo asi?) -> nil
[2021:06:12-05:36:25]  (Global) -> Alvaro_Uribe2cb: XDDDDDDDDD
[2021:06:12-05:36:25]  (Local) -> (LOCAL)[1]IDavid: no podemos habalar por el normal
[2021:06:12-05:36:26]  (Global) -> #000000Juanma'ELN'|#000000â€ : pero que pesar del pelado nea
[2021:06:12-05:36:26]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: Arquezcriss
[2021:06:12-05:36:26]  (Global) -> JuanPablo'2cb: eyeyeye
[2021:06:12-05:36:27]  (Local) -> (LOCAL)[1]IDavid: xddd
[2021:06:12-05:36:28]  (Local) -> (LOCAL)[1]Benito'AUC: usted no esta en el discord del servidor
[2021:06:12-05:36:31]  (Local) -> (LOCAL)[1]primo(CDG): ya sabe es como el suyo
[2021:06:12-05:36:32]  (Global) -> JuanPablo'2cb: el siervo anda a pie
[2021:06:12-05:36:32]  (Global) -> DebonairCandelabra31:  el que nos persiga es un tombo malparodp
[2021:06:12-05:36:33]  (Local) -> (LOCAL)[1]Benito'AUC: pille yo se lo mando
[2021:06:12-05:36:35]  (Global) -> ghostemane|CDG: :{
[2021:06:12-05:36:36]  (Local) -> (LOCAL)[1]Gomita: casi
[2021:06:12-05:36:38]  (Global) -> Skip~#~|*||#CBFF00âœ˜ : #00FF00VENDO ZORRA
[2021:06:12-05:36:45]  (Global) -> ghostemane|CDG: ME FALTABA ESO:{
[2021:06:12-05:36:46]  (Local) -> (LOCAL)[2]primo(CDG): ok
[2021:06:12-05:36:47]  (Local) -> (LOCAL)[2]^bblin: digale q ponga /aceptargang
[2021:06:12-05:36:51]  (Global) -> W~>|Fabius|#9E016Cà¶ž: sabe que hagamos una vacca
[2021:06:12-05:36:51]  (Global) -> Alvaro_Uribe2cb: Mucha maleza esos auc
[2021:06:12-05:36:53]  (Local) -> (LOCAL)[2]^bblin: y que ponga el z
[2021:06:12-05:36:53]  (Global) -> #000000Juanma'ELN'|#000000â€ : y que carro se  iba comprar?
[2021:06:12-05:36:59]  (Global) -> JuanPablo'2cb: ai
[2021:06:12-05:37:03]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: le gusta la moto?
[2021:06:12-05:37:05]  (Global) -> ghostemane|CDG: NO FABIUS :{ NO SEA ASI ENSERIO:{
[2021:06:12-05:37:09]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: con/aceptargang
[2021:06:12-05:37:11]  (Local) -> (LOCAL)[1]anthony[2CB]: bof
[2021:06:12-05:37:12]  (Global) -> #000000Juanma'ELN'|#000000â€ : y que carro se  iba comprar?
[2021:06:12-05:37:16]  (Local) -> (LOCAL)[1]primo(CDG): ahora
[2021:06:12-05:37:17]  (Global) -> hernacio[LMB]: QUEDATE HAY LELE
[2021:06:12-05:37:18]  (Global) -> #7F7F7F|ADM|#FF5C00Nicole|#CBFF00âœ˜ : Pero si quedias yo lo matÃ© Alvaro_Uribe2cb[2]
[2021:06:12-05:37:18]  (Local) -> (LOCAL)[5]JuanPablo'2cb: abra
[2021:06:12-05:37:19]  (Local) -> (LOCAL)[0]Gomita: casi
[2021:06:12-05:37:20]  (Global) -> W~>|Fabius|#9E016Cà¶ž: mano y yo por que me los voy a rabar si yo no te mate
[2021:06:12-05:37:23]  (Local) -> (LOCAL)[2]^bblin: listo
[2021:06:12-05:37:23]  (Local) -> (LOCAL)[0]Gomita: otra vez
[2021:06:12-05:37:24]  (Global) -> #7F7F7F|ADM|#FF0000#1D1D1DCrudoMeansRaw|#1D1D1Dé€£EPåˆ: pegandose de un palo nooo
[2021:06:12-05:37:24]  (Local) -> (LOCAL)[3]Raptus~~: ai
[2021:06:12-05:37:26]  (Local) -> (LOCAL)[2]^bblin: bienveindo
[2021:06:12-05:37:29]  (Global) -> #9800D1pillin2cb|#9800D1GDT!: nea de de usar eso para la carita triste JSJAJSJAJS
[2021:06:12-05:37:32]  (Global) -> ghostemane|CDG: ME IBA A COMPRAR UNO QUE VALE 15 PALOS CREO
[2021:06:12-05:37:33]  (Local) -> (LOCAL)[1]IDavid: verga
[2021:06:12-05:37:33]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: a lo brasil
[2021:06:12-05:37:35]  (Local) -> (LOCAL)[2]^bblin: ponga zetas como tu amigo
[2021:06:12-05:37:36]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: alcela
[2021:06:12-05:37:37]  (Global) -> #7F7F7F|ADM|#FF5C00Juan~AUC|#CBFF00âœ˜ : Bv?
[2021:06:12-05:37:38]  (Global) -> #000000Juanma'ELN'|#000000â€ : pues si cogio el millon
[2021:06:12-05:37:41]  (Global) -> ghostemane|CDG: ;{ Y AHORA TENGO 14
[2021:06:12-05:37:41]  (Global) -> JuanPablo'2cb: ya echele tierrita mi Ã±ero
[2021:06:12-05:37:41]  (Local) -> (LOCAL)[2]^bblin: si necesita unirse al discord
[2021:06:12-05:37:44]  (Global) -> hernacio[LMB]: OLA BBB
[2021:06:12-05:37:46]  (Local) -> (LOCAL)[2]^bblin: zoro me avisa
[2021:06:12-05:37:48]  (Global) -> JuanPablo'2cb: XDDDDDDDDD
[2021:06:12-05:37:49]  (Local) -> (LOCAL)[2]^bblin: por interno
[2021:06:12-05:37:49]  (Global) -> #7F7F7F|ADM|#FF5C00Nicole|#CBFF00âœ˜ : serÃ¡s o no serÃ¡s
[2021:06:12-05:37:51]  (Team - Services) -> (TEAM)BenjaRios[2cb]: :B
[2021:06:12-05:37:51]  (Global) -> W~>|Fabius|#9E016Cà¶ž: yo ni siquiera estaba ahi cuando lo mataron
[2021:06:12-05:37:51]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: listo bb
[2021:06:12-05:37:52]  (Local) -> (LOCAL)[1]Lele|LMB|: holaa
[2021:06:12-05:37:55]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: <3
[2021:06:12-05:37:55]  (Local) -> (LOCAL)[2]JuanPablo'2cb: que caja
[2021:06:12-05:37:56]  (Local) -> (LOCAL)[2]^bblin: se cuidan
[2021:06:12-05:37:59]  (Global) -> #000000Juanma'ELN'|#000000â€ : jajajajaja
[2021:06:12-05:38:00]  (Global) -> hernacio[LMB]: DALE O BB
[2021:06:12-05:38:02]  (Global) -> ghostemane|CDG: SI COMO NO :{ DE BUENA 
[2021:06:12-05:38:03]  (Global) -> #000000Juanma'ELN'|#000000â€ : mentiras de influencer
[2021:06:12-05:38:04]  (Global) -> CareCaldo12v|#1BC45Fâ˜…Æ§Æ§â˜…: CaldoGaming en facebook gaming
[2021:06:12-05:38:09]  (Global) -> hernacio[LMB]: DISCORD
[2021:06:12-05:38:09]  (Local) -> (LOCAL)[1]Lele|LMB|: ya
[2021:06:12-05:38:11]  (Local) -> (LOCAL)[3]CristianCDM: MALÃ}}
[2021:06:12-05:38:11]  (Local) -> (LOCAL)[2]JuanPablo'2cb: yo habia quedado sano
[2021:06:12-05:38:12]  (Global) -> W~>|Fabius|#9E016Cà¶ž: sabe que le voy a dar 160k que tengo de las turf
[2021:06:12-05:38:14]  (Local) -> (LOCAL)[2]JuanPablo'2cb: :V
[2021:06:12-05:38:20]  (Global) -> primo(CDG): ESCRIBE
[2021:06:12-05:38:23]  (Global) -> #000000Juanma'ELN'|#000000â€ : vio mero lindo 
[2021:06:12-05:38:24]  (Global) -> ghostemane|CDG: NO DEME MI MILLON ,{
[2021:06:12-05:38:25]  (Local) -> (LOCAL)[4]pillin2cb: :v
[2021:06:12-05:38:27]  (Global) -> DebonairCandelabra31: Ã±ero que fastidio ese hperra
[2021:06:12-05:38:27]  (Local) -> (LOCAL)[1]Lele|LMB|: no puedo, no tengo el celu
[2021:06:12-05:38:29]  (Local) -> (LOCAL)[4]W~>|Fabius: uy mk
[2021:06:12-05:38:32]  (Local) -> (LOCAL)[4]W~>|Fabius: casi me lo mata
[2021:06:12-05:38:32]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: re estable
[2021:06:12-05:38:33]  (Global) -> hernacio[LMB]: vale
[2021:06:12-05:38:33]  (Local) -> (LOCAL)[5]W~>|Fabius: jajajajajaja
[2021:06:12-05:38:42]  (Global) -> #000000Juanma'ELN'|#000000â€ : ELN  aporto a eso 160k de las turfs
[2021:06:12-05:38:43]  (Local) -> (LOCAL)[1]Lele|LMB|: y con la compu me va a ripear
[2021:06:12-05:38:43]  (Global) -> #000000Juanma'ELN'|#000000â€ : JAJAJAJA
[2021:06:12-05:38:45]  (Local) -> (LOCAL)[2]CristianCDM: ME ARRESTO ESE HIJUEPUTA
[2021:06:12-05:38:47]  (Local) -> (LOCAL)[1]anthony[2CB]: ovbio
[2021:06:12-05:38:48]  (Global) -> hernacio[LMB]: que hacemos
[2021:06:12-05:39:01]  (Local) -> (LOCAL)[1]Gomita: nea no se, estoy medio aburrido, que hay pa hacer?
[2021:06:12-05:39:06]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: no se nea
[2021:06:12-05:39:08]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: yo igual
[2021:06:12-05:39:15]  (Global) -> ghostemane|CDG: de buena fabius :{
[2021:06:12-05:39:16]  (Local) -> (LOCAL)[1]Lele|LMB|: lo q quieras ah
[2021:06:12-05:39:18]  (Local) -> (LOCAL)[5]W~>|Fabius: XD
[2021:06:12-05:39:19]  (Global) -> Benito'AUC: PRimo pa donde se fue 
[2021:06:12-05:39:22]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: q fastidio
[2021:06:12-05:39:23]  (Local) -> (LOCAL)[2]CristianCDM: CORRA
[2021:06:12-05:39:24]  (Local) -> (LOCAL)[1]Guarachero|AUC: jaja pere
[2021:06:12-05:39:25]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Nicole: JSJDHAJSHKW
[2021:06:12-05:39:25]  (Local) -> (LOCAL)[4]G-8|AUC: porfin
[2021:06:12-05:39:27]  (Local) -> (LOCAL)[0]Gomita: nea
[2021:06:12-05:39:29]  (Local) -> (LOCAL)[2]CristianCDM: JAJAJAJ
[2021:06:12-05:39:30]  (Local) -> (LOCAL)[3]W~>|Fabius: q pepazo
[2021:06:12-05:39:31]  (Local) -> (LOCAL)[1]anthony[2CB]: como lo vio}
[2021:06:12-05:39:33]  (Local) -> (LOCAL)[3]JuanPablo'2cb: kieto
[2021:06:12-05:39:36]  (Local) -> (LOCAL)[1]Lele|LMB|: con quien andabas
[2021:06:12-05:39:37]  (Global) -> DebonairCandelabra31:  TOMBO HPERRA
[2021:06:12-05:39:37]  (Local) -> (LOCAL)[1]Gomita: oe
[2021:06:12-05:39:40]  (Global) -> W~>|Fabius|#9E016Cà¶ž: manooo
[2021:06:12-05:39:40]  (Global) -> primo(CDG): A LLEVAR EL PAQUETE
[2021:06:12-05:39:42]  (Global) -> W~>|Fabius|#9E016Cà¶ž: este que
[2021:06:12-05:39:42]  (Local) -> (LOCAL)[3]Alvaro_Uribe2cb: ratero asqueroso cogiendo por la espalda
[2021:06:12-05:39:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: q
[2021:06:12-05:39:44]  (Local) -> (LOCAL)[1]G-8|AUC: jajaja
[2021:06:12-05:39:45]  (Global) -> hernacio[LMB]: con el jhon
[2021:06:12-05:39:46]  (Global) -> primo(CDG): ESPERE ALLA QUE VOY
[2021:06:12-05:39:47]  (Local) -> (LOCAL)[1]G-8|AUC: lo dejaron papa
[2021:06:12-05:39:48]  (Local) -> (LOCAL)[1]Gomita: hacemos un what2geder
[2021:06:12-05:39:48]  (Global) -> #7F7F7F|ADM|#0064FFJuan~AUC|#CBFF00âœ˜ : este hp
[2021:06:12-05:39:49]  (Local) -> (LOCAL)[1]Daza_18(ELN): F pa
[2021:06:12-05:39:50]  (Global) -> RIQUELME|#CBCBCBÐ¯N: cuales son los rangos de piloto?
[2021:06:12-05:39:53]  (Global) -> #7F7F7F|ADM|#0064FFJuan~AUC|#CBFF00âœ˜ : me estallo el carrito
[2021:06:12-05:39:53]  (Global) -> JuanPablo'2cb: no chimbiar parse
[2021:06:12-05:39:53]  (Local) -> (LOCAL)[1]Gomita: o como se copie
[2021:06:12-05:39:53]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: q es eso
[2021:06:12-05:39:54]  (Local) -> (LOCAL)[1]Lele|LMB|: me baje sin quere jajaja
[2021:06:12-05:39:54]  (Global) -> DebonairCandelabra31: MALPARIDO
[2021:06:12-05:39:55]  (Global) -> Benito'AUC: Pero no lo deja sin la pizzaboy
[2021:06:12-05:39:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Nicole: entonces
[2021:06:12-05:39:59]  (Global) -> Benito'AUC: vuelva donde cj 
[2021:06:12-05:40:01]  (Local) -> (LOCAL)[1]Catre^: entonces
[2021:06:12-05:40:04]  (Local) -> (LOCAL)[1]Gomita: es para ver videos entre varias personas
[2021:06:12-05:40:05]  (Global) -> DebonairCandelabra31: CHUPEME EL PIPI
[2021:06:12-05:40:05]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: oe
[2021:06:12-05:40:07]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Nicole: ud va a seguir tirando bala
[2021:06:12-05:40:12]  (Local) -> (LOCAL)[0]Skip~#~|*|: Quede bug en duelo
[2021:06:12-05:40:12]  (Global) -> ghostemane|CDG: :{ pero igual gracias fabius ;{
[2021:06:12-05:40:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: aaah
[2021:06:12-05:40:13]  (Local) -> (LOCAL)[4]Tartaru$ZcB: RAPIDO
[2021:06:12-05:40:15]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: voy a vender todas mis camionetas
[2021:06:12-05:40:15]  (Local) -> (LOCAL)[1]Catre^: yo paso relajao y me disparan
[2021:06:12-05:40:16]  (Local) -> (LOCAL)[6]Tartaru$ZcB: HPTAAAA
[2021:06:12-05:40:16]  (Local) -> (LOCAL)[1]Gomita: o q
[2021:06:12-05:40:17]  (Global) -> primo(CDG): SI ME DEJA
[2021:06:12-05:40:21]  (Global) -> #000000Juanma'ELN'|#000000â€ : cuanto le dio fabius?
[2021:06:12-05:40:22]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: y la nmax
[2021:06:12-05:40:22]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: pero maÃ±ana nea ya ahora me acuesto
[2021:06:12-05:40:23]  (Local) -> (LOCAL)[1]anthony[2CB]: po
[2021:06:12-05:40:23]  (Local) -> (LOCAL)[4]Lele|LMB|: el jhon es la gorra
[2021:06:12-05:40:24]  (Local) -> (LOCAL)[6]Tartaru$ZcB: coja mi carro pero rapido
[2021:06:12-05:40:24]  (Local) -> (LOCAL)[1]IDavid: dimelo
[2021:06:12-05:40:26]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF0000BazucoPai!2cb: DEJE DE SER SAPO
[2021:06:12-05:40:28]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: para q se compre su moto
[2021:06:12-05:40:29]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: me toca madrugar
[2021:06:12-05:40:30]  (Global) -> ghostemane|CDG: nda :{
[2021:06:12-05:40:30]  (Local) -> (LOCAL)[1]Gomita: maÃ±ana trabaja?
[2021:06:12-05:40:30]  (Global) -> W~>|Fabius|#9E016Cà¶ž: nada pana ando con lo de las turf
[2021:06:12-05:40:33]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000CrudoMeansRaw: sisa
[2021:06:12-05:40:35]  (Local) -> (LOCAL)[1]Gomita: uy
[2021:06:12-05:40:40]  (Global) -> #000000Juanma'ELN'|#000000â€ : venga le regalo 200k
[2021:06:12-05:40:43]  (Global) -> ghostemane|CDG: me robo 1m y no me da nada:{
[2021:06:12-05:40:43]  (Local) -> (LOCAL)[1]BenjaRios[2cb]: cuanto tiene en el banco?
[2021:06:12-05:40:54]  (Global) -> #000000Juanma'ELN'|#000000â€ : pues no lo robo
[2021:06:12-05:40:56]  (Global) -> ScandalousBloom60: maircas
[2021:06:12-05:40:57]  (Global) -> ghostemane|CDG: tranquilo ya dejemos asi me toca ahorrar ahora:{
[2021:06:12-05:40:59]  (Local) -> (LOCAL)[1]anthony[2CB]: pa con eso compre el carro
