This file was generated by Console at 2021:04:12-00:00:00



[2021:04:12-00:00:00]  (Local) -> (LOCAL)[5]BUHODERMIA: 1
[2021:04:12-06:44:37]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Oe ricardo
[2021:04:12-06:44:38]  (Local) -> (LOCAL)[1]Miccaty: ajaja
[2021:04:12-06:44:40]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Coloquese la de señor
[2021:04:12-06:44:41]  (Local) -> (LOCAL)[1]CamilaShade|2cb: gono
[2021:04:12-06:44:42]  (Local) -> (LOCAL)[2]Willow'CDG'ELN': mia mia no solo soy lider
[2021:04:12-06:44:43]  (Local) -> (LOCAL)[1]Oconner'2cb: le pongo una cuenta y lo acelera a fondo
[2021:04:12-06:44:45]  (Global) -> JeanJajs'Sayayin: fabri
[2021:04:12-06:44:46]  (Local) -> (LOCAL)[1]FABIAN421"2CB: jajaja
[2021:04:12-06:44:47]  (Global) -> xGarciax: oconner donde estan ?
[2021:04:12-06:44:48]  (Global) -> JeanJajs'Sayayin: donde estan
[2021:04:12-06:44:48]  (Local) -> (LOCAL)[1]Oconner'2cb: a ver cuandos KPH saca sin tunear
[2021:04:12-06:44:48]  (Local) -> (LOCAL)[1]JuanKa: lo voy a rotar
[2021:04:12-06:44:49]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Hacemos una imagen curseada
[2021:04:12-06:44:58]  (Local) -> (LOCAL)[1]Oconner'2cb: pille los KPH abajo en la esquina de la derecha
[2021:04:12-06:44:59]  (Local) -> (LOCAL)[1]Oconner'2cb: KPH
[2021:04:12-06:45:00]  (Team - Criminals) -> (TEAM)ELchino: soy un pobre
[2021:04:12-06:45:03]  (Global) -> xGarciax: oconer
[2021:04:12-06:45:04]  (Global) -> Bolas-NEGRAS: sisas pa 
[2021:04:12-06:45:05]  (Team - Criminals) -> (TEAM)Willow'CDG'ELN': no hay c bug ????????????
[2021:04:12-06:45:06]  (Local) -> (LOCAL)[1]Miccaty: :((
[2021:04:12-06:45:08]  (Global) -> xGarciax: occoner
[2021:04:12-06:45:10]  (Local) -> (LOCAL)[1]Miccaty: no soy hombre
[2021:04:12-06:45:12]  (Global) -> xGarciax: oconner
[2021:04:12-06:45:14]  (Local) -> (LOCAL)[1]Miccaty: en fin
[2021:04:12-06:45:14]  (Team - Criminals) -> (TEAM)Soltec|EVG|: no
[2021:04:12-06:45:15]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Nostros estamos en discord
[2021:04:12-06:45:18]  (Local) -> (LOCAL)[2]Willow'CDG'ELN': aaaaaaaaaauaaaaaaaaaaaaaaaaaaaaaaaaaa mi pc
[2021:04:12-06:45:18]  (Global) -> xGarciax: oconner
[2021:04:12-06:45:20]  (Local) -> (LOCAL)[1]JuanKa: pero pasa evidencia pues
[2021:04:12-06:45:20]  (Local) -> (LOCAL)[1]Dominio: Hp
[2021:04:12-06:45:22]  (Local) -> (LOCAL)[1]Oconner'2cb: no pasa de 140
[2021:04:12-06:45:22]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Orgalor: a no nada
[2021:04:12-06:45:24]  (Local) -> (LOCAL)[1]Oconner'2cb: sin tunear
[2021:04:12-06:45:24]  (Local) -> (LOCAL)[1]Miccaty: puedo trabajr para conseguir mis cosas
[2021:04:12-06:45:24]  (Global) -> xGarciax: oconner
[2021:04:12-06:45:26]  (Global) -> kamilo|2cb: vengan por mi jajajja
[2021:04:12-06:45:26]  (Global) -> Willow'CDG'ELN': :c
[2021:04:12-06:45:30]  (Global) -> #7F7F7F|ADM|#FF5C00Orgalor|#FFA4CBツ: voy
[2021:04:12-06:45:32]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: listo
[2021:04:12-06:45:32]  (Global) -> #7F7F7F|ADM|#FF5C00Orgalor|#FFA4CBツ: pere 
[2021:04:12-06:45:35]  (Global) -> xGarciax: oconner
[2021:04:12-06:45:36]  (Local) -> (LOCAL)[2]CamilaShade|2cb: estamos practicando no seas necio
[2021:04:12-06:45:39]  (Local) -> (LOCAL)[1]Miccaty: preguntale a los admid
[2021:04:12-06:45:41]  (Local) -> (LOCAL)[2]FABIAN421"2CB: menor hp
[2021:04:12-06:45:43]  (Global) -> xGarciax: a donde vamos
[2021:04:12-06:45:45]  (Local) -> (LOCAL)[1]Miccaty: ellos lo saben
[2021:04:12-06:45:45]  (Global) -> xGarciax: ?
[2021:04:12-06:45:47]  (Local) -> (LOCAL)[2]FABIAN421"2CB: no se as asi
[2021:04:12-06:45:49]  (Local) -> (LOCAL)[2]FABIAN421"2CB: oai
[2021:04:12-06:45:50]  (Local) -> (LOCAL)[1]Oconner'2cb: mandeme los 230 bro q si hace falta algo yo se lo pongo
[2021:04:12-06:45:51]  (Local) -> (LOCAL)[1]JuanKa: naa les pregunto yo me hablo con tres
[2021:04:12-06:45:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Orgalor: a
[2021:04:12-06:45:52]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Salimso todos negros jajaja
[2021:04:12-06:45:53]  (Global) -> xGarciax: vamos a el banco a ver si estan ay
[2021:04:12-06:45:54]  (Local) -> (LOCAL)[1]Miccaty: me voy :((
[2021:04:12-06:45:54]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: no sejajajaja
[2021:04:12-06:45:55]  (Local) -> (LOCAL)[1]Oconner'2cb: y vamos alli al tuneo
[2021:04:12-06:45:55]  (Local) -> (LOCAL)[2]FABIAN421"2CB: todo bn
[2021:04:12-06:45:56]  (Global) -> Bolas-NEGRAS: ni  los 90 cogio xD
[2021:04:12-06:45:57]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: va
[2021:04:12-06:46:03]  (Local) -> (LOCAL)[1]Oconner'2cb: como q no bro
[2021:04:12-06:46:04]  (Local) -> (LOCAL)[2]FABIAN421"2CB: perrro
[2021:04:12-06:46:06]  (Local) -> (LOCAL)[2]Dominio: Es udoyo?
[2021:04:12-06:46:07]  (Local) -> (LOCAL)[1]Oconner'2cb: cogio 140 kph
[2021:04:12-06:46:08]  (Local) -> (LOCAL)[2]CamilaShade|2cb: jajajaja
[2021:04:12-06:46:11]  (Local) -> (LOCAL)[2]CamilaShade|2cb: esa en perica
[2021:04:12-06:46:12]  (Local) -> (LOCAL)[2]kamilo|2cb: hola
[2021:04:12-06:46:12]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Oe
[2021:04:12-06:46:13]  (Team - Law Enforcement) -> (TEAM)*Cristian_Castro: nos mino
[2021:04:12-06:46:13]  (Local) -> (LOCAL)[1]Oconner'2cb: ust estaba mirando el otro jaja
[2021:04:12-06:46:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Orgalor: q cosa
[2021:04:12-06:46:14]  (Global) -> Bolas-NEGRAS: SISAS AJAJAJA 
[2021:04:12-06:46:15]  (Local) -> (LOCAL)[2]Soltec|EVG|: mi perro
[2021:04:12-06:46:17]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: JAJAJA
[2021:04:12-06:46:18]  (Local) -> (LOCAL)[1]Oconner'2cb: mire el q dice KPH
[2021:04:12-06:46:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Orgalor: hola
[2021:04:12-06:46:19]  (Global) -> #FFA4CBRzzK|#FFA4CBツ: a porque no puedo ver las kill
[2021:04:12-06:46:19]  (Local) -> (LOCAL)[2]Dominio: Lode carteleado
[2021:04:12-06:46:20]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Salio toda oscura
[2021:04:12-06:46:21]  (Local) -> (LOCAL)[1]Miccaty: no me crea
[2021:04:12-06:46:22]  (Global) -> #FFA4CBRzzK|#FFA4CBツ: :,
[2021:04:12-06:46:22]  (Local) -> (LOCAL)[2]kamilo|2cb: los amo
[2021:04:12-06:46:23]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Pedimos de dia?
[2021:04:12-06:46:24]  (Local) -> (LOCAL)[1]Oconner'2cb: no el mph sino el KPH
[2021:04:12-06:46:26]  (Local) -> (LOCAL)[2]FABIAN421"2CB: mano
[2021:04:12-06:46:32]  (Local) -> (LOCAL)[2]Dominio: Hey quiern saberalgo?
[2021:04:12-06:46:34]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Venga yo la tomo
[2021:04:12-06:46:34]  (Global) -> JuanKa: #00ff00 Miccaty tiene juguete jsdjasjd
[2021:04:12-06:46:35]  (Local) -> (LOCAL)[2]CamilaShade|2cb: mejor donde siempre
[2021:04:12-06:46:36]  (Local) -> (LOCAL)[1]Oconner'2cb: Kilometros Por Hora KPH
[2021:04:12-06:46:36]  (Local) -> (LOCAL)[2]FABIAN421"2CB: mera loka
[2021:04:12-06:46:36]  (Global) -> Bolas-NEGRAS: SOLO 140 
[2021:04:12-06:46:36]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Orgalor: si
[2021:04:12-06:46:36]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: estaran adentro?
[2021:04:12-06:46:37]  (Local) -> (LOCAL)[1]Miccaty: ;(( igual gracias por ayudarme hace un rato
[2021:04:12-06:46:38]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: A ver
[2021:04:12-06:46:38]  (Local) -> (LOCAL)[1]Oconner'2cb: sizas
[2021:04:12-06:46:41]  (Local) -> (LOCAL)[1]Oconner'2cb: vamos a tunearlo
[2021:04:12-06:46:42]  (Local) -> (LOCAL)[2]kamilo|2cb: pos si
[2021:04:12-06:46:43]  (Local) -> (LOCAL)[2]CamilaShade|2cb: hay policias necios a esta hora
[2021:04:12-06:46:43]  (Global) -> Bolas-NEGRAS: VAMO A TUNEARLO
[2021:04:12-06:46:46]  (Local) -> (LOCAL)[2]Dominio: POngan /anti-lag y ponenvision en 100
[2021:04:12-06:46:49]  (Global) -> xGarciax: ikle
[2021:04:12-06:46:50]  (Global) -> #7F7F7F|ADM|#FF0000#CBCBCBMoraHpta|#CBCBCBЯN: ah?
[2021:04:12-06:46:51]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Manchas a comodese
[2021:04:12-06:46:55]  (Local) -> (LOCAL)[1]Miccaty: ajja que es juguete?
[2021:04:12-06:46:55]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: van a tunear
[2021:04:12-06:46:55]  (Local) -> (LOCAL)[1]Oconner'2cb: sin tunear 140 , tuneado ya le digo yo q le saca por hay 200 jaja
[2021:04:12-06:46:58]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: vamos a donde se tunea
[2021:04:12-06:47:01]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: pa q
[2021:04:12-06:47:04]  (Local) -> (LOCAL)[1]Oconner'2cb: de q color lo quiere
[2021:04:12-06:47:04]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: se me crashea
[2021:04:12-06:47:04]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Manchas a comodese COMO HORITA
[2021:04:12-06:47:05]  (Local) -> (LOCAL)[1]JuanKa: no se
[2021:04:12-06:47:07]  (Local) -> (LOCAL)[2]Dominio: Se ve todo melo
[2021:04:12-06:47:07]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: me da lag
[2021:04:12-06:47:09]  (Local) -> (LOCAL)[2]FABIAN421"2CB: vamos bb
[2021:04:12-06:47:09]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: szs
[2021:04:12-06:47:11]  (Local) -> (LOCAL)[1]Miccaty: a
[2021:04:12-06:47:13]  (Local) -> (LOCAL)[2]Oconner'2cb: aca
[2021:04:12-06:47:15]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: voy
[2021:04:12-06:47:15]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Manchas a comodese COMO HORITA
[2021:04:12-06:47:15]  (Global) -> kevin1033|EVG||#18AED9カプガン: que es un turgf? o como se llame eso jsjsjs
[2021:04:12-06:47:17]  (Local) -> (LOCAL)[2]Dominio: bote esatostora
[2021:04:12-06:47:18]  (Global) -> Bolas-NEGRAS: Una combinacion mela 
[2021:04:12-06:47:18]  (Local) -> (LOCAL)[2]Soltec|EVG|: manchas rebelde
[2021:04:12-06:47:20]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: estaba en discord xd
[2021:04:12-06:47:22]  (Local) -> (LOCAL)[2]FABIAN421"2CB: pirobo
[2021:04:12-06:47:24]  (Local) -> (LOCAL)[2]Dominio: Vamos aledificioe se
[2021:04:12-06:47:24]  (Global) -> JuanKa: #00ff00 Miccaty tiene juguete jsdjasjd
[2021:04:12-06:47:25]  (Local) -> (LOCAL)[1]FABIAN421"2CB: estupido
[2021:04:12-06:47:27]  (Local) -> (LOCAL)[1]Oconner'2cb: aca lo tuneamos
[2021:04:12-06:47:30]  (Local) -> (LOCAL)[1]Oconner'2cb: saquelo mi bro
[2021:04:12-06:47:33]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: a
[2021:04:12-06:47:33]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: pere
[2021:04:12-06:47:37]  (Local) -> (LOCAL)[2]Dominio: pero
[2021:04:12-06:47:38]  (Global) -> xGarciax: pere yo manejo
[2021:04:12-06:47:39]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: voy por el carro d edroga
[2021:04:12-06:47:40]  (Local) -> (LOCAL)[2]Oconner'2cb: y con el f3 en la app de efecty me manda los 230
[2021:04:12-06:47:45]  (Global) -> #7F7F7F|ADM|#FF0000#CBCBCBMoraHpta|#CBCBCBЯN: Juanka deje el acoso pa
[2021:04:12-06:47:45]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: melo
[2021:04:12-06:47:49]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: afk esperen
[2021:04:12-06:47:50]  (Local) -> (LOCAL)[2]CamilaShade|2cb: jajajaja
[2021:04:12-06:47:51]  (Global) -> #FFA4CBRzzK|#FFA4CBツ: XD
[2021:04:12-06:47:55]  (Global) -> kevin1033|EVG||#18AED9カプガン: que es un turgf? o como se llame eso jsjsjs
[2021:04:12-06:47:56]  (Local) -> (LOCAL)[2]kamilo|2cb: estas tentador con esa carteliada
[2021:04:12-06:48:06]  (Local) -> (LOCAL)[2]Oconner'2cb: si sabe mandarlos?
[2021:04:12-06:48:18]  (Global) -> Dominio|#CBCBCBЯN: JUANKA MACHO VIOLADOR 
[2021:04:12-06:48:27]  (Global) -> Bolas-NEGRAS: listo 
[2021:04:12-06:48:28]  (Local) -> (LOCAL)[2]FABIAN421"2CB: mero loka
[2021:04:12-06:48:29]  (Global) -> xGarciax: no tampoco
[2021:04:12-06:48:30]  (Local) -> (LOCAL)[2]CamilaShade|2cb: jajajajaj
[2021:04:12-06:48:32]  (Local) -> (LOCAL)[1]Oconner'2cb: q color es su preferido o q
[2021:04:12-06:48:32]  (Local) -> (LOCAL)[2]FABIAN421"2CB: ese menor
[2021:04:12-06:48:33]  (Global) -> JuanKa: MoraHpta q pasa si son 3
[2021:04:12-06:48:38]  (Global) -> Dominio|#CBCBCBЯN: BAN PAPA
[2021:04:12-06:48:40]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: naa
[2021:04:12-06:48:47]  (Global) -> xGarciax: oe bolas negras donde estan ?
[2021:04:12-06:48:52]  (Global) -> Bolas-NEGRAS: No se, como blanco con otro color 
[2021:04:12-06:48:53]  (Global) -> JuanKa: preguntame
[2021:04:12-06:49:03]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: en donde se tunea
[2021:04:12-06:49:05]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: vaminio
[2021:04:12-06:49:05]  (Global) -> DonBazuco|2Cb|#FFFFFFঔৣ☬: al que le ije de pelar el tombbo donde esta
[2021:04:12-06:49:07]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: no sabes donde es?
[2021:04:12-06:49:09]  (Local) -> (LOCAL)[1]Oconner'2cb: oe cuando hable con la gente q este cerca abre el chat con la U
[2021:04:12-06:49:09]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: nos abrimo
[2021:04:12-06:49:11]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Orgalor: suba
[2021:04:12-06:49:15]  (Global) -> DonBazuco|2Cb|#FFFFFFঔৣ☬: al que le ije de pelar el tombbo donde esta
[2021:04:12-06:49:15]  (Local) -> (LOCAL)[1]Oconner'2cb: el chat local con la U
[2021:04:12-06:49:18]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Orgalor: se nos pega
[2021:04:12-06:49:18]  (Local) -> (LOCAL)[1]Bolas-NEGRAS: jajaja ya
[2021:04:12-06:49:21]  (Local) -> (LOCAL)[2]Soltec|EVG|: mamchams
[2021:04:12-06:49:21]  (Local) -> (LOCAL)[1]Oconner'2cb: epa
[2021:04:12-06:49:22]  (Global) -> xGarciax: ya fuimos y no estan o ay otro
[2021:04:12-06:49:24]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: oe
[2021:04:12-06:49:26]  (Global) -> xGarciax: ?
[2021:04:12-06:49:26]  (Local) -> (LOCAL)[2]Dominio: hpese
[2021:04:12-06:49:28]  (Local) -> (LOCAL)[2]JeanJajs'Sayayin: si
[2021:04:12-06:49:28]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: PERE QUIETO
[2021:04:12-06:49:30]  (Local) -> (LOCAL)[2]JeanJajs'Sayayin: venga
[2021:04:12-06:49:30]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Manchas
[2021:04:12-06:49:31]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: bre
[2021:04:12-06:49:32]  (Local) -> (LOCAL)[2]Soltec|EVG|: mamchamsm
[2021:04:12-06:49:34]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: vamos en moto
[2021:04:12-06:49:38]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: mire para el frente
[2021:04:12-06:49:49]  (Local) -> (LOCAL)[1]FABIAN421"2CB: ese es amigo mio
[2021:04:12-06:49:51]  (Local) -> (LOCAL)[1]DonBazuco|2Cb: subase
[2021:04:12-06:49:54]  (Local) -> (LOCAL)[1]FABIAN421"2CB: porque lo coji
[2021:04:12-06:49:54]  (Local) -> (LOCAL)[2]Dominio: A donde se llevbe llevar ahora?
[2021:04:12-06:49:54]  (Local) -> (LOCAL)[1]CamilaShade|2cb: si aja
[2021:04:12-06:49:57]  (Local) -> (LOCAL)[1]DonBazuco|2Cb: VAMOS A PELAR ESA BACHILOK
[2021:04:12-06:49:58]  (Local) -> (LOCAL)[1]FABIAN421"2CB: le di la pela
[2021:04:12-06:50:02]  (Local) -> (LOCAL)[1]FABIAN421"2CB: esta bravo
[2021:04:12-06:50:02]  (Local) -> (LOCAL)[2]kamilo|2cb: jajaja
[2021:04:12-06:50:06]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: hey esta skin se puede comprar
[2021:04:12-06:50:07]  (Local) -> (LOCAL)[1]FABIAN421"2CB: se fue a esa gang
[2021:04:12-06:50:08]  (Global) -> Bolas-NEGRAS: jean entro el josephkripy
[2021:04:12-06:50:09]  (Local) -> (LOCAL)[1]CamilaShade|2cb: necio
[2021:04:12-06:50:09]  (Local) -> (LOCAL)[1]FABIAN421"2CB: mala
[2021:04:12-06:50:11]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Orgalor: mmm
[2021:04:12-06:50:11]  (Global) -> DonBazuco|2Cb|#FFFFFFঔৣ☬: 7localizar MENOR|CDG|
[2021:04:12-06:50:12]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: o valencia la da
[2021:04:12-06:50:13]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: solo staff lvl 4
[2021:04:12-06:50:18]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: JAJAJ Ojala la diera yo
[2021:04:12-06:50:21]  (Local) -> (LOCAL)[1]FABIAN421"2CB: es enemigo
[2021:04:12-06:50:22]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: jajajajaja
[2021:04:12-06:50:25]  (Local) -> (LOCAL)[2]kamilo|2cb: entreguelo
[2021:04:12-06:50:26]  (Local) -> (LOCAL)[1]FABIAN421"2CB: ya
[2021:04:12-06:50:27]  (Local) -> (LOCAL)[1]CamilaShade|2cb: ese es menormayor?
[2021:04:12-06:50:28]  (Local) -> (LOCAL)[2]Soltec|EVG|: nos la dio KevinOcampo
[2021:04:12-06:50:31]  (Local) -> (LOCAL)[1]FABIAN421"2CB: si
[2021:04:12-06:50:32]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: La foto de perdido manchas
[2021:04:12-06:50:32]  (Local) -> (LOCAL)[1]FABIAN421"2CB: bbb
[2021:04:12-06:50:33]  (Local) -> (LOCAL)[2]Soltec|EVG|: pa un vidio
[2021:04:12-06:50:33]  (Local) -> (LOCAL)[1]CamilaShade|2cb: aaaa
[2021:04:12-06:50:36]  (Local) -> (LOCAL)[2]kamilo|2cb: ufff
[2021:04:12-06:50:39]  (Local) -> (LOCAL)[1]FABIAN421"2CB: mero bobi
[2021:04:12-06:50:40]  (Local) -> (LOCAL)[2]Oconner'2cb: oe
[2021:04:12-06:50:41]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: ojo
[2021:04:12-06:50:43]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: q nos pelan
[2021:04:12-06:50:45]  (Global) -> kevin1033|EVG||#18AED9カプガン: F
[2021:04:12-06:50:49]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF8C00Ricardo|EVG|: jajajajajaja
[2021:04:12-06:50:50]  (Local) -> (LOCAL)[1]FABIAN421"2CB: vea
[2021:04:12-06:50:51]  (Local) -> (LOCAL)[1]CamilaShade|2cb: szs
[2021:04:12-06:50:54]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: xd
[2021:04:12-06:50:58]  (Local) -> (LOCAL)[1]Oconner'2cb: un color bien vivo o q jajaj
[2021:04:12-06:50:59]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: AAA
[2021:04:12-06:50:59]  (Local) -> (LOCAL)[1]FABIAN421"2CB: no esta pagandp pejae
[2021:04:12-06:51:01]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Se me tiro la foto
[2021:04:12-06:51:03]  (Local) -> (LOCAL)[1]FABIAN421"2CB: vea pues
[2021:04:12-06:51:07]  (Local) -> (LOCAL)[1]CamilaShade|2cb: jajjajaja
[2021:04:12-06:51:08]  (Local) -> (LOCAL)[1]Rivera"2CB: /release Rivera"2CB[1]
[2021:04:12-06:51:09]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: suba
[2021:04:12-06:51:09]  (Local) -> (LOCAL)[1]Oconner'2cb: y unas llantas cromadas bien chimbas
[2021:04:12-06:51:09]  (Local) -> (LOCAL)[1]CamilaShade|2cb: shhhh
[2021:04:12-06:51:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: mamhuevo
[2021:04:12-06:51:12]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#FF0000Avalencia: Manchas
[2021:04:12-06:51:16]  (Global) -> #000000Soltec|EVG||#000000侍: Piu Piu, morido por #FFF300 Sol#001FFF te#FF0000 c#FFFFFF ( ͡❛ ͜ʖ ͡❛) ������
[2021:04:12-06:51:18]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: es aca arriba
[2021:04:12-06:51:20]  (Local) -> (LOCAL)[1][_gomez_]: espere que se acabe el tiempo
[2021:04:12-06:51:25]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: uy
[2021:04:12-06:51:26]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: q lo coja dominio
[2021:04:12-06:51:26]  (Local) -> (LOCAL)[1]FABIAN421"2CB: todo lo rikp pa usted jajajajaja
[2021:04:12-06:51:31]  (Local) -> (LOCAL)[1]FABIAN421"2CB: jaajaj
[2021:04:12-06:51:32]  (Global) -> xGarciax: q
[2021:04:12-06:51:34]  (Local) -> (LOCAL)[1]RzzK: que soy auc
[2021:04:12-06:51:35]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: dejselo
[2021:04:12-06:51:35]  (Local) -> (LOCAL)[1]RzzK: entende
[2021:04:12-06:51:35]  (Global) -> Matanoobs-ELN: sapa
[2021:04:12-06:51:37]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: a dominio
[2021:04:12-06:51:40]  (Local) -> (LOCAL)[1]JeanJajs'Sayayin: onde es k es
[2021:04:12-06:51:40]  (Global) -> Matanoobs-ELN: me importa un culo
[2021:04:12-06:51:42]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: q no a cojio nada
[2021:04:12-06:51:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: bno
[2021:04:12-06:51:47]  (Global) -> JosephKrippy: jeannnnnnnnnnnnnn
[2021:04:12-06:51:48]  (Global) -> Matanoobs-ELN: pa matarnos ahi si NO SOS AUC
[2021:04:12-06:51:48]  (Local) -> (LOCAL)[1][_gomez_]: no da
[2021:04:12-06:51:49]  (Local) -> (LOCAL)[1]RzzK: a breve ahorita lo saco
[2021:04:12-06:51:53]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: apunte
[2021:04:12-06:51:54]  (Local) -> (LOCAL)[2]RzzK: SUABE
[2021:04:12-06:51:55]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: a donde
[2021:04:12-06:51:55]  (Global) -> Bolas-NEGRAS: jean mama bicho 
[2021:04:12-06:51:57]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: hay q ir
[2021:04:12-06:52:01]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: salte
[2021:04:12-06:52:01]  (Global) -> JeanJajs'Sayayin: habla
[2021:04:12-06:52:04]  (Local) -> (LOCAL)[2]RzzK: ahorita salgo y me lo farmeo
[2021:04:12-06:52:04]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Orgalor: apunte
