This file was generated by Console at 2021:05:03-00:00:00



[2021:05:03-00:00:00]  (Local) -> (LOCAL)[2]Dilan'CDG: a
[2021:05:03-10:05:56]  (Local) -> (LOCAL)[2]diegopez17172cb: alee
[2021:05:03-10:06:00]  (Local) -> (LOCAL)[1]diegopez17172cb: vos igual
[2021:05:03-10:06:07]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: Chao BB
[2021:05:03-10:07:48]  (Local) -> (LOCAL)[2]Willowgroserin: ba nena
[2021:05:03-10:07:52]  (Local) -> (LOCAL)[2]Willowgroserin: suba
[2021:05:03-10:07:58]  (Local) -> (LOCAL)[2]Willowgroserin: sbe
[2021:05:03-10:08:02]  (Local) -> (LOCAL)[2]Willowgroserin: sube
[2021:05:03-10:08:05]  (Local) -> (LOCAL)[2]Dilan'CDG: nena
[2021:05:03-10:08:09]  (Local) -> (LOCAL)[2]Dilan'CDG: eso
[2021:05:03-10:08:17]  (Team - Unemployed) -> (TEAM)Dilan'CDG: o arriba
[2021:05:03-10:08:24]  (Local) -> (LOCAL)[2]Dilan'CDG: nena abajo que te caes
[2021:05:03-10:08:40]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: a xd
[2021:05:03-10:08:41]  (Local) -> (LOCAL)[2]Willowgroserin: hey bb abajo
[2021:05:03-10:08:51]  (Local) -> (LOCAL)[2]Willowgroserin: tu estas mal del cuello
[2021:05:03-10:08:51]  (Global) -> KonekoNyah: aqui nomas
[2021:05:03-10:09:00]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: aay
[2021:05:03-10:09:02]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: dejenos sanas
[2021:05:03-10:09:18]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: efe mi rey
[2021:05:03-10:09:23]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: wenas
[2021:05:03-10:09:24]  (Local) -> (LOCAL)[2]Willowgroserin: vamos pal hospital
[2021:05:03-10:09:29]  (Local) -> (LOCAL)[2]COSCULLUELA"2cb: ola
[2021:05:03-10:09:32]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: ola
[2021:05:03-10:09:45]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: ola
[2021:05:03-10:09:51]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: chau
[2021:05:03-10:10:01]  (Local) -> (LOCAL)[2]Willowgroserin: bugiados :)
[2021:05:03-10:10:22]  (Local) -> (LOCAL)[2]Willowgroserin: oe nena
[2021:05:03-10:10:34]  (Local) -> (LOCAL)[2]Willowgroserin: yo tengo novia pero por usted peco mor
[2021:05:03-10:10:43]  (Global) -> KonekoNyah: hahahaha
[2021:05:03-10:10:54]  (Local) -> (LOCAL)[2]Willowgroserin: enserio mor
[2021:05:03-10:11:05]  (Local) -> (LOCAL)[2]Willowgroserin: doctorrrrrrrrrrrrrrrrrrrrrrrrrrrrr
[2021:05:03-10:11:15]  (Local) -> (LOCAL)[1]Dilan'CDG: digame
[2021:05:03-10:11:17]  (Local) -> (LOCAL)[1]Willowgroserin: me duele la vergaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:05:03-10:12:42]  (Local) -> (LOCAL)[1]Willowgroserin: oe
[2021:05:03-10:12:43]  (Local) -> (LOCAL)[1]Willowgroserin: bb
[2021:05:03-10:14:58]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: UY
[2021:05:03-10:15:01]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: uy wenas
[2021:05:03-10:15:03]  (Local) -> (LOCAL)[2]COSCULLUELA"2cb: q pasa mor
[2021:05:03-10:15:04]  (Global) -> GuanisFlow|2cb|: lock
[2021:05:03-10:15:14]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: pero con cariño
[2021:05:03-10:15:19]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: uy
[2021:05:03-10:15:21]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: chao xd
[2021:05:03-10:15:21]  (Global) -> Ferxxo444|2cb|: No pueden ver pues a un pobre acomodado estas sanganas
[2021:05:03-10:15:28]  (Local) -> (LOCAL)[2]NoSoyYo/2cb: que agresividad
[2021:05:03-10:16:43]  (Local) -> (LOCAL)[3]Ferxxo444|2cb|: Que hptas pa chimbiar nene
[2021:05:03-10:16:45]  (Local) -> (LOCAL)[3]Ferxxo444|2cb|: ehh
[2021:05:03-10:17:10]  (Local) -> (LOCAL)[3]Ferxxo444|2cb|: Papi en este momento no hay animos de pelear con bobitos
[2021:05:03-10:17:43]  (Local) -> (LOCAL)[3]Willowgroserin: sera que no e pagado el macro que me da pussy
[2021:05:03-10:20:21]  (Local) -> (LOCAL)[1]Dilan'CDG: hable
[2021:05:03-10:20:28]  (Local) -> (LOCAL)[1]Willowgroserin: me escucha ?
[2021:05:03-10:20:32]  (Local) -> (LOCAL)[2]Dilan'CDG: nokas
[2021:05:03-10:24:17]  (Global) -> NoSoyYo/2cb: temazo
[2021:05:03-10:27:30]  (Local) -> (LOCAL)[1]NoSoyYo/2cb: pon oh ana
[2021:05:03-10:40:51]  (Local) -> (LOCAL)[2]Zeth7w7: oe
[2021:05:03-10:40:53]  (Local) -> (LOCAL)[2]OriOriOri/2cb: ke
[2021:05:03-10:51:30]  (Global) -> ArielPnot'2cb: dondw venden carros de segunda?
[2021:05:03-10:51:46]  (Global) -> OriOriOri/2cb:  creo que por el coso de buseteros
[2021:05:03-10:51:53]  (Global) -> OriOriOri/2cb: como hacia las vias del tren
[2021:05:03-10:53:00]  (Global) -> OriOriOri/2cb: te llevo?
[2021:05:03-10:57:20]  (Local) -> (LOCAL)[1]OriOriOri/2cb: a laburar
[2021:05:03-10:57:28]  (Local) -> (LOCAL)[1]OriOriOri/2cb: ponte el podcast de
[2021:05:03-10:57:35]  (Local) -> (LOCAL)[1]OriOriOri/2cb: club de fans de sherk
[2021:05:03-10:57:41]  (Local) -> (LOCAL)[1]OriOriOri/2cb: per o el segundo cap
[2021:05:03-11:20:38]  (Global) -> Ferxxo444|2cb|: Oe donde encuentro el icono de dragon en san fierro
[2021:05:03-11:20:42]  (Global) -> Ferxxo444|2cb|: no lo veo
[2021:05:03-11:42:25]  (Local) -> (LOCAL)[1]camilo_||2cb||: oe
[2021:05:03-11:42:39]  (Local) -> (LOCAL)[1]camilo_||2cb||: oeee
[2021:05:03-11:43:02]  (Local) -> (LOCAL)[1]camilo_||2cb||: oe
[2021:05:03-11:44:22]  (Local) -> (LOCAL)[1]camilo_||2cb||: bobo cagao
[2021:05:03-11:50:06]  (Local) -> (LOCAL)[1]camilo_||2cb||: cagao
[2021:05:03-11:56:49]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: lo llevo
[2021:05:03-11:56:54]  (Local) -> (LOCAL)[1]camilo_||2cb||: na´
[2021:05:03-11:59:27]  (Local) -> (LOCAL)[1]camilo_||2cb||: fastidioso
[2021:05:03-11:59:31]  (Local) -> (LOCAL)[1]camilo_||2cb||: manoc de mierda
[2021:05:03-12:00:31]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: oe
[2021:05:03-12:00:35]  (Local) -> (LOCAL)[1]camilo_||2cb||: q
[2021:05:03-12:00:47]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: como era e comando para acomodarme la mascara
[2021:05:03-12:00:55]  (Local) -> (LOCAL)[1]camilo_||2cb||: no me acuerdo´
[2021:05:03-12:01:00]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: era /ropita algo asi
[2021:05:03-12:01:06]  (Global) -> camilo_||2cb|||#83FF00ʍđท: si
[2021:05:03-12:02:02]  (Local) -> (LOCAL)[1]camilo_||2cb||: mnaco de mierda
[2021:05:03-12:02:33]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: oe
[2021:05:03-12:02:48]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: oe
[2021:05:03-12:02:48]  (Local) -> (LOCAL)[1]camilo_||2cb||: q
[2021:05:03-12:02:55]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: le vendo 2 carros
[2021:05:03-12:03:04]  (Local) -> (LOCAL)[1]camilo_||2cb||: cuanto?
[2021:05:03-12:03:44]  (Local) -> (LOCAL)[2]camilo_||2cb||: hp
[2021:05:03-12:04:08]  (Local) -> (LOCAL)[1]camilo_||2cb||: este cuanto?
[2021:05:03-12:04:17]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: 1 palo negociable
[2021:05:03-12:04:22]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: cuanto ofrese
[2021:05:03-12:04:40]  (Local) -> (LOCAL)[1]camilo_||2cb||: oe espere
[2021:05:03-12:05:30]  (Local) -> (LOCAL)[2]camilo_||2cb||: oe
[2021:05:03-12:05:36]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: oe
[2021:05:03-12:05:50]  (Local) -> (LOCAL)[1]camilo_||2cb||: le dpy 950k
[2021:05:03-12:05:53]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: dele
[2021:05:03-12:05:57]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: vamos pues
[2021:05:03-12:05:57]  (Local) -> (LOCAL)[1]camilo_||2cb||: vamos
[2021:05:03-12:06:06]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: pongase en mp
[2021:05:03-12:06:14]  (Local) -> (LOCAL)[1]camilo_||2cb||: tengo delitos xd´
[2021:05:03-12:06:19]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: aaa
[2021:05:03-12:06:24]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: bn
[2021:05:03-12:06:25]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: vamos
[2021:05:03-12:06:25]  (Local) -> (LOCAL)[1]camilo_||2cb||: da igual dspues lo ago sacar del 2cb
[2021:05:03-12:07:49]  (Local) -> (LOCAL)[1]camilo_||2cb||: listo vamos
[2021:05:03-12:08:32]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: por compra y venta sierto
[2021:05:03-12:08:57]  (Local) -> (LOCAL)[1]camilo_||2cb||: dale
[2021:05:03-12:10:06]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: busquelo pues
[2021:05:03-12:10:07]  (Local) -> (LOCAL)[1]camilo_||2cb||: como se llama?
[2021:05:03-12:10:14]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: es un wlislon
[2021:05:03-12:10:16]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: algo ai
[2021:05:03-12:10:18]  (Local) -> (LOCAL)[1]camilo_||2cb||: dale
[2021:05:03-12:10:21]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: aparese por mi nombre
[2021:05:03-12:10:31]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: aparace como jhongarcia
[2021:05:03-12:10:54]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: esta masomenos en la mitad
[2021:05:03-12:11:06]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: un windsor
[2021:05:03-12:11:15]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: hay este
[2021:05:03-12:11:16]  (Local) -> (LOCAL)[1]camilo_||2cb||: ta melo
[2021:05:03-12:11:20]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: q lo disfrute
[2021:05:03-12:11:24]  (Local) -> (LOCAL)[1]camilo_||2cb||: dale
[2021:05:03-12:11:25]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: aa le vendo otro
[2021:05:03-12:11:29]  (Local) -> (LOCAL)[1]camilo_||2cb||: un gusto
[2021:05:03-12:11:34]  (Local) -> (LOCAL)[1]camilo_||2cb||: me quede pelado
[2021:05:03-12:11:34]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: es un americano
[2021:05:03-12:11:35]  (Local) -> (LOCAL)[1]camilo_||2cb||: xd
[2021:05:03-12:11:40]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: ok
[2021:05:03-12:11:46]  (Local) -> (LOCAL)[1]camilo_||2cb||: despues lo concto
[2021:05:03-12:18:07]  (Global) -> ArmandoPleito.l4k: vendo carro full tuning con nitro
[2021:05:03-12:18:58]  (Local) -> (LOCAL)[1]camilo_||2cb||: burro
[2021:05:03-12:19:00]  (Local) -> (LOCAL)[1]camilo_||2cb||: burro
[2021:05:03-12:19:02]  (Local) -> (LOCAL)[1]camilo_||2cb||: burro
[2021:05:03-12:19:23]  (Global) -> ArielPnot'2cb: usted se esta pasando
[2021:05:03-12:19:33]  (Local) -> (LOCAL)[1]camilo_||2cb||: man pa manco
[2021:05:03-12:19:50]  (Global) -> ArielPnot'2cb: si experto
[2021:05:03-12:19:57]  (Local) -> (LOCAL)[1]camilo_||2cb||: manc
[2021:05:03-12:20:08]  (Local) -> (LOCAL)[1]camilo_||2cb||: camina disque con la doble escopeta
[2021:05:03-12:20:16]  (Global) -> ArielPnot'2cb: prefiero manco a idiota 
[2021:05:03-12:20:26]  (Local) -> (LOCAL)[1]camilo_||2cb||: usted no es 2cb
[2021:05:03-12:20:32]  (Local) -> (LOCAL)[1]camilo_||2cb||: quietese las iniciales
[2021:05:03-12:20:46]  (Global) -> ArielPnot'2cb: yo si revisr idiota
[2021:05:03-12:21:10]  (Local) -> (LOCAL)[1]camilo_||2cb||: el chat local se activa con la u burro
[2021:05:03-12:21:19]  (Global) -> ArielPnot'2cb: revise el panel idiota
[2021:05:03-12:21:27]  (Local) -> (LOCAL)[1]camilo_||2cb||: na
[2021:05:03-12:21:32]  (Local) -> (LOCAL)[1]camilo_||2cb||: y idiota su papa
[2021:05:03-12:22:46]  (Local) -> (LOCAL)[1]camilo_||2cb||: oe
[2021:05:03-12:28:37]  (Global) -> ArmandoPleito.l4k: oe
[2021:05:03-12:28:47]  (Global) -> ArmandoPleito.l4k: pero q
[2021:05:03-12:29:03]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: pqeo q
[2021:05:03-12:30:02]  (Global) -> ArmandoPleito.l4k: q quiere
[2021:05:03-12:30:13]  (Global) -> ArmandoPleito.l4k: dejeme sano
[2021:05:03-12:30:54]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: ArmandoPleito.l4k que le estan haciendo?
[2021:05:03-12:31:05]  (Global) -> DidacticCandelabra7: hola
[2021:05:03-12:31:45]  (Local) -> (LOCAL)[2]camilo_||2cb||: aayyy
[2021:05:03-12:31:55]  (Local) -> (LOCAL)[2]camilo_||2cb||: ahora ya no es chulito
[2021:05:03-12:31:55]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: marica pa montador
[2021:05:03-12:32:06]  (Local) -> (LOCAL)[2]camilo_||2cb||: hp pa gay
[2021:05:03-12:33:00]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: pere y v era  bobo mrca
[2021:05:03-12:34:58]  (Local) -> (LOCAL)[1]camilo_||2cb||: JAJAJJA
[2021:05:03-12:35:01]  (Local) -> (LOCAL)[1]camilo_||2cb||: hp pa manco
[2021:05:03-12:35:03]  (Local) -> (LOCAL)[1]camilo_||2cb||: JAJAJJA
[2021:05:03-12:35:18]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: JAJAJJA man pa manco a lo bien
[2021:05:03-12:35:28]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: jajaja
[2021:05:03-12:35:31]  (Local) -> (LOCAL)[1]camilo_||2cb||: xd
[2021:05:03-12:35:35]  (Local) -> (LOCAL)[1]camilo_||2cb||: vamo
[2021:05:03-12:35:46]  (Global) -> ArielPnot'2cb: va dejar de molestar o es que no es 2cb usted
[2021:05:03-12:36:57]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: ArielPnot'2cb[5]lee el mensaje en morado?
[2021:05:03-12:37:06]  (Global) -> ArielPnot'2cb: a sigue camilo
[2021:05:03-12:37:14]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: usted no es 2cb
[2021:05:03-12:37:34]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: cuanto la vende
[2021:05:03-12:37:43]  (Local) -> (LOCAL)[1]camilo_||2cb||: esta tuenada
[2021:05:03-12:37:58]  (Global) -> ArielPnot'2cb:  mire el panel y comorueve
[2021:05:03-12:38:09]  (Local) -> (LOCAL)[2]camilo_||2cb||: se la daria en un palo 200k
[2021:05:03-12:38:48]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: salga
[2021:05:03-12:38:49]  (Local) -> (LOCAL)[2]camilo_||2cb||: oee
[2021:05:03-12:38:55]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: com mas rason salga
[2021:05:03-12:39:04]  (Local) -> (LOCAL)[2]camilo_||2cb||: escriba /gc y un menbsaje aver
[2021:05:03-12:39:17]  (Local) -> (LOCAL)[2]camilo_||2cb||: manco de mierda
[2021:05:03-12:39:33]  (Global) -> ArielPnot'2cb: 2cb atacando 2cb
[2021:05:03-12:39:35]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: me afk por 2 segundos
[2021:05:03-12:39:49]  (Local) -> (LOCAL)[2]camilo_||2cb||: escriba /gc y un mensaje loca hp
[2021:05:03-12:41:38]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: si sirvio mi jugada
[2021:05:03-12:41:40]  (Local) -> (LOCAL)[2]camilo_||2cb||: manco
[2021:05:03-12:41:48]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: man pa manco
[2021:05:03-12:42:53]  (Local) -> (LOCAL)[2]camilo_||2cb||: salgaaa mancooo
[2021:05:03-12:42:54]  (Global) -> ArielPnot'2cb:  1 a 1 camilo 
[2021:05:03-12:42:55]  (Local) -> (LOCAL)[2]camilo_||2cb||: JAJAJ
[2021:05:03-12:43:01]  (Local) -> (LOCAL)[2]camilo_||2cb||: bobo cagao
[2021:05:03-12:43:02]  (Global) -> ArielPnot'2cb: no puede
[2021:05:03-12:44:33]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: d
[2021:05:03-12:44:38]  (Local) -> (LOCAL)[2]camilo_||2cb||: mnaco
[2021:05:03-12:45:25]  (Local) -> (LOCAL)[2]camilo_||2cb||: mancooo
[2021:05:03-12:45:47]  (Local) -> (LOCAL)[2]camilo_||2cb||: manco
[2021:05:03-12:46:30]  (Local) -> (LOCAL)[2]camilo_||2cb||: por que es tan manco
[2021:05:03-12:46:40]  (Local) -> (LOCAL)[2]camilo_||2cb||: juegue con las mano
[2021:05:03-12:46:47]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: ajjaja
[2021:05:03-12:46:51]  (Local) -> (LOCAL)[2]camilo_||2cb||: deje de jugar con las patas
[2021:05:03-12:47:14]  (Local) -> (LOCAL)[2]camilo_||2cb||: velo velo ve
[2021:05:03-12:47:15]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: mk
[2021:05:03-12:47:16]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: mejor
[2021:05:03-12:47:23]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: 2 vs yo con el
[2021:05:03-12:47:24]  (Local) -> (LOCAL)[2]camilo_||2cb||: JAJAJJA
[2021:05:03-12:48:18]  (Local) -> (LOCAL)[2]camilo_||2cb||: JAJJA
[2021:05:03-12:48:22]  (Local) -> (LOCAL)[2]camilo_||2cb||: el es el payaso xd
[2021:05:03-12:48:58]  (Local) -> (LOCAL)[2]camilo_||2cb||: JAJAJ
[2021:05:03-12:49:06]  (Local) -> (LOCAL)[2]camilo_||2cb||: MANCO HP
[2021:05:03-12:49:33]  (Local) -> (LOCAL)[2]camilo_||2cb||: JAJAJJ
[2021:05:03-12:49:35]  (Local) -> (LOCAL)[2]camilo_||2cb||: manco hp
[2021:05:03-12:49:41]  (Local) -> (LOCAL)[2]camilo_||2cb||: mancoooooooooooooooooooooo
[2021:05:03-12:49:50]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: ajaj
[2021:05:03-12:49:55]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: perw
[2021:05:03-12:49:58]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: agame un favor
[2021:05:03-12:50:01]  (Local) -> (LOCAL)[1]camilo_||2cb||: q
[2021:05:03-12:51:35]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: ArielPnot'2cb[5] oe quien le pago el vip?
[2021:05:03-12:51:39]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: su tio?
[2021:05:03-12:51:57]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: le dio culo a cambio de eso o q?
[2021:05:03-12:54:09]  (Global) -> #83FF00camilo_||2cb|||#83FF00ʍđท: aprovechado 
[2021:05:03-12:55:57]  (Local) -> (LOCAL)[1]camilo_||2cb||: mnaco
[2021:05:03-12:56:02]  (Local) -> (LOCAL)[1]camilo_||2cb||: mancoooooooooooooooooooooooo
[2021:05:03-12:56:07]  (Local) -> (LOCAL)[1]camilo_||2cb||: estas hay?????????????
[2021:05:03-12:56:08]  (Global) -> ArielPnot'2cb: camila usted si es canson se enamoro
[2021:05:03-12:56:21]  (Local) -> (LOCAL)[1]camilo_||2cb||: seeeee
[2021:05:03-12:56:48]  (Global) -> ruaalejandro16: ZTD
[2021:05:03-12:56:50]  (Local) -> (LOCAL)[1]camilo_||2cb||: man tan marica
[2021:05:03-12:57:11]  (Local) -> (LOCAL)[1]camilo_||2cb||: sali
[2021:05:03-12:57:14]  (Local) -> (LOCAL)[1]camilo_||2cb||: manco hp
[2021:05:03-12:57:54]  (Global) -> ArielPnot'2cb: usted camilo no deveria pertenecer a 2cb lo boy a gravar
[2021:05:03-12:58:02]  (Local) -> (LOCAL)[1]camilo_||2cb||: JAJAJJA
[2021:05:03-12:58:07]  (Local) -> (LOCAL)[1]camilo_||2cb||: lo dice un don nadie
[2021:05:03-12:58:15]  (Local) -> (LOCAL)[1]camilo_||2cb||: que acab de llegar al server
[2021:05:03-12:59:57]  (Global) -> ArmandoPleito.l4k: vendo carro full tuning con nitro 
[2021:05:03-13:00:15]  (Global) -> ruaalejandro16: ALGUIEN SABE POR QUE NO ESCUCHO MI MOTO CUANDO LA ESTOY  MANEJANDO?
[2021:05:03-13:00:31]  (Global) -> OscarParaco: tiene q prenderla
[2021:05:03-13:00:38]  (Global) -> ArmandoPleito.l4k: ajajajajja
[2021:05:03-13:00:41]  (Global) -> MiniChevy'2cb?|#E20280 ඞ: okey boys
[2021:05:03-13:00:46]  (Global) -> ArmandoPleito.l4k: buena esa mi so 
[2021:05:03-13:01:16]  (Local) -> (LOCAL)[2]ArmandoPleito.l4k: matame
[2021:05:03-13:02:10]  (Global) -> ruaalejandro16: ES ENSERIO OME 
[2021:05:03-13:03:44]  (Global) -> ruaalejandro16: como hago pa escuhar el motor parce 
[2021:05:03-13:03:51]  (Global) -> ruaalejandro16: ESTO ESTA TODO BOGUEADO 
[2021:05:03-13:04:05]  (Local) -> (LOCAL)[1]Gw?|Zetas|: PERE AGO UN QUIZ
[2021:05:03-13:04:06]  (Global) -> ArmandoPleito.l4k: caiga al banco
[2021:05:03-13:04:10]  (Local) -> (LOCAL)[0]ArmandoPleito.l4k: yo la reviso
[2021:05:03-13:04:17]  (Local) -> (LOCAL)[0]ArmandoPleito.l4k: aver si solo es problema sullo
[2021:05:03-13:09:24]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: lo llevo
[2021:05:03-13:09:29]  (Global) -> Dylan22: matem jsjsa{}
[2021:05:03-13:13:15]  (Local) -> (LOCAL)[1]Gw?|Zetas|: HOLA
[2021:05:03-13:13:22]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: oe
[2021:05:03-13:13:24]  (Local) -> (LOCAL)[1]Gw?|Zetas|: Q
[2021:05:03-13:13:25]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: como vamos
[2021:05:03-13:13:29]  (Local) -> (LOCAL)[1]Gw?|Zetas|: BIEN
[2021:05:03-13:13:37]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: perdon hay por el choque
[2021:05:03-13:13:42]  (Local) -> (LOCAL)[1]Gw?|Zetas|: JAJAJ RELAJAO
[2021:05:03-13:15:26]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: oe mi so
[2021:05:03-13:15:41]  (Local) -> (LOCAL)[0]ArmandoPleito.l4k: le puedo colaborar en algo
[2021:05:03-13:16:19]  (Local) -> (LOCAL)[1]Gw?|Zetas|: MOI9 MOTO
[2021:05:03-13:16:49]  (Local) -> (LOCAL)[1]Gw?|Zetas|: BUM
[2021:05:03-13:16:58]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: mi so
[2021:05:03-13:17:07]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: uoe
[2021:05:03-13:17:09]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: oe
[2021:05:03-13:17:14]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: le ayudo en algo
[2021:05:03-13:17:19]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: esta perdido
[2021:05:03-13:17:22]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: ???
[2021:05:03-13:17:25]  (Global) -> vicente: si
[2021:05:03-13:17:30]  (Global) -> Pirrih_lCDGl: este hpta
[2021:05:03-13:17:37]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: suba
[2021:05:03-13:17:40]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: con la g
[2021:05:03-13:17:41]  (Global) -> vicente: quiero trabajar en busetero
[2021:05:03-13:17:44]  (Local) -> (LOCAL)[1]Gw?|Zetas|: F
[2021:05:03-13:18:13]  (Global) -> vicente: gracias
[2021:05:03-13:18:17]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: pere ago lgo
[2021:05:03-13:18:19]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: algo
[2021:05:03-13:18:30]  (Global) -> Dylan22: oe
[2021:05:03-13:18:34]  (Local) -> (LOCAL)[1]Gw?|Zetas|: Q
[2021:05:03-13:18:35]  (Global) -> Dylan22: matemme
[2021:05:03-13:18:41]  (Local) -> (LOCAL)[1]Gw?|Zetas|: NO PUEODO
[2021:05:03-13:18:52]  (Local) -> (LOCAL)[2]Gw?|Zetas|: a
[2021:05:03-13:19:32]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: con f3 sacal el cel
[2021:05:03-13:19:41]  (Global) -> vicente: ya 
[2021:05:03-13:19:46]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: con la k
[2021:05:03-13:19:56]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: el pael de animaciones
[2021:05:03-13:20:06]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: con /mods
[2021:05:03-13:20:12]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: mira
[2021:05:03-13:20:16]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: baja del carro
[2021:05:03-13:20:19]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: pones /mods
[2021:05:03-13:20:27]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: y le das andle all
[2021:05:03-13:20:31]  (Global) -> Pirrih_lCDGl: a
[2021:05:03-13:20:34]  (Global) -> Gw?|Zetas|: Denada  Pirrih_lCDGl
[2021:05:03-13:20:37]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: pon /mods
[2021:05:03-13:20:50]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: y le das al boton q dice andle all
[2021:05:03-13:20:54]  (Global) -> Pirrih_lCDGl: Gw?|Zetas|[4] que inesperado xd
[2021:05:03-13:21:14]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: ven
[2021:05:03-13:21:17]  (Local) -> (LOCAL)[1]ArmandoPleito.l4k: aca
