This file was generated by Console at 2021:05:15-00:00:00



[2021:05:15-00:00:00]  (Local) -> (LOCAL)[7]Miguel-paraco: oe
[2021:05:15-16:14:13]  (Local) -> (LOCAL)[1]KING[ELN]: acepte
[2021:05:15-16:14:16]  (Team - Law Enforcement) -> (TEAM)DrabSun55: padonde
[2021:05:15-16:14:18]  (Local) -> (LOCAL)[2]AGENTE777: necesita 4.200 para comprar el taser
[2021:05:15-16:14:20]  (Local) -> (LOCAL)[1]KING[ELN]: eso
[2021:05:15-16:14:22]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: pago bien
[2021:05:15-16:14:24]  (Local) -> (LOCAL)[0]ElatedPaints94: w
[2021:05:15-16:14:25]  (Local) -> (LOCAL)[1]KING[ELN]: ven
[2021:05:15-16:14:32]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: rapido
[2021:05:15-16:14:35]  (Local) -> (LOCAL)[2]AGENTE777: tiene
[2021:05:15-16:14:36]  (Local) -> (LOCAL)[1]KING[ELN]: saque le segundo
[2021:05:15-16:14:37]  (Global) -> ELBARTO_[CDG]|#1B2ABA������: DrabSun55 hable por U
[2021:05:15-16:14:40]  (Team - Law Enforcement) -> (TEAM)DrabSun55: bamos aun bamco
[2021:05:15-16:14:47]  (Local) -> (LOCAL)[1]KING[ELN]: oe
[2021:05:15-16:14:55]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: DrabSun55 Habla con U
[2021:05:15-16:14:57]  (Local) -> (LOCAL)[1]KING[ELN]: sabe como trabajar aqui?
[2021:05:15-16:14:57]  (Local) -> (LOCAL)[1]ValuableGuestbook80: lo quiero rey todo bn
[2021:05:15-16:15:07]  (Local) -> (LOCAL)[1]KING[ELN]: ale
[2021:05:15-16:15:10]  (Local) -> (LOCAL)[2]Mnrpatecumbias: listo
[2021:05:15-16:15:12]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: qn cae a Bigear
[2021:05:15-16:15:14]  (Local) -> (LOCAL)[2]Mnrpatecumbias: pillamos
[2021:05:15-16:15:16]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: QUIEN ES DJ
[2021:05:15-16:15:16]  (Local) -> (LOCAL)[2]Mnrpatecumbias: no paso nada
[2021:05:15-16:15:20]  (Local) -> (LOCAL)[2]Mnrpatecumbias: o
[2021:05:15-16:15:21]  (Local) -> (LOCAL)[2]Mnrpatecumbias: oe
[2021:05:15-16:15:24]  (Local) -> (LOCAL)[2]Mnrpatecumbias: nada paso aca
[2021:05:15-16:15:29]  (Local) -> (LOCAL)[2]Mnrpatecumbias: ud no me conoce ni nda
[2021:05:15-16:15:31]  (Local) -> (LOCAL)[2]Mnrpatecumbias: yo vere
[2021:05:15-16:15:32]  (Local) -> (LOCAL)[2]DrabSun55: uu
[2021:05:15-16:15:35]  (Global) -> DJLuis|CDG||#1B2ABA������: YO
[2021:05:15-16:15:37]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: que paso BajaPantys420|ELN ya se le acabaron las drogas?
[2021:05:15-16:15:39]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: ME VA HACER LLORAR
[2021:05:15-16:15:43]  (Global) -> DJLuis|CDG||#1B2ABA������: jajjaa
[2021:05:15-16:15:43]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: uy
[2021:05:15-16:15:45]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: JAJAJA
[2021:05:15-16:15:45]  (Global) -> BajaPantys420|ELN: que paso de que
[2021:05:15-16:15:46]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: JAJA
[2021:05:15-16:15:47]  (Global) -> BajaPantys420|ELN: cuales drogas
[2021:05:15-16:15:51]  (Global) -> BajaPantys420|ELN: a llorar a la lloreria
[2021:05:15-16:15:54]  (Global) -> DJLuis|CDG||#1B2ABA������: F  POR TI JAJA
[2021:05:15-16:15:54]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ppapiaado
[2021:05:15-16:15:54]  (Global) -> BajaPantys420|ELN: no sabes ni perder
[2021:05:15-16:15:56]  (Local) -> (LOCAL)[1]DrabSun55: pa un banco
[2021:05:15-16:15:56]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: acepte duelo entonces
[2021:05:15-16:15:58]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: #00F4F5 ͜°ʖ°fuck auc:1
[2021:05:15-16:15:59]  (Global) -> BajaPantys420|ELN: usredes doble escopeta
[2021:05:15-16:16:02]  (Global) -> BajaPantys420|ELN: y no me puden matar
[2021:05:15-16:16:02]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: isj
[2021:05:15-16:16:06]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: EL BAZUKO QUITA VIDA Y CHALECO
[2021:05:15-16:16:07]  (Global) -> BajaPantys420|ELN: y pa rematar lloran
[2021:05:15-16:16:09]  (Local) -> (LOCAL)[2]elpanakris_pai: tombo marika
[2021:05:15-16:16:10]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: le
[2021:05:15-16:16:12]  (Global) -> BajaPantys420|ELN: vip doble escopeta y llorones
[2021:05:15-16:16:12]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: #FFFFFFhok#000000a[6] pero porque hace pvp con mancos?
[2021:05:15-16:16:12]  (Global) -> DJLuis|CDG||#1B2ABA������: PIDAN SUS TEMA
[2021:05:15-16:16:14]  (Global) -> PipiNeitor320: txd
[2021:05:15-16:16:22]  (Local) -> (LOCAL)[2]elpanakris_pai: pique o que
[2021:05:15-16:16:25]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: jjjj
[2021:05:15-16:16:30]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: * me manda duelo *
[2021:05:15-16:16:30]  (Local) -> (LOCAL)[0]DrabSun55: cuanto
[2021:05:15-16:16:31]  (Local) -> (LOCAL)[1]KING[ELN]: q paso ahi?
[2021:05:15-16:16:32]  (Local) -> (LOCAL)[1]IceWipe'ELN: pa donde ibamos
[2021:05:15-16:16:33]  (Global) -> PipiNeitor320: vamos al aero
[2021:05:15-16:16:34]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: #00F4F5 ͜°ʖ°fuck auc:1
[2021:05:15-16:16:37]  (Global) -> BajaPantys420|ELN: a llorar a la lloreria
[2021:05:15-16:16:37]  (Local) -> (LOCAL)[1]JuanJuan'ELN: a matar no?
[2021:05:15-16:16:40]  (Global) -> BajaPantys420|ELN: malo
[2021:05:15-16:16:41]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: Mnrpatecumbias[4] PORQ NOS HACEN REIR CUANDO NOS MATAN
[2021:05:15-16:16:41]  (Local) -> (LOCAL)[1]IceWipe'ELN: ah si
[2021:05:15-16:16:43]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: bno
[2021:05:15-16:16:47]  (Local) -> (LOCAL)[1]IceWipe'ELN: oe
[2021:05:15-16:16:48]  (Local) -> (LOCAL)[1]JuanJuan'ELN: jjjjajajaja
[2021:05:15-16:16:49]  (Local) -> (LOCAL)[2]DrabSun55: cuanto
[2021:05:15-16:16:50]  (Local) -> (LOCAL)[1]JuanJuan'ELN: q
[2021:05:15-16:16:51]  (Local) -> (LOCAL)[1]SANTI|CDG|: sapa hp
[2021:05:15-16:16:55]  (Local) -> (LOCAL)[1]IceWipe'ELN: regaleme billetico
[2021:05:15-16:16:56]  (Local) -> (LOCAL)[1]SANTI|CDG|: perra
[2021:05:15-16:16:56]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: #000000Austin[6]?¿
[2021:05:15-16:16:58]  (Local) -> (LOCAL)[1]AGENTE777: saque 5.000
[2021:05:15-16:17:00]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: retalo
[2021:05:15-16:17:00]  (Local) -> (LOCAL)[1]IceWipe'ELN: ya casi llego al top dinero de f1'
[2021:05:15-16:17:00]  (Local) -> (LOCAL)[1]JuanJuan'ELN: jumm cuanto?
[2021:05:15-16:17:00]  (Local) -> (LOCAL)[1]Naruto|ZETAS: heche pa alla
[2021:05:15-16:17:01]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: QUE HABLAS PARCERO
[2021:05:15-16:17:02]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: a hoka ese
[2021:05:15-16:17:04]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: f10
[2021:05:15-16:17:08]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: DJLuis|CDG| ME HACES LLORAR
[2021:05:15-16:17:09]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: pa ver q es lo q es
[2021:05:15-16:17:13]  (Local) -> (LOCAL)[1]Mnrpatecumbias: el man juega mas que yo
[2021:05:15-16:17:14]  (Local) -> (LOCAL)[1]Mnrpatecumbias: dug
[2021:05:15-16:17:17]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: noo
[2021:05:15-16:17:20]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: yo le gane
[2021:05:15-16:17:23]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: ese man es malo
[2021:05:15-16:17:26]  (Local) -> (LOCAL)[1]Mnrpatecumbias: el mas es el que me entreno XD
[2021:05:15-16:17:27]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: no puede conmigo
[2021:05:15-16:17:31]  (Local) -> (LOCAL)[2]Mnrpatecumbias: con drogas cualquiera,,,
[2021:05:15-16:17:31]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: no papa
[2021:05:15-16:17:36]  (Local) -> (LOCAL)[0]BajaPantys420|ELN: droga tu madre
[2021:05:15-16:17:45]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: que perechita
[2021:05:15-16:17:46]  (Local) -> (LOCAL)[1]DrabSun55: 5000
[2021:05:15-16:17:47]  (Local) -> (LOCAL)[3]IceWipe'ELN: tengo 32 m
[2021:05:15-16:17:48]  (Local) -> (LOCAL)[1]elpanakris_pai: aguanta
[2021:05:15-16:17:48]  (Local) -> (LOCAL)[1]AGENTE777: vamos a estar en peliogro porque y soy detective y los manes mantienen ofendidos conmigo
[2021:05:15-16:17:48]  (Local) -> (LOCAL)[3]JuanJuan'ELN: cuanto?
[2021:05:15-16:17:57]  (Local) -> (LOCAL)[3]IceWipe'ELN: lo que pueda XD
[2021:05:15-16:17:58]  (Global) -> BajaPantys420|ELN: cuando uno esta drogado sale
[2021:05:15-16:17:59]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: de q los nob como yo nos sentimos felices cuando matamos a un pro
[2021:05:15-16:18:00]  (Global) -> BajaPantys420|ELN: maletas
[2021:05:15-16:18:03]  (Global) -> DJLuis|CDG||#1B2ABA������: jajja 
[2021:05:15-16:18:07]  (Global) -> DJLuis|CDG||#1B2ABA������: F POR TI
[2021:05:15-16:18:09]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: yooooo #000000Austin[6]
[2021:05:15-16:18:10]  (Global) -> PipiNeitor320: 1
[2021:05:15-16:18:11]  (Local) -> (LOCAL)[1]elpanakris_pai: 1
[2021:05:15-16:18:12]  (Global) -> PipiNeitor320: 2
[2021:05:15-16:18:14]  (Local) -> (LOCAL)[1]elpanakris_pai: 2
[2021:05:15-16:18:15]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ay
[2021:05:15-16:18:15]  (Global) -> PipiNeitor320: 3
[2021:05:15-16:18:19]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: YO Q
[2021:05:15-16:18:19]  (Local) -> (LOCAL)[1]AGENTE777: pero cuando los capturo me dan buena liga
[2021:05:15-16:18:26]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: yo me siento pro cuando te mato
[2021:05:15-16:18:29]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: #00F4F5 ͜°ʖ°fuck auc:1
[2021:05:15-16:18:32]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: un pobre noob matando al pro #000000Austin[6]
[2021:05:15-16:18:32]  (Local) -> (LOCAL)[0]elpanakris_pai: noo mk me cocho
[2021:05:15-16:18:45]  (Local) -> (LOCAL)[3]POPEYE: holaaa
[2021:05:15-16:18:48]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: IceWipe'ELN[6] Si fuera pro mataria a tussy
[2021:05:15-16:18:50]  (Local) -> (LOCAL)[3]IceWipe'ELN: hola
[2021:05:15-16:18:51]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: #00F4F5 ͜°ʖ°fuck auc:1
[2021:05:15-16:18:55]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: ✘#2E2E2ENão Toma #D8D8D8Banho Chora#FF0000♕ش
[2021:05:15-16:18:56]  (Local) -> (LOCAL)[3]JuanJuan'ELN: yalellego?
[2021:05:15-16:19:00]  (Local) -> (LOCAL)[1]ELBARTO_[CDG]: qiot hpta
[2021:05:15-16:19:01]  (Local) -> (LOCAL)[3]IceWipe'ELN: sisa
[2021:05:15-16:19:03]  (Local) -> (LOCAL)[3]IceWipe'ELN: gracias
[2021:05:15-16:19:03]  (Local) -> (LOCAL)[1]elpanakris_pai: me cocho
[2021:05:15-16:19:05]  (Local) -> (LOCAL)[3]JuanJuan'ELN: r
[2021:05:15-16:19:06]  (Global) -> DJLuis|CDG||#1B2ABA������: epa TEMITA
[2021:05:15-16:19:06]  (Team - Criminals) -> (TEAM)Mnrpatecumbias: ay
[2021:05:15-16:19:08]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ay
[2021:05:15-16:19:08]  (Local) -> (LOCAL)[2]AGENTE777: compre en pistolas el taser
[2021:05:15-16:19:09]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: #00F4F5 ͜°ʖ°cry?
[2021:05:15-16:19:10]  (Global) -> PipiNeitor320: jajaja
[2021:05:15-16:19:11]  (Local) -> (LOCAL)[3]JuanJuan'ELN: kio
[2021:05:15-16:19:12]  (Global) -> PipiNeitor320: ra?
[2021:05:15-16:19:14]  (Local) -> (LOCAL)[2]DrabSun55: euque compro
[2021:05:15-16:19:14]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: run
[2021:05:15-16:19:15]  (Local) -> (LOCAL)[2]AGENTE777: vale 4.200
[2021:05:15-16:19:16]  (Team - Criminals) -> (TEAM)BajaPantys420|ELN: no papi yo pense que eras bueno
[2021:05:15-16:19:16]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: pero como el nuca esta solo ;)
[2021:05:15-16:19:18]  (Local) -> (LOCAL)[3]JuanJuan'ELN: q
[2021:05:15-16:19:19]  (Team - Criminals) -> (TEAM)BajaPantys420|ELN: zzzzzzzz
[2021:05:15-16:19:20]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: por eso
[2021:05:15-16:19:26]  (Local) -> (LOCAL)[3]JuanJuan'ELN: a
[2021:05:15-16:19:26]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: soy ZzzzZz
[2021:05:15-16:19:27]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: es malito y humillativo
[2021:05:15-16:19:30]  (Local) -> (LOCAL)[3]IceWipe'ELN: 100 cada uno?
[2021:05:15-16:19:32]  (Local) -> (LOCAL)[3]JuanJuan'ELN: no se digale a el
[2021:05:15-16:19:32]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: como la ves #000000Austin[6]
[2021:05:15-16:19:33]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: Mnrpatecumbias[6] BajaPantys420|ELN[6] Es Pro pilas
[2021:05:15-16:19:40]  (Local) -> (LOCAL)[3]IceWipe'ELN: 100k entre abmos
[2021:05:15-16:19:42]  (Global) -> BajaPantys420|ELN: a llorar a la lloreria
[2021:05:15-16:19:46]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: es malito y humillativo #FFFFFFhok#000000a[6] lo dejo 3-0
[2021:05:15-16:19:48]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ¿?
[2021:05:15-16:19:50]  (Local) -> (LOCAL)[3]IceWipe'ELN: jumm
[2021:05:15-16:19:50]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: como vamos
[2021:05:15-16:19:51]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: #FFFFFFhok#000000a[6] imaginate BajaPantys420|ELN[6] Con vip
[2021:05:15-16:19:51]  (Local) -> (LOCAL)[3]IceWipe'ELN: dele
[2021:05:15-16:19:55]  (Global) -> SANTI|CDG|: DJLuis|CDG| COLOQUE ZIPLOC PIRLO
[2021:05:15-16:19:57]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: r pro
[2021:05:15-16:19:57]  (Local) -> (LOCAL)[1]KING[ELN]: todo bien
[2021:05:15-16:20:00]  (Global) -> BajaPantys420|ELN: a llorar a la lloreria
[2021:05:15-16:20:01]  (Local) -> (LOCAL)[1]KING[ELN]: y ud?
[2021:05:15-16:20:03]  (Global) -> BajaPantys420|ELN: disq dorgas yo
[2021:05:15-16:20:03]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: BajaPantys420|ELN[6] entonces acepte duelo
[2021:05:15-16:20:03]  (Global) -> DJLuis|CDG||#1B2ABA������: bueno
[2021:05:15-16:20:04]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: Nb
[2021:05:15-16:20:04]  (Local) -> (LOCAL)[1]IceWipe'ELN: discord amor
[2021:05:15-16:20:05]  (Global) -> PipiNeitor320: esta tuneada?
[2021:05:15-16:20:06]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: bien p
[2021:05:15-16:20:06]  (Local) -> (LOCAL)[1]elpanakris_pai: jajaj
[2021:05:15-16:20:07]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: pa
[2021:05:15-16:20:08]  (Global) -> PipiNeitor320: la suya
[2021:05:15-16:20:08]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: Bv
[2021:05:15-16:20:08]  (Local) -> (LOCAL)[1]elpanakris_pai: no
[2021:05:15-16:20:09]  (Local) -> (LOCAL)[2]DrabSun55: vamos asacar mas compre una pistola
[2021:05:15-16:20:12]  (Global) -> PipiNeitor320: jajajaja
[2021:05:15-16:20:13]  (Global) -> ELBARTO_[CDG]|#1B2ABA������: DJLuis|CDG| pon guataba
[2021:05:15-16:20:13]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: solo q esas fuck de uzi hacen mas daño q las dobles
[2021:05:15-16:20:17]  (Global) -> PipiNeitor320: cuanto
[2021:05:15-16:20:19]  (Local) -> (LOCAL)[2]AGENTE777: entras a pistolas y compras el taser se llama
[2021:05:15-16:20:20]  (Local) -> (LOCAL)[1]JuanJuan'ELN: me quitaron los audifonos
[2021:05:15-16:20:21]  (Global) -> PipiNeitor320: le costo
[2021:05:15-16:20:22]  (Local) -> (LOCAL)[1]elpanakris_pai: pruebela
[2021:05:15-16:20:25]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: Mnrpatecumbias[6] Se Aprovecha de mi
[2021:05:15-16:20:27]  (Global) -> ELBARTO_[CDG]|#1B2ABA������: DJLuis|CDG| pon guataba
[2021:05:15-16:20:27]  (Local) -> (LOCAL)[2]AGENTE777: ya se los transfiero espere
[2021:05:15-16:20:27]  (Local) -> (LOCAL)[1]JuanJuan'ELN: :(((((((((((((((((
[2021:05:15-16:20:39]  (Local) -> (LOCAL)[1]IceWipe'ELN: aa
[2021:05:15-16:20:40]  (Local) -> (LOCAL)[1]JuanJuan'ELN: vamos por el carro
[2021:05:15-16:20:43]  (Local) -> (LOCAL)[1]IceWipe'ELN: sisa
[2021:05:15-16:20:45]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: eso va
[2021:05:15-16:20:46]  (Global) -> DJLuis|CDG||#1B2ABA������: voy deja se acabe este tema xd
[2021:05:15-16:20:47]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: #00F4F5 ͜°ʖ°cry?
[2021:05:15-16:20:47]  (Local) -> (LOCAL)[1]JuanJuan'ELN: que me quede seco
[2021:05:15-16:20:48]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: Mnrpatecumbias[6] Igualñ al baja
[2021:05:15-16:20:51]  (Local) -> (LOCAL)[1]elpanakris_pai: jaja si esta tuneada
[2021:05:15-16:20:52]  (Global) -> PipiNeitor320: esta mela
[2021:05:15-16:20:55]  (Global) -> PipiNeitor320: sisas
[2021:05:15-16:20:59]  (Local) -> (LOCAL)[1]elpanakris_pai: por eso le gane
[2021:05:15-16:21:02]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: solo dobles
[2021:05:15-16:21:04]  (Global) -> PipiNeitor320: jajaja
[2021:05:15-16:21:15]  (Global) -> SANTI|CDG|: DJLuis|CDG| COLOQUE ZIPLOC PIRLO
[2021:05:15-16:21:20]  (Local) -> (LOCAL)[1]elpanakris_pai: oe
[2021:05:15-16:21:21]  (Local) -> (LOCAL)[2]AGENTE777: vamos
[2021:05:15-16:21:22]  (Team - Criminals) -> (TEAM)Mnrpatecumbias: ta
[2021:05:15-16:21:23]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ay
[2021:05:15-16:21:27]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: el malito es uno <3
[2021:05:15-16:21:28]  (Global) -> PipiNeitor320: voy a comprar una skin
[2021:05:15-16:21:30]  (Local) -> (LOCAL)[1]elpanakris_pai: usted eschucha la musica?
[2021:05:15-16:21:31]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: jaja y se cura la descarada
[2021:05:15-16:21:31]  (Global) -> PipiNeitor320: jajaj
[2021:05:15-16:21:32]  (Global) -> ELBARTO_[CDG]|#1B2ABA������: comprela
[2021:05:15-16:21:34]  (Global) -> #7F7F7F|ADM|#FFFF00SejimO[CDG]|#1B2ABA������: Cuentale que te traigo loca
[2021:05:15-16:21:37]  (Global) -> PipiNeitor320: sisa
[2021:05:15-16:21:38]  (Global) -> #7F7F7F|ADM|#FFFF00SejimO[CDG]|#1B2ABA������: Cuentale que tu me quieres ver
[2021:05:15-16:21:38]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: pruebas?
[2021:05:15-16:21:41]  (Global) -> PipiNeitor320: es de la radio
[2021:05:15-16:21:43]  (Local) -> (LOCAL)[1]elpanakris_pai: la de diomedes?
[2021:05:15-16:21:46]  (Global) -> #EB4E89hoka|#EB4E89ㅇㅅㅇ: ?
[2021:05:15-16:21:46]  (Global) -> PipiNeitor320: sisa
[2021:05:15-16:21:47]  (Global) -> BajaPantys420|ELN: empatado
[2021:05:15-16:21:48]  (Global) -> BajaPantys420|ELN: otro
[2021:05:15-16:21:49]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: DJLuis|CDG| Me haces llorar con es music
[2021:05:15-16:21:50]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: parcero nada
[2021:05:15-16:21:51]  (Global) -> BajaPantys420|ELN: que
[2021:05:15-16:21:51]  (Local) -> (LOCAL)[1]elpanakris_pai: no es de yutu
[2021:05:15-16:21:54]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: lo deje 2-0
[2021:05:15-16:21:54]  (Global) -> Johndaddy: sapo hpta
[2021:05:15-16:21:57]  (Global) -> PipiNeitor320: no
[2021:05:15-16:21:57]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: lo deje 2-1*
[2021:05:15-16:22:00]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: silencio
[2021:05:15-16:22:04]  (Global) -> PipiNeitor320: no se como ponerla
[2021:05:15-16:22:04]  (Global) -> BajaPantys420|ELN: empatadosw
[2021:05:15-16:22:05]  (Local) -> (LOCAL)[2]IceWipe'ELN: ajjajajaa
[2021:05:15-16:22:07]  (Global) -> ELBARTO_[CDG]|#1B2ABA������: #000000Austin[6] no la escuche prro
[2021:05:15-16:22:08]  (Global) -> PipiNeitor320: :(
[2021:05:15-16:22:10]  (Local) -> (LOCAL)[2]IceWipe'ELN: pal fri fire
[2021:05:15-16:22:11]  (Local) -> (LOCAL)[1]elpanakris_pai: agale yo lo acompaño a comprar la skin
[2021:05:15-16:22:14]  (Global) -> Johndaddy: wrawasssssssss
[2021:05:15-16:22:15]  (Local) -> (LOCAL)[1]AGENTE777: ud ahora me eseña a poner musica
[2021:05:15-16:22:16]  (Global) -> PipiNeitor320: ale
[2021:05:15-16:22:17]  (Global) -> BajaPantys420|ELN: a llorar a la lloreria
[2021:05:15-16:22:20]  (Local) -> (LOCAL)[0]elpanakris_pai: en le celular le sale yutu
[2021:05:15-16:22:24]  (Global) -> BajaPantys420|ELN: disq drogas yo
[2021:05:15-16:22:26]  (Global) -> BajaPantys420|ELN: zzz
[2021:05:15-16:22:35]  (Global) -> BajaPantys420|ELN: con dobles vip y todo
[2021:05:15-16:22:39]  (Global) -> BajaPantys420|ELN: y aun asi les gano
[2021:05:15-16:22:39]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: AJAJ
[2021:05:15-16:22:39]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ay marica
[2021:05:15-16:22:42]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: se cambio sola
[2021:05:15-16:22:43]  (Global) -> BajaPantys420|ELN: o quedo empatado
[2021:05:15-16:22:44]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: me tencione
[2021:05:15-16:22:51]  (Global) -> BajaPantys420|ELN: zzz
[2021:05:15-16:22:51]  (Local) -> (LOCAL)[2]AGENTE777: maneje
[2021:05:15-16:22:51]  (Global) -> Johndaddy: hola
[2021:05:15-16:22:58]  (Local) -> (LOCAL)[1]Jazzy: Hola
[2021:05:15-16:22:58]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: corre
[2021:05:15-16:23:01]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: corrre
[2021:05:15-16:23:02]  (Local) -> (LOCAL)[3]KING[ELN]: no
[2021:05:15-16:23:02]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: ht
[2021:05:15-16:23:08]  (Global) -> Johndaddy: soy nuevo por aca
[2021:05:15-16:23:10]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: ay
[2021:05:15-16:23:10]  (Local) -> (LOCAL)[3]KING[ELN]: noo
[2021:05:15-16:23:12]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: EHH
[2021:05:15-16:23:17]  (Global) -> Austin|#EB4E89ㅇㅅㅇ: PATO NO TE CURES
[2021:05:15-16:23:21]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: casi me pillan
[2021:05:15-16:23:22]  (Global) -> Johndaddy: sabes mucho de por aca?
[2021:05:15-16:23:24]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: ehh
[2021:05:15-16:23:35]  (Global) -> PipiNeitor320: c bugeo
[2021:05:15-16:23:39]  (Global) -> PipiNeitor320: esa mrd
[2021:05:15-16:23:40]  (Local) -> (LOCAL)[2]elpanakris_pai: se bugeo esta monda
[2021:05:15-16:23:41]  (Global) -> PipiNeitor320: JAJAJAJJAJA
[2021:05:15-16:23:42]  (Local) -> (LOCAL)[1]Jazzy: Soy medio nuevo tambien, pero pues se lo basico
[2021:05:15-16:23:42]  (Local) -> (LOCAL)[2]elpanakris_pai: ashh
