This file was generated by Console at 2021:06:14-00:00:02



[2021:06:14-00:00:02]  (Global) -> cacharrito.HP: PANTHER963(Z)
[2021:06:14-05:24:14]  (Local) -> (LOCAL)[6]FlorezBot: HABLAME[2]
[2021:06:14-05:24:15]  (Local) -> (LOCAL)[8]#7F7F7F|LG|#FF0000tussy'2cb: q
[2021:06:14-05:24:18]  (Global) -> ghostemane!______CDG: VENDO ELEGY
[2021:06:14-05:24:20]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: ajajja tiene a ese man mamando
[2021:06:14-05:24:20]  (Local) -> (LOCAL)[5]BazucoPai!2cb: man tan bobo
[2021:06:14-05:24:25]  (Global) -> Flaco|#9E016Cà¶ž: Vendo elegy, Infernus, SandKing, NRG 500, Phoenix y Bullet
[2021:06:14-05:24:26]  (Local) -> (LOCAL)[3]CristianCDM: Era al man del carro xd jajajajaa
[2021:06:14-05:24:35]  (Global) -> Radial|#9800D1GDT!: tartatonto
[2021:06:14-05:24:35]  (Global) -> DemoliZM(CAPU): oe
[2021:06:14-05:24:38]  (Local) -> (LOCAL)[2]HABLAME: XD
[2021:06:14-05:24:39]  (Local) -> (LOCAL)[2]Flako...: soy famoso pa
[2021:06:14-05:24:39]  (Local) -> (LOCAL)[1]Randall...!: q
[2021:06:14-05:24:40]  (Global) -> FlorezBot|#9D12D1í ½í¸ˆ: #00ff00 VENDO MESA (RARE)
[2021:06:14-05:24:46]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000tussy'2cb: g
[2021:06:14-05:24:47]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000tussy'2cb: gggggggggggg
[2021:06:14-05:24:48]  (Local) -> (LOCAL)[4]fazza'2cb: OK
[2021:06:14-05:24:49]  (Global) -> #9E016CTartaru$ZcB|#9E016Cà¶ž: adm
[2021:06:14-05:24:49]  (Global) -> JotaMario: oe neas 
[2021:06:14-05:24:51]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: #00ff00 VENDO HUSTLER RARE HALLOWEEN YA
[2021:06:14-05:24:54]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000tussy'2cb: jkgmkf
[2021:06:14-05:24:56]  (Global) -> araganTOP1PLAYERMTA2cb|#9E016Cà¶ž: chistonto
[2021:06:14-05:24:58]  (Global) -> JotaMario: no me cargan las texturas 
[2021:06:14-05:24:58]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: #00ff00 VENDO HUSTLER RARE HALLOWEEN YA BARATO
[2021:06:14-05:24:59]  (Global) -> DemoliZM(CAPU): me lleva a una terminal de ca,iones
[2021:06:14-05:24:59]  (Local) -> (LOCAL)[1]Buitrago[CDG]: uff nea
[2021:06:14-05:25:00]  (Global) -> #9E016CTartaru$ZcB|#9E016Cà¶ž: CrudoMeansRaw CuriosoGaming|CAPU[1]
[2021:06:14-05:25:00]  (Global) -> JotaMario: ayuda
[2021:06:14-05:25:01]  ([Msg] de DONDARKAR[DARK] para FlorezBot: cuanto lo vende? vendi el mio) -> nil
[2021:06:14-05:25:04]  (Global) -> Flaco|#9E016Cà¶ž: FlorezBot
[2021:06:14-05:25:06]  (Local) -> (LOCAL)[5]HABLAME: AÃ‘AÃ‘AY
[2021:06:14-05:25:07]  (Global) -> Carrancho|2cb|: cuanto bazuco?
[2021:06:14-05:25:09]  (Global) -> #CBFF00Skip~#~|*||#CBFF00âœ˜ : #00FF00VENDO ZORRA O CAMBIO
[2021:06:14-05:25:09]  (Global) -> Stitches!~>||(CDG)|||#9D12D1í ½í¸ˆ: #33ff66BazucoPai!2cb[2] ACOMO?
[2021:06:14-05:25:11]  (Local) -> (LOCAL)[3]Buitrago[CDG]: severo tiestaso asjjsa
[2021:06:14-05:25:15]  (Local) -> (LOCAL)[3]JairSad[CDG]: uff buen dia
[2021:06:14-05:25:17]  (Global) -> kazuzu: CAMPO[MP] AMI MI SALUDO
[2021:06:14-05:25:18]  (Local) -> (LOCAL)[5]Flako...: pana
[2021:06:14-05:25:19]  (Local) -> (LOCAL)[7]HABLAME: XD
[2021:06:14-05:25:22]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: Stitches!~>||(CDG)|| 19 PALOS
[2021:06:14-05:25:25]  (Local) -> (LOCAL)[5]CristianCDM: No me va a poner mi tema?
[2021:06:14-05:25:26]  (Global) -> ARETE: DJ PONGA EXPLICITO
[2021:06:14-05:25:29]  (Global) -> Flaco|#9E016Cà¶ž: Vendo elegy, Infernus, SandKing, NRG 500, Phoenix y Bullet
[2021:06:14-05:25:35]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00CAMPO: cual es?
[2021:06:14-05:25:35]  (Local) -> (LOCAL)[5]Losfer: socio como
[2021:06:14-05:25:38]  (Global) -> RicardoPajass22: ES SUYA
[2021:06:14-05:25:39]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: mente mamerta
[2021:06:14-05:25:39]  (Local) -> (LOCAL)[9]Losfer: le cambio el color
[2021:06:14-05:25:41]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: Hola
[2021:06:14-05:25:47]  (Local) -> (LOCAL)[7]CristianCDM: TINTA DE KENWANN
[2021:06:14-05:25:48]  (Local) -> (LOCAL)[6]Oreo|PlayBoy: XD
[2021:06:14-05:25:48]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:25:50]  (Local) -> (LOCAL)[7]Losfer: no es de mi amigo
[2021:06:14-05:25:50]  (Local) -> (LOCAL)[1]Buitrago[CDG]: MANTENGO ENE L PISO
[2021:06:14-05:25:50]  (Global) -> RicardoPajass22: NO NADA 
[2021:06:14-05:25:51]  (Local) -> (LOCAL)[1]Buitrago[CDG]: jsajsaja
[2021:06:14-05:25:53]  (Local) -> (LOCAL)[7]fazza'2cb: uwu
[2021:06:14-05:25:53]  (Local) -> (LOCAL)[7]Flako...: ponme la morena de rayo y toby.
[2021:06:14-05:25:57]  (Local) -> (LOCAL)[5]Flako...: porfa pa
[2021:06:14-05:26:01]  (Team - Services) -> (TEAM)Losfer: la nrg si es mia
[2021:06:14-05:26:02]  (Local) -> (LOCAL)[2]HABLAME: OLA
[2021:06:14-05:26:07]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: ahg Ã±ero es que yo tengo un negocio bueno
[2021:06:14-05:26:08]  (Local) -> (LOCAL)[1]JairSad[CDG]: XD
[2021:06:14-05:26:10]  (Team - Services) -> (TEAM)Flako...:  
[2021:06:14-05:26:11]  (Local) -> (LOCAL)[1]Buitrago[CDG]: re care lokp
[2021:06:14-05:26:13]  (Local) -> (LOCAL)[3]HABLAME: HYYY
[2021:06:14-05:26:14]  (Local) -> (LOCAL)[1]Radial: cual nea
[2021:06:14-05:26:14]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: de mas omenos 25 rares
[2021:06:14-05:26:16]  (Local) -> (LOCAL)[3]Randall...!: ash
[2021:06:14-05:26:16]  (Local) -> (LOCAL)[0]JotaMario: uuuu
[2021:06:14-05:26:16]  (Local) -> (LOCAL)[3]HABLAME: F
[2021:06:14-05:26:18]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:26:18]  (Local) -> (LOCAL)[1]Radial: XD
[2021:06:14-05:26:20]  (Local) -> (LOCAL)[1]Radial: como
[2021:06:14-05:26:20]  (Local) -> (LOCAL)[3]Randall...!: ash
[2021:06:14-05:26:20]  (Local) -> (LOCAL)[3]HABLAME: R
[2021:06:14-05:26:22]  (Local) -> (LOCAL)[7]#7F7F7F|DJ|#FF5C00CAMPO: repiteme el tema
[2021:06:14-05:26:23]  (Global) -> Flaco|#9E016Cà¶ž: Vendo elegy, Infernus, SandKing, NRG 500, Phoenix y Bullet
[2021:06:14-05:26:24]  (Local) -> (LOCAL)[3]HABLAME: XD
[2021:06:14-05:26:26]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: es de un amigo
[2021:06:14-05:26:26]  (Local) -> (LOCAL)[3]Randall...!: ashhhhhh
[2021:06:14-05:26:26]  (Local) -> (LOCAL)[7]#7F7F7F|DJ|#FF5C00CAMPO: cristian
[2021:06:14-05:26:27]  (Local) -> (LOCAL)[3]HABLAME: ACA TE ESPERO
[2021:06:14-05:26:28]  (Local) -> (LOCAL)[1]fazza'2cb: XD
[2021:06:14-05:26:31]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:26:32]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: que se retira tambien
[2021:06:14-05:26:35]  (Local) -> (LOCAL)[6]CristianCDM: Tinta kenwann
[2021:06:14-05:26:40]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: pero la plata me llega el 29 xd
[2021:06:14-05:26:41]  (Local) -> (LOCAL)[1]Radial: qn
[2021:06:14-05:26:54]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: parce ojo nos matan
[2021:06:14-05:26:55]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: me dejo todo es en 50 k
[2021:06:14-05:26:56]  (Local) -> (LOCAL)[3]fazza'2cb: cule camion alto
[2021:06:14-05:26:57]  (Local) -> (LOCAL)[1]Radial: qn se va
[2021:06:14-05:26:58]  (Team - Criminals) -> (TEAM)cabraloca: /bandido
[2021:06:14-05:26:58]  (Local) -> (LOCAL)[3]fazza'2cb: :vvvvv
[2021:06:14-05:26:58]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:26:59]  (Local) -> (LOCAL)[2]MenteMaestra: llevo mp
[2021:06:14-05:27:00]  (Global) -> ArquezCriss(zetas): FLACO A CUANTO EL FENIX?
[2021:06:14-05:27:04]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: a verdad
[2021:06:14-05:27:07]  (Global) -> Flaco|#9E016Cà¶ž: Fenix?
[2021:06:14-05:27:08]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: buitrago
[2021:06:14-05:27:10]  (Local) -> (LOCAL)[4]Oreo|PlayBoy: yo tambien
[2021:06:14-05:27:12]  (Global) -> ArquezCriss(zetas): si
[2021:06:14-05:27:14]  (Local) -> (LOCAL)[1]Radial: el que era z
[2021:06:14-05:27:15]  (Global) -> Flaco|#9E016Cà¶ž: Vendo elegy, Infernus, SandKing, NRG 500, Phoenix y Bullet
[2021:06:14-05:27:17]  (Local) -> (LOCAL)[1]Radial: o cual
[2021:06:14-05:27:18]  (Local) -> (LOCAL)[6]Losfer: eeee que pasa con la motoo
[2021:06:14-05:27:19]  (Global) -> ArquezCriss(zetas): PHOENIS
[2021:06:14-05:27:22]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: ah noc
[2021:06:14-05:27:22]  (Global) -> Flaco|#9E016Cà¶ž: 9
[2021:06:14-05:27:23]  (Global) -> DONDARKAR[DARK]: jajaja
[2021:06:14-05:27:24]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: jsjsjs
[2021:06:14-05:27:24]  (Team - Services) -> (TEAM)Losfer: wa
[2021:06:14-05:27:24]  (Global) -> Flaco|#9E016Cà¶ž: Vale 11
[2021:06:14-05:27:28]  (Global) -> Jhon|LMB|: Cuanto la sandking?
[2021:06:14-05:27:34]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: el esta en mi gang xd
[2021:06:14-05:27:35]  (Global) -> fazza'2cb|#9E016Cà¶ž: Skip~#~#00FF00|*|[4]
[2021:06:14-05:27:37]  (Local) -> (LOCAL)[1]BazucoPai!2cb: XDE
[2021:06:14-05:27:37]  (Global) -> Flaco|#9E016Cà¶ž: Jhon|LMB|[1] 3 esta full
[2021:06:14-05:27:41]  (Global) -> #CBFF00Skip~#~|*||#CBFF00âœ˜ : fazza'2cb[6]
[2021:06:14-05:27:43]  (Global) -> #CBFF00Skip~#~|*||#CBFF00âœ˜ : q
[2021:06:14-05:27:43]  (Global) -> ARETE: COMPRO SUPER GT
[2021:06:14-05:27:47]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:27:52]  (Global) -> fazza'2cb|#9E016Cà¶ž: +
[2021:06:14-05:27:58]  (Global) -> fazza'2cb|#9E016Cà¶ž: Skip~#~#00FF00|*|[4]
[2021:06:14-05:27:59]  (Global) -> Radial|#9800D1GDT!: puta zona
[2021:06:14-05:28:01]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: ojo con la zona
[2021:06:14-05:28:02]  (Global) -> hernacio[LMB]: jhon yo te la vendp en 2 .8
[2021:06:14-05:28:04]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: xd
[2021:06:14-05:28:12]  ([Msg] de Skip~#~#00FF00|*| para fazza'2cb: q) -> nil
[2021:06:14-05:28:13]  (Global) -> Jhon|LMB|: moral 
[2021:06:14-05:28:14]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: vea el que me compre
[2021:06:14-05:28:16]  (Local) -> (LOCAL)[5]Oreo|PlayBoy: parce
[2021:06:14-05:28:18]  (Local) -> (LOCAL)[6]Oreo|PlayBoy: vamos al banco
[2021:06:14-05:28:24]  (Global) -> Ill-fatedIcecream89: TETAS Y CUCAS
[2021:06:14-05:28:26]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: q tengo 8 palos encima
[2021:06:14-05:28:28]  (Global) -> #9E016CTartaru$ZcB|#9E016Cà¶ž: por marica
[2021:06:14-05:28:29]  (Global) -> Flaco|#9E016Cà¶ž: Vendo elegy, Infernus, SandKing, NRG 500, Phoenix y Bullet
[2021:06:14-05:28:30]  (Local) -> (LOCAL)[4]BazucoPai!2cb: ehhh 3vs|1
[2021:06:14-05:28:32]  (Global) -> MenteMaestra|#9800D1GDT!: que
[2021:06:14-05:28:34]  (Local) -> (LOCAL)[4]BazucoPai!2cb: casi q no
[2021:06:14-05:28:36]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:28:40]  (Local) -> (LOCAL)[6]Losfer: ta mela la moto
[2021:06:14-05:28:40]  (Local) -> (LOCAL)[2]MenteMaestra: pq no me deja salir
[2021:06:14-05:28:47]  (Team - Unemployed) -> (TEAM)cabraloca: /kill
[2021:06:14-05:28:48]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: XDDDDDDDDDD
[2021:06:14-05:28:54]  (Local) -> (LOCAL)[6]Oreo|PlayBoy: parce
[2021:06:14-05:28:56]  (Global) -> fazza'2cb|#9E016Cà¶ž: Skip~#~#00FF00|*|[4] si quieres? XD
[2021:06:14-05:28:59]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: ud buguio eso
[2021:06:14-05:29:03]  (Global) -> Benito'AUC: El tema es yonugami 
[2021:06:14-05:29:04]  (Global) -> MenteMaestra|#9800D1GDT!: xdd
[2021:06:14-05:29:14]  (Global) -> ghostemane!______CDG: VENDO NRG 500, HONTRINGRACER 1, ELEGY. PCJ 600, BF 400. CABBIE, BASHEE
[2021:06:14-05:29:15]  (Local) -> (LOCAL)[1]fazza'2cb: q aces
[2021:06:14-05:29:21]  (Team - Unemployed) -> (TEAM)Flako...:  
[2021:06:14-05:29:22]  (Local) -> (LOCAL)[1]MenteMaestra: nose manejar
[2021:06:14-05:29:26]  (Local) -> (LOCAL)[2]HABLAME: NO PASO NADA
[2021:06:14-05:29:27]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: jjajsajd hp
[2021:06:14-05:29:28]  (Global) -> #CBFF00Skip~#~|*||#CBFF00âœ˜ : pa muy poco
[2021:06:14-05:29:33]  (Global) -> DONDARKAR[DARK]: #00FF00 VENDO: HR1 Y SULTAN TIREN SMS A PRECIOS NEGOCIABLES
[2021:06:14-05:29:34]  (Global) -> fazza'2cb|#9E016Cà¶ž: aaaaaaaaaaaaaaaaaa
[2021:06:14-05:29:47]  (Local) -> (LOCAL)[1]Oreo|PlayBoy: esperem
[2021:06:14-05:29:48]  (Global) -> #CBFF00Skip~#~|*||#CBFF00âœ˜ : minimo 75m
[2021:06:14-05:29:49]  (Local) -> (LOCAL)[1]fazza'2cb: tussy ud daria un hot2 y un kart por una zorra?
[2021:06:14-05:29:54]  (Global) -> fazza'2cb|#9E016Cà¶ž: q
[2021:06:14-05:29:54]  (Local) -> (LOCAL)[1]Radial: si yo fuera ladron
[2021:06:14-05:29:55]  (Global) -> fazza'2cb|#9E016Cà¶ž: bno
[2021:06:14-05:29:56]  (Global) -> Radial|#9800D1GDT!: si yo fuera ladron
[2021:06:14-05:29:58]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: #00ff00 VENDO HUSTLER RARE HALLOWEEN YA BARATO
[2021:06:14-05:30:11]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: no se
[2021:06:14-05:30:11]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: te robaria ese culo bb
[2021:06:14-05:30:13]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: yo no tengo hot2
[2021:06:14-05:30:17]  (Local) -> (LOCAL)[2]Benito'AUC: ola
[2021:06:14-05:30:18]  (Local) -> (LOCAL)[6]Flaco: FlorezBot
[2021:06:14-05:30:20]  (Local) -> (LOCAL)[1]Radial: xddd
[2021:06:14-05:30:21]  (Local) -> (LOCAL)[5]FlorezBot: EO
[2021:06:14-05:30:21]  (Local) -> (LOCAL)[5]Oreo|PlayBoy: debloq
[2021:06:14-05:30:22]  (Global) -> Carrancho|2cb|: me robaria tus besos
[2021:06:14-05:30:23]  (Local) -> (LOCAL)[5]Flaco: Tiene el hr2?
[2021:06:14-05:30:24]  (Local) -> (LOCAL)[1]fazza'2cb: yo solo uso el hot 3
[2021:06:14-05:30:26]  (Local) -> (LOCAL)[1]Crepyyuya: hola
[2021:06:14-05:30:26]  (Local) -> (LOCAL)[1]fazza'2cb: xd
[2021:06:14-05:30:27]  (Local) -> (LOCAL)[5]FlorezBot: NO :(
[2021:06:14-05:30:29]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: y pq el 2 no
[2021:06:14-05:30:30]  (Local) -> (LOCAL)[5]Oreo|PlayBoy: debloqueelo
[2021:06:14-05:30:33]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: le compro su cuenta xd
[2021:06:14-05:30:36]  (Local) -> (LOCAL)[1]fazza'2cb: no me gusta Ã±ero
[2021:06:14-05:30:37]  (Local) -> (LOCAL)[5]Oreo|PlayBoy: debloqueelo
[2021:06:14-05:30:37]  (Local) -> (LOCAL)[6]Flaco: dejelo
[2021:06:14-05:30:40]  (Local) -> (LOCAL)[1]fazza'2cb: el 3 es el mejor hot
[2021:06:14-05:30:40]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: entonces sisa deuna
[2021:06:14-05:30:41]  (Local) -> (LOCAL)[1]Benito'AUC: todo bien?
[2021:06:14-05:30:42]  (Local) -> (LOCAL)[1]fazza'2cb: pa mi ps
[2021:06:14-05:30:42]  (Local) -> (LOCAL)[7]Flaco: ArielPnot'2cb
[2021:06:14-05:30:43]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: y
[2021:06:14-05:30:43]  (Local) -> (LOCAL)[4]Oreo|PlayBoy: xdddddddddddddddddddddddddd
[2021:06:14-05:30:44]  (Global) -> ghostemane!______CDG: bazuco precio
[2021:06:14-05:30:46]  (Local) -> (LOCAL)[1]Radial: jummmmmmmm
[2021:06:14-05:30:47]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF0000tussy'2cb: 10 lukitas al neki bre
[2021:06:14-05:30:48]  (Local) -> (LOCAL)[2]Crepyyuya: todo bien panita
[2021:06:14-05:30:52]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: ghostemane!______CDG[MP] 19 palos
[2021:06:14-05:30:52]  (Local) -> (LOCAL)[2]Oreo|PlayBoy: KIETO HIJUEPUTA
[2021:06:14-05:30:52]  (Local) -> (LOCAL)[1]fazza'2cb: uy q visaje
[2021:06:14-05:30:54]  (Local) -> (LOCAL)[1]fazza'2cb: XD
[2021:06:14-05:30:55]  (Local) -> (LOCAL)[1]Radial: ok
[2021:06:14-05:30:58]  (Global) -> MenteMaestra|#9800D1GDT!: nuevito de mierda
[2021:06:14-05:30:59]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: cuanto
[2021:06:14-05:31:00]  (Local) -> (LOCAL)[1]Radial: deme ...
[2021:06:14-05:31:02]  (Global) -> fazza'2cb|#9E016Cà¶ž: Skip~#~#00FF00|*|[5] le doy un kart y un hot2
[2021:06:14-05:31:02]  (Local) -> (LOCAL)[7]Flaco: a
[2021:06:14-05:31:03]  (Local) -> (LOCAL)[1]Radial: pere pienso
[2021:06:14-05:31:05]  (Local) -> (LOCAL)[6]FlorezBot: XCD
[2021:06:14-05:31:07]  (Local) -> (LOCAL)[6]FlorezBot: XD
[2021:06:14-05:31:08]  (Local) -> (LOCAL)[6]Flaco: ArielPnot'2cb
[2021:06:14-05:31:09]  (Local) -> (LOCAL)[1]Radial: primero le voy a mostar todo
[2021:06:14-05:31:09]  (Local) -> (LOCAL)[6]Flaco: Soy Z
[2021:06:14-05:31:11]  (Global) -> Yavix|LMB|: gran cv
[2021:06:14-05:31:13]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF0000tussy'2cb: G
[2021:06:14-05:31:17]  (Local) -> (LOCAL)[3]Flaco: es que queiria decirte algo
[2021:06:14-05:31:18]  (Local) -> (LOCAL)[1]HABLAME: TE AMO
[2021:06:14-05:31:20]  (Local) -> (LOCAL)[3]Flaco: Vendes hr2?
[2021:06:14-05:31:23]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: es que me sive por el log
[2021:06:14-05:31:25]  (Local) -> (LOCAL)[2]Flaco: ey soy Z
[2021:06:14-05:31:26]  (Global) -> ARETE: COMPRO SUPER GT
[2021:06:14-05:31:26]  (Local) -> (LOCAL)[2]Flaco: mk
[2021:06:14-05:31:28]  (Local) -> (LOCAL)[1]ghostemane!______CDG: noo
[2021:06:14-05:31:29]  (Local) -> (LOCAL)[1]Radial: como asi
[2021:06:14-05:31:30]  (Local) -> (LOCAL)[1]ghostemane!______CDG: quitese
[2021:06:14-05:31:32]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: ya lo tengo muy sapiado
[2021:06:14-05:31:34]  (Local) -> (LOCAL)[1]ghostemane!______CDG: estoy grabando
[2021:06:14-05:31:35]  (Local) -> (LOCAL)[1]Radial: XD
[2021:06:14-05:31:37]  (Local) -> (LOCAL)[3]Flaco: a se hizo matar
[2021:06:14-05:31:41]  (Local) -> (LOCAL)[3]HABLAME: STEVE
[2021:06:14-05:31:41]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: tavuels raras+
[2021:06:14-05:31:44]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: jsjjs
[2021:06:14-05:31:44]  (Local) -> (LOCAL)[1]Zoro059[Zetas]: sorry pai
[2021:06:14-05:31:51]  (Global) -> DONDARKAR[DARK]: #00FF00 VENDO: HR1 Y SULTAN TIREN SMS A PRECIOS NEGOCIABLES
[2021:06:14-05:31:51]  (Local) -> (LOCAL)[4]fazza'2cb: Skip~#~#00FF00|*|[5] le doy un kart y un hot2
[2021:06:14-05:31:53]  (Local) -> (LOCAL)[1]Radial: bueno, entonces le muestro?
[2021:06:14-05:31:56]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: szs
[2021:06:14-05:31:58]  (Local) -> (LOCAL)[4]Skip~#~|*|: nmmm
[2021:06:14-05:32:03]  (Global) -> fazza'2cb|#9E016Cà¶ž: ?
[2021:06:14-05:32:04]  (Global) -> Yavix|LMB|: mera loka
[2021:06:14-05:32:06]  (Local) -> (LOCAL)[1]Radial: pille, grua unica en el sv
[2021:06:14-05:32:09]  (Local) -> (LOCAL)[6]MenteMaestra: que pasa nuevito
[2021:06:14-05:32:12]  (Local) -> (LOCAL)[1]Radial: me pfrecieron 50
[2021:06:14-05:32:14]  (Local) -> (LOCAL)[6]MenteMaestra: tussy nuevito
[2021:06:14-05:32:15]  (Local) -> (LOCAL)[6]Soltec: sisas
[2021:06:14-05:32:16]  (Local) -> (LOCAL)[1]Radial: nunca la vendi
[2021:06:14-05:32:20]  (Local) -> (LOCAL)[1]Radial: es la que se hace tp
[2021:06:14-05:32:21]  (Local) -> (LOCAL)[2]HABLAME: wenas
[2021:06:14-05:32:22]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: eso?
[2021:06:14-05:32:24]  (Local) -> (LOCAL)[3]Oreo|PlayBoy: JJ
[2021:06:14-05:32:27]  (Global) -> RicardoPajass22: wenas wenass
[2021:06:14-05:32:31]  (Local) -> (LOCAL)[1]Radial: pq es especial
[2021:06:14-05:32:31]  (Local) -> (LOCAL)[2]HABLAME: vendo carrito
[2021:06:14-05:32:33]  (Global) -> fazza'2cb|#9E016Cà¶ž: ArielPnot'2cb[
[2021:06:14-05:32:35]  (Local) -> (LOCAL)[1]pene~>w<: curese
[2021:06:14-05:32:35]  (Local) -> (LOCAL)[1]Radial: nadie la tiene
[2021:06:14-05:32:37]  (Local) -> (LOCAL)[4]fazza'2cb: Joa
[2021:06:14-05:32:38]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: esa?
[2021:06:14-05:32:39]  ([Msg] de DONDARKAR[DARK] para Buitrago[CDG]: hablamos parcero) -> nil
[2021:06:14-05:32:43]  (Global) -> RicardoPajass22: no soy vip 
[2021:06:14-05:32:44]  (Local) -> (LOCAL)[1]Radial: la negra
[2021:06:14-05:32:47]  (Local) -> (LOCAL)[2]CristianCDM: TEMAZO
[2021:06:14-05:32:48]  (Local) -> (LOCAL)[1]Yavix|LMB|: c me cerro el dc
[2021:06:14-05:32:49]  (Local) -> (LOCAL)[1]Radial: esta es hand de balaclava
[2021:06:14-05:32:52]  (Local) -> (LOCAL)[2]HABLAME: como asi
[2021:06:14-05:32:53]  (Local) -> (LOCAL)[2]MenteMaestra: saco el tanke
[2021:06:14-05:32:53]  ([Msg] de fazza'2cb para Skip~#~#00FF00|*|: si?) -> nil
[2021:06:14-05:32:54]  (Local) -> (LOCAL)[1]Radial: bota 350
[2021:06:14-05:32:57]  (Local) -> (LOCAL)[2]Oreo|PlayBoy: EPOA
[2021:06:14-05:32:57]  (Local) -> (LOCAL)[1]Stitches!~>||(CDG)||: eso vale como 1 500
[2021:06:14-05:32:57]  ([Msg] de DONDARKAR[DARK] para Buitrago[CDG]: nos vemos) -> nil
[2021:06:14-05:33:00]  ([Msg] de Buitrago[CDG] para DONDARKAR[DARK]: la buen apa) -> nil
[2021:06:14-05:33:01]  (Local) -> (LOCAL)[5]#7F7F7F|LG|#FF0000tussy'2cb: q
[2021:06:14-05:33:01]  (Local) -> (LOCAL)[2]Granpa_Doggy: Como se abre mi so
[2021:06:14-05:33:01]  (Local) -> (LOCAL)[1]Radial: no
[2021:06:14-05:33:02]  (Local) -> (LOCAL)[2]Oreo|PlayBoy: SAKELO
[2021:06:14-05:33:03]  (Local) -> (LOCAL)[3]Soltec: sisi
[2021:06:14-05:33:06]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||DJ|#FF5C00KevinOcampo: oe
