This file was generated by Console at 2021:03:24-00:00:00



[2021:03:24-00:00:00]  (Local) -> (LOCAL)[3]Niche~CaPu: quitese
[2021:03:24-04:44:23]  (Global) -> TheCrazyPipeNeXus: no le pagaron aaaaaaaaagh
[2021:03:24-04:44:24]  (Local) -> (LOCAL)[2]PabloOwO~|PEPEGAN|: ey pero pongase la gorra de santafe
[2021:03:24-04:44:24]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: oli
[2021:03:24-04:44:25]  (Local) -> (LOCAL)[1]malo'2cb: a
[2021:03:24-04:44:27]  (Local) -> (LOCAL)[5]Lozhka: quedate qieto cansonsin
[2021:03:24-04:44:28]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: JUAN CAMACHO
[2021:03:24-04:44:29]  (Global) -> Flaco'2cb|#83FF00ÊÄ‘à¸—: Balaclava
[2021:03:24-04:44:29]  (Global) -> Nicko_Bellyck:  juan camachoo
[2021:03:24-04:44:30]  (Global) -> #18AED9sem|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: oagame lo mio 
[2021:03:24-04:44:31]  (Local) -> (LOCAL)[1]malo'2cb: sioq
[2021:03:24-04:44:31]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: JUAN CAMACHOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2021:03:24-04:44:35]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: despeguela sapo
[2021:03:24-04:44:35]  (Local) -> (LOCAL)[1]brandonjose: DEJALO EN 500 AHI SUAVE PA
[2021:03:24-04:44:36]  (Global) -> Peyeta[2cb]: QUE PENA HERMANO
[2021:03:24-04:44:37]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: ):
[2021:03:24-04:44:40]  (Local) -> (LOCAL)[1]malo'2cb: cule azare ese cb
[2021:03:24-04:44:42]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: ud me paga las 800lukas cuando las tenga,entonces se lo dejo guardado
[2021:03:24-04:44:43]  (Local) -> (LOCAL)[2]SEVEN||2cb||: oe dilan hagale ps
[2021:03:24-04:44:46]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: chai Pablito
[2021:03:24-04:44:46]  (Global) -> #5723FEJolyne'2cb|#5723FEGDT!: q cringe ermano
[2021:03:24-04:44:47]  (Local) -> (LOCAL)[2]SEVEN||2cb||: el lambo mas el palo
[2021:03:24-04:44:48]  (Local) -> (LOCAL)[7]#00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu: eso
[2021:03:24-04:44:51]  (Local) -> (LOCAL)[2]PabloOwO~|PEPEGAN|: chao
[2021:03:24-04:44:55]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: NONAS BRO
[2021:03:24-04:44:55]  (Local) -> (LOCAL)[3]Sornero/AK47/: le doy un mini y diez palos
[2021:03:24-04:44:56]  (Global) -> #18AED9sem|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: pagame lo mio
[2021:03:24-04:44:56]  (Local) -> (LOCAL)[3]SEVEN||2cb||: ya, se lo doy de one
[2021:03:24-04:44:58]  (Local) -> (LOCAL)[7]Ivan_xxD: q dijo
[2021:03:24-04:44:59]  (Global) -> Radial|#5723FEGDT!: q
[2021:03:24-04:44:59]  (Global) -> aragan|#E20280 à¶ž: luna gil mamasita rica
[2021:03:24-04:44:59]  (Global) -> Soltec|EVG||#5723FEGDT!: ai
[2021:03:24-04:44:59]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00MINI/2CB(AS)|#E20280 à¶ž: bye me goy a mimir :)
[2021:03:24-04:45:01]  (Local) -> (LOCAL)[1]brandonjose: LISTOS, LE ABONO 300 LUKAS ENTONCES SI?
[2021:03:24-04:45:02]  (Local) -> (LOCAL)[2]Flaco'2cb: aaa lag mlp
[2021:03:24-04:45:03]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: si quiere le paso mi numero
[2021:03:24-04:45:03]  (Team - Unemployed) -> (TEAM)Peyeta[2cb]: a
[2021:03:24-04:45:03]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: ola
[2021:03:24-04:45:03]  (Local) -> (LOCAL)[3]Sornero/AK47/: no tengo mas
[2021:03:24-04:45:06]  (Local) -> (LOCAL)[1]#7F7F7FGataOficial>#FF5C00Aluna|ELN: ola
[2021:03:24-04:45:06]  (Local) -> (LOCAL)[3]SEVEN||2cb||: cual mini?
[2021:03:24-04:45:11]  (Local) -> (LOCAL)[2]Sornero/AK47/: mini cooper
[2021:03:24-04:45:11]  (Global) -> TheCrazyPipeNeXus: XDF
[2021:03:24-04:45:12]  (Local) -> (LOCAL)[7]Rivera*2cb: eo
[2021:03:24-04:45:13]  (Local) -> (LOCAL)[7]Jolyne'2cb: XDDDDDDDDDDDDDDD
[2021:03:24-04:45:14]  (Local) -> (LOCAL)[2]Sornero/AK47/: jajaj
[2021:03:24-04:45:14]  (Local) -> (LOCAL)[1]brandonjose: HAGALE
[2021:03:24-04:45:15]  (Local) -> (LOCAL)[7]Ivan_xxD: di
[2021:03:24-04:45:16]  (Local) -> (LOCAL)[2]SEVEN||2cb||: ajajja aver
[2021:03:24-04:45:24]  (Local) -> (LOCAL)[6]Rivera*2cb: una carrera
[2021:03:24-04:45:25]  (Global) -> DonBazuco|AK1|#1914D7í ½í¸ˆ: FLACOMK
[2021:03:24-04:45:27]  (Local) -> (LOCAL)[6]Ivan_xxD: no
[2021:03:24-04:45:28]  (Global) -> #18AED9sem|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: pagame lo mio
[2021:03:24-04:45:28]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: q opinas de mi carro anime
[2021:03:24-04:45:30]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: y me avisa cuando tenga las 800lukas para soltarle ese diablo azul
[2021:03:24-04:45:38]  (Global) -> Flaco'2cb|#83FF00ÊÄ‘à¸—: Szs como ud
[2021:03:24-04:45:39]  (Local) -> (LOCAL)[1]#7F7F7FGataOficial>#FF5C00Aluna|ELN: espera lo analizo
[2021:03:24-04:45:39]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: ag
[2021:03:24-04:45:41]  (Local) -> (LOCAL)[1]brandonjose: HAGALE
[2021:03:24-04:45:48]  (Local) -> (LOCAL)[1]brandonjose: PERO DEJELO MAS BARATO PA
[2021:03:24-04:45:48]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00MINI/2CB(AS)|#E20280 à¶ž: buitre le vendo un infernus en 8
[2021:03:24-04:45:49]  (Global) -> Lozhka: flaco callate un rato
[2021:03:24-04:45:50]  (Global) -> Lozhka: gei
[2021:03:24-04:45:52]  (Local) -> (LOCAL)[6]Ivan_xxD: se me traba el pc cada segundp
[2021:03:24-04:45:53]  (Local) -> (LOCAL)[1]SEVEN||2cb||: donde venden ese?
[2021:03:24-04:45:56]  (Global) -> Radial|#5723FEGDT!: xd
[2021:03:24-04:45:58]  (Global) -> #18AED9sem|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: pagame lo mio
[2021:03:24-04:45:59]  (Local) -> (LOCAL)[6]Rivera*2cb: igual ami
[2021:03:24-04:46:01]  (Local) -> (LOCAL)[6]Rivera*2cb: ajaj
[2021:03:24-04:46:01]  (Local) -> (LOCAL)[1]#7F7F7FGataOficial>#FF5C00Aluna|ELN: ta lindo pero se verÃ­a mÃ¡s cute con algÃºn color
[2021:03:24-04:46:05]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: 322 768 2856
[2021:03:24-04:46:12]  (Local) -> (LOCAL)[6]Ivan_xxD: XD
[2021:03:24-04:46:20]  (Global) -> Peyeta[2cb]: Bala
[2021:03:24-04:46:20]  (Local) -> (LOCAL)[6]Ivan_xxD: pc master reis
[2021:03:24-04:46:21]  (Local) -> (LOCAL)[6]Lozhka: suabe
[2021:03:24-04:46:21]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEBalaclava|#5723FEGDT!: q
[2021:03:24-04:46:23]  (Local) -> (LOCAL)[6]Lozhka: suabe
[2021:03:24-04:46:24]  (Local) -> (LOCAL)[6]Lozhka: suabe
[2021:03:24-04:46:24]  (Local) -> (LOCAL)[6]Rivera*2cb: oe
[2021:03:24-04:46:25]  (Local) -> (LOCAL)[1]CruelGlands4: jaja
[2021:03:24-04:46:27]  (Local) -> (LOCAL)[6]Ivan_xxD: di
[2021:03:24-04:46:29]  (Global) -> Lozhka: suabe
[2021:03:24-04:46:31]  (Team - Services) -> (TEAM)PepitoBandolero[AK-47]: XD
[2021:03:24-04:46:31]  (Global) -> brandonjose: LLEGO EL MEROCLAVO JAJA
[2021:03:24-04:46:34]  (Local) -> (LOCAL)[6]Rivera*2cb: acompaÃ±enme
[2021:03:24-04:46:34]  (Global) -> Peyeta[2cb]: me voy a mimir la bendicion
[2021:03:24-04:46:36]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: hey ando en la radio pa
[2021:03:24-04:46:36]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: mk ya le he bajado resto,pero si un man mw ofrece 1 palo se lo doy sin compromiso
[2021:03:24-04:46:38]  (Local) -> (LOCAL)[6]Ivan_xxD: a donde
[2021:03:24-04:46:39]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: SEVEN HABLEME CALRO
[2021:03:24-04:46:40]  (Local) -> (LOCAL)[1]PepitoBandolero[AK-47]: FALTA UNO
[2021:03:24-04:46:41]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: METASEN
[2021:03:24-04:46:41]  (Global) -> #18AED9sem|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: pagame lo mio
[2021:03:24-04:46:42]  (Global) -> #E20280BrihamchoSinGang|#E20280 à¶ž: buenas noches gente
[2021:03:24-04:46:43]  (Local) -> (LOCAL)[6]Rivera*2cb: a guardar plata
[2021:03:24-04:46:45]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: vieron
[2021:03:24-04:46:46]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: la pala
[2021:03:24-04:46:46]  (Local) -> (LOCAL)[6]Ivan_xxD: suba
[2021:03:24-04:46:46]  (Local) -> (LOCAL)[2]SEVEN||2cb||: el lambo mas el palo
[2021:03:24-04:46:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: conste
[2021:03:24-04:46:48]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: es para oler
[2021:03:24-04:46:50]  (Local) -> (LOCAL)[2]SEVEN||2cb||: ya fijo esa
[2021:03:24-04:46:51]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: bof
[2021:03:24-04:46:51]  (Global) -> PepitoBandolero[AK-47]: FALTA UNO
[2021:03:24-04:46:51]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: Ando despechado
[2021:03:24-04:46:52]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: NONONO
[2021:03:24-04:46:54]  (Local) -> (LOCAL)[1]PepitoBandolero[AK-47]: ESTE
[2021:03:24-04:46:54]  (Global) -> Soltec|EVG||#5723FEGDT!: alexispagedj[EVG][MP] empezo fuerte
[2021:03:24-04:46:55]  (Global) -> MaxwelTomp|AK47|: ufff severo tema
[2021:03:24-04:46:56]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: AAAAAA
[2021:03:24-04:46:56]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: jet lag es no dormir
[2021:03:24-04:46:57]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: entonces en la radio pa
[2021:03:24-04:46:57]  (Local) -> (LOCAL)[2]SEVEN||2cb||: si me dice q si tenga de una
[2021:03:24-04:46:59]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: por estar soplado
[2021:03:24-04:46:59]  (Local) -> (LOCAL)[1]brandonjose: LE OFREZCO 600 LUKAS PA, ESO ES LO MAXIMO QUE LE PUEDO OFRECER
[2021:03:24-04:47:01]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: ven bof
[2021:03:24-04:47:01]  (Local) -> (LOCAL)[1]PepitoBandolero[AK-47]: eppa
[2021:03:24-04:47:02]  (Local) -> (LOCAL)[6]TheCrazyPipeNeXus: buf
[2021:03:24-04:47:04]  (Local) -> (LOCAL)[1]brandonjose: UFFF MERO TEMA PAPAAA
[2021:03:24-04:47:05]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: Soltec|EVG| siempre pa
[2021:03:24-04:47:07]  (Local) -> (LOCAL)[1]CruelGlands4: jajjaa
[2021:03:24-04:47:08]  (Local) -> (LOCAL)[1]PepitoBandolero[AK-47]: y mero temaso
[2021:03:24-04:47:10]  (Local) -> (LOCAL)[5]Lozhka: bno pero qn le
[2021:03:24-04:47:11]  (Local) -> (LOCAL)[2]Sornero/AK47/: coja el mini
[2021:03:24-04:47:13]  (Local) -> (LOCAL)[2]CruelGlands4: buena buena
[2021:03:24-04:47:14]  (Local) -> (LOCAL)[2]SEVEN||2cb||: y ud si me da un carro de esos se lo doy ya
[2021:03:24-04:47:16]  (Local) -> (LOCAL)[2]SEVEN||2cb||: ajjajaa
[2021:03:24-04:47:18]  (Local) -> (LOCAL)[1]#7F7F7FGataOficial>#FF5C00Aluna|ELN: no puedo cerrar la puerta q TOC
[2021:03:24-04:47:19]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEBalaclava|#5723FEGDT!: EGH
[2021:03:24-04:47:19]  (Local) -> (LOCAL)[5]Radial: q
[2021:03:24-04:47:22]  (Global) -> #7F7F7F|ADM|#FF0000#5723FEBalaclava|#5723FEGDT!: pero llegaron los locos
[2021:03:24-04:47:27]  (Local) -> (LOCAL)[2]Sornero/AK47/: coja este pa los mandados
[2021:03:24-04:47:32]  (Local) -> (LOCAL)[2]PepitoBandolero[AK-47]: como pusiste ese tema?
[2021:03:24-04:47:32]  (Local) -> (LOCAL)[5]Lozhka: XD
[2021:03:24-04:47:33]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: q hace pa
[2021:03:24-04:47:33]  (Local) -> (LOCAL)[5]Lozhka: encanado
[2021:03:24-04:47:35]  (Global) -> Soltec|EVG||#5723FEGDT!: dj pongase collar de perlas finas
[2021:03:24-04:47:35]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2021:03:24-04:47:37]  (Local) -> (LOCAL)[5]Lozhka: si si si
[2021:03:24-04:47:37]  (Local) -> (LOCAL)[5]TheCrazyPipeNeXus: hora de dormir
[2021:03:24-04:47:38]  (Local) -> (LOCAL)[5]Jolyne'2cb: GRANDE BOBITO
[2021:03:24-04:47:39]  (Local) -> (LOCAL)[5]TheCrazyPipeNeXus: hasta la proxima
[2021:03:24-04:47:39]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2021:03:24-04:47:41]  (Global) -> TheCrazyPipeNeXus: adi0s
[2021:03:24-04:47:42]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: Ã‘ERO ESE ES SU CARRO
[2021:03:24-04:47:43]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu: casi q no
[2021:03:24-04:47:44]  (Local) -> (LOCAL)[0]#00146C|#A4B5FFPROD#00146C|#FF5C00MINI/2CB(AS): n
[2021:03:24-04:47:44]  (Local) -> (LOCAL)[1]brandonjose: 600 LUKAS?
[2021:03:24-04:47:45]  (Local) -> (LOCAL)[3]#00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu: ai ome
[2021:03:24-04:47:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: q te burlas de mi nave
[2021:03:24-04:47:46]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: f3-radio cvr y CVR RADIO PA, ALEXIS PASIPAGE EN VIVO
[2021:03:24-04:47:47]  (Global) -> TheCrazyPipeNeXus: si dios quiere a dormir  
[2021:03:24-04:47:47]  (Local) -> (LOCAL)[2]SEVEN||2cb||: oe hagale
[2021:03:24-04:47:47]  (Local) -> (LOCAL)[3]Lozhka: XD
[2021:03:24-04:47:49]  (Global) -> TheCrazyPipeNeXus: hasta la proxima
[2021:03:24-04:47:51]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: ME REGALAS UNO AMIGO
[2021:03:24-04:47:53]  (Global) -> Soltec|EVG||#5723FEGDT!: dj pongase collar de perlas finas esa es de despecho
[2021:03:24-04:47:53]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: si boff
[2021:03:24-04:47:53]  (Local) -> (LOCAL)[3]Radial: y la muxica
[2021:03:24-04:47:55]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: no
[2021:03:24-04:47:55]  (Global) -> TheCrazyPipeNeXus: que descansen todos
[2021:03:24-04:47:57]  (Local) -> (LOCAL)[3]Lozhka: no escuxa
[2021:03:24-04:47:58]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: oe mencana
[2021:03:24-04:48:00]  (Local) -> (LOCAL)[3]Lozhka: ?
[2021:03:24-04:48:01]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: voy a mimir ya
[2021:03:24-04:48:01]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#0064FFCurioso||CAPU: si
[2021:03:24-04:48:03]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: ME LLEVAS ATRAS
[2021:03:24-04:48:04]  (Local) -> (LOCAL)[2]Radial: no
[2021:03:24-04:48:06]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: QuiÃ©n es el dj?
[2021:03:24-04:48:06]  (Global) -> Peyeta[2cb]: grax 
[2021:03:24-04:48:07]  (Local) -> (LOCAL)[2]Lozhka: q
[2021:03:24-04:48:08]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: vea
[2021:03:24-04:48:10]  (Local) -> (LOCAL)[2]Lozhka: quitala joder aa
[2021:03:24-04:48:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: meve la colita
[2021:03:24-04:48:12]  (Global) -> brandonjose: MEROCLAVO PONGASE AHI SE TE HIZO TARDE DE Ã‘EJO
[2021:03:24-04:48:13]  (Global) -> Soltec|EVG||#5723FEGDT!: RicardoJorge|EVG|[MP] alecsis
[2021:03:24-04:48:14]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: mk es que necesito los 800, pille paseme 700 y si quiere pasar los 100 depues pues lo espero
[2021:03:24-04:48:14]  (Local) -> (LOCAL)[2]Radial: Y ME BEBI TU RECUERFO
[2021:03:24-04:48:15]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:03:24-04:48:16]  (Local) -> (LOCAL)[2]SEVEN||2cb||: oe 11 palos ps
[2021:03:24-04:48:16]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Kevin|#5723FEGDT!: XDDDDDDDDDDDDDDDDDD
[2021:03:24-04:48:19]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: aÃ±aÃ±ai
[2021:03:24-04:48:22]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: AÃ‘AÃ‘Ã‘AI
[2021:03:24-04:48:22]  (Local) -> (LOCAL)[1]malo'2cb: 50k
[2021:03:24-04:48:23]  (Global) -> #18AED9sem|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: pagame lo mio
[2021:03:24-04:48:23]  (Local) -> (LOCAL)[2]Lozhka: q vuelta pa sonar duro
[2021:03:24-04:48:23]  (Local) -> (LOCAL)[2]Radial: ermano no escucho
[2021:03:24-04:48:23]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: alexis pajas, pongame pura cantina
[2021:03:24-04:48:24]  (Local) -> (LOCAL)[2]Sornero/AK47/: no tengo eso pa
[2021:03:24-04:48:25]  (Global) -> Soltec|EVG||#5723FEGDT!: brandonjose el dj es alexispagedj[EVG][MP]
[2021:03:24-04:48:25]  (Local) -> (LOCAL)[2]Radial: :(
[2021:03:24-04:48:27]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: dios mio es muy chistoso
[2021:03:24-04:48:28]  (Local) -> (LOCAL)[1]Rivera*2cb: oe
[2021:03:24-04:48:28]  (Global) -> DonBazuco|AK1|#1914D7í ½í¸ˆ: 100K
[2021:03:24-04:48:30]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: XDD
[2021:03:24-04:48:32]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: XDDDDDDDDDDDDDD
[2021:03:24-04:48:33]  (Local) -> (LOCAL)[2]Radial: ahg
[2021:03:24-04:48:33]  (Local) -> (LOCAL)[1]Ivan_xxD: como se ponia musica?ando probando algo
[2021:03:24-04:48:33]  (Local) -> (LOCAL)[1]malo'2cb: akakKKAKSSAJSA
[2021:03:24-04:48:35]  (Local) -> (LOCAL)[1]Ivan_xxD: dime
[2021:03:24-04:48:35]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: SISAS
[2021:03:24-04:48:36]  (Local) -> (LOCAL)[1]malo'2cb: SUMAE
[2021:03:24-04:48:37]  (Local) -> (LOCAL)[2]SEVEN||2cb||: obvio si
[2021:03:24-04:48:39]  (Local) -> (LOCAL)[2]Radial: hpta bafle chiveto suyo
[2021:03:24-04:48:40]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: y despuÃ©s la furra soy yo
[2021:03:24-04:48:40]  (Global) -> #7F7F7F|LG|#0064FFCurioso||CAPU|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: alexispagedj[EVG][MP] pongame explicito de maik tawerz
[2021:03:24-04:48:40]  (Global) -> Soltec|EVG||#5723FEGDT!: dj pongase collar de perlas finas esa es de despecho
[2021:03:24-04:48:40]  (Global) -> brandonjose: ALEXIS PONETE AHI SE TE HIZO TARDE DE Ã‘EJO
[2021:03:24-04:48:42]  (Global) -> DonBazuco|AK1|#1914D7í ½í¸ˆ: PA LA CARCEL POR MARICA
[2021:03:24-04:48:42]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: CUANDO TE PERDÂ´
[2021:03:24-04:48:43]  (Local) -> (LOCAL)[2]Lozhka: siempre capucha por si llueve
[2021:03:24-04:48:45]  (Local) -> (LOCAL)[1]Rivera*2cb: no tiene vehiculos
[2021:03:24-04:48:45]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: SENTÃ UN DOLOR
[2021:03:24-04:48:46]  (Global) -> DonBazuco|AK1|#1914D7í ½í¸ˆ: BOBO HPTA
[2021:03:24-04:48:46]  (Local) -> (LOCAL)[1]malo'2cb: ok
[2021:03:24-04:48:48]  (Global) -> brandonjose: PENSE QUE ERA EL MEROCLAVO ESE JAJA
[2021:03:24-04:48:48]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: A UD LE GUSTAB EL CARRO DE MI SOCIO
[2021:03:24-04:48:50]  (Local) -> (LOCAL)[1]malo'2cb: tu
[2021:03:24-04:48:50]  (Local) -> (LOCAL)[2]Lozhka: las noches largas los dias breves
[2021:03:24-04:48:51]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj[EVG]|#5723FEGDT!: si cantan el otro tema regalo 100k al que la cante todo
[2021:03:24-04:48:52]  (Local) -> (LOCAL)[1]Ivan_xxD: szs el baratico ese
[2021:03:24-04:48:53]  (Global) -> DonBazuco|AK1|#1914D7í ½í¸ˆ: SALUDOS A LA PROSTITUTA DE SU CIUCHA
[2021:03:24-04:48:54]  (Local) -> (LOCAL)[1]malo'2cb: tonto
[2021:03:24-04:48:55]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: SIN TI A MI LADO NO CREÃ QUE PUDIERA SOBREVIVIR
[2021:03:24-04:48:55]  (Local) -> (LOCAL)[1]brandonjose: 600 PA NO SEAS MALO BRO JAJAJA
[2021:03:24-04:48:56]  (Local) -> (LOCAL)[2]SEVEN||2cb||: Dilan_Jimenez|AK|[MP]
[2021:03:24-04:48:57]  (Local) -> (LOCAL)[1]Rivera*2cb: cual
[2021:03:24-04:48:57]  (Local) -> (LOCAL)[2]#7F7F7FGataOficial>#FF5C00Aluna|ELN: a mÃ­ lo que me gusta es su socio
[2021:03:24-04:48:58]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu: fua
[2021:03:24-04:49:01]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: k?
[2021:03:24-04:49:01]  (Local) -> (LOCAL)[2]SEVEN||2cb||: hagaleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[2021:03:24-04:49:01]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||DJ|#FF5C00Kevin: UYYYYYYYYYYYYYYYYYYY
[2021:03:24-04:49:02]  (Local) -> (LOCAL)[1]Ivan_xxD: el manana
[2021:03:24-04:49:03]  (Global) -> Radial|#5723FEGDT!: VI TU ERROR
[2021:03:24-04:49:06]  (Local) -> (LOCAL)[3]Lozhka: xd
[2021:03:24-04:49:08]  (Local) -> (LOCAL)[3]Lozhka: se fue aragan?
[2021:03:24-04:49:08]  (Global) -> Radial|#5723FEGDT!: SIRVALO HPTA
[2021:03:24-04:49:09]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: VI TU ERROR, ME SOBREPUESTO Y YA SIN TI APRENDÃ A VIVIR
[2021:03:24-04:49:11]  (Global) -> #7F7F7F|ADM|#FF0000#4C4C4CMoraHpta|#4C4C4CRN: Buenas noches
[2021:03:24-04:49:13]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: VOLVISTE A MI
[2021:03:24-04:49:13]  (Local) -> (LOCAL)[1]sem: agh se me crasheo el discord
[2021:03:24-04:49:13]  (Local) -> (LOCAL)[1]Rivera*2cb: saqelo afuera lo ceo
[2021:03:24-04:49:18]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00penecabezon|CApu: yo creo
[2021:03:24-04:49:19]  (Global) -> Radial|#5723FEGDT!: Hola RicardoJorge|EVG|[MP]
[2021:03:24-04:49:20]  (Local) -> (LOCAL)[1]MaxwelTomp|AK47|: no perro, si quiere termine la carrera de buseterro y me paga lo que tenga
[2021:03:24-04:49:21]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: vamos ps
