This file was generated by Console at 2021:04:28-00:00:00



[2021:04:28-00:00:00]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: f
[2021:04:28-04:50:43]  (Local) -> (LOCAL)[6]TeoLaMasPerra|Z: rata
[2021:04:28-04:50:44]  (Local) -> (LOCAL)[8]Sarkasmus666: XD
[2021:04:28-04:50:45]  (Global) -> Juanma'ELN|#5EF5F7������: '#ff0000 EJERCITO DE LIBERACION NACIONAL #00ff00 [ELN] Recluta Nuevos miembros'
[2021:04:28-04:50:45]  (Local) -> (LOCAL)[2]andresfelipe28(CDG): cuentalo
[2021:04:28-04:50:46]  (Local) -> (LOCAL)[3]Valak!: ud
[2021:04:28-04:50:47]  (Global) -> MouIsland: wa
[2021:04:28-04:50:49]  (Local) -> (LOCAL)[6]TeoLaMasPerra|Z: a no na xd
[2021:04:28-04:50:50]  (Global) -> Jasqui: Soltec|EVGays
[2021:04:28-04:50:50]  (Local) -> (LOCAL)[8]PARCERO_[CDG]: Buena xd
[2021:04:28-04:50:51]  (Local) -> (LOCAL)[9]Juanda:2cb: aca pega duro la musica
[2021:04:28-04:50:52]  (Local) -> (LOCAL)[3]TOBON_: Culo de viaje cucho
[2021:04:28-04:50:53]  (Global) -> Jasqui: Donde anda
[2021:04:28-04:50:55]  (Local) -> (LOCAL)[9]Juanda:2cb: pa alli mas biwen enga
[2021:04:28-04:50:55]  (Global) -> BajaPantys420|4k: y tu
[2021:04:28-04:50:56]  (Global) -> yhony23: xd
[2021:04:28-04:50:56]  (Local) -> (LOCAL)[1]MouIsland: pasame la plata pues
[2021:04:28-04:50:57]  (Global) -> BajaPantys420|4k: sapo hpta
[2021:04:28-04:50:58]  (Local) -> (LOCAL)[9]Sarkasmus666: fortnite, rocket league, csgo,valorant
[2021:04:28-04:51:01]  (Global) -> BajaPantys420|4k: que es la monda
[2021:04:28-04:51:04]  (Local) -> (LOCAL)[4]Juanma'ELN: ñero la cedula
[2021:04:28-04:51:06]  (Global) -> Valak!|#5EF5F7������: tupsi29 acepte
[2021:04:28-04:51:07]  (Global) -> BarrySeal:  MI PERRO MANEJA DE UNA MANERA MUY DENSA
[2021:04:28-04:51:09]  (Local) -> (LOCAL)[11]Nicole:): q groseria
[2021:04:28-04:51:11]  (Local) -> (LOCAL)[5]Juanma'ELN: ñero la cedula
[2021:04:28-04:51:13]  (Local) -> (LOCAL)[1]MarcelJose||Z||: ajajajajjaja
[2021:04:28-04:51:16]  (Local) -> (LOCAL)[9]BajaPantys420|4k: a disculpame
[2021:04:28-04:51:18]  (Local) -> (LOCAL)[5]Valak!: la cedula ciudadano
[2021:04:28-04:51:19]  (Local) -> (LOCAL)[9]Nicole:): perrito
[2021:04:28-04:51:22]  (Team - Services) -> (TEAM)MouIsland: sapa
[2021:04:28-04:51:23]  (Local) -> (LOCAL)[10]Nicole:): quieres un perrito
[2021:04:28-04:51:24]  (Local) -> (LOCAL)[7]KAMET(2cb): xd
[2021:04:28-04:51:25]  (Local) -> (LOCAL)[1]miguelito|CDG|: vete ala mierda
[2021:04:28-04:51:26]  (Local) -> (LOCAL)[1]MarcelJose||Z||: la velocidad es mi pasion
[2021:04:28-04:51:26]  (Local) -> (LOCAL)[10]Nicole:): xd
[2021:04:28-04:51:26]  (Global) -> tupsi29: nea no me aparece la invitafcion
[2021:04:28-04:51:27]  (Local) -> (LOCAL)[10]BajaPantys420|4k: si
[2021:04:28-04:51:28]  (Local) -> (LOCAL)[1]miguelito|CDG|: hdp
[2021:04:28-04:51:28]  (Phone:SMS) -> From SecretiveThug47 | To: MouIsland | Message: holaaaa
[2021:04:28-04:51:29]  (Global) -> Infrasoul: cHICOS
[2021:04:28-04:51:30]  (Global) -> Jasqui: Soltec|EVGays
[2021:04:28-04:51:31]  (Global) -> Alcapone_: asakskaaja
[2021:04:28-04:51:32]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Meguu~: catre
[2021:04:28-04:51:34]  (Global) -> Jasqui: Donde anda
[2021:04:28-04:51:34]  (Global) -> Alcapone_: te vpñtep
[2021:04:28-04:51:35]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF0000Catre^: no juegan wz?
[2021:04:28-04:51:35]  (Global) -> Jasqui: Soltec|EVGays
[2021:04:28-04:51:36]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00Meguu~: ud juega csgo
[2021:04:28-04:51:37]  (Phone:SMS) -> From SecretiveThug47 | To: MouIsland | Message: sabes como entrar ael eln?
[2021:04:28-04:51:38]  (Global) -> Infrasoul: Como consigo un vehiculo incautado?
[2021:04:28-04:51:39]  (Global) -> Jasqui: Soltec|EVGays
[2021:04:28-04:51:40]  (Global) -> Alcapone_: AKAKAKAKAJAJJAJA
[2021:04:28-04:51:40]  (Local) -> (LOCAL)[10]Sarkasmus666: nada
[2021:04:28-04:51:41]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF0000Catre^: si
[2021:04:28-04:51:44]  (Local) -> (LOCAL)[6]Valak!: en los patios mi rey
[2021:04:28-04:51:44]  (Local) -> (LOCAL)[10]Sarkasmus666: hay uno que si
[2021:04:28-04:51:45]  (Global) -> #CBCBCBElDiabloEnPatines|L4|#CBCBCBЯN: Admin
[2021:04:28-04:51:46]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00Meguu~: sera que lo descargo
[2021:04:28-04:51:47]  (Local) -> (LOCAL)[10]Sarkasmus666: que es granuja
[2021:04:28-04:51:47]  (Local) -> (LOCAL)[9]BajaPantys420|4k: papi
[2021:04:28-04:51:50]  (Global) -> Infrasoul: En donde
[2021:04:28-04:51:51]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: jaj
[2021:04:28-04:51:52]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: jaj
[2021:04:28-04:51:53]  (Local) -> (LOCAL)[8]Nicole:): ya termine juanda
[2021:04:28-04:51:53]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF0000Catre^: jugue como1 año con lopez y esta gente
[2021:04:28-04:51:55]  (Local) -> (LOCAL)[9]Sarkasmus666: csgo=
[2021:04:28-04:51:55]  (Local) -> (LOCAL)[8]Juanda:2cb: tururu de tus labios
[2021:04:28-04:51:58]  (Local) -> (LOCAL)[8]BajaPantys420|4k: que te pasa broo
[2021:04:28-04:51:59]  (Global) -> Infrasoul: Cual patio
[2021:04:28-04:51:59]  (Global) -> ROMPECUCAS3000: yesid
[2021:04:28-04:52:01]  (Local) -> (LOCAL)[9]Sarkasmus666: a mi me gusta
[2021:04:28-04:52:05]  (Local) -> (LOCAL)[9]Nicole:): toma
[2021:04:28-04:52:06]  (Local) -> (LOCAL)[7]Valak!: wowowowo
[2021:04:28-04:52:06]  (Local) -> (LOCAL)[9]Juanda:2cb: gracias
[2021:04:28-04:52:07]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Meguu~: q mas juegan
[2021:04:28-04:52:07]  (Local) -> (LOCAL)[7]TOBON_: K baile es ese ps?
[2021:04:28-04:52:08]  (Local) -> (LOCAL)[8]BajaPantys420|4k: severo tarro
[2021:04:28-04:52:08]  (Local) -> (LOCAL)[8]Juanda:2cb: cuanto es??
[2021:04:28-04:52:09]  (Local) -> (LOCAL)[2]Yesid_[CDG]: dime
[2021:04:28-04:52:10]  (Global) -> Infrasoul: OEEE
[2021:04:28-04:52:10]  (Global) -> #CBCBCBElDiabloEnPatines|L4|#CBCBCBЯN: Admin
[2021:04:28-04:52:10]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Meguu~: pa parchar mas
[2021:04:28-04:52:12]  (Global) -> Infrasoul: POLICIAA
[2021:04:28-04:52:14]  (Local) -> (LOCAL)[6]Valak!: 2 del 2
[2021:04:28-04:52:15]  (Local) -> (LOCAL)[8]Nicole:): gratis
[2021:04:28-04:52:15]  (Local) -> (LOCAL)[6]Juanma'ELN: señor
[2021:04:28-04:52:15]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Meguu~: que se integren mas a las auc
[2021:04:28-04:52:17]  (Global) -> ROMPECUCAS3000: como puedo ver la ropa que compre?
[2021:04:28-04:52:19]  (Local) -> (LOCAL)[9]Sarkasmus666: parce pues ya serian juegos random
[2021:04:28-04:52:20]  (Local) -> (LOCAL)[7]Valak!: para la prision
[2021:04:28-04:52:21]  (Global) -> Infrasoul: Solo quiero saber
[2021:04:28-04:52:25]  (Local) -> (LOCAL)[6]Valak!: por ser mal ciudadano
[2021:04:28-04:52:26]  (Local) -> (LOCAL)[9]Sarkasmus666: nos hemos pasado el the forest
[2021:04:28-04:52:28]  (Local) -> (LOCAL)[6]Valak!: ve juanma
[2021:04:28-04:52:28]  (Global) -> Infrasoul: Como se consigue un vehiculo incautado
[2021:04:28-04:52:29]  (Local) -> (LOCAL)[9]Azrael: a cuantos hay que matar para que me den esa doble changona
[2021:04:28-04:52:29]  (Global) -> tupsi29: nea no me aparece la invitacion
[2021:04:28-04:52:30]  (Local) -> (LOCAL)[6]Juanma'ELN: voy hacerle una revicion anal en la estacion vamos
[2021:04:28-04:52:30]  (Global) -> ROMPECUCAS3000: ??
[2021:04:28-04:52:33]  (Local) -> (LOCAL)[8]Nicole:): xddxdxd
[2021:04:28-04:52:33]  (Local) -> (LOCAL)[8]Juanda:2cb: nada es gratis en esat vida :)
[2021:04:28-04:52:34]  (Local) -> (LOCAL)[6]Valak!: ese estaba en las marchas
[2021:04:28-04:52:34]  (Local) -> (LOCAL)[9]Naruto|zetas|: hahah
[2021:04:28-04:52:35]  (Local) -> (LOCAL)[8]Juanda:2cb: xd
[2021:04:28-04:52:36]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:04:28-04:52:37]  (Local) -> (LOCAL)[8]Sarkasmus666: es comprando vip
[2021:04:28-04:52:38]  (Local) -> (LOCAL)[6]Valak!: toca darle bolillo
[2021:04:28-04:52:39]  (Local) -> (LOCAL)[8]Nicole:): gracias amigo
[2021:04:28-04:52:39]  (Local) -> (LOCAL)[8]Juanda:2cb: esta
[2021:04:28-04:52:40]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF0000Catre^: chupe
[2021:04:28-04:52:40]  (Local) -> (LOCAL)[8]BajaPantys420|4k: guevon
[2021:04:28-04:52:40]  (Local) -> (LOCAL)[8]Nicole:): uyyyyy
[2021:04:28-04:52:43]  (Local) -> (LOCAL)[8]Nicole:): besito
[2021:04:28-04:52:43]  (Local) -> (LOCAL)[8]Juanda:2cb: denada
[2021:04:28-04:52:44]  (Local) -> (LOCAL)[9]BajaPantys420|4k: estas besando al aire
[2021:04:28-04:52:46]  (Local) -> (LOCAL)[9]BajaPantys420|4k: quitese
[2021:04:28-04:52:48]  (Global) -> Infrasoul: OYEE
[2021:04:28-04:52:48]  (Local) -> (LOCAL)[7]BajaPantys420|4k: esa es mia
[2021:04:28-04:52:49]  (Local) -> (LOCAL)[5]Andres_Ramires||2cb||: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:04:28-04:52:50]  (Local) -> (LOCAL)[7]Nicole:): mua
[2021:04:28-04:52:50]  (Global) -> Valak!|#5EF5F7������: como que no
[2021:04:28-04:52:51]  (Global) -> #7F7F7F|ADM|#FF0000Catre^|#9800D1GDT!: asjahsajhsa casi
[2021:04:28-04:52:58]  (Global) -> Infrasoul: BROOOO
[2021:04:28-04:52:58]  (Local) -> (LOCAL)[5]Dayer<3: a
[2021:04:28-04:52:59]  (Local) -> (LOCAL)[5]Andres_Ramires||2cb||: se me buguearon los vehiculos
[2021:04:28-04:53:00]  (Local) -> (LOCAL)[6]BajaPantys420|4k: que malos gustos tienes
[2021:04:28-04:53:02]  ([Msg] de BAZUCO para acs'zzz: oeee) -> nil
[2021:04:28-04:53:03]  (Global) -> Infrasoul: COMO CONSIGO MI VEHICULO
[2021:04:28-04:53:04]  (Local) -> (LOCAL)[6]BajaPantys420|4k: veale ese tarro
[2021:04:28-04:53:04]  (Local) -> (LOCAL)[6]Dayer<3: pq
[2021:04:28-04:53:04]  (Local) -> (LOCAL)[6]Nicole:): si
[2021:04:28-04:53:05]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Meguu~: que me descargo pa jugar
[2021:04:28-04:53:07]  (Global) -> Valak!|#5EF5F7������: ez
[2021:04:28-04:53:09]  (Local) -> (LOCAL)[7]BajaPantys420|4k: esa vaina brilla
[2021:04:28-04:53:13]  (Global) -> tupsi29: la iinvitacion debe aparecre en f2
[2021:04:28-04:53:14]  (Local) -> (LOCAL)[5]PARCERO_[CDG]: JAJAJAJ
[2021:04:28-04:53:15]  (Local) -> (LOCAL)[7]Nicole:): jajsjajs
[2021:04:28-04:53:15]  (Global) -> Dayer<3: bot
[2021:04:28-04:53:16]  (Global) -> tupsi29: l
[2021:04:28-04:53:18]  (Local) -> (LOCAL)[4]Sarkasmus666: XD
[2021:04:28-04:53:20]  (Global) -> Valak!|#5EF5F7������: t voy a partir
[2021:04:28-04:53:23]  (Local) -> (LOCAL)[7]perrito123: vamonos de aqui
[2021:04:28-04:53:23]  (Local) -> (LOCAL)[8]Azrael: megu
[2021:04:28-04:53:24]  (Local) -> (LOCAL)[3]PARCERO_[CDG]: mero tanque
[2021:04:28-04:53:25]  (Local) -> (LOCAL)[8]perrito123: nicole
[2021:04:28-04:53:25]  (Local) -> (LOCAL)[2]Juanma'ELN: q vehiculo
[2021:04:28-04:53:25]  (Local) -> (LOCAL)[8]BajaPantys420|4k: vamos a bailar
[2021:04:28-04:53:26]  (Local) -> (LOCAL)[4]PARCERO_[CDG]: Esta melo
[2021:04:28-04:53:27]  (Local) -> (LOCAL)[8]BajaPantys420|4k: salsita
[2021:04:28-04:53:28]  (Local) -> (LOCAL)[8]Nicole:): ok
[2021:04:28-04:53:29]  (Global) -> Dayer<3: enga ps
[2021:04:28-04:53:31]  (Local) -> (LOCAL)[7]perrito123: vamonos
[2021:04:28-04:53:32]  (Global) -> Infrasoul: Cuando
[2021:04:28-04:53:32]  (Local) -> (LOCAL)[5]BajaPantys420|4k: no quitate feo
[2021:04:28-04:53:34]  (Global) -> Valak!|#5EF5F7������: si
[2021:04:28-04:53:36]  (Global) -> Infrasoul: intento pedir mi vehiculo
[2021:04:28-04:53:44]  (Global) -> Infrasoul: oli
[2021:04:28-04:53:45]  (Local) -> (LOCAL)[4]Dayer<3: xd
[2021:04:28-04:53:45]  (Team - Criminals) -> (TEAM)MENORMAYOR/CDG/: /gc uy ñero la madre yo drifeo mucho
[2021:04:28-04:53:46]  (Global) -> Thean_Wolf|#F1F1F1ঔৣ☬: #00ff00 quien me aresta
[2021:04:28-04:53:49]  (Global) -> Juanma'ELN|#5EF5F7������: yo
[2021:04:28-04:53:50]  (Local) -> (LOCAL)[5]Andres_Ramires||2cb||: x
[2021:04:28-04:53:52]  (Team - Criminals) -> (TEAM)MENORMAYOR/CDG/: xd
[2021:04:28-04:53:53]  (Global) -> Infrasoul: Como saco mi carro si esta incautado ??
[2021:04:28-04:53:54]  (Local) -> (LOCAL)[5]Thean_Wolf: arestame
[2021:04:28-04:53:55]  (Global) -> Soltec|EVGays|#000000侍: Jasqui[6] alo
[2021:04:28-04:53:55]  (Local) -> (LOCAL)[10]Sarkasmus666: megu
[2021:04:28-04:53:58]  (Global) -> Valak!|#5EF5F7������: a
[2021:04:28-04:53:58]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Meguu~: dime
[2021:04:28-04:53:58]  (Global) -> tupsi29: inviten a su banda
[2021:04:28-04:54:00]  (Global) -> Feid: valak inviteme 
[2021:04:28-04:54:02]  (Local) -> (LOCAL)[4]perrito123: pere a ver
[2021:04:28-04:54:04]  (Local) -> (LOCAL)[0]MENORMAYOR/CDG/: hpt no me salio el copi
[2021:04:28-04:54:04]  (Global) -> Valak!|#5EF5F7������: vou
[2021:04:28-04:54:04]  (Global) -> Infrasoul: Hola]''
[2021:04:28-04:54:04]  (Local) -> (LOCAL)[1]perrito123: si nos sigue
[2021:04:28-04:54:04]  (Local) -> (LOCAL)[6]Sarkasmus666: como hacen para quitar tanto con la escopeta?
[2021:04:28-04:54:05]  (Global) -> Alcapone_: infrasoul
[2021:04:28-04:54:05]  (Local) -> (LOCAL)[1]perrito123: xddd
[2021:04:28-04:54:06]  (Global) -> Valak!|#5EF5F7������: voy
[2021:04:28-04:54:06]  (Global) -> Alcapone_: o
[2021:04:28-04:54:11]  (Local) -> (LOCAL)[1]Nicole:): suave
[2021:04:28-04:54:12]  (Local) -> (LOCAL)[6]Andres_Ramires||2cb||: usted no tiene micro?
[2021:04:28-04:54:13]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Meguu~: ya es practica xd
[2021:04:28-04:54:14]  (Global) -> ONI-CHAN: holi
[2021:04:28-04:54:15]  (Local) -> (LOCAL)[3]Thean_Wolf: :(
[2021:04:28-04:54:15]  (Global) -> TOBON_: Valak invita 
[2021:04:28-04:54:15]  (Global) -> Alcapone_: tienes que sacar el cel y dar a recuperar
[2021:04:28-04:54:15]  (Local) -> (LOCAL)[5]Valak!: matame de una yo enseño
[2021:04:28-04:54:16]  (Local) -> (LOCAL)[4]PARCERO_[CDG]: ARRESTEME XD
[2021:04:28-04:54:16]  (Local) -> (LOCAL)[2]Toloteli|2cb: olis
[2021:04:28-04:54:19]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Meguu~: el aim
[2021:04:28-04:54:19]  (Local) -> (LOCAL)[2]Nicole:): jajaja
[2021:04:28-04:54:19]  (Local) -> (LOCAL)[4]Dayer<3: yo si
[2021:04:28-04:54:27]  (Local) -> (LOCAL)[2]Juanma'ELN: si o no
[2021:04:28-04:54:27]  (Global) -> Infrasoul: Lo intento
[2021:04:28-04:54:28]  (Local) -> (LOCAL)[4]PARCERO_[CDG]: ESO XD
[2021:04:28-04:54:29]  (Local) -> (LOCAL)[5]Sarkasmus666: parce pero es que de una recarga me matan
[2021:04:28-04:54:29]  (Local) -> (LOCAL)[3]Thean_Wolf: si
[2021:04:28-04:54:30]  (Team - Services) -> (TEAM)Alcapone_: t
[2021:04:28-04:54:31]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Meguu~: poco a poco le vas cogiendo el truco
[2021:04:28-04:54:31]  (Global) -> Infrasoul: pero dice que esta incautado
[2021:04:28-04:54:31]  (Local) -> (LOCAL)[1]Nicole:): ese no es
[2021:04:28-04:54:31]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: wtf como 2-1
[2021:04:28-04:54:35]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: f por el parcero
[2021:04:28-04:54:37]  (Local) -> (LOCAL)[5]Sarkasmus666: increible jajajaj
[2021:04:28-04:54:42]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Meguu~: es que cuando disparas
[2021:04:28-04:54:42]  (Phone:SMS) -> From Nicole:) | To: Juanda:2cb | Message: juanda
[2021:04:28-04:54:43]  (Global) -> Valak!|#5EF5F7������: Feid acepte
[2021:04:28-04:54:43]  (Global) -> Alcapone_: tienes que darle a  mostrar recuperar y traer
[2021:04:28-04:54:46]  (Phone:SMS) -> From Nicole:) | To: Juanda:2cb | Message: es ocampo
[2021:04:28-04:54:46]  (Local) -> (LOCAL)[2]perrito123: si viste
[2021:04:28-04:54:49]  (Local) -> (LOCAL)[2]perrito123: soy hacker jajaja
[2021:04:28-04:54:49]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Meguu~: debes cambiar de arma como a la mitad de la recarga
[2021:04:28-04:54:49]  (Local) -> (LOCAL)[3]Toloteli|2cb: and caminando con un flow violente
[2021:04:28-04:54:51]  (Phone:SMS) -> From Nicole:) | To: Juanda:2cb | Message: espere
[2021:04:28-04:54:51]  (Local) -> (LOCAL)[2]Juanda:2cb: como vuelas
[2021:04:28-04:54:51]  (Local) -> (LOCAL)[3]TOBON_: oeee
[2021:04:28-04:54:52]  (Local) -> (LOCAL)[2]perrito123: no le digas a nadie
[2021:04:28-04:54:59]  (Phone:SMS) -> From Nicole:) | To: Juanda:2cb | Message: xd
[2021:04:28-04:55:00]  (Local) -> (LOCAL)[4]Sarkasmus666: como asi=?
[2021:04:28-04:55:05]  (Phone:SMS) -> From Nicole:) | To: Juanda:2cb | Message: que estamos mirando algo
[2021:04:28-04:55:06]  (Global) -> Feid: valak no aparece pa
[2021:04:28-04:55:07]  (Local) -> (LOCAL)[6]#7F7F7F|LG|#FF0000ELN!~>!PsIcKo?: deni
[2021:04:28-04:55:11]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000ELN!~>!PsIcKo?: quieres ser mi novio?
[2021:04:28-04:55:11]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispagedj-CDG|#9800D1GDT!: que
[2021:04:28-04:55:12]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: f por mi
[2021:04:28-04:55:15]  (Local) -> (LOCAL)[4]R~at~a~>|Z|: acepto
[2021:04:28-04:55:18]  (Local) -> (LOCAL)[4]DENII|CAPU: NO
[2021:04:28-04:55:19]  (Local) -> (LOCAL)[2]Toloteli|2cb: xd
[2021:04:28-04:55:20]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000ELN!~>!PsIcKo?: nono rata no
[2021:04:28-04:55:20]  (Local) -> (LOCAL)[2]Juanma'ELN: usted me cae bien
[2021:04:28-04:55:22]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000ELN!~>!PsIcKo?: noooooooooooooooo
[2021:04:28-04:55:24]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000ELN!~>!PsIcKo?: porque
[2021:04:28-04:55:26]  (Local) -> (LOCAL)[2]Nicole:): juanda
[2021:04:28-04:55:26]  (Global) -> Jasqui: jsajsajas nah alexis ni haciendo bugs ganas
[2021:04:28-04:55:27]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF0000ELN!~>!PsIcKo?: maldito capu
[2021:04:28-04:55:28]  (Global) -> Dayer<3: q paso
[2021:04:28-04:55:29]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: ADMIN los de duelos me quito las armas aghh
[2021:04:28-04:55:30]  (Global) -> Jasqui: juga limpio ._.
[2021:04:28-04:55:31]  (Global) -> Jasqui: Soltec|EVGays
[2021:04:28-04:55:32]  (Local) -> (LOCAL)[2]Juanda:2cb: dime
[2021:04:28-04:55:32]  (Global) -> Valak!|#5EF5F7������: va
[2021:04:28-04:55:35]  (Local) -> (LOCAL)[1]Nicole:): pare pare
[2021:04:28-04:55:35]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: :(
[2021:04:28-04:55:37]  (Global) -> Jasqui: donde estas
[2021:04:28-04:55:39]  (Local) -> (LOCAL)[3]Andres_Ramires||2cb||: graciassss
[2021:04:28-04:55:43]  (Local) -> (LOCAL)[3]Toloteli|2cb: banco
[2021:04:28-04:55:46]  (Local) -> (LOCAL)[5]BajaPantys420|4k: aa
[2021:04:28-04:55:49]  (Local) -> (LOCAL)[11]R~at~a~>|Z|: aja
[2021:04:28-04:55:49]  (Local) -> (LOCAL)[5]BajaPantys420|4k: papi
[2021:04:28-04:55:51]  (Local) -> (LOCAL)[11]R~at~a~>|Z|: robando carros
[2021:04:28-04:55:54]  (Local) -> (LOCAL)[5]BajaPantys420|4k: ustedes so nunos manes
[2021:04:28-04:55:55]  (Local) -> (LOCAL)[9]Juanda:2cb: dime
[2021:04:28-04:56:00]  (Local) -> (LOCAL)[0]tupsi29: quien me invita a una banda?
[2021:04:28-04:56:01]  (Local) -> (LOCAL)[9]Juanma'ELN: nea se me llevo el hr2
[2021:04:28-04:56:01]  (Local) -> (LOCAL)[9]Dayer<3: a
[2021:04:28-04:56:02]  (Local) -> (LOCAL)[5]Sarkasmus666: si
[2021:04:28-04:56:04]  (Local) -> (LOCAL)[9]Juanma'ELN: puto
[2021:04:28-04:56:05]  (Local) -> (LOCAL)[9]Andres_Ramires||2cb||: me soltaron xd
[2021:04:28-04:56:05]  (Local) -> (LOCAL)[9]Nicole:): mire wpp bobo
[2021:04:28-04:56:09]  (Global) -> Jasqui: Soltec|EVGays
[2021:04:28-04:56:11]  (Global) -> Jasqui: Soltec|EVGays.
[2021:04:28-04:56:12]  (Local) -> (LOCAL)[3]Toloteli|2cb: banco banco
[2021:04:28-04:56:16]  (Local) -> (LOCAL)[9]Juanda:2cb: cual wsp
[2021:04:28-04:56:17]  (Local) -> (LOCAL)[6]BajaPantys420|4k: cortese el pelo gei
[2021:04:28-04:56:17]  (Global) -> EightSectional57: mo
[2021:04:28-04:56:17]  (Local) -> (LOCAL)[8]Andres_Ramires||2cb||: xdddddddddddddddd
[2021:04:28-04:56:17]  (Global) -> tupsi29: quien me invita a una banda?
[2021:04:28-04:56:18]  (Local) -> (LOCAL)[8]Soltec|EVGays: a
[2021:04:28-04:56:19]  (Local) -> (LOCAL)[8]Juanma'ELN: a
[2021:04:28-04:56:20]  (Local) -> (LOCAL)[8]Juanda:2cb: no sera discordmas bien
[2021:04:28-04:56:23]  (Local) -> (LOCAL)[8]Juanma'ELN: no le duro la dichaz
[2021:04:28-04:56:23]  (Local) -> (LOCAL)[8]Dayer<3: xdddd
[2021:04:28-04:56:26]  (Local) -> (LOCAL)[8]Azrael: bro
[2021:04:28-04:56:28]  (Local) -> (LOCAL)[8]Nicole:): el de aca
[2021:04:28-04:56:29]  (Local) -> (LOCAL)[3]Toloteli|2cb: karma
[2021:04:28-04:56:29]  (Local) -> (LOCAL)[8]Andres_Ramires||2cb||: ajjajajjajjajajaajajajaj
[2021:04:28-04:56:30]  (Local) -> (LOCAL)[8]Jasqui: dime
[2021:04:28-04:56:32]  (Local) -> (LOCAL)[7]Juanda:2cb: ahhh
[2021:04:28-04:56:36]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: noooooo y lo mata toloteli ombe
[2021:04:28-04:56:44]  (Global) -> Dayer<3: zzzZ
[2021:04:28-04:56:47]  (Local) -> (LOCAL)[9]Azrael: a cuantos tengo que matar para que me den la doble changona
[2021:04:28-04:56:50]  (Phone:SMS) -> From Juanda:2cb | To: Nicole:) | Message: oki
[2021:04:28-04:56:52]  (Local) -> (LOCAL)[9]Jasqui: ni idea
[2021:04:28-04:56:54]  (Local) -> (LOCAL)[10]Jasqui: xd
[2021:04:28-04:56:55]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: Dayer<3[MP] eres mujer?
[2021:04:28-04:56:55]  (Global) -> tupsi29: eyy los del eln invitenmen a su banda
[2021:04:28-04:56:56]  (Local) -> (LOCAL)[6]R~at~a~>|Z|: xDD
[2021:04:28-04:56:57]  (Global) -> Toloteli|2cb: mk no lo mate a usted?
[2021:04:28-04:57:01]  (Local) -> (LOCAL)[10]Azrael: aaaa
[2021:04:28-04:57:03]  (Global) -> miguelito|CDG|: resign
[2021:04:28-04:57:04]  (Global) -> Valak!|#5EF5F7������: sapo
[2021:04:28-04:57:08]  (Local) -> (LOCAL)[9]Azrael: jajja
[2021:04:28-04:57:09]  (Global) -> #7F7F7F|LG|#FF0000#18AED9ELN!~>!PsIcKo?|#18AED9カプガン: Dayer<3[MP] eres mujer?
