This file was generated by Console at 2021:03:29-00:00:12



[2021:03:29-00:00:12]  (Local) -> (LOCAL)[3]KiraOwO~Capu: agh
[2021:03:29-09:21:16]  (Global) -> _SEMDS_|#18AED9カプガン: con macros y es mero malo
[2021:03:29-09:21:17]  (Global) -> _SEMDS_|#18AED9カプガン: dele pena
[2021:03:29-09:21:18]  (Global) -> TheCrazyPipeNeXus: no nada pa que pille
[2021:03:29-09:21:21]  (Global) -> Millos>~<David|#18AED9カプガン: XD
[2021:03:29-09:21:22]  (Global) -> TheCrazyPipeNeXus: eso no es makro jums
[2021:03:29-09:21:26]  (Global) -> TheCrazyPipeNeXus: yo ya me desactive el norecoil
[2021:03:29-09:21:28]  (Global) -> _SEMDS_|#18AED9カプガン: dele pena
[2021:03:29-09:21:30]  (Global) -> TheCrazyPipeNeXus: ese si era macro
[2021:03:29-09:21:30]  (Global) -> #FF8CE7Rata|Z||#FF8CE7✿: porke peleam
[2021:03:29-09:21:37]  (Global) -> Millos>~<David|#18AED9カプガン: nomsem
[2021:03:29-09:21:38]  (Local) -> (LOCAL)[3]_SEMDS_: hola
[2021:03:29-09:21:39]  (Local) -> (LOCAL)[3]_SEMDS_: q mas
[2021:03:29-09:21:41]  (Local) -> (LOCAL)[2]Rata|Z|: omla
[2021:03:29-09:21:46]  (Local) -> (LOCAL)[3]Rata|Z|: bn y tu
[2021:03:29-09:21:47]  (Local) -> (LOCAL)[1]TheCrazyPipeNeXus: mal
[2021:03:29-09:21:51]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: mimlloms damvimd
[2021:03:29-09:21:54]  (Team - Criminals) -> (TEAM)PERICOA7: QLQ
[2021:03:29-09:22:06]  (Global) -> TheCrazyPipeNeXus: viva el rosao
[2021:03:29-09:22:08]  (Team - Criminals) -> (TEAM)PERICOA7: MUSICA
[2021:03:29-09:22:11]  (Global) -> #FF8CE7Rata|Z||#FF8CE7✿: viva su cucha
[2021:03:29-09:22:16]  (Global) -> TheCrazyPipeNeXus: Y todo lo que entre por la nariz
[2021:03:29-09:22:18]  (Global) -> TheCrazyPipeNeXus: Boffff
[2021:03:29-09:22:23]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: ese culo bota caca
[2021:03:29-09:22:26]  (Local) -> (LOCAL)[3]Rata|Z|: xDD
[2021:03:29-09:22:28]  (Global) -> TheCrazyPipeNeXus: rico
[2021:03:29-09:22:40]  (Global) -> TheCrazyPipeNeXus: echarse par polvos con olor a mierda de fondo ajjaajjaa
[2021:03:29-09:22:45]  (Global) -> TheCrazyPipeNeXus: y que tenga pecuecua
[2021:03:29-09:22:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00lauuu: m
[2021:03:29-09:23:01]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: ash yo no le puedo pegar
[2021:03:29-09:23:02]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: si ve
[2021:03:29-09:23:08]  (Local) -> (LOCAL)[2]_SEMDS_: coje el revolver
[2021:03:29-09:23:12]  (Local) -> (LOCAL)[2]_SEMDS_: y le das a la r
[2021:03:29-09:23:13]  (Local) -> (LOCAL)[2]_SEMDS_: y ya
[2021:03:29-09:23:15]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: ya hice eso
[2021:03:29-09:23:16]  (Local) -> (LOCAL)[2]Rata|Z|: me puedes kikear con un
[2021:03:29-09:23:17]  (Local) -> (LOCAL)[2]Rata|Z|: mensaje
[2021:03:29-09:23:19]  (Local) -> (LOCAL)[3]Rata|Z|: q diga
[2021:03:29-09:23:22]  (Local) -> (LOCAL)[3]Rata|Z|: omla
[2021:03:29-09:23:23]  (Local) -> (LOCAL)[3]Rata|Z|: ?
[2021:03:29-09:23:25]  (Local) -> (LOCAL)[2]_SEMDS_: si pq
[2021:03:29-09:23:26]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: ok
[2021:03:29-09:23:26]  (Global) -> TheCrazyPipeNeXus: Nogh diosmio que estoy diciendo ya estoy muy amanecido
[2021:03:29-09:23:29]  (Local) -> (LOCAL)[3]Rata|Z|: ok grasias
[2021:03:29-09:23:30]  (Local) -> (LOCAL)[3]Rata|Z|: asta luego
[2021:03:29-09:23:33]  (Local) -> (LOCAL)[4]Rata|Z|: dame ki
[2021:03:29-09:23:43]  (Global) -> Millos>~<David|#18AED9カプガン: XD
[2021:03:29-09:23:48]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: sigue ud
[2021:03:29-09:23:48]  (Local) -> (LOCAL)[2]_SEMDS_: tu no te aburres de esto?
[2021:03:29-09:23:53]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: oe
[2021:03:29-09:23:58]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: usted es hombre?
[2021:03:29-09:24:05]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00lauuu: soy furra
[2021:03:29-09:24:09]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: n0000
[2021:03:29-09:24:11]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: k seso
[2021:03:29-09:24:33]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00lauuu: estas no son horas para hablar
[2021:03:29-09:24:51]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: bof
[2021:03:29-09:24:54]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: viven con sus papis?
[2021:03:29-09:25:22]  (Global) -> TheCrazyPipeNeXus: Qn vive con sus papis todavia
[2021:03:29-09:25:27]  (Global) -> TheCrazyPipeNeXus: Disq a esta hora no se activa el micro
[2021:03:29-09:25:28]  (Global) -> TheCrazyPipeNeXus: jajajajaja
[2021:03:29-09:25:35]  (Local) -> (LOCAL)[3]_SEMDS_: dale kick a ese bobotron
[2021:03:29-09:25:37]  (Local) -> (LOCAL)[3]_SEMDS_: q pereza
[2021:03:29-09:25:39]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00lauuu: nya
[2021:03:29-09:25:39]  (Global) -> TheCrazyPipeNeXus: ash no :c
[2021:03:29-09:25:43]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: nono :c
[2021:03:29-09:25:45]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: isculpen
[2021:03:29-09:25:48]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: no era mi intencion
[2021:03:29-09:25:56]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: n0 sea pesao mi vale
[2021:03:29-09:26:00]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: #FDE500Millos>~<David[6]
[2021:03:29-09:26:06]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: que no tengo sueño
[2021:03:29-09:26:16]  (Global) -> Millos>~<David|#18AED9カプガン: qqq
[2021:03:29-09:26:24]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: Minimo a las 4 pa echar un candelaz0
[2021:03:29-09:26:26]  (Local) -> (LOCAL)[3]_SEMDS_: oe
[2021:03:29-09:26:28]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: qhe tanto hace
[2021:03:29-09:26:37]  (Local) -> (LOCAL)[2]_SEMDS_: le vendo 29 palos por 13 lukas
[2021:03:29-09:26:46]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: por donde
[2021:03:29-09:26:49]  (Local) -> (LOCAL)[2]_SEMDS_: neki
[2021:03:29-09:26:54]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: pero eso es ilegal :c
[2021:03:29-09:26:59]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: la plena se los pasaria ya
[2021:03:29-09:27:00]  (Local) -> (LOCAL)[2]_SEMDS_: igual me voy del server
[2021:03:29-09:27:06]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: igual me dan ban a mi ajjaja
[2021:03:29-09:27:06]  (Local) -> (LOCAL)[2]_SEMDS_: a ud no le pasa nada
[2021:03:29-09:27:08]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: eso aplica para los 2
[2021:03:29-09:27:16]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: aplica al que vende
[2021:03:29-09:27:16]  (Local) -> (LOCAL)[2]_SEMDS_: qn se va a dar cuenta
[2021:03:29-09:27:19]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: el que compra no lo exime y el que vende tampoco
[2021:03:29-09:27:28]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: A bueno como son
[2021:03:29-09:27:32]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: Pero me da primero?
[2021:03:29-09:27:32]  (Global) -> Millos>~<David|#18AED9カプガン: no nada aca 
[2021:03:29-09:27:36]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: O le doy 5 lucas
[2021:03:29-09:27:37]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: y med a mitad
[2021:03:29-09:27:39]  (Local) -> (LOCAL)[2]_SEMDS_: los 26 palos por 13k
[2021:03:29-09:27:40]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: y luego 5
[2021:03:29-09:27:48]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: sisas pero como hacemos
[2021:03:29-09:27:52]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: pa que no me tumbe mis lks
[2021:03:29-09:28:00]  (Local) -> (LOCAL)[2]_SEMDS_: laura me banea si lo robo
[2021:03:29-09:28:04]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: ajajajajajaja
[2021:03:29-09:28:07]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00lauuu: yo superviso la kompra
[2021:03:29-09:28:16]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: bof
[2021:03:29-09:28:21]  (Local) -> (LOCAL)[2]_SEMDS_: tmbn
[2021:03:29-09:28:23]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: messirven pero sabe cuando
[2021:03:29-09:28:34]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: el 3 que paguen cuando me compre el esmeralda
[2021:03:29-09:28:37]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: le compro sus palos
[2021:03:29-09:28:39]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: brv
[2021:03:29-09:28:50]  (Local) -> (LOCAL)[2]_SEMDS_: bn
[2021:03:29-09:29:15]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: por que se va del sv?
[2021:03:29-09:29:17]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: nos vemos el 3
[2021:03:29-09:29:19]  (Local) -> (LOCAL)[2]_SEMDS_: me aburre
[2021:03:29-09:29:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: @semds
[2021:03:29-09:29:23]  (Local) -> (LOCAL)[3]_SEMDS_: m
[2021:03:29-09:29:25]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: ajajajja pues claro todo lo que lleva
[2021:03:29-09:29:26]  (Local) -> (LOCAL)[3]_SEMDS_: como q el 3
[2021:03:29-09:29:29]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: yo llevo apenas 5 dias
[2021:03:29-09:29:36]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: mire un calendario
[2021:03:29-09:29:38]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: --
[2021:03:29-09:29:39]  (Local) -> (LOCAL)[2]_SEMDS_: yo llevo desde diciembre del 2019
[2021:03:29-09:29:41]  (Local) -> (LOCAL)[3]_SEMDS_: pere
[2021:03:29-09:29:42]  (Local) -> (LOCAL)[3]_SEMDS_: ya miro
[2021:03:29-09:29:43]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: bbbbboffffffff
[2021:03:29-09:29:52]  (Global) -> Millos>~<David|#18AED9カプガン: laugg no entra al dc de capu que falsetina
[2021:03:29-09:29:54]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: yo he jugado sv colombianos restos
[2021:03:29-09:29:57]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: pero ninguno como este
[2021:03:29-09:30:02]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: ay ya voy
[2021:03:29-09:30:03]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: me gusta mucho asi me tiren la mala sh
[2021:03:29-09:30:06]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: por andar hablando
[2021:03:29-09:30:10]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: pero me gusta hablar k culpa :c
[2021:03:29-09:30:17]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: yo estoy desde abril del año pasao
[2021:03:29-09:30:21]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: melo
[2021:03:29-09:30:30]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: yo quiero lanzarme pa dj ojala pase
[2021:03:29-09:30:31]  (Global) -> Millos>~<David|#18AED9カプガン: laugg baja a  capuchitos por inactividad
[2021:03:29-09:30:33]  (Global) -> Millos>~<David|#18AED9カプガン: a
[2021:03:29-09:30:36]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン:  nooo
[2021:03:29-09:30:38]  (Local) -> (LOCAL)[2]_SEMDS_: el tre es el juebes
[2021:03:29-09:30:39]  (Local) -> (LOCAL)[2]_SEMDS_: lauro?
[2021:03:29-09:30:43]  (Global) -> Millos>~<David|#18AED9カプガン: bueno buen
[2021:03:29-09:30:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: que
[2021:03:29-09:30:48]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: es sabado
[2021:03:29-09:30:50]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: oe d bna tiene 29 palos
[2021:03:29-09:30:57]  (Local) -> (LOCAL)[3]_SEMDS_: 26
[2021:03:29-09:31:01]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: me va a prestar pa un hot racer y le doy 5 7 lucas mañana mismo
[2021:03:29-09:31:07]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: es que estamos tomando con mi cucha
[2021:03:29-09:31:11]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: y pa darselos ya no agt
[2021:03:29-09:31:19]  (Local) -> (LOCAL)[3]_SEMDS_: es q el neki no es mio
[2021:03:29-09:31:20]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: aya
[2021:03:29-09:31:28]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: no importa del que sea
[2021:03:29-09:31:30]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: se los paso por paypal
[2021:03:29-09:31:38]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: por donde quiera pero presteme pa un hot racer xd
[2021:03:29-09:31:48]  (Local) -> (LOCAL)[4]_SEMDS_: cuanto tiene en neki?
[2021:03:29-09:31:55]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: lo de un esmeralda
[2021:03:29-09:31:59]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: pero me faltan 5 lucas
[2021:03:29-09:32:03]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: por eso me compre diamond
[2021:03:29-09:32:07]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: hasta el 3
[2021:03:29-09:32:09]  (Local) -> (LOCAL)[4]_SEMDS_: cuando se le acaba el vip?
[2021:03:29-09:32:10]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: por eso le digo...
[2021:03:29-09:32:14]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: que el 3 le doy sus lks
[2021:03:29-09:32:23]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: #FDE500Millos>~<David[6]
[2021:03:29-09:32:25]  (Global) -> Millos>~<David|#18AED9カプガン: qq
[2021:03:29-09:32:34]  (Local) -> (LOCAL)[3]_SEMDS_: jum
[2021:03:29-09:32:34]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: Si me presta pa un hot racer?
[2021:03:29-09:32:36]  (Local) -> (LOCAL)[4]_SEMDS_: nose broder
[2021:03:29-09:32:37]  (Global) -> Millos>~<David|#18AED9カプガン: hola lauuu[MP] quieri ser segunda linea?
[2021:03:29-09:32:41]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: sippp
[2021:03:29-09:32:42]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: Jums usted ya no juega :c
[2021:03:29-09:32:45]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: yo soy nuevo
[2021:03:29-09:32:48]  (Local) -> (LOCAL)[4]_SEMDS_: pero
[2021:03:29-09:32:49]  (Global) -> Millos>~<David|#18AED9カプガン: hoy no la subo mañana si
[2021:03:29-09:32:50]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: bn mal se lo juro yo le doy las lukas
[2021:03:29-09:32:50]  (Local) -> (LOCAL)[3]_SEMDS_: necesito la luka
[2021:03:29-09:32:53]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: por eso
[2021:03:29-09:32:53]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: ba
[2021:03:29-09:32:57]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: yo soy portador de lukas
[2021:03:29-09:32:58]  (Local) -> (LOCAL)[3]_SEMDS_: pa verme con esta mujer
[2021:03:29-09:33:06]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: mañana le doy 7 k
[2021:03:29-09:33:11]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: y el 3 9k
[2021:03:29-09:33:22]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: pero si me presta pa el hot y luego si me da el resto
[2021:03:29-09:33:31]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: de bna yo he tenido 2 vips
[2021:03:29-09:33:35]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: en 5 dias que llevo en el sv
[2021:03:29-09:33:38]  (Local) -> (LOCAL)[2]TheCrazyPipeNeXus: pobre no soy
[2021:03:29-09:33:48]  (Local) -> (LOCAL)[3]_SEMDS_: mas bn el 3 me manda todo
[2021:03:29-09:33:57]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: pero 5 palitos para usted no son nada :c
[2021:03:29-09:33:58]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: se va
[2021:03:29-09:34:01]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: solo es que me los preste
[2021:03:29-09:34:06]  (Local) -> (LOCAL)[3]Millos>~<David: pa eso me los da a mi :vv
[2021:03:29-09:34:08]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: si me interesa comprarle los otros 21
[2021:03:29-09:34:32]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00lauuu: bueno yo solo sé que si aquí hay tumbao yo baneo
[2021:03:29-09:34:40]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: jajaja no nada
[2021:03:29-09:34:42]  (Local) -> (LOCAL)[3]Millos>~<David: ajuepuerca
[2021:03:29-09:34:43]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: a mi el 3 me consiga mi qcha
[2021:03:29-09:34:49]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: mis 50 lucas pa gastarme en juegos
[2021:03:29-09:35:01]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: y vamos k vamos por ese vip esmeralda
[2021:03:29-09:35:06]  (Local) -> (LOCAL)[3]Millos>~<David: el 3 pague todo y el 3 le dan todo >.<
[2021:03:29-09:35:14]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: ash
[2021:03:29-09:35:17]  (Local) -> (LOCAL)[4]_SEMDS_: ps sisas
[2021:03:29-09:35:18]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: pero quiero un hot 1
[2021:03:29-09:35:21]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: me faltan 2p alos
[2021:03:29-09:35:22]  (Global) -> Millos>~<David|#18AED9カプガン: thecrazypipelocura
[2021:03:29-09:35:24]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: digo tengo 2 palos
[2021:03:29-09:35:29]  (Global) -> TheCrazyPipeNeXus: sr
[2021:03:29-09:35:29]  (Local) -> (LOCAL)[4]Millos>~<David: le vendo este bea
[2021:03:29-09:35:31]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00lauuu: kuanto le falta
[2021:03:29-09:35:37]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: 5 o 6
[2021:03:29-09:35:39]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: :C
[2021:03:29-09:35:44]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00lauuu: aa no no me alkanza
[2021:03:29-09:35:47]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: ash
[2021:03:29-09:35:49]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: sh
[2021:03:29-09:35:50]  (Local) -> (LOCAL)[4]Millos>~<David: le vendo en 9 porq era de sems
[2021:03:29-09:35:58]  (Local) -> (LOCAL)[3]Millos>~<David: el runrun
[2021:03:29-09:36:00]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: a ver como corre
[2021:03:29-09:36:14]  (Global) -> TheCrazyPipeNeXus: rico la vd
[2021:03:29-09:36:17]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00lauuu: jjajj ñero lo robaron
[2021:03:29-09:36:22]  (Global) -> TheCrazyPipeNeXus: y el hot 2 cuanto vale
[2021:03:29-09:36:33]  (Local) -> (LOCAL)[3]_SEMDS_: el htr2 es del bundle de 35k
[2021:03:29-09:36:36]  (Global) -> Millos>~<David|#18AED9カプガン: vale lo de un bundle
[2021:03:29-09:36:40]  (Global) -> Millos>~<David|#18AED9カプガン: de 35k
[2021:03:29-09:36:42]  (Global) -> Millos>~<David|#18AED9カプガン: Bvvv
[2021:03:29-09:36:44]  (Global) -> TheCrazyPipeNeXus: Bof
[2021:03:29-09:36:53]  (Global) -> Millos>~<David|#18AED9カプガン: comprese ese en ves del esmeralda
[2021:03:29-09:36:54]  (Local) -> (LOCAL)[4]_SEMDS_: el ht3 es del bundle pasao
[2021:03:29-09:36:56]  (Global) -> TheCrazyPipeNeXus: Me compraria el bundle pero con eso me compro una keta de 10ml
[2021:03:29-09:36:59]  (Global) -> TheCrazyPipeNeXus: y me soplo un puntico
[2021:03:29-09:37:02]  (Global) -> TheCrazyPipeNeXus: jajjjajaa
[2021:03:29-09:37:07]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: aya
[2021:03:29-09:37:07]  (Global) -> Millos>~<David|#18AED9カプガン: no que le dan 50k?xd
[2021:03:29-09:37:16]  (Global) -> TheCrazyPipeNeXus: Si pero tortolo 35k en un bundle
[2021:03:29-09:37:16]  (Global) -> Millos>~<David|#18AED9カプガン: 35k pa tiki el bundle
[2021:03:29-09:37:23]  (Global) -> TheCrazyPipeNeXus: si tengo que estudiar aveces resto matematicas
[2021:03:29-09:37:25]  (Global) -> Millos>~<David|#18AED9カプガン: 13 pa los de sme
[2021:03:29-09:37:25]  (Global) -> TheCrazyPipeNeXus:  y estoy afk
[2021:03:29-09:37:29]  (Team - Emergency) -> (TEAM)PERICOA7: PERMISO
[2021:03:29-09:37:36]  (Global) -> TheCrazyPipeNeXus: A eso si me interesa lod el socio semd
[2021:03:29-09:37:41]  (Global) -> Millos>~<David|#18AED9カプガン: me presta su cuenta y yo le doy uso XDD
[2021:03:29-09:37:42]  (Global) -> TheCrazyPipeNeXus: eso si esas 13k me las gasto si o si
[2021:03:29-09:37:45]  (Global) -> PERICOA7: AHS
[2021:03:29-09:37:54]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: LO ROBon
[2021:03:29-09:37:54]  (Local) -> (LOCAL)[4]TheCrazyPipeNeXus: jajajaja ya desperdicie 13 dias de diamond
[2021:03:29-09:37:57]  (Global) -> PERICOA7: QUIEN ME PRESTA UN CARRO
[2021:03:29-09:38:03]  (Global) -> Millos>~<David|#18AED9カプガン: su cucha
[2021:03:29-09:38:04]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00lauuu: vea
[2021:03:29-09:38:07]  (Global) -> TheCrazyPipeNeXus: como son carreras a ver
[2021:03:29-09:38:19]  (Global) -> Millos>~<David|#18AED9カプガン: quien pa prendesrse a puño finp?
[2021:03:29-09:38:35]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: le presto y me saca asi
[2021:03:29-09:38:36]  (Global) -> TheCrazyPipeNeXus: Como son carreraaaaaaaaaaas
[2021:03:29-09:38:37]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: .l.
[2021:03:29-09:38:46]  (Global) -> Millos>~<David|#18AED9カプガン: entre sme
[2021:03:29-09:38:50]  (Global) -> TheCrazyPipeNeXus: entren a  carreritas wapos :c
[2021:03:29-09:38:56]  (Global) -> Millos>~<David|#18AED9カプガン: entre lau jiji
[2021:03:29-09:38:58]  (Global) -> TheCrazyPipeNeXus: ./entrarcarrera GoKaRT
[2021:03:29-09:38:59]  (Global) -> Millos>~<David|#18AED9カプガン: laujiji
[2021:03:29-09:38:59]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: como
[2021:03:29-09:39:08]  (Global) -> Millos>~<David|#18AED9カプガン:  /entrarcarrera GoKaRT
[2021:03:29-09:39:14]  (Global) -> PERICOA7: DERRAPA MELO
[2021:03:29-09:39:21]  (Global) -> TheCrazyPipeNeXus: es de nrg-500 asi que los puntos estan en curvas como un circuito real
[2021:03:29-09:39:23]  (Global) -> TheCrazyPipeNeXus: ./entrarcarrera GoKaRT
[2021:03:29-09:39:33]  (Global) -> Millos>~<David|#18AED9カプガン: laugigi
[2021:03:29-09:39:35]  (Global) -> _SEMDS_|#18AED9カプガン:  /bind w quit
[2021:03:29-09:39:40]  (Global) -> Millos>~<David|#18AED9カプガン: XD
[2021:03:29-09:39:42]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: noooo
[2021:03:29-09:39:44]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: que lag
[2021:03:29-09:39:46]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: jswchnaijfwe
[2021:03:29-09:39:48]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: wtf
[2021:03:29-09:39:50]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: a mi no
[2021:03:29-09:39:50]  (Global) -> Millos>~<David|#18AED9カプガン:  /bind w exit
[2021:03:29-09:39:55]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: PERICOA7 se lo regalo
[2021:03:29-09:39:59]  (Global) -> Millos>~<David|#18AED9カプガン: no no
[2021:03:29-09:41:00]  (Global) -> Millos>~<David|#18AED9カプガン: ozo
[2021:03:29-09:41:01]  (Global) -> Millos>~<David|#18AED9カプガン: izi
[2021:03:29-09:41:08]  (Global) -> TheCrazyPipeNeXus: y lau :c
[2021:03:29-09:41:13]  (Global) -> _SEMDS_|#18AED9カプガン: lau -1 fps
