This file was generated by Console at 2020:10:12-00:00:00



[2020:10:12-00:00:00]  (Local) -> (LOCAL)[17][EVG]Orgalor: Chys
[2020:10:12-08:55:02]  (Team - Law Enforcement) -> (TEAM)[CAPU]RickSanchezC-666: si entendio?
[2020:10:12-08:55:05]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: wao
[2020:10:12-08:55:05]  (Global) -> 2cB'Santi:): Noooooooooo balaclava no activó el bafle :((
[2020:10:12-08:55:10]  (Team - Law Enforcement) -> (TEAM)[CAPU]RickSanchezC-666: u chat equipo
[2020:10:12-08:55:11]  (Global) -> #7F7F7F|CVR|#FFFB00Khausu: paila
[2020:10:12-08:55:15]  (Local) -> (LOCAL)[3]2cb'Python: ese es el carro fantastico
[2020:10:12-08:55:16]  (Local) -> (LOCAL)[3]Willy: aaa sapo
[2020:10:12-08:55:20]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: ojo
[2020:10:12-08:55:21]  (Local) -> (LOCAL)[4][Z]Osama_Bin_Laden: aaaaaaaahhhhhhhhhh la wifi de venezuela aaaaaaaaaaaahhhhhhhhhh
[2020:10:12-08:55:21]  (Global) -> PapiCaliche: carro costeño pa
[2020:10:12-08:55:22]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: lo estallo
[2020:10:12-08:55:25]  (Local) -> (LOCAL)[4][ZETAS]JUAN-AA: aaaaa
[2020:10:12-08:55:30]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: apostemos 200k tussy
[2020:10:12-08:55:31]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: ya le dije
[2020:10:12-08:55:35]  (Local) -> (LOCAL)[4][ZETAS]JUAN-AA: que paso??
[2020:10:12-08:55:36]  (Local) -> (LOCAL)[2]2cb'tussy: como asi
[2020:10:12-08:55:36]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: una carrerita
[2020:10:12-08:55:38]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: permiso
[2020:10:12-08:55:40]  (Local) -> (LOCAL)[2]2cb'tussy: estoy apenas recuperando palta
[2020:10:12-08:55:41]  (Local) -> (LOCAL)[2]2cb'tussy: plata
[2020:10:12-08:55:43]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: XD
[2020:10:12-08:55:46]  (Local) -> (LOCAL)[2]2cb'tussy: no ve q gaste 100 palos
[2020:10:12-08:55:46]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: paq me gane
[2020:10:12-08:55:47]  (Local) -> (LOCAL)[2]2cb'tussy: hppp
[2020:10:12-08:55:50]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: XD
[2020:10:12-08:55:50]  (Local) -> (LOCAL)[3][Z]Osama_Bin_Laden: kevin le compro el avioncito
[2020:10:12-08:55:50]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: que conste
[2020:10:12-08:55:50]  (Global) -> #7F7F7F|CVR|#FFFB00Khausu: peguelo
[2020:10:12-08:55:51]  (Global) -> 2cb'Q'Piskero: humilde
[2020:10:12-08:55:52]  (Global) -> PapiCaliche: PERMISO
[2020:10:12-08:55:57]  (Local) -> (LOCAL)[3][Zetas]^LartPopper^: me salvaron?
[2020:10:12-08:56:00]  (Global) -> PapiCaliche: PERMISO
[2020:10:12-08:56:04]  (Local) -> (LOCAL)[2]2cb'tussy: na
[2020:10:12-08:56:07]  (Local) -> (LOCAL)[2]2cb'tussy: esa gasolina re cara
[2020:10:12-08:56:07]  (Global) -> ElPipa: Sisas
[2020:10:12-08:56:07]  (Local) -> (LOCAL)[3][Zetas]ElGordo: sisas
[2020:10:12-08:56:09]  (Local) -> (LOCAL)[3][Zetas]^LartPopper^: me salvaron?
[2020:10:12-08:56:09]  (Global) -> [ZETAS]JUAN-AA: nooooooooooooooo kevin que paso??
[2020:10:12-08:56:15]  (Local) -> (LOCAL)[2]2cb'Q'Piskero: siza
[2020:10:12-08:56:17]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: nadie peude coger mi nave
[2020:10:12-08:56:19]  (Global) -> [ZETAS]JUAN-AA: nooooooooooooooo kevin que paso??
[2020:10:12-08:56:20]  (Local) -> (LOCAL)[3][Zetas]^LartPopper^: si o no
[2020:10:12-08:56:21]  (Global) -> [ZETAS]JUAN-AA: que paso??
[2020:10:12-08:56:23]  (Local) -> (LOCAL)[2]2cb'tussy: vamos pa bigear
[2020:10:12-08:56:24]  (Local) -> (LOCAL)[3][Zetas]ElGordo: sisas
[2020:10:12-08:56:26]  (Global) -> ElPipa: Ese tombo nos venía jodiendo hace rato también
[2020:10:12-08:56:29]  (Local) -> (LOCAL)[3][Zetas]^LartPopper^: picos bb
[2020:10:12-08:56:31]  (Local) -> (LOCAL)[3][Zetas]ElGordo: con ese pirobo tombo
[2020:10:12-08:56:33]  (Global) -> ElPipa: La buena
[2020:10:12-08:56:42]  (Local) -> (LOCAL)[2]2cb'Python: toca mapearle unos asientos extra
[2020:10:12-08:56:45]  (Local) -> (LOCAL)[2]2cb'tussy: :V
[2020:10:12-08:56:49]  (Local) -> (LOCAL)[2]2cb'Python: :v
[2020:10:12-08:56:51]  (Local) -> (LOCAL)[2]2cb'tussy: q
[2020:10:12-08:56:55]  (Local) -> (LOCAL)[2]2cb'tussy: na
[2020:10:12-08:56:56]  (Global) -> 2cb'Q'Piskero: uu q
[2020:10:12-08:56:59]  (Global) -> #7F7F7F|CVR|#FFFB00Khausu: pruebas
[2020:10:12-08:57:04]  (Local) -> (LOCAL)[3]2cb'tussy: na capu
[2020:10:12-08:57:05]  (Local) -> (LOCAL)[3]2cb'tussy: no seas asi
[2020:10:12-08:57:07]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: uy gono
[2020:10:12-08:57:07]  (Local) -> (LOCAL)[3]2cb'tussy: ya nos ibamos
[2020:10:12-08:57:14]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: aaa perdon
[2020:10:12-08:57:19]  (Local) -> (LOCAL)[3]2cb'tussy: vamos a driftear
[2020:10:12-08:57:21]  (Local) -> (LOCAL)[3]2cb'Q'Piskero: vamo
[2020:10:12-08:57:23]  (Global) -> [GT]Jhojan: q chimba jugara esta hora y ir a 17 fps
[2020:10:12-08:57:25]  (Global) -> [GT]Jhojan: xd
[2020:10:12-08:58:45]  (Global) -> 2cb'tussy: ey 
[2020:10:12-08:58:48]  (Local) -> (LOCAL)[3]Willy: dejeme probarlo
[2020:10:12-08:58:50]  (Global) -> 2cb'Q'Piskero: oe
[2020:10:12-08:58:51]  (Global) -> 2cb'Q'Piskero: vea
[2020:10:12-08:58:53]  (Global) -> 2cb'tussy: pq se quedaron callados los zetas
[2020:10:12-08:58:54]  (Global) -> [Zetas]Londo: el ping mas chima es el mio
[2020:10:12-08:58:55]  (Global) -> 2cb'tussy: :-.XD
[2020:10:12-08:59:00]  (Global) -> #7F7F7F|CVR|#FF0000OjosTristes: por que los mande a dormir
[2020:10:12-08:59:06]  (Global) -> 2cb'tussy: a
[2020:10:12-08:59:11]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: rata hp
[2020:10:12-08:59:14]  (Local) -> (LOCAL)[2]2cb'tussy: bno
[2020:10:12-08:59:15]  (Local) -> (LOCAL)[2]2cb'tussy: metanse
[2020:10:12-08:59:19]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: sali sin miedo perra
[2020:10:12-08:59:25]  (Global) -> PapiCaliche: RAP Y HIERBAS
[2020:10:12-08:59:26]  (Global) -> PapiCaliche: ....
[2020:10:12-08:59:31]  (Global) -> 2cb'Q'Piskero: q gva
[2020:10:12-08:59:37]  (Global) -> 2cb'Q'Piskero: si es both
[2020:10:12-08:59:39]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: hp lag tenes
[2020:10:12-08:59:41]  (Global) -> 2cb'Q'Piskero: XDDDD
[2020:10:12-08:59:44]  (Global) -> 2cb'Q'Piskero: ese tussy
[2020:10:12-08:59:48]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: tenes severo lag
[2020:10:12-08:59:51]  (Global) -> [M19]arete[GT]: excusas
[2020:10:12-08:59:52]  (Global) -> 2cB'Santi:): mis FPS putos raros estan en 30 y me va como si estuviera en 2
[2020:10:12-08:59:53]  (Global) -> PapiCaliche: de envigado pa tu esquina
[2020:10:12-08:59:53]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: sin taser
[2020:10:12-08:59:55]  (Local) -> (LOCAL)[9]2cb'Python: puedo manejarlo
[2020:10:12-08:59:56]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: dae
[2020:10:12-08:59:58]  (Local) -> (LOCAL)[9]2cb'Q'Piskero: uy
[2020:10:12-08:59:59]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: nooooo
[2020:10:12-09:00:01]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: a uziz
[2020:10:12-09:00:01]  (Local) -> (LOCAL)[9]2cb'tussy: LA EXOTICA
[2020:10:12-09:00:02]  (Local) -> (LOCAL)[9]2cb'Q'Piskero: me quede sin musica espere
[2020:10:12-09:00:03]  (Global) -> [M19]arete[GT]: sin laser
[2020:10:12-09:00:07]  (Local) -> (LOCAL)[9]2cb'Python: no haré nada malo:c
[2020:10:12-09:00:10]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF0000[GTD]KevinOcampo: nooooo
[2020:10:12-09:00:13]  (Global) -> [Zetas]^LartPopper^: me cogiste con taser sapa
[2020:10:12-09:00:13]  (Local) -> (LOCAL)[8]2cb'Python: :cc
[2020:10:12-09:00:14]  (Local) -> (LOCAL)[8]2cb'tussy: XD
[2020:10:12-09:00:15]  (Local) -> (LOCAL)[8]Willy: yo q no tengo carro
[2020:10:12-09:00:16]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF7C00 Catre: hola
[2020:10:12-09:00:20]  (Local) -> (LOCAL)[8]2cb'tussy: ola
[2020:10:12-09:00:25]  (Local) -> (LOCAL)[8]2cb'Q'Piskero: va
[2020:10:12-09:00:26]  (Local) -> (LOCAL)[8]2cb'tussy: ey espere veo si mi elegy vuela
[2020:10:12-09:00:31]  (Global) -> 2cb'tussy: XDD
[2020:10:12-09:00:34]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: xddd
[2020:10:12-09:00:34]  (Global) -> 2cB'Santi:): XD
[2020:10:12-09:00:35]  (Global) -> 2cb'Q'Piskero: XD
[2020:10:12-09:00:49]  (Local) -> (LOCAL)[6]2cb'tussy: bno ya no vuela
[2020:10:12-09:00:51]  (Local) -> (LOCAL)[6]2cb'tussy: como fue
[2020:10:12-09:00:55]  (Global) -> 2cb'tussy: a donde te gfuiste
[2020:10:12-09:00:56]  (Global) -> 2cb'Python: habertp
[2020:10:12-09:00:57]  (Global) -> 2cb'tussy: piskero
[2020:10:12-09:00:58]  (Global) -> 2cb'tussy: .l.
[2020:10:12-09:01:04]  (Global) -> [Zetas]^LartPopper^: te digo sin tasery es lo primero que sacas ome
[2020:10:12-09:01:06]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Catre: tussy se retira del pvp para dft
[2020:10:12-09:01:09]  (Local) -> (LOCAL)[6]2cb'tussy: si
[2020:10:12-09:01:11]  (Local) -> (LOCAL)[6]2cb'Q'Piskero: :V
[2020:10:12-09:01:15]  (Local) -> (LOCAL)[7]2cb'tussy: LA EXOTICA
[2020:10:12-09:01:31]  (Global) -> PapiCaliche: es mbz baby
[2020:10:12-09:01:44]  (Global) -> [GT]Jhojan: ey admin ayuda
[2020:10:12-09:01:53]  (Global) -> [GT]Jhojan: ey admin
[2020:10:12-09:01:55]  (Global) -> #7F7F7F|CVR|#FF0000OjosTristes: que pasa?
[2020:10:12-09:02:02]  (Global) -> [GT]Jhojan: llega a el banco
[2020:10:12-09:02:11]  (Global) -> [GT]Jhojan: camilashade esta afk y no me deja entrar
[2020:10:12-09:02:14]  (Local) -> (LOCAL)[2][ZETAS]JUAN-AA: añañay
[2020:10:12-09:02:16]  (Global) -> [GT]Jhojan: esta como bug ella
[2020:10:12-09:02:22]  (Local) -> (LOCAL)[1][ZETAS]JUAN-AA: quero esa skin :(
[2020:10:12-09:02:22]  (Global) -> [GT]Jhojan: 2cb'Camilashade
[2020:10:12-09:02:27]  (Global) -> PapiCaliche: parcerito q pena será q ud es tan amable y
[2020:10:12-09:02:27]  (Global) -> 2cb'tussy: NA
[2020:10:12-09:02:30]  (Global) -> [GT]Jhojan: yaa
[2020:10:12-09:02:36]  (Local) -> (LOCAL)[0]2cb'Camilashade: lo siento
[2020:10:12-09:02:52]  (Global) -> Willy: NO ME DEJE AQUII
[2020:10:12-09:02:56]  (Global) -> #7F7F7F|CVR|#A9A9A9 Khausu: E
[2020:10:12-09:02:58]  (Global) -> #7F7F7F|CVR|#A9A9A9 Khausu: tarde
[2020:10:12-09:02:58]  (Global) -> [ZETAS]JUAN-AA: no
[2020:10:12-09:04:06]  (Local) -> (LOCAL)[1][ZETAS]JUAN-AA: por que me matas?? :( soy hombre de bien
[2020:10:12-09:04:14]  (Global) -> 2cb'tussy: piskero hp
[2020:10:12-09:04:14]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Esque me disparaste
[2020:10:12-09:04:18]  (Global) -> 2cb'tussy: te saltas las curvas y me haces chocar
[2020:10:12-09:04:19]  (Global) -> 2cb'tussy: .l.
[2020:10:12-09:04:19]  (Local) -> (LOCAL)[2][ZETAS]JUAN-AA: no ;/(
[2020:10:12-09:04:20]  (Global) -> 2cB'Santi:): tussy
[2020:10:12-09:04:22]  (Global) -> 2cB'Santi:): tussy
[2020:10:12-09:04:22]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Hola
[2020:10:12-09:04:23]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: como seria
[2020:10:12-09:04:24]  (Global) -> [CAPU]RickSanchezC-666: sorry
[2020:10:12-09:04:24]  (Global) -> 2cb'Q'Piskero: cual curvas
[2020:10:12-09:04:25]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: nooo
[2020:10:12-09:04:25]  (Global) -> 2cb'tussy: q
[2020:10:12-09:04:26]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: drift en este
[2020:10:12-09:04:27]  (Global) -> [CAPU]RickSanchezC-666: xd
[2020:10:12-09:04:27]  (Global) -> 2cb'Q'Piskero: me volque
[2020:10:12-09:04:28]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Quieto
[2020:10:12-09:04:29]  (Global) -> 2cb'Q'Piskero: y la pilotie
[2020:10:12-09:04:30]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: hp
[2020:10:12-09:04:31]  (Local) -> (LOCAL)[2][ZETAS]JUAN-AA: f
[2020:10:12-09:04:31]  (Global) -> 2cB'Santi:): me lleva a la base de la gang?
[2020:10:12-09:04:31]  (Global) -> 2cb'Q'Piskero: y segui
[2020:10:12-09:04:34]  (Global) -> 2cb'Q'Piskero: malo hp
[2020:10:12-09:04:36]  (Global) -> 2cb'tussy: ahora
[2020:10:12-09:04:45]  (Global) -> #7F7F7F|CVR|#FF7C00 Khausu: caliche turfeando woow
[2020:10:12-09:04:46]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: me llevas
[2020:10:12-09:04:48]  (Global) -> #7F7F7F|CVR|#FF7C00 Khausu: 4 / 0
[2020:10:12-09:04:49]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: XDDDDDDD
[2020:10:12-09:04:56]  (Global) -> [CAPU]RickSanchezC-666: jajaj
[2020:10:12-09:04:59]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Hola rick
[2020:10:12-09:05:00]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: xdddddddddddddd
[2020:10:12-09:05:00]  (Global) -> [ZETAS]JUAN-AA: curioso mira
[2020:10:12-09:05:02]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: nea pieskeri
[2020:10:12-09:05:03]  (Global) -> 2cb'Q'Piskero: XD
[2020:10:12-09:05:04]  (Local) -> (LOCAL)[2][CAPU]RickSanchezC-666: no lei bien
[2020:10:12-09:05:05]  (Global) -> 2cb'Q'Piskero: naa
[2020:10:12-09:05:05]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: XD
[2020:10:12-09:05:07]  (Global) -> [ZETAS]JUAN-AA: me bugueaste la ropa de cj
[2020:10:12-09:05:08]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: que miro
[2020:10:12-09:05:09]  (Global) -> 2cb'Q'Piskero: XDDDD
[2020:10:12-09:05:15]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: bno
[2020:10:12-09:05:17]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: ME LLEVAS
[2020:10:12-09:05:18]  (Global) -> [GT]KhaiJuanes: quien esta en la radio?
[2020:10:12-09:05:19]  (Global) -> 2cb'Q'Piskero: lleveme ud
[2020:10:12-09:05:19]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: XDDDDDDDD
[2020:10:12-09:05:20]  (Local) -> (LOCAL)[2][CAPU]RickSanchezC-666: las estrellas
[2020:10:12-09:05:21]  (Local) -> (LOCAL)[2][ZETAS]JUAN-AA: ok , chao
[2020:10:12-09:05:23]  (Global) -> PapiCaliche: nah maricon
[2020:10:12-09:05:25]  (Local) -> (LOCAL)[2][ZETAS]JUAN-AA: que man tan raro
[2020:10:12-09:05:26]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: PEGUESE
[2020:10:12-09:05:28]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: a
[2020:10:12-09:05:30]  (Global) -> [CAPU]RickSanchezC-666: sorry men
[2020:10:12-09:05:31]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: bno
[2020:10:12-09:05:33]  (Global) -> [CAPU]RickSanchezC-666: xD
[2020:10:12-09:05:34]  (Global) -> [GT]Jhojan: [GT]KhaiJuanes, un bot
[2020:10:12-09:05:36]  (Global) -> 2cb'Q'Piskero: añañaaai wao
[2020:10:12-09:05:39]  (Global) -> 2cb'Q'Piskero: drift aereo
[2020:10:12-09:05:41]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Xao bb
[2020:10:12-09:05:43]  (Global) -> 2cb'Q'Piskero: guaracha air
[2020:10:12-09:05:43]  (Global) -> #7F7F7F|CVR|#FF0000Bernaaa: que hacen ome sapos
[2020:10:12-09:05:44]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: descansa
[2020:10:12-09:05:50]  (Global) -> [CAPU]RickSanchezC-666: chao cuidese todo bn
[2020:10:12-09:05:50]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: stunt
[2020:10:12-09:05:51]  (Global) -> PapiCaliche: drifteandopa
[2020:10:12-09:05:52]  (Global) -> 2cb'Q'Piskero: XD
[2020:10:12-09:06:00]  (Global) -> 2cb'Q'Piskero: añañai
[2020:10:12-09:06:04]  (Global) -> 2cb'Q'Piskero: q hp paseo XD
[2020:10:12-09:06:05]  (Global) -> #7F7F7F|CVR|#FF0000Bernaaa: a
[2020:10:12-09:06:07]  (Global) -> 2cb'Python: tomboneitor
[2020:10:12-09:06:17]  (Local) -> (LOCAL)[1][GT]Jhojan: EY
[2020:10:12-09:06:18]  (Global) -> ElPipa: ayudeme
[2020:10:12-09:06:18]  (Global) -> 2cb'Q'Piskero: HPPPP
[2020:10:12-09:06:21]  (Global) -> ElPipa: parcero
[2020:10:12-09:06:25]  (Global) -> 2cB'Santi:): Hola berna
[2020:10:12-09:06:25]  (Global) -> 2cb'Q'Piskero: q ximba bombardee a esos mks
[2020:10:12-09:06:26]  (Local) -> (LOCAL)[1][GT]Jhojan: si
[2020:10:12-09:06:27]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: TIRESE BIEN MELO UES
[2020:10:12-09:06:28]  (Local) -> (LOCAL)[1][GT]Jhojan: sale
[2020:10:12-09:06:30]  (Local) -> (LOCAL)[1][GT]Jhojan: dale
[2020:10:12-09:06:31]  (Global) -> ElPipa: vfea
[2020:10:12-09:06:37]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: XDDD
[2020:10:12-09:06:37]  (Global) -> 2cb'Q'Piskero: aaa ps
[2020:10:12-09:06:38]  (Local) -> (LOCAL)[1]2cb'Python: tomboneitor
[2020:10:12-09:06:39]  (Global) -> 2cb'Q'Piskero: XDDDD
[2020:10:12-09:06:42]  (Global) -> 2cb'Q'Piskero: XDDDD
[2020:10:12-09:06:42]  (Local) -> (LOCAL)[1]2cb'Python: arrestem pues
[2020:10:12-09:06:47]  (Local) -> (LOCAL)[1]2cb'Python: veni
[2020:10:12-09:06:59]  (Local) -> (LOCAL)[1][GT]Jhojan: sube
[2020:10:12-09:07:06]  (Local) -> (LOCAL)[1]ElPipa: ahora que?
[2020:10:12-09:07:17]  (Local) -> (LOCAL)[1]2cb'Python: hoy se salvo
[2020:10:12-09:07:18]  (Local) -> (LOCAL)[1][GT]Jhojan: sube aca
[2020:10:12-09:07:22]  (Local) -> (LOCAL)[1]2cb'Python: nah mentiras en la bna pa
[2020:10:12-09:07:23]  (Local) -> (LOCAL)[1][GT]Jhojan: salta encima
[2020:10:12-09:07:25]  (Local) -> (LOCAL)[1][GT]Jhojan: y dale x
[2020:10:12-09:07:29]  (Local) -> (LOCAL)[5]Willy: Piske
[2020:10:12-09:07:31]  (Global) -> [CAPU]RickSanchezC-666: gracias
[2020:10:12-09:07:33]  (Global) -> 2cb'tussy: casi te paso
[2020:10:12-09:07:35]  (Global) -> 2cb'Q'Piskero: oelo
[2020:10:12-09:07:36]  (Global) -> 2cb'tussy: lopez hp
[2020:10:12-09:07:40]  (Local) -> (LOCAL)[6]Willy: xq con este carro no me da bonificacion???
[2020:10:12-09:07:43]  (Global) -> #7F7F7F|CVR|#FF0000[EVG]Lopez: cochino hp
[2020:10:12-09:07:48]  (Local) -> (LOCAL)[1][GT]Jhojan: eres nuevo?
[2020:10:12-09:07:53]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Catre: sisa
[2020:10:12-09:07:55]  (Local) -> (LOCAL)[7]2cb'Q'Piskero: tiene q estar stock
[2020:10:12-09:07:56]  (Local) -> (LOCAL)[7]Willy: Con ese no se puede o q
[2020:10:12-09:07:58]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF0000Catre: disque pegandose
[2020:10:12-09:08:02]  (Local) -> (LOCAL)[8]2cb'Q'Piskero: no da tuneao
[2020:10:12-09:08:05]  (Local) -> (LOCAL)[8]Willy: como hago esoo
[2020:10:12-09:08:09]  (Local) -> (LOCAL)[1][GT]Jhojan: saca un camion
[2020:10:12-09:08:25]  (Local) -> (LOCAL)[1]ElPipa: Gracias parce
[2020:10:12-09:08:30]  (Local) -> (LOCAL)[1][GT]Jhojan: eres nuevo?
[2020:10:12-09:08:31]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]KevinOcampo: XDDDDDDD
[2020:10:12-09:08:44]  (Global) -> 2cb'Q'Piskero: aaa hppp
[2020:10:12-09:09:19]  (Local) -> (LOCAL)[1][GT]Jhojan: ven yo manejo
[2020:10:12-09:09:32]  (Local) -> (LOCAL)[3]PapiCaliche: oe
[2020:10:12-09:09:33]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: maltrato infantil xd
[2020:10:12-09:09:35]  (Global) -> 2cb'tussy: hp
[2020:10:12-09:09:36]  (Local) -> (LOCAL)[3]PapiCaliche: driftee con este carro
[2020:10:12-09:09:42]  (Local) -> (LOCAL)[1]2cb'Python: tiene razon
[2020:10:12-09:09:45]  (Local) -> (LOCAL)[1]ElPipa: Como se suelta el trailer?
[2020:10:12-09:09:45]  (Local) -> (LOCAL)[1]2cb'Python: tengo como 20
[2020:10:12-09:09:51]  (Local) -> (LOCAL)[1][GT]Jhojan: no se puede
[2020:10:12-09:09:55]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: ps si ,yo 14
[2020:10:12-09:09:58]  (Local) -> (LOCAL)[1]ElPipa: ahhhh ya
[2020:10:12-09:10:05]  (Local) -> (LOCAL)[1][GT]Jhojan: sube
[2020:10:12-09:10:07]  (Local) -> (LOCAL)[1][GT]Jhojan: con g
[2020:10:12-09:10:20]  (Global) -> 2cb'tussy: a
[2020:10:12-09:10:21]  (Global) -> 2cb'tussy: f
[2020:10:12-09:10:25]  (Local) -> (LOCAL)[1][GT]Jhojan: si se te explota el trailer no puedes seguri trbajando
[2020:10:12-09:10:29]  (Local) -> (LOCAL)[1][GT]Jhojan: hasta q reconectes
[2020:10:12-09:10:44]  (Local) -> (LOCAL)[1]ElPipa: Eso me pasó ahora
[2020:10:12-09:10:45]  (Global) -> [ZETAS]JUAN-AA: na este hpta
[2020:10:12-09:11:04]  (Global) -> #7F7F7F|CVR|#FF0000[EVG]Lopez: londo hp
[2020:10:12-09:11:04]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: ola bb
[2020:10:12-09:11:04]  (Local) -> (LOCAL)[1]Willy: q tal mi carrito
[2020:10:12-09:11:10]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: melo
[2020:10:12-09:11:13]  (Global) -> [GT]KhaiJuanes: kakaka
[2020:10:12-09:11:14]  (Global) -> [ZETAS]JUAN-AA: xde
[2020:10:12-09:11:17]  (Local) -> (LOCAL)[1]Willy: sera q lo vendo
[2020:10:12-09:11:25]  (Global) -> PapiCaliche: rap y hierba
[2020:10:12-09:11:26]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: a cuanto?
[2020:10:12-09:11:30]  (Local) -> (LOCAL)[1][GT]Jhojan: ey pipa
[2020:10:12-09:11:30]  (Global) -> #7F7F7F|CVR|#FF0000[EVG]Lopez: abrite
[2020:10:12-09:11:31]  (Global) -> [GT]KhaiJuanes: re bien tombo
[2020:10:12-09:11:34]  (Local) -> (LOCAL)[1]ElPipa: Señor
[2020:10:12-09:11:36]  (Local) -> (LOCAL)[1]Willy: No lo sé
[2020:10:12-09:11:37]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: dejame manejar
[2020:10:12-09:11:37]  (Local) -> (LOCAL)[4]2cb'tussy: lopez
[2020:10:12-09:11:41]  (Local) -> (LOCAL)[1][GT]Jhojan: q tal eres pa el pvp?
[2020:10:12-09:11:44]  (Local) -> (LOCAL)[4]2cb'tussy: quien mapeo las letras de auc en su base
[2020:10:12-09:11:48]  (Local) -> (LOCAL)[1]Willy: espere
[2020:10:12-09:11:50]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000[EVG]Lopez: doki
[2020:10:12-09:11:51]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Catre: yo
[2020:10:12-09:11:52]  (Local) -> (LOCAL)[1]ElPipa: normalito
[2020:10:12-09:11:57]  (Local) -> (LOCAL)[1]ElPipa: por qué?
[2020:10:12-09:12:03]  (Local) -> (LOCAL)[4]2cb'tussy: bno f
[2020:10:12-09:12:05]  (Local) -> (LOCAL)[4]2cb'tussy: doki no me ayuda
[2020:10:12-09:12:06]  (Local) -> (LOCAL)[1][GT]Jhojan: para meterte a la gang
[2020:10:12-09:12:06]  (Local) -> (LOCAL)[1][Zetas]^LartPopper^: ve cuantos años tenes?
[2020:10:12-09:12:07]  (Local) -> (LOCAL)[4]2cb'tussy: XD
