This file was generated by Console at 2020:10:09-00:00:00



[2020:10:09-00:00:00]  (Global) -> [GT]AndresCanson: okampo¿
[2020:10:09-05:31:40]  (Local) -> (LOCAL)[4][Zetas]Mata: barrakill
[2020:10:09-05:31:41]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 Khausu: voy al banco vengo
[2020:10:09-05:31:41]  (Local) -> (LOCAL)[4]2cb'python: yo respeto arte y la caracterizacion que interpreta el patron
[2020:10:09-05:31:45]  (Local) -> (LOCAL)[2]TUERTO: SOBELOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:10:09-05:31:47]  (Global) -> 2cb'tussy: reizer warpeandose pa q no lo mate
[2020:10:09-05:31:48]  (Global) -> #7F7F7F|CVR|#FF0000ReizerB: me ama o que?
[2020:10:09-05:31:49]  (Global) -> 2cb'tussy: epico
[2020:10:09-05:31:50]  (Global) -> [CAPU]Dillom: a
[2020:10:09-05:31:52]  (Local) -> (LOCAL)[4]Tetranutra~2cB: aa
[2020:10:09-05:31:52]  (Local) -> (LOCAL)[4]zarco(L.E): no estaba cubriendo atrasd??
[2020:10:09-05:31:54]  (Local) -> (LOCAL)[3][Zetas]Mata: claro
[2020:10:09-05:31:54]  (Local) -> (LOCAL)[4]Tetranutra~2cB: tengo lag
[2020:10:09-05:31:55]  (Local) -> (LOCAL)[3]2cb'CamiloSZ: s
[2020:10:09-05:31:58]  (Local) -> (LOCAL)[4]zarco(L.E): nos cayeron re feo
[2020:10:09-05:32:00]  (Local) -> (LOCAL)[2](POPEYE): mk metase de dj aqui en el serverr
[2020:10:09-05:32:02]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: DESINFECTAO
[2020:10:09-05:32:03]  (Team - Criminals) -> (TEAM)PATRONAZO: SU HIJO ES DE LOS 2CB
[2020:10:09-05:32:03]  (Local) -> (LOCAL)[2][Zetas]Mata: el mejor streamer del mundo
[2020:10:09-05:32:06]  (Local) -> (LOCAL)[4]2cb*sumadre: XD
[2020:10:09-05:32:07]  (Local) -> (LOCAL)[4][Zetas]Mata: el fabius
[2020:10:09-05:32:09]  (Global) -> [GT]FranciscoBY: VENDO HOTRING RACE EN 8 MILLONES
[2020:10:09-05:32:13]  (Local) -> (LOCAL)[5]2cb'FabiusxGaming: xdd
[2020:10:09-05:32:14]  (Local) -> (LOCAL)[4]zarco(L.E): uno que se llama tomhijueputa
[2020:10:09-05:32:16]  (Local) -> (LOCAL)[3]2cb*sumadre: K DICES LO SOLLTAMOS?
[2020:10:09-05:32:16]  (Local) -> (LOCAL)[4]zarco(L.E): dijo
[2020:10:09-05:32:18]  (Global) -> 2cb'AlejoCS: admn no me sale el bancoo
[2020:10:09-05:32:19]  (Global) -> 2cb'guardaespaldaesco: a listo ya le digo que nos dege quieto
[2020:10:09-05:32:22]  (Local) -> (LOCAL)[6]2cb'LILPUSSY: no te escuchamosss ratixxxxxxx
[2020:10:09-05:32:23]  (Local) -> (LOCAL)[4]zarco(L.E): que usted no era nadie
[2020:10:09-05:32:24]  (Global) -> 2cb'EmilioEscobar: esta en la carcel aun no?
[2020:10:09-05:32:25]  (Local) -> (LOCAL)[2]TUERTO: HAY MK
[2020:10:09-05:32:27]  (Global) -> 2cb'AlejoCS: Admin no me saca del bancooo
[2020:10:09-05:32:30]  (Local) -> (LOCAL)[10]2cb'FabiusxGaming: jajaja
[2020:10:09-05:32:36]  (Local) -> (LOCAL)[7]2cb*sumadre: ??
[2020:10:09-05:32:38]  (Team - Criminals) -> (TEAM)PATRONAZO: YA 
[2020:10:09-05:32:40]  (Local) -> (LOCAL)[6]2cb*sumadre: K DICE
[2020:10:09-05:32:41]  (Local) -> (LOCAL)[2]TUERTO: YO ESTABA EN ESO PERO EL TIEMPO MIO ES CORTO
[2020:10:09-05:32:43]  (Local) -> (LOCAL)[2](POPEYE): qeee
[2020:10:09-05:32:44]  (Local) -> (LOCAL)[4]zarco(L.E): ya voy a salir
[2020:10:09-05:32:44]  (Local) -> (LOCAL)[9]2cb*sumadre: NAH MENTIRA
[2020:10:09-05:32:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: Me volves a ignorar y te estallo
[2020:10:09-05:32:47]  (Global) -> 2cb'AlejoCS: t
[2020:10:09-05:32:50]  (Global) -> 2cb'guardaespaldaesco: ami 125
[2020:10:09-05:32:51]  (Global) -> Elpalomas: Q CANTAMOS BVIEN BORRACHOS
[2020:10:09-05:32:51]  (Local) -> (LOCAL)[3]2cb*sumadre: AA
[2020:10:09-05:32:56]  (Local) -> (LOCAL)[1]AlonsoAlzate: jeje
[2020:10:09-05:32:56]  (Local) -> (LOCAL)[2](POPEYE): mk no esucho que visaje
[2020:10:09-05:32:57]  (Local) -> (LOCAL)[6]zarco(L.E): 10
[2020:10:09-05:33:00]  (Local) -> (LOCAL)[3]2cb*sumadre: XD
[2020:10:09-05:33:01]  (Local) -> (LOCAL)[7]2cb'EmilioEscobar: hicimos lo que pudimos papa
[2020:10:09-05:33:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: Hol mor
[2020:10:09-05:33:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: jajajjaa
[2020:10:09-05:33:04]  (Global) -> 2cb'guardaespaldaesco: F por mi
[2020:10:09-05:33:06]  (Local) -> (LOCAL)[1]AlonsoAlzate: que mas rey
[2020:10:09-05:33:06]  (Local) -> (LOCAL)[6]zarco(L.E): toca comprar granadas
[2020:10:09-05:33:09]  (Local) -> (LOCAL)[1]AlonsoAlzate: como vamos
[2020:10:09-05:33:11]  (Local) -> (LOCAL)[2]TUERTO: YO ESTUDIO Y LOS TIEMPOS LIBRES HAGOSETS DE GUARACHA
[2020:10:09-05:33:11]  (Global) -> 2cb'guardaespaldaesco: sisas
[2020:10:09-05:33:12]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: bien papi
[2020:10:09-05:33:12]  (Local) -> (LOCAL)[3][ZETAS]Tussi_Sabes: nb
[2020:10:09-05:33:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: parchao
[2020:10:09-05:33:14]  (Local) -> (LOCAL)[9][GT]AndresCanson: oe
[2020:10:09-05:33:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: como vas
[2020:10:09-05:33:15]  (Global) -> ProductiveDagger70: ESPERA
[2020:10:09-05:33:16]  (Local) -> (LOCAL)[2]TUERTO: NO ESCUCHAS?
[2020:10:09-05:33:17]  (Global) -> #7F7F7F|CVR|#FF0000ReizerB: El del bug reconecte
[2020:10:09-05:33:18]  (Local) -> (LOCAL)[9]2cb'EmilioEscobar: listo
[2020:10:09-05:33:18]  (Global) -> 2cb'AlejoCS: admin no me deja salir del bancoo
[2020:10:09-05:33:20]  (Global) -> #7F7F7F|CVR|#FF0000ReizerB: El del bug reconecte
[2020:10:09-05:33:21]  (Local) -> (LOCAL)[6][GT]AndresCanson: dejame probar eso xd
[2020:10:09-05:33:23]  (Local) -> (LOCAL)[3]2cb'JuanPablo: DEJE LA MARICADA SAPO HPTA
[2020:10:09-05:33:26]  (Global) -> OMAR25: jajajajajajajajajjaaj
[2020:10:09-05:33:27]  (Local) -> (LOCAL)[1]AlonsoAlzate: todo bien rey relajado cogiendo gentesita
[2020:10:09-05:33:29]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Lopez: sali te atiendo pa
[2020:10:09-05:33:29]  (Local) -> (LOCAL)[1]AlonsoAlzate: jajaja
[2020:10:09-05:33:29]  (Local) -> (LOCAL)[2](POPEYE): no mk que visajeee
[2020:10:09-05:33:32]  (Local) -> (LOCAL)[4][Z]XhnGuaracha: peligroso subirte a tu carro
[2020:10:09-05:33:36]  (Local) -> (LOCAL)[7]Tetranutra~2cB: a
[2020:10:09-05:33:37]  (Local) -> (LOCAL)[7]Plutarco: ok simio
[2020:10:09-05:33:38]  (Local) -> (LOCAL)[7]Tetranutra~2cB: pq
[2020:10:09-05:33:38]  (Global) -> ProductiveDagger70: NO TANTA BELOSIDAD
[2020:10:09-05:33:42]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: Vamos, hace rato no me pongo de tombeishon
[2020:10:09-05:33:43]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Oe
[2020:10:09-05:33:43]  (Global) -> TheLeo: timbos
[2020:10:09-05:33:46]  (Local) -> (LOCAL)[2]AlonsoAlzate: vamo
[2020:10:09-05:33:46]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: sia
[2020:10:09-05:33:47]  (Local) -> (LOCAL)[9][Z]XhnGuaracha: mata terminó encanado
[2020:10:09-05:33:48]  (Global) -> TheLeo: donde vamos
[2020:10:09-05:33:49]  (Local) -> (LOCAL)[5]Sebaskr4: toy viendo el diredcto
[2020:10:09-05:33:49]  (Global) -> Plutarco: ok simio
[2020:10:09-05:33:50]  (Local) -> (LOCAL)[2](POPEYE): voy a echar unos mulazos
[2020:10:09-05:33:53]  (Local) -> (LOCAL)[7]Tetranutra~2cB: xdd
[2020:10:09-05:33:54]  (Local) -> (LOCAL)[5]Sebaskr4: fabius
[2020:10:09-05:33:56]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: agale
[2020:10:09-05:33:56]  (Local) -> (LOCAL)[2](POPEYE): pa levantar esa sanchez
[2020:10:09-05:33:57]  (Global) -> TheLeo: hagamos reten
[2020:10:09-05:33:59]  (Local) -> (LOCAL)[4][GT]AndresCanson: ya xd
[2020:10:09-05:33:59]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: COmo que quito esa gorra de mierda jajaja
[2020:10:09-05:34:01]  (Local) -> (LOCAL)[2]Tetranutra~2cB: eso si no fue culpa mia
[2020:10:09-05:34:03]  (Local) -> (LOCAL)[4][GT]AndresCanson: corre raro xdd
[2020:10:09-05:34:03]  (Local) -> (LOCAL)[3](POPEYE): ajajajaj
[2020:10:09-05:34:04]  (Local) -> (LOCAL)[4][EVG]-[ROQUE]: mono mk
[2020:10:09-05:34:08]  (Local) -> (LOCAL)[4][GT]FranciscoBY: jajaja no se
[2020:10:09-05:34:09]  (Local) -> (LOCAL)[3](POPEYE): paila pai
[2020:10:09-05:34:12]  (Local) -> (LOCAL)[4][GT]FranciscoBY: solo ngr
[2020:10:09-05:34:12]  (Local) -> (LOCAL)[3](POPEYE): ahy y aquedoo
[2020:10:09-05:34:12]  (Local) -> (LOCAL)[4]2cb*sumadre: OEES
[2020:10:09-05:34:13]  (Local) -> (LOCAL)[4]MrNadieOwO: venga
[2020:10:09-05:34:13]  (Local) -> (LOCAL)[3](POPEYE): ajajaja
[2020:10:09-05:34:14]  (Local) -> (LOCAL)[4]2cb*sumadre: VAMOS
[2020:10:09-05:34:15]  (Local) -> (LOCAL)[4]MrNadieOwO: probemos algo
[2020:10:09-05:34:17]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: espere
[2020:10:09-05:34:18]  (Global) -> [EVG]alexispagedj: SILENCIO ALEXIS PAGE DESBANEAO
[2020:10:09-05:34:18]  (Local) -> (LOCAL)[2](POPEYE): sobelloooo
[2020:10:09-05:34:18]  (Local) -> (LOCAL)[4][GT]AndresCanson: a
[2020:10:09-05:34:18]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: espere
[2020:10:09-05:34:20]  (Local) -> (LOCAL)[5]2cb*sumadre: OEES
[2020:10:09-05:34:20]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: :c
[2020:10:09-05:34:22]  (Local) -> (LOCAL)[3][GT]AndresCanson: parcero umildá
[2020:10:09-05:34:23]  (Local) -> (LOCAL)[5]2cb*sumadre: JAVIER
[2020:10:09-05:34:23]  (Global) -> [EVG]Javier: ya voy
[2020:10:09-05:34:27]  (Local) -> (LOCAL)[3][GT]AndresCanson: dt
[2020:10:09-05:34:30]  (Global) -> [EVG]Javier: pere
[2020:10:09-05:34:31]  (Local) -> (LOCAL)[1]2cb'EmilioEscobar: estan arriba en la juega
[2020:10:09-05:34:31]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: ww
[2020:10:09-05:34:32]  (Local) -> (LOCAL)[2](POPEYE): ajajaj por visajoso jaja
[2020:10:09-05:34:36]  (Global) -> 2cb'guardaespaldaesco: quiubo
[2020:10:09-05:34:37]  (Local) -> (LOCAL)[2]2cb'EmilioEscobar: lleguemosle prendidos arete
[2020:10:09-05:34:37]  (Local) -> (LOCAL)[2](POPEYE): ol eme vendes la rancher
[2020:10:09-05:34:38]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: q paso
[2020:10:09-05:34:40]  (Global) -> [EVG]Javier: que este marika anda ganoso de cojerme
[2020:10:09-05:34:41]  (Local) -> (LOCAL)[3][GT]FranciscoBY: pura moto de fletero
[2020:10:09-05:34:44]  (Global) -> #7F7F7F|CVR|#FF7C00 Lopez: XD
[2020:10:09-05:34:44]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: XDDDDDDDDDD
[2020:10:09-05:34:47]  (Global) -> [EVG]alexispagedj: DONDE ESTA ESA G0NORREA DE FABIUS QUE ME LO FUMO
[2020:10:09-05:34:49]  (Local) -> (LOCAL)[3][GT]AndresCanson: ja papi
[2020:10:09-05:34:50]  (Local) -> (LOCAL)[5][Z]XhnGuaracha: >:(
[2020:10:09-05:34:51]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Vida hpt ajjajaja
[2020:10:09-05:34:54]  (Local) -> (LOCAL)[4]2cb*sumadre: VAMOS POR ALEXIS
[2020:10:09-05:34:56]  (Local) -> (LOCAL)[4]2cb*sumadre: PERE LO MARCO
[2020:10:09-05:34:57]  (Local) -> (LOCAL)[2](POPEYE): ajajajja 2 palos
[2020:10:09-05:34:57]  (Local) -> (LOCAL)[5]Tetranutra~2cB: mi melo
[2020:10:09-05:35:01]  (Local) -> (LOCAL)[5][GT]AndresCanson: con esta me funo 2cb XD
[2020:10:09-05:35:01]  (Local) -> (LOCAL)[2](POPEYE): tuertooo
[2020:10:09-05:35:02]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Jiii?
[2020:10:09-05:35:03]  (Global) -> TIROFIJO420: jaajaj}aw
[2020:10:09-05:35:04]  (Local) -> (LOCAL)[2](POPEYE): vendame esooo
[2020:10:09-05:35:07]  (Local) -> (LOCAL)[5][GT]FranciscoBY: jajajajaja
[2020:10:09-05:35:10]  (Global) -> [GT]XXXTENTACION: ixi
[2020:10:09-05:35:15]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Que saco?
[2020:10:09-05:35:15]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: ya
[2020:10:09-05:35:16]  (Local) -> (LOCAL)[2](POPEYE): tuertoo
[2020:10:09-05:35:18]  (Local) -> (LOCAL)[2](POPEYE): me la vendes
[2020:10:09-05:35:22]  (Local) -> (LOCAL)[3][GT]AndresCanson: pero en mis sueños
[2020:10:09-05:35:25]  (Local) -> (LOCAL)[2]2cb'tussy: vaaaa
[2020:10:09-05:35:27]  (Local) -> (LOCAL)[5]zarco(L.E): ayudaaa
[2020:10:09-05:35:30]  (Local) -> (LOCAL)[2]2cb'tussy: q se siente el vip
[2020:10:09-05:35:31]  (Local) -> (LOCAL)[3][GT]AndresCanson: son como 20 en combo esos remalparidos
[2020:10:09-05:35:31]  (Local) -> (LOCAL)[2]TUERTO: NO LA ESTOY VENDIENDO
[2020:10:09-05:35:33]  (Local) -> (LOCAL)[2][Z]XhnGuaracha: BOBO
[2020:10:09-05:35:34]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: ya
[2020:10:09-05:35:34]  (Local) -> (LOCAL)[2](POPEYE): ahsss
[2020:10:09-05:35:36]  (Global) -> ProductiveDagger70: como esta???
[2020:10:09-05:35:38]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: buena
[2020:10:09-05:35:39]  (Local) -> (LOCAL)[2][GT]XXXTENTACION: cuales
[2020:10:09-05:35:42]  (Local) -> (LOCAL)[2](POPEYE): se la cambio por este
[2020:10:09-05:35:43]  (Local) -> (LOCAL)[2]2cb'EmilioEscobar: alcanzo?
[2020:10:09-05:35:43]  (Local) -> (LOCAL)[3][GT]FranciscoBY: jajaja sisas
[2020:10:09-05:35:45]  (Global) -> [M19]arete[GT]: me cogio
[2020:10:09-05:35:45]  (Global) -> Elpalomas: REIZER PERRA LAMBONA DEJA DE MATARME
[2020:10:09-05:35:45]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: buena ps
[2020:10:09-05:35:46]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: qe la disfrute
[2020:10:09-05:35:47]  (Local) -> (LOCAL)[2]2cb'EmilioEscobar: :C
[2020:10:09-05:35:50]  (Local) -> (LOCAL)[3]2cb*sumadre: PENDIENTE
[2020:10:09-05:35:51]  (Local) -> (LOCAL)[3]2cB~Beltran: gamer
[2020:10:09-05:35:51]  (Local) -> (LOCAL)[2]TUERTO: HASTA ME OFRECIERON 4 MILLONES POR EL
[2020:10:09-05:35:52]  (Global) -> 2cb'JuanPablo: crudooo
[2020:10:09-05:35:55]  (Local) -> (LOCAL)[3][GT]AndresCanson: esos son como 2 gangS XD
[2020:10:09-05:35:56]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: buena ps
[2020:10:09-05:35:57]  (Local) -> (LOCAL)[3]2cb'python: llegue tarde
[2020:10:09-05:35:57]  (Local) -> (LOCAL)[3]2cb'ELBARTO: como recargo rapido con la recortada?
[2020:10:09-05:35:59]  (Global) -> ProductiveDagger70: sal de la vion
[2020:10:09-05:35:59]  (Local) -> (LOCAL)[3]2cb'python: como siempre
[2020:10:09-05:36:00]  (Local) -> (LOCAL)[3][GT]FranciscoBY: pero se matan facil
[2020:10:09-05:36:01]  (Local) -> (LOCAL)[4]2cb'tussy: a sisas
[2020:10:09-05:36:01]  (Global) -> [EVG]Javier: SUMADRE DONDE ANDA
[2020:10:09-05:36:03]  (Local) -> (LOCAL)[3]2cB~Beltran: dispare 2
[2020:10:09-05:36:04]  (Local) -> (LOCAL)[3]2cb'tussy: vengan les explico
[2020:10:09-05:36:05]  (Local) -> (LOCAL)[3]2cb'tussy: a ustedes 2
[2020:10:09-05:36:07]  (Global) -> 2cb'JuanPablo: oeee
[2020:10:09-05:36:10]  (Local) -> (LOCAL)[3][GT]AndresCanson: pues uno que no sabe disparar:C
[2020:10:09-05:36:13]  (Global) -> ProductiveDagger70: sal de la avion
[2020:10:09-05:36:14]  (Global) -> 2cB*Buitre: en la casa de la suya malparido
[2020:10:09-05:36:15]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF7C00 Zllanerito: ahaha
[2020:10:09-05:36:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#1F00FF[EVG]CrudoMeansRaw: q
[2020:10:09-05:36:16]  (Local) -> (LOCAL)[3]2cb'tussy: 2 tiros
[2020:10:09-05:36:17]  (Team - Criminals) -> (TEAM)PATRONAZO: EY PABLO
[2020:10:09-05:36:17]  (Local) -> (LOCAL)[3]2cb'tussy: cambian de arma
[2020:10:09-05:36:19]  (Local) -> (LOCAL)[1]2cb'JuanPablo: soy socio de evg ricardo dejame sano
[2020:10:09-05:36:20]  (Local) -> (LOCAL)[5][Zetas]ChicopolloSerio: xd
[2020:10:09-05:36:20]  (Local) -> (LOCAL)[3]2cb'tussy: vuelven a las dobles
[2020:10:09-05:36:20]  (Global) -> [GT]XXXTENTACION: pero los  3
[2020:10:09-05:36:21]  (Global) -> TomboHpta: ._.
[2020:10:09-05:36:22]  (Local) -> (LOCAL)[3]2cb'tussy: y 2 tiros
[2020:10:09-05:36:23]  (Local) -> (LOCAL)[5][GT]XXXTENTACION: breve
[2020:10:09-05:36:26]  (Local) -> (LOCAL)[4][GT]FranciscoBY: ahhh jajaja bueno si
[2020:10:09-05:36:27]  (Local) -> (LOCAL)[1][GT]KhaiJuanes: q
[2020:10:09-05:36:28]  (Local) -> (LOCAL)[2](POPEYE): cuanto puess
[2020:10:09-05:36:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FF[EVG]CrudoMeansRaw: eso q tiene q ver
[2020:10:09-05:36:31]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Esta linda jajaja
[2020:10:09-05:36:31]  (Local) -> (LOCAL)[5][Zetas]ChicopolloSerio: no le estaba tirando a ud papi
[2020:10:09-05:36:33]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: ricardogayjorge
[2020:10:09-05:36:34]  (Local) -> (LOCAL)[3][GT]AndresCanson: si pilla XD
[2020:10:09-05:36:34]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: estás
[2020:10:09-05:36:35]  (Team - Criminals) -> (TEAM)PATRONAZO: MATENLO
[2020:10:09-05:36:35]  (Global) -> [EVG]Javier: PABLO OME
[2020:10:09-05:36:35]  (Local) -> (LOCAL)[1]2cb'JuanPablo: tengo una alianza con el vago y con otros
[2020:10:09-05:36:35]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: ?
[2020:10:09-05:36:35]  (Local) -> (LOCAL)[3]2cb'tussy: 2 tiros
[2020:10:09-05:36:35]  (Local) -> (LOCAL)[2]TUERTO: VA PA ESA PS
[2020:10:09-05:36:35]  (Local) -> (LOCAL)[4]2cb'dilan: OLA
[2020:10:09-05:36:36]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: listo
[2020:10:09-05:36:36]  (Local) -> (LOCAL)[1](GT)MIGUEL1450: breve ps
[2020:10:09-05:36:36]  (Global) -> ProductiveDagger70: COMO ESTA??
[2020:10:09-05:36:37]  (Local) -> (LOCAL)[3]2cb'tussy: solo 2
[2020:10:09-05:36:38]  (Global) -> [GT]KhaiJuanes: temazo
[2020:10:09-05:36:39]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: espere
[2020:10:09-05:36:40]  (Local) -> (LOCAL)[2](POPEYE): vndamelaaa
[2020:10:09-05:36:40]  (Local) -> (LOCAL)[6][Zetas]ChicopolloSerio: lo estaba ayudando
[2020:10:09-05:36:41]  (Global) -> 2cb'ELBARTO: n
[2020:10:09-05:36:41]  (Local) -> (LOCAL)[5]2cb*sumadre: ALI
[2020:10:09-05:36:43]  (Local) -> (LOCAL)[5]2cb'JuanPablo: bno
[2020:10:09-05:36:43]  (Local) -> (LOCAL)[6]2cb*sumadre: SALI
[2020:10:09-05:36:44]  (Local) -> (LOCAL)[4]Tetranutra~2cB: mi melo bonito o feo
[2020:10:09-05:36:44]  (Local) -> (LOCAL)[4][GT]AndresCanson: yo lo que hago es fastidiarlos
[2020:10:09-05:36:44]  (Global) -> #7F7F7F|CVR|#A9A9A9 Khausu: ese soy yo
[2020:10:09-05:36:44]  (Local) -> (LOCAL)[6][EVG]alexispagedj: A
[2020:10:09-05:36:44]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#1F00FF[EVG]CrudoMeansRaw: Bueno conmigo no
[2020:10:09-05:36:44]  (Global) -> [EVG]RicardoJorge: Si, estoy Balaclava[6]
[2020:10:09-05:36:45]  (Local) -> (LOCAL)[1][GT]KhaiJuanes: muy bien jajaja
[2020:10:09-05:36:45]  (Team - Criminals) -> (TEAM)[GT]XXXTENTACION: ay
[2020:10:09-05:36:45]  (Local) -> (LOCAL)[2]TUERTO: CAMBIEMOLA
[2020:10:09-05:36:45]  (Team - Criminals) -> (TEAM)PATRONAZO: Y
[2020:10:09-05:36:47]  (Local) -> (LOCAL)[4]2cb'dilan: te encane? XD
[2020:10:09-05:36:47]  (Local) -> (LOCAL)[3]2cb'ELBARTO: no me cambian primero recargan
[2020:10:09-05:36:48]  (Local) -> (LOCAL)[3]2cb'tussy: y apague el laser
[2020:10:09-05:36:48]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: a
[2020:10:09-05:36:48]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Cuanto me da?
[2020:10:09-05:36:49]  (Local) -> (LOCAL)[4]2cb'dilan: qq
[2020:10:09-05:36:50]  (Local) -> (LOCAL)[2](POPEYE): ajajaj se le abrioo no
[2020:10:09-05:36:50]  (Local) -> (LOCAL)[4][GT]AndresCanson: por eso el nombrE XDD
[2020:10:09-05:36:50]  (Local) -> (LOCAL)[4]2cb'ELBARTO: y luego si
[2020:10:09-05:36:51]  (Global) -> 2cb'JuanPablo: nagh
[2020:10:09-05:36:54]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: subdito me pidio otro karro
[2020:10:09-05:36:55]  (Local) -> (LOCAL)[2](POPEYE): ajajaj
[2020:10:09-05:36:55]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: ahi q 
[2020:10:09-05:36:58]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: :'v
[2020:10:09-05:36:58]  (Local) -> (LOCAL)[2]TUERTO: CAMBIEMOLA
[2020:10:09-05:37:00]  (Global) -> [EVG]RicardoJorge: Ricardogey dice, eso no me decía ayer
[2020:10:09-05:37:01]  (Local) -> (LOCAL)[3][GT]FranciscoBY: ahhh jajaja pense que era un apellido
[2020:10:09-05:37:03]  (Global) -> ProductiveDagger70: COMO ESTA ???
[2020:10:09-05:37:04]  (Global) -> 2cB~Beltran: papu
[2020:10:09-05:37:06]  (Global) -> TUERTO: POPEYEEEEEEEEEEE
[2020:10:09-05:37:08]  (Local) -> (LOCAL)[4][GT]AndresCanson: JSDJASDJA
[2020:10:09-05:37:09]  (Local) -> (LOCAL)[6]2cBPrexto: xxxten
[2020:10:09-05:37:10]  (Global) -> [EVG]alexispagedj: SILENCIO
[2020:10:09-05:37:10]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: no, ayer le decía mayordomo
[2020:10:09-05:37:11]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 Khausu: mira yo tmb tengo uno
[2020:10:09-05:37:12]  (Global) -> [EVG]RicardoJorge: Tepeate porfa
[2020:10:09-05:37:12]  (Global) -> [EVG]alexispagedj: SILENCIO ALEXIS PAGE DESBANEAO
[2020:10:09-05:37:12]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: disculpe 
[2020:10:09-05:37:12]  (Local) -> (LOCAL)[6][GT]XXXTENTACION: q
[2020:10:09-05:37:13]  (Local) -> (LOCAL)[5]2cb'dilan: ya
[2020:10:09-05:37:13]  (Global) -> [EVG]Javier: YO SOY AMIGASO DE PABLO PA
[2020:10:09-05:37:15]  (Local) -> (LOCAL)[3][GT]FranciscoBY: tenga jefe
[2020:10:09-05:37:15]  (Local) -> (LOCAL)[5]2cBPrexto: duelo a 100k
[2020:10:09-05:37:16]  (Global) -> (POPEYE):  dimeloo
[2020:10:09-05:37:16]  (Local) -> (LOCAL)[3]|GT|~SubditoWantMoto: gracias
[2020:10:09-05:37:17]  (Team - Unemployed) -> (TEAM)Elpalomas: Q
[2020:10:09-05:37:17]  (Global) -> TUERTO: LA CAMIBIAMOS O NOOOOOOOOOOO
[2020:10:09-05:37:18]  (Local) -> (LOCAL)[1][GT]KhaiJuanes: que bieeeeeeeeeeeen
[2020:10:09-05:37:18]  (Local) -> (LOCAL)[3]|GT|~SubditoWantMoto: :3
[2020:10:09-05:37:19]  (Local) -> (LOCAL)[5][GT]XXXTENTACION: no
[2020:10:09-05:37:19]  (Global) -> [EVG]RicardoJorge: xddd
