This file was generated by Console at 2020:12:16-00:00:03



[2020:12:16-00:00:03]  (Local) -> (LOCAL)[1]2cb'ratix: oe
[2020:12:16-05:02:37]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: ey ese soy yo
[2020:12:16-05:02:38]  (Global) -> 2cb'Jolyne: UN CLASICO
[2020:12:16-05:02:38]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: ey ese soy yo
[2020:12:16-05:02:41]  (Local) -> (LOCAL)[1]GUSTAVO: ahora el color
[2020:12:16-05:02:41]  (Local) -> (LOCAL)[1][EVG]juann: le cambias de color aca
[2020:12:16-05:02:41]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Jimenez: YO 
[2020:12:16-05:02:42]  (Global) -> 2cBPrexto: aki
[2020:12:16-05:02:42]  (Global) -> #7F7F7F|LG|#FF5C00|EVG|RicardoJorge: Cómo alzo la mano
[2020:12:16-05:02:42]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: en estos momentos
[2020:12:16-05:02:44]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: oe nea la pelada estaque esta en 2cb
[2020:12:16-05:02:45]  (Phone:SMS) -> From (AK)Tupack | To: [CAPU]Elmorenosexy | Message: si le va a decir algo digale algo provocativo jajaja
[2020:12:16-05:02:45]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Esta canción me gusta bastante
[2020:12:16-05:02:46]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: si es pelada?
[2020:12:16-05:02:51]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: una tal sofia
[2020:12:16-05:02:51]  (Local) -> (LOCAL)[3]FantasticSky: soy z pirobo
[2020:12:16-05:02:52]  (Local) -> (LOCAL)[5][EVG]juann: dale en color
[2020:12:16-05:02:53]  (Global) -> TREBOOL: ADMIN tp estacion general police
[2020:12:16-05:02:54]  (Local) -> (LOCAL)[5][EVG]juann: entra
[2020:12:16-05:02:54]  (Local) -> (LOCAL)[1]FantasticSky: nooooooooooo
[2020:12:16-05:02:55]  (Global) -> [Dark]Santiago_Perez: uyuuy
[2020:12:16-05:02:56]  (Local) -> (LOCAL)[1]FantasticSky: ash
[2020:12:16-05:02:58]  (Local) -> (LOCAL)[3]2cb|Woch: nose
[2020:12:16-05:02:59]  ([Msg] de _SEMDS_ para XhnGuaracha: confiezo q una e girl de fusa me quito lo bandido y me tiene juicioso) -> nil
[2020:12:16-05:03:00]  (Local) -> (LOCAL)[3]2cb|Woch: eso dicen
[2020:12:16-05:03:00]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: ������
[2020:12:16-05:03:02]  (Phone:SMS) -> From (AK)Tupack | To: [CAPU]Elmorenosexy | Message: pa que quede en shock el 0 iq
[2020:12:16-05:03:03]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: ������
[2020:12:16-05:03:03]  (Local) -> (LOCAL)[4][CAPU]Elmorenosexy: A culiarrrrrrrr
[2020:12:16-05:03:05]  (Local) -> (LOCAL)[3]GT|Anndrew: Sacanos ese dato
[2020:12:16-05:03:06]  (Local) -> (LOCAL)[4]GUSTAVO: ya me sale color y para selecciobar q color quiero
[2020:12:16-05:03:07]  (Global) -> #7F7F7F|CVR|#FFFF00FurryTrash: TREBOOL manito ve andando 
[2020:12:16-05:03:09]  (Global) -> [Dark]Santiago_Perez: jsjs
[2020:12:16-05:03:10]  ([Msg] de Jimenez para XhnGuaracha: confiezo que mi ex me dijo que soño que me la estaba culiando, que significa?) -> nil
[2020:12:16-05:03:11]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: No nea es que aca si hay viejas con palas de chimbos
[2020:12:16-05:03:12]  (Local) -> (LOCAL)[3]2cb|Woch: sisas yo te digo
[2020:12:16-05:03:14]  (Local) -> (LOCAL)[3][CAPU]Elmorenosexy: EY tienes 7mil?
[2020:12:16-05:03:17]  (Local) -> (LOCAL)[1]GUSTAVO: color 1 color 2 etc
[2020:12:16-05:03:18]  (Local) -> (LOCAL)[3]GT|Anndrew: XDD
[2020:12:16-05:03:20]  (Local) -> (LOCAL)[3]2cb|Woch: por a decirle que me hable por voz
[2020:12:16-05:03:21]  (Global) -> 2cBPrexto: good themes
[2020:12:16-05:03:25]  (Local) -> (LOCAL)[5][EVG]juann: dale el 1
[2020:12:16-05:03:30]  (Local) -> (LOCAL)[3]2cb|Woch: jajajajaajaja
[2020:12:16-05:03:34]  (Local) -> (LOCAL)[5][CAPU]Elmorenosexy: Jaja
[2020:12:16-05:03:36]  (Local) -> (LOCAL)[5][CAPU]Elmorenosexy: Uy
[2020:12:16-05:03:40]  (Phone:SMS) -> From (AK)Tupack | To: [CAPU]Elmorenosexy | Message: aprovechese y pidale plata eso
[2020:12:16-05:03:41]  (Local) -> (LOCAL)[3]2cb|Woch: sisas hasta ami me a pasado
[2020:12:16-05:03:41]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Szs nea es que jum
[2020:12:16-05:03:43]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: 7mp XhnGuaracha confiezo q le chupe las guevas a catre y por eso las tiene negras
[2020:12:16-05:03:44]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: JAJAJAJAJA
[2020:12:16-05:03:44]  (Global) -> [Dark]Santiago_Perez: quien?
[2020:12:16-05:03:44]  (Local) -> (LOCAL)[1]FantasticSky: otra vez aca
[2020:12:16-05:03:44]  (Global) -> TREBOOL: hey si  me mata tipo donde estaba metido estacion armas
[2020:12:16-05:03:45]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: ay
[2020:12:16-05:03:47]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: con?
[2020:12:16-05:03:47]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: XDDDDDDDDDDDD
[2020:12:16-05:03:49]  (Global) -> #7F7F7F|CVR|#FF5C00|AUC|CrudoMeansRaw: coomo
[2020:12:16-05:03:50]  (Global) -> #7F7F7F|CVR|#FFFF00FurryTrash: aHJAHAASHAHJASHJHJAS
[2020:12:16-05:03:55]  (Local) -> (LOCAL)[3][CAPU]Elmorenosexy: Coloco otro tema
[2020:12:16-05:03:59]  (Local) -> (LOCAL)[1]2cb'Razzork: no sale de aca usted
[2020:12:16-05:03:59]  (Global) -> [Dark]Santiago_Perez: pasame tu watsap
[2020:12:16-05:04:04]  (Global) -> [EVG]juann: diego mlp le estaba ayudando al nuevo
[2020:12:16-05:04:05]  (Global) -> TREBOOL: meti me salio que estaba muerto
[2020:12:16-05:04:05]  (Local) -> (LOCAL)[1]FantasticSky: na
[2020:12:16-05:04:06]  (Local) -> (LOCAL)[3]2cb|Woch: una tal paulina
[2020:12:16-05:04:08]  (Global) -> #7F7F7F|CVR|#FFFF00FurryTrash: A WN QUE RISA XDDD
[2020:12:16-05:04:09]  (Local) -> (LOCAL)[1]2cb'Razzork: jajaja
[2020:12:16-05:04:10]  (Local) -> (LOCAL)[1]FantasticSky: no soportan las c4
[2020:12:16-05:04:16]  (Local) -> (LOCAL)[3]2cb|Woch: que nunca hablo por voz
[2020:12:16-05:04:16]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: aja
[2020:12:16-05:04:22]  (Local) -> (LOCAL)[4](AK)Tupack: santiago ere un fuckboi?
[2020:12:16-05:04:22]  (Local) -> (LOCAL)[4]CAPU|~Orion~|: Jajajajaja mero macho?
[2020:12:16-05:04:23]  (Global) -> FantasticSky: como me van a encanar solo eran 55 c4
[2020:12:16-05:04:24]  (Global) -> #7F7F7F|CVR|#FF5C00Krestorrrelrkestor: uuuuuuuuuuy
[2020:12:16-05:04:25]  (Global) -> Sancocho-kun: AJAJASJSADJJADSJSADJSAJSADJJAS
[2020:12:16-05:04:25]  (Local) -> (LOCAL)[4][CAPU]Elmorenosexy: Bueno que hacems
[2020:12:16-05:04:25]  (Global) -> TREBOOL:  y de repente estoy aquiç
[2020:12:16-05:04:28]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: JAJAJAJAJSJASJAS
[2020:12:16-05:04:29]  ([Msg] de GT|~SubditoDeSatanas para FurryTrash: puedes espectar a prexto un rato me anda estallando el bus y no puedo) -> nil
[2020:12:16-05:04:30]  (Local) -> (LOCAL)[5][Kp]~Diego~: jaja
[2020:12:16-05:04:31]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: @sems
[2020:12:16-05:04:32]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: @sems
[2020:12:16-05:04:34]  (Local) -> (LOCAL)[1][EVG]juann: pudiste
[2020:12:16-05:04:35]  ([Msg] de GT|~SubditoDeSatanas para FurryTrash: grabar) -> nil
[2020:12:16-05:04:36]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: si soy
[2020:12:16-05:04:38]  (Local) -> (LOCAL)[3]2cb|Woch: lo pensamos pero no se sabe si le doy pena
[2020:12:16-05:04:39]  (Global) -> CAPU|~Orion~|: JAJAJAJAJAJA
[2020:12:16-05:04:41]  (Local) -> (LOCAL)[8]robertoesco0bar: jjajaajs
[2020:12:16-05:04:42]  (Global) -> [Dark]Santiago_Perez: sjsjsjs
[2020:12:16-05:04:42]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: presentela
[2020:12:16-05:04:43]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Jimenez: Xddddddddddddddddd
[2020:12:16-05:04:44]  (Local) -> (LOCAL)[3]2cb|Woch: tu sabes
[2020:12:16-05:04:45]  (Global) -> #7F7F7F|CVR|#FF5C00Krestorrrelrkestor: tines una egirl de fusa
[2020:12:16-05:04:48]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: GuevasNegras
[2020:12:16-05:04:48]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Ah szs
[2020:12:16-05:04:48]  (Global) -> [Dark]Santiago_Perez: no se si oy eso
[2020:12:16-05:04:50]  (Local) -> (LOCAL)[2]GUSTAVO: llegue a color
[2020:12:16-05:04:50]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Nea e sque no se
[2020:12:16-05:04:52]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: si y tu
[2020:12:16-05:04:55]  (Global) -> #7F7F7F|CVR|#FF5C00Krestorrrelrkestor: no yo no
[2020:12:16-05:04:55]  (Local) -> (LOCAL)[1]|EVG|Guarachero: a donde pa
[2020:12:16-05:04:55]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: la mayoria que tienen nombres de viejas
[2020:12:16-05:04:56]  (Global) -> #7F7F7F|CVR|#FF5C00GuevasNegras: le muestro las GuevasNegras
[2020:12:16-05:04:57]  (Local) -> (LOCAL)[3]GUSTAVO: en color
[2020:12:16-05:04:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000DonBerna: cartel
[2020:12:16-05:04:58]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Que
[2020:12:16-05:05:01]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Salen con chimbo
[2020:12:16-05:05:03]  (Local) -> (LOCAL)[3]GUSTAVO: dejalo
[2020:12:16-05:05:03]  (Local) -> (LOCAL)[3]GT|Anndrew: es un clasico eso
[2020:12:16-05:05:03]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: y efe
[2020:12:16-05:05:04]  (Global) -> FantasticSky: SEMDS LAS TIENE PELUDAS ?
[2020:12:16-05:05:07]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Dios mio pagaron
[2020:12:16-05:05:07]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000DonBerna: cartel
[2020:12:16-05:05:07]  (Local) -> (LOCAL)[3]2cb|Woch: u¿jajaja
[2020:12:16-05:05:07]  (Global) -> LumpyWeasel26: 3310
[2020:12:16-05:05:07]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: no sr
[2020:12:16-05:05:08]  (Global) -> Sancocho-kun:  asjdasdsjd
[2020:12:16-05:05:09]  (Local) -> (LOCAL)[3]2cb|Woch: nmms
[2020:12:16-05:05:09]  (Global) -> [Dark]Santiago_Perez: que no se si soy fackboy
[2020:12:16-05:05:09]  (Local) -> (LOCAL)[1]TREBOOL: comprar armas
[2020:12:16-05:05:10]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Jimenez: Quiero hacerle pan pan a las nalgas de lopez
[2020:12:16-05:05:14]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: yo tmbn
[2020:12:16-05:05:14]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: XDDD
[2020:12:16-05:05:15]  (Local) -> (LOCAL)[1]|EVG|Guarachero: bre
[2020:12:16-05:05:15]  (Phone:SMS) -> From (AK)Tupack | To: [CAPU]Elmorenosexy | Message: ay ñero que sad se rie asi ''jsjsjs'' que sad
[2020:12:16-05:05:17]  (Global) -> LumpyWeasel26: result 3310
[2020:12:16-05:05:20]  (Local) -> (LOCAL)[3]2cb|Woch: una vaina loka
[2020:12:16-05:05:22]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: comoo
[2020:12:16-05:05:24]  (Local) -> (LOCAL)[1]Sancocho-kun: q paso pa xd
[2020:12:16-05:05:27]  (Local) -> (LOCAL)[1]FantasticSky: uy que
[2020:12:16-05:05:29]  (Local) -> (LOCAL)[3]GT|Anndrew: y que cuantos años tenees woch
[2020:12:16-05:05:31]  (Local) -> (LOCAL)[2](AK)Tupack: oe ud que quiere con ella?
[2020:12:16-05:05:33]  (Local) -> (LOCAL)[2]GUSTAVO: jajja gracias
[2020:12:16-05:05:35]  (Local) -> (LOCAL)[1]|EVG|Guarachero: pana
[2020:12:16-05:05:38]  (Local) -> (LOCAL)[1]|EVG|Guarachero: ya tenes gang?
[2020:12:16-05:05:39]  (Local) -> (LOCAL)[2]GUSTAVO: es q se matan al poli
[2020:12:16-05:05:39]  (Local) -> (LOCAL)[3]2cb|Woch: 22
[2020:12:16-05:05:40]  (Global) -> [Dark]Santiago_Perez: culiar
[2020:12:16-05:05:40]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: eee
[2020:12:16-05:05:43]  (Local) -> (LOCAL)[2][EVG]juann: xdd
[2020:12:16-05:05:43]  (Local) -> (LOCAL)[3]2cb|Woch: toy re vuejo
[2020:12:16-05:05:43]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: ay gono
[2020:12:16-05:05:44]  (Global) -> [Dark]Santiago_Perez: sjjsjs
[2020:12:16-05:05:44]  (Local) -> (LOCAL)[2]GUSTAVO: sacate el trabajo
[2020:12:16-05:05:45]  (Local) -> (LOCAL)[2]Sancocho-kun: q
[2020:12:16-05:05:47]  (Phone:SMS) -> From [CAPU]Elmorenosexy | To: (AK)Tupack | Message: Jajajjaja sisas que saddd
[2020:12:16-05:05:48]  (Local) -> (LOCAL)[2][EVG]juann: /Resign
[2020:12:16-05:05:49]  (Local) -> (LOCAL)[3]GT|Anndrew: que voltaje
[2020:12:16-05:05:50]  (Global) -> [Dark]Santiago_Perez: na mentira
[2020:12:16-05:05:51]  ([Msg] de #FF00802cBPrexto para XhnGuaracha: Aqui un tip para evitar infidelidades) -> nil
[2020:12:16-05:05:53]  (Local) -> (LOCAL)[2]Sancocho-kun: vemos pa xd
[2020:12:16-05:05:54]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: entonces sos el mayor de 2cb no?
[2020:12:16-05:05:54]  (Local) -> (LOCAL)[3]2cb|Woch: y ustedes
[2020:12:16-05:05:55]  (Local) -> (LOCAL)[1]TREBOOL: no gang?
[2020:12:16-05:05:55]  (Local) -> (LOCAL)[2](AK)Tupack: ok
[2020:12:16-05:05:57]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: 18
[2020:12:16-05:05:58]  (Local) -> (LOCAL)[2][EVG]juann: ya xd
[2020:12:16-05:05:59]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: De donde eres tu?
[2020:12:16-05:05:59]  (Local) -> (LOCAL)[1]GUSTAVO: llego a donde sale color luego?
[2020:12:16-05:06:00]  (Local) -> (LOCAL)[1]|EVG|Guarachero: pandilla
[2020:12:16-05:06:00]  ([Msg] de CAPU|~Curiosin~| para XhnGuaracha: Confieso que hoy descubri amorios secretos en mi trabajo OwO y es re denso) -> nil
[2020:12:16-05:06:01]  (Local) -> (LOCAL)[3]GT|Anndrew: yo tengo 18 ya otro desempleado mas
[2020:12:16-05:06:03]  (Local) -> (LOCAL)[1]|EVG|Guarachero: asi como evg
[2020:12:16-05:06:03]  (Local) -> (LOCAL)[3]2cb|Woch: sisas
[2020:12:16-05:06:05]  (Local) -> (LOCAL)[1]|EVG|Guarachero: uc
[2020:12:16-05:06:06]  (Global) -> [Dark]Santiago_Perez: pero me van a pasar el watsap
[2020:12:16-05:06:06]  (Local) -> (LOCAL)[1]|EVG|Guarachero: GT
[2020:12:16-05:06:06]  (Local) -> (LOCAL)[3]NeutroPimp2cb: estas aburrido cole
[2020:12:16-05:06:08]  (Local) -> (LOCAL)[1]TREBOOL: no
[2020:12:16-05:06:08]  (Local) -> (LOCAL)[2][EVG]juann: dale en color 1 y lo escojer
[2020:12:16-05:06:08]  (Local) -> (LOCAL)[1]|EVG|Guarachero: 2cb
[2020:12:16-05:06:09]  (Global) -> [Dark]Santiago_Perez: ya me tengo que ir
[2020:12:16-05:06:10]  (Local) -> (LOCAL)[2]2cb'Jabon: so
[2020:12:16-05:06:11]  (Local) -> (LOCAL)[2]2cb'Jabon: si
[2020:12:16-05:06:13]  (Local) -> (LOCAL)[2](AK)Tupack: cuanto te mide
[2020:12:16-05:06:13]  (Local) -> (LOCAL)[3]GT|Anndrew: hace cuanto iniciaste en el cvr?
[2020:12:16-05:06:14]  ([Msg] de careloco para XhnGuaracha: confieso que hay una jbandida en el barrio que es novia de un gay por plata) -> nil
[2020:12:16-05:06:15]  (Local) -> (LOCAL)[3]2cb|Woch: nonas camello
[2020:12:16-05:06:16]  (Global) -> [Dark]Santiago_Perez: para jugar mañana
[2020:12:16-05:06:16]  (Local) -> (LOCAL)[1]|EVG|Guarachero: quieres entra a evg?
[2020:12:16-05:06:17]  (Local) -> (LOCAL)[1]TREBOOL: soy de Astro
[2020:12:16-05:06:17]  (Local) -> (LOCAL)[3]GUSTAVO: color 1 y enter?
[2020:12:16-05:06:18]  ([Msg] de #FF00802cBPrexto para XhnGuaracha: dejar que se ddejen la qk peluda, comenzo siendo un fetiche mio) -> nil
[2020:12:16-05:06:20]  (Local) -> (LOCAL)[4]NeutroPimp2cb: lo imagine pana
[2020:12:16-05:06:21]  (Global) -> [Dark]Santiago_Perez: tengo mas amigos
[2020:12:16-05:06:23]  (Local) -> (LOCAL)[2]FantasticSky: jiiiiiiiii
[2020:12:16-05:06:24]  (Local) -> (LOCAL)[3]NeutroPimp2cb: ey
[2020:12:16-05:06:24]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: mk no se cansa de escuchar niños de 13 años?
[2020:12:16-05:06:24]  (Local) -> (LOCAL)[8]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: AJJAJAJA
[2020:12:16-05:06:24]  (Local) -> (LOCAL)[1]TREBOOL: no se xd
[2020:12:16-05:06:24]  (Local) -> (LOCAL)[3]2cb|Woch: toy en la U
[2020:12:16-05:06:25]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: jajajaa
[2020:12:16-05:06:25]  (Local) -> (LOCAL)[3]2cb'Jabon: xd
[2020:12:16-05:06:26]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Andamos a esta hora siempre
[2020:12:16-05:06:26]  (Global) -> NeutroPimp2cb: toy mondao
[2020:12:16-05:06:28]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Te regañan?
[2020:12:16-05:06:28]  (Local) -> (LOCAL)[3][EVG]juann: primero escojes el que quieres
[2020:12:16-05:06:29]  (Local) -> (LOCAL)[1]|EVG|Guarachero: jjaj
[2020:12:16-05:06:29]  (Local) -> (LOCAL)[2]GT|Anndrew: que cool
[2020:12:16-05:06:29]  ([Msg] de #FF00802cBPrexto para XhnGuaracha: Ahora es una medida de seguridad) -> nil
[2020:12:16-05:06:29]  (Local) -> (LOCAL)[3]GUSTAVO: me vale 10mil
[2020:12:16-05:06:32]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Eres pequeño?
[2020:12:16-05:06:33]  (Local) -> (LOCAL)[2][EVG]juann: sisa
[2020:12:16-05:06:33]  (Local) -> (LOCAL)[2]NeutroPimp2cb: tengo como 57 mil en la cuenta
[2020:12:16-05:06:34]  (Local) -> (LOCAL)[1]|EVG|Guarachero: entre pss a la mejor gang pa
[2020:12:16-05:06:35]  (Local) -> (LOCAL)[2]GUSTAVO: ok
[2020:12:16-05:06:36]  (Local) -> (LOCAL)[1]TREBOOL: mi primo viene con migo???
[2020:12:16-05:06:36]  (Local) -> (LOCAL)[2]GT|Anndrew: que estudia?
[2020:12:16-05:06:36]  (Local) -> (LOCAL)[2]NeutroPimp2cb: ;/
[2020:12:16-05:06:38]  (Local) -> (LOCAL)[2]NeutroPimp2cb: joder
[2020:12:16-05:06:38]  (Global) -> [Dark]Santiago_Perez: no
[2020:12:16-05:06:40]  (Local) -> (LOCAL)[2][EVG]juann: juan
[2020:12:16-05:06:42]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Jaja
[2020:12:16-05:06:42]  (Local) -> (LOCAL)[2]2cb|Woch: creo que soy el mayor
[2020:12:16-05:06:43]  (Local) -> (LOCAL)[1]|EVG|Guarachero: la unica q le compite a auc
[2020:12:16-05:06:43]  (Local) -> (LOCAL)[1]2cb'Jabon: uykieto
[2020:12:16-05:06:46]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: krestor
[2020:12:16-05:06:47]  (Local) -> (LOCAL)[1]|EVG|Guarachero: claro pa
[2020:12:16-05:06:47]  (Local) -> (LOCAL)[1]NeutroPimp2cb: szas mk
[2020:12:16-05:06:48]  (Global) -> [Dark]Santiago_Perez: solo qeu se me pego la gana de acostrame ya
[2020:12:16-05:06:48]  (Local) -> (LOCAL)[2]2cb|Woch: los 2cb
[2020:12:16-05:06:49]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: 2pack que telefono tiens?
[2020:12:16-05:06:50]  (Local) -> (LOCAL)[2]CAPU|~Orion~|: Szs
[2020:12:16-05:06:50]  (Local) -> (LOCAL)[0][EVG]juann: juanoablo
[2020:12:16-05:06:52]  (Local) -> (LOCAL)[2](AK)Tupack: ey nena habla por chat de voz
[2020:12:16-05:06:53]  (Local) -> (LOCAL)[1]|EVG|Guarachero: a donde
[2020:12:16-05:06:54]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: A ver si jugamos Pugb Mobile
[2020:12:16-05:06:55]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: Krestorrrelrkestor
[2020:12:16-05:06:56]  (Local) -> (LOCAL)[1]TREBOOL: traelo
[2020:12:16-05:06:56]  (Local) -> (LOCAL)[1]|EVG|Guarachero: y lo reclutamos
[2020:12:16-05:06:57]  (Global) -> FantasticSky: Semds y que gueva tiene mas grande la izquierda o la derecha ?
[2020:12:16-05:06:57]  (Local) -> (LOCAL)[2]NeutroPimp2cb: en estos dias he comprado como 5 carros
[2020:12:16-05:06:57]  (Local) -> (LOCAL)[2](AK)Tupack: A30 samsung
[2020:12:16-05:07:02]  (Local) -> (LOCAL)[2]2cb|Woch: adm de empresas
[2020:12:16-05:07:04]  (Global) -> Loctarsito12: JAJJASJASJD
[2020:12:16-05:07:04]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Vamos pa esa?
[2020:12:16-05:07:05]  (Local) -> (LOCAL)[4]2cb'Jabon: mucha plata
[2020:12:16-05:07:06]  (Global) -> [Dark]Santiago_Perez: yo juego pug
[2020:12:16-05:07:07]  (Local) -> (LOCAL)[2]CAPU|~Orion~|: uuy
[2020:12:16-05:07:07]  (Team - Services) -> (TEAM)[Dark]Santiago_Perez:  cod
[2020:12:16-05:07:07]  (Global) -> Sancocho-kun: JAJADSJDASJSADDASJJADSJADSJADSDASJ
[2020:12:16-05:07:08]  (Local) -> (LOCAL)[1]TREBOOL: tepealo xd
[2020:12:16-05:07:10]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: estan igulitas man
[2020:12:16-05:07:10]  (Local) -> (LOCAL)[1]|EVG|Guarachero: Como se llama?
[2020:12:16-05:07:11]  (Local) -> (LOCAL)[2](AK)Tupack: nena hablaaaaa
[2020:12:16-05:07:11]  (Local) -> (LOCAL)[3][CAPU]Elmorenosexy: Tu tambien?
[2020:12:16-05:07:13]  (Local) -> (LOCAL)[2]GT|Anndrew: y le ha gustado?
[2020:12:16-05:07:13]  (Local) -> (LOCAL)[1]|EVG|Guarachero: no soy admin
[2020:12:16-05:07:13]  (Global) -> FantasticSky: uy q
[2020:12:16-05:07:13]  (Local) -> (LOCAL)[2][Kp]-[C]ogoying: ajajja
[2020:12:16-05:07:14]  (Local) -> (LOCAL)[1]|EVG|Guarachero: jjaj
[2020:12:16-05:07:17]  (Local) -> (LOCAL)[2]2cb|Woch: sisas
[2020:12:16-05:07:17]  (Global) -> FantasticSky: muy raro eso
[2020:12:16-05:07:18]  (Global) -> [Dark]Santiago_Perez: si
[2020:12:16-05:07:18]  (Local) -> (LOCAL)[1][Kp]-[C]ogoying: se vino
[2020:12:16-05:07:18]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Me da pena hablar
[2020:12:16-05:07:19]  (Global) -> careloco: ena
[2020:12:16-05:07:20]  (Local) -> (LOCAL)[1]TREBOOL: akde dark
[2020:12:16-05:07:20]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: espere me las mido
[2020:12:16-05:07:21]  (Local) -> (LOCAL)[2]2cb|Woch: demasiado
[2020:12:16-05:07:21]  (Local) -> (LOCAL)[2]CAPU|~Orion~|: Pontente esa carrera mrk
[2020:12:16-05:07:21]  (Local) -> (LOCAL)[8]robertoesco0bar: este mono culiao
[2020:12:16-05:07:21]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: bn
[2020:12:16-05:07:22]  (Global) -> careloco: nea
[2020:12:16-05:07:23]  (Local) -> (LOCAL)[1]|EVG|Guarachero: aa
[2020:12:16-05:07:23]  (Local) -> (LOCAL)[2](AK)Tupack: ay porfa
[2020:12:16-05:07:24]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: Que va eso no sirve
[2020:12:16-05:07:24]  (Team - Services) -> (TEAM)|EVG|Guarachero: bre
[2020:12:16-05:07:26]  (Local) -> (LOCAL)[2][CAPU]Elmorenosexy: Pero eres pro?
[2020:12:16-05:07:26]  (Local) -> (LOCAL)[2](AK)Tupack: di algo sesi
[2020:12:16-05:07:28]  (Local) -> (LOCAL)[2]2cb|Woch: es dura
[2020:12:16-05:07:30]  (Global) -> CAPU|~Orion~|: Guaracha pon ele uve rmx pls
[2020:12:16-05:07:31]  (Local) -> (LOCAL)[1][EVG]juann: toma ve en esa
[2020:12:16-05:07:31]  (Local) -> (LOCAL)[3]Akde(Dark): pa fuera ah curartte
[2020:12:16-05:07:31]  (Local) -> (LOCAL)[2]2cb|Woch: mano
[2020:12:16-05:07:31]  (Global) -> careloco: porque trata de suicidarse?
[2020:12:16-05:07:32]  (Global) -> Loctarsito12: Tan bonitooo
[2020:12:16-05:07:34]  (Local) -> (LOCAL)[1][EVG]juann: y curate
[2020:12:16-05:07:34]  (Global) -> [Dark]Santiago_Perez: si xd
[2020:12:16-05:07:35]  (Global) -> |EVG|Guarachero: uy
[2020:12:16-05:07:36]  (Local) -> (LOCAL)[2]2cb|Woch: mucho numeros
