This file was generated by Console at 2020:09:11-00:00:02



[2020:09:11-00:00:02]  (Global) -> BurlyPlate49: perdon
[2020:09:11-17:02:07]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: camionero
[2020:09:11-17:02:12]  (Local) -> (LOCAL)[7](Cts)Lil.Dream: pero 600k
[2020:09:11-17:02:13]  (Global) -> ratix86: que dios y patria ni que monda
[2020:09:11-17:02:15]  (Local) -> (LOCAL)[1]MIGUEL14501: asi es
[2020:09:11-17:02:16]  (Global) -> ratix86: le doy 70
[2020:09:11-17:02:19]  (Global) -> PapiCaliche: Ey #873BF9Francine98, tenia el lock con el carrito y alguien me sacó del carro XD
[2020:09:11-17:02:20]  (Global) -> [S.A.S]Royal: 123 pa qliar kmigo
[2020:09:11-17:02:21]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: si
[2020:09:11-17:02:22]  (Global) -> (CT.S)Harol06: Bien 
[2020:09:11-17:02:26]  (Local) -> (LOCAL)[3]Lauriita: i
[2020:09:11-17:02:28]  (Local) -> (LOCAL)[1]CamilaGil: ya xd
[2020:09:11-17:02:29]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: escribalo de nuevo
[2020:09:11-17:02:31]  (Local) -> (LOCAL)[1]MIGUEL14501: ya gana bien
[2020:09:11-17:02:31]  (Local) -> (LOCAL)[3]ratix86: aja cuanto queres
[2020:09:11-17:02:31]  (Local) -> (LOCAL)[1][GT]Suavitel: UY
[2020:09:11-17:02:33]  (Local) -> (LOCAL)[3]Lauriita: hola
[2020:09:11-17:02:33]  (Local) -> (LOCAL)[1][GT]Suavitel: Gracia
[2020:09:11-17:02:35]  (Local) -> (LOCAL)[1]CamilaGil: compre y nos emborrachamos
[2020:09:11-17:02:36]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: q
[2020:09:11-17:02:37]  (Global) -> PapiCaliche: Ya me encanaron XD
[2020:09:11-17:02:38]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: si
[2020:09:11-17:02:38]  (Local) -> (LOCAL)[2](CTS)EmilioEscobar: holalau
[2020:09:11-17:02:41]  (Global) -> (CT.S)Harol06: Notodossomos iguales
[2020:09:11-17:02:41]  (Local) -> (LOCAL)[7]Elcapo$$: vea deme 600k y le tengo mañana 700k
[2020:09:11-17:02:41]  (Global) -> [SCE4]pinosapino: pare
[2020:09:11-17:02:41]  (Local) -> (LOCAL)[1]ratix86: oeee
[2020:09:11-17:02:43]  (Local) -> (LOCAL)[2]ratix86: pera
[2020:09:11-17:02:43]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: a
[2020:09:11-17:02:45]  (Local) -> (LOCAL)[7](Cts)Lil.Dream: ahle
[2020:09:11-17:02:45]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: es el que pagan mas
[2020:09:11-17:02:46]  (Local) -> (LOCAL)[3]Lauriita: no espolotes
[2020:09:11-17:02:47]  (Local) -> (LOCAL)[2][GT]Suavitel: y
[2020:09:11-17:02:49]  (Global) -> JUANSGAMEZ: cuanto quiere
[2020:09:11-17:02:49]  (Global) -> Lauriita: explotes
[2020:09:11-17:02:49]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: leí mal xddd
[2020:09:11-17:02:49]  (Team - Criminals) -> (TEAM)CamilaGil: /polita
[2020:09:11-17:02:51]  (Global) -> SRQUINTERO: pa la carcel otra vez :v
[2020:09:11-17:02:52]  (Local) -> (LOCAL)[2][GT]Suavitel: ya mepego eos
[2020:09:11-17:02:55]  (Local) -> (LOCAL)[1]MIGUEL14501: es el mas duro
[2020:09:11-17:02:55]  (Local) -> (LOCAL)[1]CAREBOLA: jajaja
[2020:09:11-17:02:57]  (Local) -> (LOCAL)[7](Cts)Lil.Dream: tome ps ya le mando
[2020:09:11-17:02:57]  (Global) -> Jhanner: ADMINS QUIEN ME DESBUGUEA?
[2020:09:11-17:02:58]  (Local) -> (LOCAL)[2][GT]Suavitel: USTED QUIEN
[2020:09:11-17:02:59]  (Global) -> JUANSGAMEZ: y me suelta
[2020:09:11-17:02:59]  (Global) -> Jessica: xd
[2020:09:11-17:02:59]  (Team - Unemployed) -> (TEAM)Lauriita: ole
[2020:09:11-17:02:59]  (Local) -> (LOCAL)[2][GT]Suavitel: ES
[2020:09:11-17:02:59]  (Global) -> PapiCaliche: No pacmans
[2020:09:11-17:03:02]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: maso
[2020:09:11-17:03:02]  (Local) -> (LOCAL)[1]Tribilin: q
[2020:09:11-17:03:04]  (Global) -> Elcapo$$: breve
[2020:09:11-17:03:05]  (Local) -> (LOCAL)[2]Lauriita: so
[2020:09:11-17:03:05]  (Local) -> (LOCAL)[2]GT~[Orgalor]: a
[2020:09:11-17:03:06]  (Local) -> (LOCAL)[2]CamilaGil: mi parcero
[2020:09:11-17:03:08]  (Global) -> JUANSGAMEZ: negece
[2020:09:11-17:03:09]  (Local) -> (LOCAL)[1][CT-S]bray: ya
[2020:09:11-17:03:09]  (Local) -> (LOCAL)[2]CamilaGil: todo bien jajaj
[2020:09:11-17:03:11]  (Local) -> (LOCAL)[1]MIGUEL14501: este es el mas facil
[2020:09:11-17:03:12]  (Global) -> PapiCaliche: #873BF9Francine98 kickealo q ya es la 3ra vez q usa el pacman
[2020:09:11-17:03:12]  (Local) -> (LOCAL)[1][CT-S]bray: volvi
[2020:09:11-17:03:13]  (Global) -> (CTS)EmilioEscobar: xd me puso la bomba
[2020:09:11-17:03:14]  (Global) -> BoliloDeBombero: oe web y medi
[2020:09:11-17:03:17]  (Global) -> JuanLasso: DONDE ERSW
[2020:09:11-17:03:18]  (Local) -> (LOCAL)[1]MIGUEL14501: de dictor
[2020:09:11-17:03:21]  (Local) -> (LOCAL)[1][CT-S]bray: sabes de armas?
[2020:09:11-17:03:23]  (Global) -> [S.A.S]Royal: ya es la 3 vez que veo a quintero haciendo pacman gax
[2020:09:11-17:03:23]  (Global) -> PapiCaliche: Uh, chimbita 
[2020:09:11-17:03:25]  (Global) -> JUANSGAMEZ: puto
[2020:09:11-17:03:26]  (Global) -> JuanLasso: HAROLD?
[2020:09:11-17:03:28]  (Global) -> BoliloDeBombero: literal aparco encima de mi avion
[2020:09:11-17:03:28]  (Local) -> (LOCAL)[1]Lauriita: disco
[2020:09:11-17:03:28]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: no tan facil
[2020:09:11-17:03:31]  (Global) -> Tribilin: eso
[2020:09:11-17:03:32]  (Local) -> (LOCAL)[1]Jessica: las skin se ven asi por los mods?
[2020:09:11-17:03:33]  (Local) -> (LOCAL)[4](Cts)Lil.Dream: ya
[2020:09:11-17:03:34]  (Global) -> YURI: :v
[2020:09:11-17:03:34]  (Local) -> (LOCAL)[3]dilan: amiho
[2020:09:11-17:03:35]  (Local) -> (LOCAL)[4]Elcapo$$: listo
[2020:09:11-17:03:36]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: por lo matan mucho
[2020:09:11-17:03:37]  (Global) -> [S.A.S]Royal: ira otro
[2020:09:11-17:03:38]  (Local) -> (LOCAL)[3]dilan: a
[2020:09:11-17:03:39]  (Local) -> (LOCAL)[1][CT-S]bray: sip
[2020:09:11-17:03:39]  (Local) -> (LOCAL)[2]CamilaGil: viva el paro hptas!
[2020:09:11-17:03:39]  (Local) -> (LOCAL)[4](Cts)Lil.Dream: mañana 700k
[2020:09:11-17:03:39]  (Local) -> (LOCAL)[3]Osama_Golfista: OE
[2020:09:11-17:03:40]  (Local) -> (LOCAL)[6]walter: ajjaja
[2020:09:11-17:03:42]  (Global) -> (CT.S)Harol06: esperemos a los otros
[2020:09:11-17:03:44]  (Local) -> (LOCAL)[2]dilan: necesito matar gts
[2020:09:11-17:03:44]  (Global) -> Jessica: uhhh
[2020:09:11-17:03:45]  (Local) -> (LOCAL)[7]walter: w
[2020:09:11-17:03:47]  (Local) -> (LOCAL)[2][GT]Suavitel: epa hpta
[2020:09:11-17:03:49]  (Local) -> (LOCAL)[6]walter: bien o que
[2020:09:11-17:03:50]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: Jhanner qué tienes
[2020:09:11-17:03:50]  (Global) -> Jhanner: ALGUN ADMIN?
[2020:09:11-17:03:52]  (Local) -> (LOCAL)[2][GT]Suavitel: A
[2020:09:11-17:03:52]  (Global) -> [S.A.S]Royal: dale ban francine
[2020:09:11-17:03:52]  (Local) -> (LOCAL)[8]Kepler: sisas
[2020:09:11-17:03:53]  (Local) -> (LOCAL)[1]MIGUEL14501: sisas
[2020:09:11-17:03:53]  (Local) -> (LOCAL)[1]Osama_Golfista: ah?
[2020:09:11-17:03:54]  (Local) -> (LOCAL)[2][GT]Suavitel: Se murio
[2020:09:11-17:03:54]  (Local) -> (LOCAL)[2][CT-S]bray: si quieres quitate los mods y ves como se veria tu skin sin mods
[2020:09:11-17:03:55]  (Local) -> (LOCAL)[6](Cts)Lil.Dream: yo vere
[2020:09:11-17:03:57]  (Local) -> (LOCAL)[8]walter: ajjaja
[2020:09:11-17:03:57]  (Local) -> (LOCAL)[1]Osama_Golfista: esta bien
[2020:09:11-17:03:58]  (Global) -> (CT.S)Harol06: Busquemoslos
[2020:09:11-17:03:58]  (Local) -> (LOCAL)[2]CamilaGil: se mato jaja
[2020:09:11-17:04:00]  (Team - Law Enforcement) -> (TEAM)JuanLasso: TDONDE ESTA HAROLD
[2020:09:11-17:04:00]  (Local) -> (LOCAL)[8]Kepler: Otro paro o que'
[2020:09:11-17:04:00]  (Global) -> Jhanner: ME BUGUIE AYER EN EL BANCO
[2020:09:11-17:04:00]  (Local) -> (LOCAL)[1][GT]Suavitel: culo con sue;o
[2020:09:11-17:04:02]  (Local) -> (LOCAL)[1]dilan: necesito matar gts
[2020:09:11-17:04:03]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: aaa
[2020:09:11-17:04:04]  (Local) -> (LOCAL)[2][CT-S]bray: a ver
[2020:09:11-17:04:05]  (Global) -> Jessica: mas tarde jajajaja
[2020:09:11-17:04:07]  (Global) -> (CT.S)Harol06: Se quedaron atras
[2020:09:11-17:04:07]  (Local) -> (LOCAL)[1]Osama_Golfista: aaah
[2020:09:11-17:04:09]  (Global) -> [DV]CamiloSZ: NI SE
[2020:09:11-17:04:10]  (Local) -> (LOCAL)[1]CamilaGil: JAKJAJKAJKA
[2020:09:11-17:04:10]  (Local) -> (LOCAL)[1]Osama_Golfista: xd
[2020:09:11-17:04:14]  (Local) -> (LOCAL)[1]dilan: esta se coje sola
[2020:09:11-17:04:15]  (Team - Law Enforcement) -> (TEAM)FedericoMamelo: que lleguen a la cana
[2020:09:11-17:04:17]  (Local) -> (LOCAL)[2][CT-S]bray: jajajaja
[2020:09:11-17:04:18]  (Local) -> (LOCAL)[1]CamilaGil: como pongo las vainas?
[2020:09:11-17:04:19]  (Team - Law Enforcement) -> (TEAM)(CT.S)Harol06: tcamil
[2020:09:11-17:04:20]  (Local) -> (LOCAL)[2]Osama_Golfista: to bien
[2020:09:11-17:04:21]  (Local) -> (LOCAL)[2][CT-S]bray: sos hombre
[2020:09:11-17:04:24]  (Global) -> (CT.S)Harol06: Camiloooooooo}
[2020:09:11-17:04:26]  (Local) -> (LOCAL)[2][CT-S]bray: gordo
[2020:09:11-17:04:26]  (Global) -> [DV]CamiloSZ: A LA CARCEL
[2020:09:11-17:04:26]  (Local) -> (LOCAL)[2]MIGUEL14501: señor pa donde me lleva me va a violar??
[2020:09:11-17:04:27]  (Local) -> (LOCAL)[6]walter: ajjaja
[2020:09:11-17:04:28]  (Local) -> (LOCAL)[1]CamilaGil: tipo pa sentarme
[2020:09:11-17:04:29]  (Local) -> (LOCAL)[1][GT]Suavitel: Las acciones?
[2020:09:11-17:04:29]  (Local) -> (LOCAL)[2][CT-S]bray: con pelo afro
[2020:09:11-17:04:30]  (Local) -> (LOCAL)[2][CT-S]bray: xd
[2020:09:11-17:04:31]  (Local) -> (LOCAL)[1]CamilaGil: y tales
[2020:09:11-17:04:32]  (Local) -> (LOCAL)[1]CamilaGil: siks
[2020:09:11-17:04:32]  (Local) -> (LOCAL)[6]walter: no entra ni mierda
[2020:09:11-17:04:35]  (Global) -> Jessica: ay no JAJAJAJAJA
[2020:09:11-17:04:35]  (Global) -> (CT.S)Harol06: Nos vemos en la carcel camilo
[2020:09:11-17:04:36]  (Global) -> JuanLasso: MANEJE
[2020:09:11-17:04:37]  (Global) -> FedericoMamelo: q ptas jsjsj
[2020:09:11-17:04:39]  (Local) -> (LOCAL)[5](Cts)Lil.Dream: sabe cual es la mejor forma de ganar money
[2020:09:11-17:04:40]  (Local) -> (LOCAL)[1][GT]Suavitel: /sit y numero del uno al nueve
[2020:09:11-17:04:42]  (Global) -> EL_PATRON:  uy gorronea
[2020:09:11-17:04:45]  (Global) -> [S.A.S]Royal: camilosz se volvio tombo!? uy no, un idolo caido :c
[2020:09:11-17:04:46]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: Jhanner te voy a kickear así se arregla
[2020:09:11-17:04:48]  (Local) -> (LOCAL)[5](Cts)Lil.Dream: prestele a la gente y cobre mas
[2020:09:11-17:04:48]  (Local) -> (LOCAL)[1][GT]Suavitel: /sit 3 y asi
[2020:09:11-17:04:51]  (Global) -> EL_PATRON: camioneros pa brutos
[2020:09:11-17:04:51]  (Team - Law Enforcement) -> (TEAM)(CT.S)Harol06: Lasooo
[2020:09:11-17:04:52]  (Local) -> (LOCAL)[5]walter: falta un carrp
[2020:09:11-17:04:54]  (Local) -> (LOCAL)[3]PapiCaliche: parcero
[2020:09:11-17:04:55]  (Global) -> GT~[Orgalor]: suavitelk
[2020:09:11-17:04:56]  (Local) -> (LOCAL)[2][CT-S]bray: ya
[2020:09:11-17:04:58]  (Local) -> (LOCAL)[1][GT]Suavitel: pa ti mamo
[2020:09:11-17:04:59]  (Local) -> (LOCAL)[2][CT-S]bray: ahora que
[2020:09:11-17:05:00]  (Team - Law Enforcement) -> (TEAM)(CT.S)Harol06: camilo y lasso nos vemos en la carcel
[2020:09:11-17:05:00]  (Local) -> (LOCAL)[1]CamilaGil: uyy
[2020:09:11-17:05:00]  (Global) -> Jhanner: hagale
[2020:09:11-17:05:01]  (Local) -> (LOCAL)[5]PapiCaliche: Ponga /release PapiCaliche y le dan dinero
[2020:09:11-17:05:03]  (Local) -> (LOCAL)[1][Zetas]SR-OscarP: UN MEJOR TRABAJO
[2020:09:11-17:05:05]  (Local) -> (LOCAL)[7]walter: oe
[2020:09:11-17:05:07]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: AAAAH SIVES LiLPussy
[2020:09:11-17:05:08]  (Global) -> (CT.S)Harol06: hagale que nos matan
[2020:09:11-17:05:08]  (Local) -> (LOCAL)[8]walter: saque su carro
[2020:09:11-17:05:09]  (Local) -> (LOCAL)[1][CT-S]bray: sabes comandos?
[2020:09:11-17:05:09]  (Local) -> (LOCAL)[9]walter: jajaja
[2020:09:11-17:05:09]  (Global) -> FedericoMamelo: cuales
[2020:09:11-17:05:10]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: graciosito
[2020:09:11-17:05:11]  (Local) -> (LOCAL)[1]CamilaGil: ese culito esta solo?
[2020:09:11-17:05:12]  (Local) -> (LOCAL)[9]Kepler: bre
[2020:09:11-17:05:12]  (Global) -> GT~[Orgalor]: suavitel
[2020:09:11-17:05:12]  (Global) -> Chayan_emilio: ola
[2020:09:11-17:05:13]  (Team - Unemployed) -> (TEAM)Jessica: nop
[2020:09:11-17:05:14]  (Local) -> (LOCAL)[1][CT-S]bray: como bailar
[2020:09:11-17:05:15]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: sí estabas preso
[2020:09:11-17:05:18]  (Team - Unemployed) -> (TEAM)Jessica: muy pocos
[2020:09:11-17:05:19]  (Local) -> (LOCAL)[1][GT]Suavitel: jadjasjd
[2020:09:11-17:05:22]  (Local) -> (LOCAL)[1]MIGUEL14501: y que tengo que hacer?
[2020:09:11-17:05:25]  (Global) -> (CT.S)Harol06: Este men es muy mcaaaaaa
[2020:09:11-17:05:31]  (Global) -> (Cts)Lil.Dream: brayy
[2020:09:11-17:05:31]  (Local) -> (LOCAL)[1]CamilaGil: jajkakjjkajka
[2020:09:11-17:05:35]  (Global) -> Haski_Afk: SOY CONSENTIDOOO Y TAMBIEEEEN
[2020:09:11-17:05:37]  (Team - Law Enforcement) -> (TEAM)FedericoMamelo: hptas bugs
[2020:09:11-17:05:38]  (Global) -> Haski_Afk: PLESUMINOOOOO
[2020:09:11-17:05:41]  (Global) -> GT~[Orgalor]: suavitel
[2020:09:11-17:05:45]  (Global) -> GT~[Orgalor]: suavitel
[2020:09:11-17:05:46]  (Global) -> [GT]Suavitel: DIMELO
[2020:09:11-17:05:49]  (Local) -> (LOCAL)[1]CamilaGil: y como me quito esto jaja?
[2020:09:11-17:05:50]  (Global) -> GT~[Orgalor]: suavitel
[2020:09:11-17:05:50]  (Local) -> (LOCAL)[1][CT-S]bray: pon /dance y un numero del 1 al 11 para bailar
[2020:09:11-17:05:50]  (Global) -> CholoMachin: sex
[2020:09:11-17:05:53]  (Global) -> Osama_Golfista: OES HOY ES 11 DE SPTIEMBRE
[2020:09:11-17:05:54]  (Local) -> (LOCAL)[1][GT]Suavitel: /stopanim
[2020:09:11-17:05:54]  (Global) -> PapiCaliche: Ey #873BF9Francine98 eso del banco no lo han podido arreglar o q
[2020:09:11-17:05:58]  (Global) -> Osama_Golfista: ES MI DIA
[2020:09:11-17:05:59]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: ñao
[2020:09:11-17:06:01]  (Local) -> (LOCAL)[1][CT-S]bray: pon /smoke y un numero para fumar
[2020:09:11-17:06:03]  (Global) -> Osama_Golfista: QUIEN PA TERRORISMO
[2020:09:11-17:06:06]  (Global) -> (CT.S)Harol06: para la carcel
[2020:09:11-17:06:06]  (Global) -> [Zetas]Laura: Osama peligroso
[2020:09:11-17:06:07]  (Global) -> CholoMachin: SEEEEEX
[2020:09:11-17:06:08]  (Global) -> [S.A.S]Royal: OSAMA CUMPLES 19 AÑOS DE TU HAZAÑA :D
[2020:09:11-17:06:09]  (Team - Unemployed) -> (TEAM)Jessica: uhh
[2020:09:11-17:06:11]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: una zona segura es lo más viable
[2020:09:11-17:06:15]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: pero jummm
[2020:09:11-17:06:15]  (Local) -> (LOCAL)[1][CT-S]bray: pon /sit y un numero para sentarte
[2020:09:11-17:06:18]  (Global) -> (DV)menorpatecumbias: que hay para hacer hoy?a
[2020:09:11-17:06:23]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: cosa de admins
[2020:09:11-17:06:24]  (Local) -> (LOCAL)[2][Zetas]Laura: banco
[2020:09:11-17:06:25]  (Local) -> (LOCAL)[1][CT-S]bray: mmm
[2020:09:11-17:06:30]  (Local) -> (LOCAL)[1][GT]Suavitel: Todavia tiene el efecto de la pola?
[2020:09:11-17:06:30]  (Local) -> (LOCAL)[1][CT-S]bray: pon fall
[2020:09:11-17:06:32]  (Local) -> (LOCAL)[2]dilan: sii
[2020:09:11-17:06:35]  (Local) -> (LOCAL)[1][CT-S]bray: la cague xd
[2020:09:11-17:06:36]  (Global) -> [S.A.S]Royal: ATAQUEMOS LA TORRE COLPATRIA EN CONMEMORACION DE LAS TORRES GEMELAS :D
[2020:09:11-17:06:38]  (Global) -> [DTA]LEANDRO: y su carga
[2020:09:11-17:06:38]  (Global) -> Lauriita: e
[2020:09:11-17:06:40]  (Global) -> PabloGanster: k pedo
[2020:09:11-17:06:41]  (Local) -> (LOCAL)[1]dilan: siiiiiiiiiiiiiiiii
[2020:09:11-17:06:42]  (Local) -> (LOCAL)[1][CT-S]bray: pon /fall para caerte
[2020:09:11-17:06:44]  (Local) -> (LOCAL)[1]MIGUEL14501: nose como se pita jajaja
[2020:09:11-17:06:44]  (Global) -> DrStrange: bloquealo
[2020:09:11-17:06:46]  (Global) -> Haski_Afk: Royal, deje la pelicula 
[2020:09:11-17:06:47]  (Local) -> (LOCAL)[10]walter: apgo vip?
[2020:09:11-17:06:50]  (Global) -> (CT.S)Harol06: camiliin
[2020:09:11-17:06:50]  (Local) -> (LOCAL)[1]MIGUEL14501: se me perdio
[2020:09:11-17:06:50]  (Local) -> (LOCAL)[2]CamilaGil: siks
[2020:09:11-17:06:50]  (Global) -> DrStrange: para que no los saquien
[2020:09:11-17:06:53]  (Local) -> (LOCAL)[1][CT-S]bray: pon /crack para hacerte el vicioso xd
[2020:09:11-17:06:54]  (Local) -> (LOCAL)[2][GT]Suavitel: ponga
[2020:09:11-17:06:54]  (Local) -> (LOCAL)[9]walter: pago vip?
[2020:09:11-17:06:56]  (Global) -> [DV]CamiloSZ: DIMEE
[2020:09:11-17:06:56]  (Global) -> Osama_Golfista: LA TORRESTAN F
[2020:09:11-17:06:58]  (Local) -> (LOCAL)[2][GT]Suavitel: /sobrio
[2020:09:11-17:06:58]  (Global) -> Jessica: xd
[2020:09:11-17:06:59]  (Global) -> (DV)menorpatecumbias: royal en las que se monta jajaja
[2020:09:11-17:06:59]  (Local) -> (LOCAL)[1][CT-S]bray: mmmm
[2020:09:11-17:07:00]  (Phone:SMS) -> From gecogeta797 | To: Kepler | Message: hola kepler
[2020:09:11-17:07:01]  (Global) -> [DV]CamiloSZ: ESPERENME
[2020:09:11-17:07:02]  (Local) -> (LOCAL)[2]CamilaGil: ya dx
[2020:09:11-17:07:02]  (Global) -> [DTA]LEANDRO: se mete en el punto verde y se la dan
[2020:09:11-17:07:02]  (Global) -> [S.A.S]Royal: No me arruines el show ps :c
[2020:09:11-17:07:05]  (Global) -> (CT.S)Harol06: donde estan los otros
[2020:09:11-17:07:06]  (Local) -> (LOCAL)[2][GT]Suavitel: TOmbo gordo moment
[2020:09:11-17:07:08]  (Global) -> Haski_Afk: no cual show
[2020:09:11-17:07:10]  (Local) -> (LOCAL)[1][CT-S]bray: a ya
[2020:09:11-17:07:10]  (Global) -> Haski_Afk: sea serio
[2020:09:11-17:07:15]  (Local) -> (LOCAL)[2]CamilaGil: UAKAKJAJAJ
[2020:09:11-17:07:15]  (Global) -> Haski_Afk: commo yo
[2020:09:11-17:07:16]  (Local) -> (LOCAL)[1]MIGUEL14501: ahora que acabo de empezar
[2020:09:11-17:07:17]  (Local) -> (LOCAL)[8]walter: sisas=
[2020:09:11-17:07:18]  (Phone:SMS) -> From gecogeta797 | To: Kepler | Message: oe donde esta
[2020:09:11-17:07:18]  (Local) -> (LOCAL)[1](CTS)EmilioEscobar: como vas?
[2020:09:11-17:07:19]  (Local) -> (LOCAL)[2][Z]Chatarrasolorojo: ajajjajaa
[2020:09:11-17:07:20]  (Local) -> (LOCAL)[2]Lauriita: ush
[2020:09:11-17:07:22]  (Local) -> (LOCAL)[2][Z]Chatarrasolorojo: oarece una rata
[2020:09:11-17:07:23]  (Local) -> (LOCAL)[10]Kepler: xDDD
[2020:09:11-17:07:23]  (Global) -> [CAPU]Pastor_Lopez: COMPRO COMET
[2020:09:11-17:07:24]  (Local) -> (LOCAL)[1][CT-S]bray: pon /bar para mirar mal a alguien xd
[2020:09:11-17:07:25]  (Local) -> (LOCAL)[2]Lauriita: bien y tu
[2020:09:11-17:07:25]  (Global) -> (CT.S)Harol06:  santi esperesmos a camilo dijo
[2020:09:11-17:07:25]  (Global) -> [Z]opj: 3 fps
[2020:09:11-17:07:26]  (Global) -> [CAPU]Pastor_Lopez: COMPRO COMET
[2020:09:11-17:07:27]  (Global) -> (Cts)Lil.Dream: brayy
[2020:09:11-17:07:29]  (Phone:SMS) -> From gecogeta797 | To: Kepler | Message: quiero que vea algo
[2020:09:11-17:07:30]  (Global) -> [CAPU]Pastor_Lopez: COMPRO COMET
[2020:09:11-17:07:30]  (Global) -> Haski_Serio: Vea
[2020:09:11-17:07:31]  (Global) -> Jessica: xd
[2020:09:11-17:07:31]  (Local) -> (LOCAL)[0][S.A.S]Royal: es diferente ser serio a un mamon sin humor
[2020:09:11-17:07:32]  (Local) -> (LOCAL)[1]Lauriita: este carro corre mucho
[2020:09:11-17:07:34]  (Local) -> (LOCAL)[2][CT-S]bray: pon /kiss para besar a alguien
[2020:09:11-17:07:34]  (Global) -> Haski_Serio: sea como yo
[2020:09:11-17:07:35]  (Local) -> (LOCAL)[1](CTS)EmilioEscobar: bien lau xD Ganandome la plata
[2020:09:11-17:07:36]  (Global) -> GT~[Orgalor]: suavitel
[2020:09:11-17:07:37]  (Global) -> Haski_Serio: Haski serio
[2020:09:11-17:07:38]  (Local) -> (LOCAL)[1](CTS)EmilioEscobar: manejalo
[2020:09:11-17:07:38]  (Local) -> (LOCAL)[2][CT-S]bray: pon /gym
[2020:09:11-17:07:38]  (Local) -> (LOCAL)[1]CamilaGil: veni
[2020:09:11-17:07:39]  (Local) -> (LOCAL)[1]Lauriita: ajajaj
[2020:09:11-17:07:39]  (Local) -> (LOCAL)[3][GT]AndrestP: xd
[2020:09:11-17:07:41]  (Local) -> (LOCAL)[10]walter: pago vip kepler
[2020:09:11-17:07:42]  (Local) -> (LOCAL)[3]PapiCaliche: hola pana
[2020:09:11-17:07:42]  (Local) -> (LOCAL)[1]CamilaGil: vamos por un carro
[2020:09:11-17:07:43]  (Local) -> (LOCAL)[2]dilan: XD
[2020:09:11-17:07:44]  (Local) -> (LOCAL)[2][CT-S]bray: se me olvido para que era xd
[2020:09:11-17:07:45]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: hol
[2020:09:11-17:07:46]  (Local) -> (LOCAL)[10]Kepler: Yo?
[2020:09:11-17:07:47]  (Local) -> (LOCAL)[10]Kepler: Noks
[2020:09:11-17:07:48]  (Local) -> (LOCAL)[2][Z]opj: mk literal 10 fps
[2020:09:11-17:07:48]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: casi te fuman
[2020:09:11-17:07:49]  (Local) -> (LOCAL)[2][CT-S]bray: a
[2020:09:11-17:07:51]  (Local) -> (LOCAL)[1][Z]opj: :(
[2020:09:11-17:07:52]  (Team - Unemployed) -> (TEAM)Jessica: jajajajja
[2020:09:11-17:07:53]  (Local) -> (LOCAL)[1][Z]Chatarrasolorojo: jajaja
[2020:09:11-17:07:54]  (Local) -> (LOCAL)[1](CTS)EmilioEscobar: xD Cuidado con las curvas
[2020:09:11-17:07:55]  (Local) -> (LOCAL)[1][Z]Chatarrasolorojo: x2
[2020:09:11-17:07:57]  (Local) -> (LOCAL)[1]Lauriita: si
[2020:09:11-17:07:57]  (Local) -> (LOCAL)[2][CT-S]bray: es en el gym
[2020:09:11-17:07:58]  (Team - Unemployed) -> (TEAM)Jessica: y como se hace la paja xd
[2020:09:11-17:07:58]  (Global) -> [S.A.S]Royal: prefiero ser royal pendejo
[2020:09:11-17:08:00]  (Global) -> [GT]AndrestP: mano de pajuelos
[2020:09:11-17:08:02]  (Local) -> (LOCAL)[2][CT-S]bray: para poder caminar asi
[2020:09:11-17:08:02]  (Local) -> (LOCAL)[1]CamilaGil: AJJAJAJA
[2020:09:11-17:08:04]  (Local) -> (LOCAL)[1][GT]Suavitel: Voy arrancar
[2020:09:11-17:08:04]  (Local) -> (LOCAL)[2][Z]opj: igual asi me culeo 2gt
[2020:09:11-17:08:05]  (Local) -> (LOCAL)[1]CamilaGil: que chimba
[2020:09:11-17:08:06]  (Local) -> (LOCAL)[1][GT]Suavitel: Soy el chofer
[2020:09:11-17:08:09]  (Local) -> (LOCAL)[2][CT-S]bray: es con k
[2020:09:11-17:08:12]  (Team - Unemployed) -> (TEAM)(CTS)EmilioEscobar: xDDDDDD
[2020:09:11-17:08:12]  (Local) -> (LOCAL)[1][Z]Chatarrasolorojo: yo estoy re incomod
