This file was generated by Console at 2021:02:12-00:00:00



[2021:02:12-00:00:00]  (Global) -> AttractiveDunebuggy54: socio
[2021:02:12-14:18:31]  (Local) -> (LOCAL)[1]JUAN-DIEGO-CR-(2cB): maneje usted
[2021:02:12-14:18:33]  (Local) -> (LOCAL)[4]GustavoPetro(RCA)(J): oe me le pone al otro carro?
[2021:02:12-14:18:35]  (Local) -> (LOCAL)[2]Willow'ELN': mamahuevo mamhuevo mamhuevo
[2021:02:12-14:18:36]  (Global) -> helado2cb: A DOBLES CAGADO
[2021:02:12-14:18:36]  (Local) -> (LOCAL)[4]Cagaleto|EVG|: BNO
[2021:02:12-14:18:40]  (Local) -> (LOCAL)[4]Skippers|ELN: ey pilla la moto de la liendra cuca de nave
[2021:02:12-14:18:40]  (Global) -> FoFinho'Mode#: bind 6 cd
[2021:02:12-14:18:45]  (Local) -> (LOCAL)[4]FoFinho'Mode#: jueputa
[2021:02:12-14:18:45]  (Global) -> JuanPablo|2cB|:  /cf
[2021:02:12-14:18:47]  (Local) -> (LOCAL)[1]ART[AK]: no sea corrupto
[2021:02:12-14:18:48]  (Local) -> (LOCAL)[4]helado2cb: nada de uzi
[2021:02:12-14:18:49]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: dejeme hago mis deberes
[2021:02:12-14:18:49]  (Global) -> Willow'ELN': mamhuevo mamahuevo mamhuevo mamahuevo
[2021:02:12-14:18:50]  (Local) -> (LOCAL)[1]ART[AK]: xD
[2021:02:12-14:18:52]  (Local) -> (LOCAL)[4]JuanPablo|2cB|: ok
[2021:02:12-14:18:53]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: tengo que hacer algo
[2021:02:12-14:18:54]  (Local) -> (LOCAL)[4]Willow'ELN': ale
[2021:02:12-14:18:54]  (Global) -> JuanCC: si quiero
[2021:02:12-14:18:55]  (Local) -> (LOCAL)[3]GustavoPetro(RCA)(J): oe 27 venga
[2021:02:12-14:19:00]  (Global) -> JuanCC: seamos corruptos
[2021:02:12-14:19:02]  (Local) -> (LOCAL)[1]ART[AK]: ok drogueseç
[2021:02:12-14:19:03]  (Local) -> (LOCAL)[4]27bb: uy
[2021:02:12-14:19:05]  (Global) -> JavierRD(AK): desalma tu madre
[2021:02:12-14:19:06]  (Local) -> (LOCAL)[1]ART[AK]: xD
[2021:02:12-14:19:11]  (Local) -> (LOCAL)[3]FoFinho'Mode#: eladow
[2021:02:12-14:19:12]  (Global) -> JuanCC: subaseee
[2021:02:12-14:19:13]  (Local) -> (LOCAL)[1]Oconner'2cb: jajaja no q hp embale de venida
[2021:02:12-14:19:14]  (Local) -> (LOCAL)[4]helado2cb: #FFEB3BDios#0288D1Y#FF3D00Patria
[2021:02:12-14:19:17]  (Global) -> JuanPablo|2cB|: q tombo me arresta
[2021:02:12-14:19:20]  (Global) -> Cagaleto|EVG|: vendo hotring racer 1 con nitro y neon
[2021:02:12-14:19:25]  (Global) -> JuanCC: subase
[2021:02:12-14:19:26]  (Local) -> (LOCAL)[1]JUAN-DIEGO-CR-(2cB): sisas
[2021:02:12-14:19:26]  (Local) -> (LOCAL)[1]ART[AK]: su moto esta hecho bola
[2021:02:12-14:19:32]  (Local) -> (LOCAL)[1]ART[AK]: bajese de eso
[2021:02:12-14:19:34]  (Global) -> JuanCC: no importa
[2021:02:12-14:19:36]  (Local) -> (LOCAL)[4]FoFinho'Mode#: una a dobles
[2021:02:12-14:19:36]  (Local) -> (LOCAL)[4]Willow'ELN': helado care monda valeeeeeeeeeeeeeeeeee
[2021:02:12-14:19:39]  (Local) -> (LOCAL)[3]GustavoPetro(RCA)(J): oe cagaleto
[2021:02:12-14:19:39]  (Local) -> (LOCAL)[3]27bb: oe
[2021:02:12-14:19:39]  (Local) -> (LOCAL)[1]ART[AK]: vayamos en algo mejor
[2021:02:12-14:19:42]  (Local) -> (LOCAL)[3]Cagaleto|EVG|: vamos pppsp
[2021:02:12-14:19:45]  (Local) -> (LOCAL)[3]Cagaleto|EVG|: ya vuelvo
[2021:02:12-14:19:47]  (Team - Criminals) -> (TEAM)helado2cb: iuok
[2021:02:12-14:19:48]  (Local) -> (LOCAL)[4]helado2cb: ok
[2021:02:12-14:19:50]  (Local) -> (LOCAL)[3]Cagaleto|EVG|: o aacompañame
[2021:02:12-14:20:12]  (Local) -> (LOCAL)[1]GustavoPetro(RCA)(J): oee
[2021:02:12-14:20:13]  (Global) -> JuanCC: subase
[2021:02:12-14:20:14]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: a
[2021:02:12-14:20:20]  (Global) -> Perico|ELN: a
[2021:02:12-14:20:24]  (Local) -> (LOCAL)[3]JuanPablo|2cB|: XD
[2021:02:12-14:20:28]  (Local) -> (LOCAL)[3]Willow'ELN': ajja
[2021:02:12-14:20:28]  (Local) -> (LOCAL)[3]FoFinho'Mode#: se me bugearon esas hptas dobles
[2021:02:12-14:20:32]  (Local) -> (LOCAL)[1]Oconner'2cb: jajaja hpta
[2021:02:12-14:20:33]  (Local) -> (LOCAL)[3]FoFinho'Mode#: coggo
[2021:02:12-14:20:37]  (Global) -> Cagaleto|EVG|: JJAJAA
[2021:02:12-14:20:38]  (Local) -> (LOCAL)[3]JuanPablo|2cB|: vamos a ls
[2021:02:12-14:20:38]  (Local) -> (LOCAL)[1]Oconner'2cb: noq gonorrea
[2021:02:12-14:20:39]  (Local) -> (LOCAL)[3]Willow'ELN': esa cagando
[2021:02:12-14:20:40]  (Global) -> Skippers|ELN: Cagaleto|EVG|
[2021:02:12-14:20:41]  (Local) -> (LOCAL)[3]FoFinho'Mode#: ok
[2021:02:12-14:20:42]  (Global) -> GustavoPetro(RCA)(J): 28
[2021:02:12-14:20:42]  (Local) -> (LOCAL)[3]FoFinho'Mode#: a
[2021:02:12-14:20:43]  (Global) -> Cagaleto|EVG|: XD
[2021:02:12-14:20:44]  (Local) -> (LOCAL)[3]JuanPablo|2cB|: qn tiene zorra
[2021:02:12-14:20:48]  (Local) -> (LOCAL)[3]FoFinho'Mode#: q idde skin sera esa
[2021:02:12-14:20:48]  (Global) -> JuanCC: donde se consiguen armas
[2021:02:12-14:20:57]  (Local) -> (LOCAL)[3]JuanPablo|2cB|: restamelo
[2021:02:12-14:20:59]  (Local) -> (LOCAL)[3]JuanPablo|2cB|: voy a ls
[2021:02:12-14:21:01]  (Global) -> Cagaleto|EVG|: Skippers|ELN
[2021:02:12-14:21:01]  (Local) -> (LOCAL)[3]FoFinho'Mode#: vamos
[2021:02:12-14:21:04]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: ok
[2021:02:12-14:21:05]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: :V
[2021:02:12-14:21:08]  (Local) -> (LOCAL)[1]GustavoPetro(RCA)(J): oe juan cc
[2021:02:12-14:21:12]  (Global) -> JuanCC: que
[2021:02:12-14:21:12]  (Local) -> (LOCAL)[1]GustavoPetro(RCA)(J): me arrestas porfa
[2021:02:12-14:21:14]  (Local) -> (LOCAL)[1]FoFinho'Mode#: diosmio la gasofa
[2021:02:12-14:21:16]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: s
[2021:02:12-14:21:18]  (Local) -> (LOCAL)[1]FoFinho'Mode#: al banco
[2021:02:12-14:21:20]  (Local) -> (LOCAL)[1]espi: oeeee
[2021:02:12-14:21:21]  (Global) -> JuanCC: como lo hago xd
[2021:02:12-14:21:21]  (Global) -> Samantha~2Aucb: qn pa hacer stun?
[2021:02:12-14:21:22]  (Local) -> (LOCAL)[1]espi: oeee
[2021:02:12-14:21:23]  (Local) -> (LOCAL)[1]espi: oeee
[2021:02:12-14:21:24]  (Local) -> (LOCAL)[1]Skippers|ELN: manegue esta cuca
[2021:02:12-14:21:25]  (Local) -> (LOCAL)[1]FoFinho'Mode#: por plata pa la gasofa
[2021:02:12-14:21:30]  (Local) -> (LOCAL)[1]GustavoPetro(RCA)(J): pegueme con el boliyo
[2021:02:12-14:21:33]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: :V
[2021:02:12-14:21:35]  (Global) -> JuanCC: que 
[2021:02:12-14:21:40]  (Local) -> (LOCAL)[1]GustavoPetro(RCA)(J): peguemeeee
[2021:02:12-14:21:43]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: aragan
[2021:02:12-14:21:46]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: UY KIETO
[2021:02:12-14:21:47]  (Team - Emergency) -> (TEAM)JACK_RCA: t
[2021:02:12-14:21:49]  (Local) -> (LOCAL)[1]Oconner'2cb: hoy muchos tocaran violin
[2021:02:12-14:21:50]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: chimba de nave
[2021:02:12-14:21:51]  (Local) -> (LOCAL)[1]FoFinho'Mode#: diosmio como sabes mi nonvre
[2021:02:12-14:21:51]  (Global) -> Willow'ELN': yosemiteeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee 6 palosssssssssssssssssssssss
[2021:02:12-14:21:52]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: le vendo una nave parce
[2021:02:12-14:22:05]  (Global) -> Cagaleto|EVG|: llegue ps gustavo
[2021:02:12-14:22:06]  (Local) -> (LOCAL)[1]FoFinho'Mode#: jumm nomas tengo un palo en el banco
[2021:02:12-14:22:08]  (Local) -> (LOCAL)[1]JUAN-DIEGO-CR-(2cB): Hoy?
[2021:02:12-14:22:11]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: mi camioneta aragana
[2021:02:12-14:22:13]  (Team - Unemployed) -> (TEAM)$MOCK$: /kill
[2021:02:12-14:22:14]  (Global) -> Cagaleto|EVG|: a job de buseteros
[2021:02:12-14:22:15]  (Local) -> (LOCAL)[1]JACK_RCA: que pasa
[2021:02:12-14:22:16]  (Local) -> (LOCAL)[1]Oconner'2cb: el dia de sanvalentin tin
[2021:02:12-14:22:18]  (Local) -> (LOCAL)[1]FoFinho'Mode#: jaja
[2021:02:12-14:22:23]  (Local) -> (LOCAL)[2]27bb: oe
[2021:02:12-14:22:24]  (Global) -> JuanCC: xd
[2021:02:12-14:22:27]  (Local) -> (LOCAL)[1]Willow'ELN': noo
[2021:02:12-14:22:28]  (Local) -> (LOCAL)[1]Murasaki: que paso
[2021:02:12-14:22:29]  (Local) -> (LOCAL)[1]27bb: lleveme a job de busetas
[2021:02:12-14:22:30]  (Local) -> (LOCAL)[1]Willow'ELN': a
[2021:02:12-14:22:31]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: siii
[2021:02:12-14:22:33]  (Global) -> Brahian'2cb: a como cagaleto
[2021:02:12-14:22:37]  (Local) -> (LOCAL)[1]Murasaki: agale
[2021:02:12-14:22:42]  (Global) -> GustavoPetro(RCA)(J): cagaleto ya le llego
[2021:02:12-14:22:46]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: uy
[2021:02:12-14:22:47]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: JAJAJA
[2021:02:12-14:22:56]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: oe
[2021:02:12-14:23:00]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: vendame perica y popper
[2021:02:12-14:23:01]  (Local) -> (LOCAL)[1]JUAN-DIEGO-CR-(2cB): Usted va a tocar violin o tiene lo suyo?
[2021:02:12-14:23:03]  (Local) -> (LOCAL)[2]JuanPablo|2cB|: pero barata
[2021:02:12-14:23:04]  (Local) -> (LOCAL)[2]helado2cb: no tengo
[2021:02:12-14:23:05]  (Local) -> (LOCAL)[1]Skippers|ELN: manegue
[2021:02:12-14:23:06]  (Local) -> (LOCAL)[2]JuanPablo|2cB|: no me tire duo
[2021:02:12-14:23:20]  (Global) -> JACK_RCA: gustavo donde esta
[2021:02:12-14:23:22]  (Local) -> (LOCAL)[1]FoFinho'Mode#: tengo exactos 850k en el banco
[2021:02:12-14:23:26]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: a
[2021:02:12-14:23:29]  (Local) -> (LOCAL)[1]FoFinho'Mode#: q povre
[2021:02:12-14:23:29]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: no alcanza :V
[2021:02:12-14:23:31]  (Local) -> (LOCAL)[2]Oconner'2cb: veni deposito primero
[2021:02:12-14:23:32]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: tengo puros rares
[2021:02:12-14:23:32]  (Global) -> JuanCC: me aprece el cursor que hago :/
[2021:02:12-14:23:35]  (Global) -> GustavoPetro(RCA)(J): jack en bus
[2021:02:12-14:23:35]  (Local) -> (LOCAL)[2]Oconner'2cb: calma hp
[2021:02:12-14:23:37]  (Global) -> ELCHILI_(ELN): el DJ ponga regeton
[2021:02:12-14:23:39]  (Local) -> (LOCAL)[1]Skippers|ELN: venga manegoç
[2021:02:12-14:23:39]  (Local) -> (LOCAL)[1]espi: oee venga lo saco
[2021:02:12-14:23:39]  (Local) -> (LOCAL)[1]FoFinho'Mode#: y cuanto valen?
[2021:02:12-14:23:39]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: antier me gaste 25palos en este
[2021:02:12-14:23:40]  (Local) -> (LOCAL)[1]Oconner'2cb: ese mk se quiere morir o q
[2021:02:12-14:23:41]  (Local) -> (LOCAL)[1]Willow'ELN': heyyy pere
[2021:02:12-14:23:43]  (Global) -> JACK_RCA: voyy
[2021:02:12-14:23:43]  (Local) -> (LOCAL)[1]FoFinho'Mode#: ishh
[2021:02:12-14:23:46]  (Local) -> (LOCAL)[2]GustavoPetro(RCA)(J): oe
[2021:02:12-14:23:47]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: en este
[2021:02:12-14:23:48]  (Local) -> (LOCAL)[3]Oconner'2cb: hpta esperame
[2021:02:12-14:23:48]  (Local) -> (LOCAL)[3]JUAN-DIEGO-CR-(2cB): Creo que si
[2021:02:12-14:23:49]  (Local) -> (LOCAL)[1]FoFinho'Mode#: nomvre
[2021:02:12-14:23:49]  (Local) -> (LOCAL)[3]Willow'ELN': g
[2021:02:12-14:23:51]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: rapido pspsps
[2021:02:12-14:23:52]  (Local) -> (LOCAL)[3]27bb: bien
[2021:02:12-14:23:54]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: vicent
[2021:02:12-14:23:56]  (Local) -> (LOCAL)[1]FoFinho'Mode#: pa activar el mod
[2021:02:12-14:23:56]  (Local) -> (LOCAL)[4]GustavoPetro(RCA)(J): me puedes poner el carro alto?
[2021:02:12-14:23:57]  (Local) -> (LOCAL)[1]Willow'ELN': naa
[2021:02:12-14:23:58]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: nissan skyline r34
[2021:02:12-14:23:59]  (Local) -> (LOCAL)[1]helado2cb: si
[2021:02:12-14:24:05]  (Local) -> (LOCAL)[1]FoFinho'Mode#: ahhh ya ewso ya lo vi es melo
[2021:02:12-14:24:06]  (Local) -> (LOCAL)[3]27bb: hace cuanto no me conecto
[2021:02:12-14:24:07]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: vincent
[2021:02:12-14:24:07]  (Local) -> (LOCAL)[3]Skippers|ELN: no sr
[2021:02:12-14:24:07]  (Local) -> (LOCAL)[2]espi: salteme ensima
[2021:02:12-14:24:08]  (Local) -> (LOCAL)[3]27bb: vea eso
[2021:02:12-14:24:13]  (Local) -> (LOCAL)[3]27bb: dizque carro alto
[2021:02:12-14:24:13]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: activa mods cacorra
[2021:02:12-14:24:14]  (Local) -> (LOCAL)[1]espi: rapido
[2021:02:12-14:24:18]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: curame la nave
[2021:02:12-14:24:20]  (Local) -> (LOCAL)[1]FoFinho'Mode#: se me estalla el pc
[2021:02:12-14:24:22]  (Local) -> (LOCAL)[2]Willow'ELN': jajaja
[2021:02:12-14:24:25]  (Global) -> JavierRD(AK): #000000FoFinho'Mode#[6] tu maldita madre
[2021:02:12-14:24:26]  (Local) -> (LOCAL)[3]GustavoPetro(RCA)(J): grax
[2021:02:12-14:24:26]  (Local) -> (LOCAL)[1]FoFinho'Mode#: no tengo vip gvon
[2021:02:12-14:24:31]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: yo menos xd
[2021:02:12-14:24:31]  (Global) -> FoFinho'Mode#: ok
[2021:02:12-14:24:33]  (Local) -> (LOCAL)[3]27bb: como se pone el carro asi
[2021:02:12-14:24:36]  (Global) -> JuanCC: venga usted
[2021:02:12-14:24:37]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: tengo rank pablo escobar
[2021:02:12-14:24:41]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: vamos en la mia
[2021:02:12-14:24:49]  (Local) -> (LOCAL)[4]Skippers|ELN: sacale el jugo
[2021:02:12-14:24:53]  (Local) -> (LOCAL)[2]Damian97[XV]>TZ<: libre
[2021:02:12-14:24:53]  (Local) -> (LOCAL)[4]27bb: jack
[2021:02:12-14:24:55]  (Local) -> (LOCAL)[4]Skippers|ELN: Cagaleto|EVG|
[2021:02:12-14:24:56]  (Local) -> (LOCAL)[4]27bb: peguelo pues
[2021:02:12-14:24:57]  (Local) -> (LOCAL)[3]Willow'ELN': na
[2021:02:12-14:24:58]  (Local) -> (LOCAL)[4]Cagaleto|EVG|: a
[2021:02:12-14:25:00]  (Global) -> JavierRD(AK): #000000FoFinho'Mode#[6] fuiste tu que me mataste en el banco ?
[2021:02:12-14:25:05]  (Local) -> (LOCAL)[4]Skippers|ELN: EL NITRO A MI PREMIER
[2021:02:12-14:25:07]  (Local) -> (LOCAL)[3]helado2cb: soy 2cb
[2021:02:12-14:25:08]  (Local) -> (LOCAL)[2]helado2cb: bro
[2021:02:12-14:25:09]  (Local) -> (LOCAL)[4]GustavoPetro(RCA)(J): 27bb
[2021:02:12-14:25:12]  (Local) -> (LOCAL)[1]FoFinho'Mode#: le iba a echar gasofa nomas
[2021:02:12-14:25:14]  (Local) -> (LOCAL)[5]27bb: oe
[2021:02:12-14:25:15]  (Local) -> (LOCAL)[1]FoFinho'Mode#: prb
[2021:02:12-14:25:16]  (Local) -> (LOCAL)[1]Oconner'2cb: jajaja
[2021:02:12-14:25:17]  (Local) -> (LOCAL)[6]Skippers|ELN: suba
[2021:02:12-14:25:20]  (Local) -> (LOCAL)[6]JACK_RCA: gustavo
[2021:02:12-14:25:22]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: ok
[2021:02:12-14:25:22]  (Local) -> (LOCAL)[6]GustavoPetro(RCA)(J): le presento a jack
[2021:02:12-14:25:23]  (Global) -> FoFinho'Mode#: de q me habla ud
[2021:02:12-14:25:24]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: .il
[2021:02:12-14:25:27]  (Global) -> FoFinho'Mode#: ni lo conosco
[2021:02:12-14:25:27]  (Local) -> (LOCAL)[4]GustavoPetro(RCA)(J): dime
[2021:02:12-14:25:29]  (Local) -> (LOCAL)[4]JACK_RCA: trazamos rutas
[2021:02:12-14:25:32]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: aaaaa
[2021:02:12-14:25:39]  (Local) -> (LOCAL)[2]GustavoPetro(RCA)(J): contexto
[2021:02:12-14:25:40]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: uy gonorrea
[2021:02:12-14:25:45]  (Global) -> Mnrpatecumbias'GT'LP: oola
[2021:02:12-14:25:45]  (Local) -> (LOCAL)[1]FoFinho'Mode#: asjsaj
[2021:02:12-14:25:49]  (Local) -> (LOCAL)[2]JACK_RCA: osea trabajar de bustero
[2021:02:12-14:25:51]  (Global) -> JuanCC: hola
[2021:02:12-14:25:52]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: JJAJAJA
[2021:02:12-14:25:53]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: cerra la puerta c sapo miado
[2021:02:12-14:25:55]  (Local) -> (LOCAL)[3]JACK_RCA: y trazar rutas junto
[2021:02:12-14:25:57]  (Global) -> JavierRD(AK): hospital central
[2021:02:12-14:25:58]  (Local) -> (LOCAL)[3]JACK_RCA: juntos
[2021:02:12-14:25:58]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: Carro truco
[2021:02:12-14:25:59]  (Local) -> (LOCAL)[3]GustavoPetro(RCA)(J): no pai , eso es muy demorado
[2021:02:12-14:26:00]  (Local) -> (LOCAL)[0]Willow'ELN': shh
[2021:02:12-14:26:02]  (Local) -> (LOCAL)[1]FoFinho'Mode#: a
[2021:02:12-14:26:02]  (Local) -> (LOCAL)[0]Willow'ELN': ush
[2021:02:12-14:26:03]  (Global) -> ART[AK]: voy
[2021:02:12-14:26:04]  (Local) -> (LOCAL)[3]27bb: mero tema
[2021:02:12-14:26:08]  (Local) -> (LOCAL)[1]FoFinho'Mode#: no se cierra maldita perra
[2021:02:12-14:26:16]  (Local) -> (LOCAL)[3]27bb: ah este vip
[2021:02:12-14:26:24]  (Local) -> (LOCAL)[6]Randy'sayayin: stunt o que
[2021:02:12-14:26:24]  (Local) -> (LOCAL)[4]JACK_RCA: entonces
[2021:02:12-14:26:27]  (Local) -> (LOCAL)[4]GustavoPetro(RCA)(J): curame
[2021:02:12-14:26:30]  (Local) -> (LOCAL)[2]JUAN-DIEGO-CR-(2cB): sjjs
[2021:02:12-14:26:32]  (Local) -> (LOCAL)[3]GustavoPetro(RCA)(J): sale pues
[2021:02:12-14:26:32]  (Local) -> (LOCAL)[7]koky28|2cB|: ARO JAJA
[2021:02:12-14:26:36]  (Local) -> (LOCAL)[3]JACK_RCA: vamos
[2021:02:12-14:26:46]  (Local) -> (LOCAL)[3]JACK_RCA: escojase el sentinel
[2021:02:12-14:26:52]  (Local) -> (LOCAL)[2]Willow'ELN': subi
[2021:02:12-14:26:53]  (Local) -> (LOCAL)[3]ART[AK]: venga
[2021:02:12-14:26:53]  (Local) -> (LOCAL)[8]JavierRD(AK): oe
[2021:02:12-14:26:56]  (Global) -> PIPE25: no funciana
[2021:02:12-14:27:02]  (Local) -> (LOCAL)[6]JavierRD(AK): /gc mitad y mitad
[2021:02:12-14:27:03]  (Global) -> Chancleta|$Baby$: cacorro
[2021:02:12-14:27:07]  (Local) -> (LOCAL)[1]FoFinho'Mode#: q paso zorra
[2021:02:12-14:27:07]  (Local) -> (LOCAL)[6]Chancleta|$Baby$: hola doc
[2021:02:12-14:27:07]  (Local) -> (LOCAL)[2]Willow'ELN': pa donde
[2021:02:12-14:27:09]  (Global) -> Cristian: resing
[2021:02:12-14:27:09]  (Local) -> (LOCAL)[7]ART[AK]: se
[2021:02:12-14:27:14]  (Local) -> (LOCAL)[4]JavierRD(AK): agale
[2021:02:12-14:27:15]  (Local) -> (LOCAL)[4]Chancleta|$Baby$: hola
[2021:02:12-14:27:17]  (Local) -> (LOCAL)[3]Chancleta|$Baby$: oye
[2021:02:12-14:27:20]  (Local) -> (LOCAL)[3]Willow'ELN': helaod
[2021:02:12-14:27:21]  (Local) -> (LOCAL)[1]JACK_RCA: /sound
[2021:02:12-14:27:22]  (Local) -> (LOCAL)[4]NEGRORAPPI: ?
[2021:02:12-14:27:23]  (Local) -> (LOCAL)[5]Chancleta|$Baby$: te quieres unir a mi gang?
[2021:02:12-14:27:26]  (Local) -> (LOCAL)[3]Willow'ELN': hey
[2021:02:12-14:27:28]  (Local) -> (LOCAL)[5]Chancleta|$Baby$: somos parchados
[2021:02:12-14:27:29]  (Local) -> (LOCAL)[3]helado2cb: diga
[2021:02:12-14:27:29]  (Global) -> espi: ponga / y copia resign
[2021:02:12-14:27:32]  (Local) -> (LOCAL)[6]Chancleta|$Baby$: y ayudamos a los nuevo
[2021:02:12-14:27:32]  (Local) -> (LOCAL)[6]NEGRORAPPI: ya tengo uno sorry
[2021:02:12-14:27:35]  (Local) -> (LOCAL)[2]ART[AK]: salga mas
[2021:02:12-14:27:35]  (Team - Criminals) -> (TEAM)Cagaleto|EVG|: mi luka GustavoPetro(RCA)(J) ª
[2021:02:12-14:27:37]  (Global) -> Skippers|ELN: EY QUIEN ME GANE EN UNA CARRERA??Ç
[2021:02:12-14:27:37]  (Local) -> (LOCAL)[7]Chancleta|$Baby$: ok
[2021:02:12-14:27:45]  (Local) -> (LOCAL)[3]Willow'ELN': me prestas un carro de vipporfa
[2021:02:12-14:27:45]  (Local) -> (LOCAL)[1]FoFinho'Mode#: maldita lentorra
[2021:02:12-14:27:45]  (Local) -> (LOCAL)[8]Chancleta|$Baby$: hola
[2021:02:12-14:27:46]  (Local) -> (LOCAL)[1]JUAN-DIEGO-CR-(2cB): No vienen
[2021:02:12-14:27:47]  (Local) -> (LOCAL)[9]Chancleta|$Baby$: juan
[2021:02:12-14:27:49]  (Local) -> (LOCAL)[3]Willow'ELN': o un heli
[2021:02:12-14:27:51]  (Global) -> JuanCC: hola
[2021:02:12-14:27:51]  (Global) -> PuzzlingCot30: nuchos malparidos los policias
[2021:02:12-14:27:52]  (Local) -> (LOCAL)[9]Chancleta|$Baby$: como te va
[2021:02:12-14:27:52]  (Local) -> (LOCAL)[5]JavierRD(AK): medas la mitad de la plata
[2021:02:12-14:27:57]  (Global) -> JuanCC: bien
[2021:02:12-14:27:59]  (Local) -> (LOCAL)[9]Chancleta|$Baby$: te quieres unir a mi gang?
[2021:02:12-14:27:59]  (Global) -> JuanPablo|2cB|: nuchos :V
[2021:02:12-14:28:00]  (Global) -> Cagaleto|EVG|: mi luka GustavoPetro(RCA)(J) ª
[2021:02:12-14:28:01]  (Local) -> (LOCAL)[2]Willow'ELN': gracas
[2021:02:12-14:28:03]  (Local) -> (LOCAL)[10]Chancleta|$Baby$: solo necesitas 2 cosas
[2021:02:12-14:28:05]  (Global) -> JuanCC: soy medico
[2021:02:12-14:28:10]  (Local) -> (LOCAL)[1]FoFinho'Mode#: cuanto val a el rare mas barato q ud tiene y el mas caro?
[2021:02:12-14:28:14]  (Global) -> GustavoPetro(RCA)(J): cagaleto me va a cobrar doble o que
[2021:02:12-14:28:14]  (Global) -> JuanCC: que necesito
[2021:02:12-14:28:15]  (Local) -> (LOCAL)[2]Randy'sayayin: ajjaja
[2021:02:12-14:28:20]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: una monster con suspencion
[2021:02:12-14:28:21]  (Global) -> Pipe: el damian es el policia mas care qlo
[2021:02:12-14:28:22]  (Global) -> Mnrpatecumbias'GT'LP: a
[2021:02:12-14:28:22]  (Local) -> (LOCAL)[1]JuanPablo|2cB|: el mas caro 40palos el mas barato 10palos
[2021:02:12-14:28:22]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: JAJJAJAA
[2021:02:12-14:28:23]  (Global) -> Mnrpatecumbias'GT'LP: clar
[2021:02:12-14:28:23]  (Local) -> (LOCAL)[6]Chancleta|$Baby$: la primera es que al final de tu nick diga JuanCC|$Baby$
[2021:02:12-14:28:24]  (Local) -> (LOCAL)[2]Skippers|ELN: OE MUESTEREÇdddwaw
[2021:02:12-14:28:25]  (Global) -> Pipe: colocando c4 sin razon
[2021:02:12-14:28:26]  (Local) -> (LOCAL)[6]Chancleta|$Baby$: así tal cual
[2021:02:12-14:28:26]  (Team - Criminals) -> (TEAM)Pipe: una loca
[2021:02:12-14:28:27]  (Local) -> (LOCAL)[1]FoFinho'Mode#: diosmio
[2021:02:12-14:28:30]  (Local) -> (LOCAL)[1]JavierRD(AK): ya sabe
[2021:02:12-14:28:32]  (Local) -> (LOCAL)[2]Skippers|ELN: lo tenes??
[2021:02:12-14:28:37]  (Local) -> (LOCAL)[8]Arison45[EVG]: que loca
[2021:02:12-14:28:37]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: NONAS
[2021:02:12-14:28:40]  (Local) -> (LOCAL)[0]JavierRD(AK): me das mi mitad
