This file was generated by Console at 2020:09:23-00:00:00



[2020:09:23-00:00:00]  (Local) -> (LOCAL)[4]GT|~Beltran: osi
[2020:09:23-05:39:43]  (Local) -> (LOCAL)[1](CTA)POPI(BORRACHO): y el que no tenga se la damos
[2020:09:23-05:39:44]  (Local) -> (LOCAL)[7]2cb'JuanPablo: estaba cojiendo mi carro a patadas
[2020:09:23-05:39:44]  (Local) -> (LOCAL)[7]Lauriita: ya no pago nada
[2020:09:23-05:39:48]  (Local) -> (LOCAL)[2][CAPU]Gallo_Pepe: ush
[2020:09:23-05:39:49]  (Local) -> (LOCAL)[1](CTA)juann: esa es una chimba
[2020:09:23-05:39:49]  (Local) -> (LOCAL)[2](Z)SUPAPA: es para yo indicarle la vuelta
[2020:09:23-05:39:49]  (Global) -> (POPEYE):  KEVINNN CUANTO POR WEL CARRO
[2020:09:23-05:39:50]  (Local) -> (LOCAL)[1][Zetas]MAJACA: bueno xd
[2020:09:23-05:39:50]  (Local) -> (LOCAL)[7]2cb'tussy: :V
[2020:09:23-05:39:52]  (Local) -> (LOCAL)[7]2cb'tussy: when but :V
[2020:09:23-05:39:53]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: presteme la nmax
[2020:09:23-05:39:54]  (Local) -> (LOCAL)[7]2cb'Jabon: bala viene a pie
[2020:09:23-05:39:54]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: :V
[2020:09:23-05:39:56]  (Global) -> 2cb'bosnian: :v
[2020:09:23-05:39:56]  (Local) -> (LOCAL)[1](CTA)POPI(BORRACHO): pero eso se le va descontando
[2020:09:23-05:39:56]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2020:09:23-05:39:57]  (Local) -> (LOCAL)[4]GT|~[Orgalor]: aa
[2020:09:23-05:39:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 Francine98: aaaa
[2020:09:23-05:39:58]  (Local) -> (LOCAL)[1](CTA)juann: sikas todos deberiamos tener esa
[2020:09:23-05:39:58]  (Local) -> (LOCAL)[7]2cb'Jabon: ;V
[2020:09:23-05:40:00]  (Global) -> [CAPU]Elmenor: nonas ya estoy bien gracias 
[2020:09:23-05:40:00]  (Global) -> 2cb'bosnian: v:
[2020:09:23-05:40:01]  (Global) -> [CAPU]~CapuCurioso~: JJSAJAJAJA
[2020:09:23-05:40:03]  (Local) -> (LOCAL)[7]2cb'tussy: :V PAPU
[2020:09:23-05:40:04]  (Local) -> (LOCAL)[7]2cb'JuanPablo: nah nea mil años despues
[2020:09:23-05:40:05]  (Global) -> 2cB'Q'Piskero: papu
[2020:09:23-05:40:05]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: XDD
[2020:09:23-05:40:06]  (Local) -> (LOCAL)[7]2cb'tussy: BUEN MOMO :V
[2020:09:23-05:40:08]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: :V
[2020:09:23-05:40:10]  (Local) -> (LOCAL)[1](CTA)POPI(BORRACHO): eso vamos a hablar mañana
[2020:09:23-05:40:11]  (Local) -> (LOCAL)[7]2cb'JuanPablo: vamos
[2020:09:23-05:40:12]  (Local) -> (LOCAL)[1](Z)SUPAPA: se cayo el servidor por arto tiempo siempre es asi?
[2020:09:23-05:40:12]  (Global) -> (POPEYE):  CUANTO POR EL CARRO
[2020:09:23-05:40:13]  (Global) -> 2cb'bosnian: :V wuen but momos
[2020:09:23-05:40:15]  (Local) -> (LOCAL)[1](CTA)POPI(BORRACHO): a cuadrar todo
[2020:09:23-05:40:18]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: Kevin
[2020:09:23-05:40:18]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: pongamos los coches
[2020:09:23-05:40:18]  (Local) -> (LOCAL)[7]2cb'Jabon: BUEN MOMO PAPU :V
[2020:09:23-05:40:19]  (Local) -> (LOCAL)[7]Lauriita: no anda esta cosa
[2020:09:23-05:40:20]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: de humildes
[2020:09:23-05:40:22]  (Local) -> (LOCAL)[5][EVG]RicardoJorge: Saque la bebé
[2020:09:23-05:40:23]  (Local) -> (LOCAL)[1][Zetas]MAJACA: no lo apagaro
[2020:09:23-05:40:24]  (Local) -> (LOCAL)[5][CAPU]~CapuCurioso~: AJJAJAJA
[2020:09:23-05:40:24]  (Local) -> (LOCAL)[7]Lauriita: se baro
[2020:09:23-05:40:24]  (Global) -> GT|~[Orgalor]: reizer una duda
[2020:09:23-05:40:28]  (Local) -> (LOCAL)[1](CTA)juann: breve
[2020:09:23-05:40:28]  (Local) -> (LOCAL)[7]2cb'JuanPablo: mire
[2020:09:23-05:40:34]  (Local) -> (LOCAL)[7]GT|~[Orgalor]: el hotring de 10 millones
[2020:09:23-05:40:36]  (Local) -> (LOCAL)[7]2cb'JuanPablo: ami si me anda
[2020:09:23-05:40:37]  (Local) -> (LOCAL)[2](CTA)juann: y cuadrar bien todo
[2020:09:23-05:40:38]  (Local) -> (LOCAL)[7]2cb'pipo: eso tan feo q
[2020:09:23-05:40:39]  (Local) -> (LOCAL)[7]GT|~[Orgalor]: a cuanto llega?
[2020:09:23-05:40:41]  (Local) -> (LOCAL)[7]2cb'tussy: solo rosados
[2020:09:23-05:40:44]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: lo mismo q infernus
[2020:09:23-05:40:48]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: soy negro de momen
[2020:09:23-05:40:48]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF7C00 ReizerB: no se
[2020:09:23-05:40:49]  (Local) -> (LOCAL)[2](Z)SUPAPA: entre menos lo estrelle mas le pagan mano
[2020:09:23-05:40:51]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: luego me aclaro
[2020:09:23-05:40:51]  (Local) -> (LOCAL)[7]2cb'JuanPablo: te enseño el truco bebe
[2020:09:23-05:40:52]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#A9A9A9 Francine98: bnas bnas
[2020:09:23-05:40:52]  (Local) -> (LOCAL)[7][EVG]RicardoJorge: Saque la Nmax
[2020:09:23-05:40:54]  (Local) -> (LOCAL)[7]2cB'Q'Piskero: a lo jackson
[2020:09:23-05:40:56]  (Global) -> (POPEYE):  QUIERO VERLO
[2020:09:23-05:40:57]  (Local) -> (LOCAL)[7]2cb'tussy: no
[2020:09:23-05:40:57]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 KevinOcampo: uy esa fiera
[2020:09:23-05:40:58]  (Local) -> (LOCAL)[7]Lauriita: cual truco
[2020:09:23-05:40:58]  (Local) -> (LOCAL)[1](Z)SUPAPA: le pueden pagar hasta 70k
[2020:09:23-05:40:59]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: bnas bnas
[2020:09:23-05:41:00]  (Local) -> (LOCAL)[7]2cb'tussy: no le enseñe nada
[2020:09:23-05:41:01]  (Local) -> (LOCAL)[7]2cb'JuanPablo: bno
[2020:09:23-05:41:01]  (Local) -> (LOCAL)[7]2cb'tussy: tonto
[2020:09:23-05:41:04]  (Global) -> (POPEYE):  A CUANTO LEVAMNTA
[2020:09:23-05:41:04]  (Local) -> (LOCAL)[7]2cb'JuanPablo: :V
[2020:09:23-05:41:05]  (Global) -> Tribilin: papu
[2020:09:23-05:41:05]  (Local) -> (LOCAL)[7]Lauriita: q
[2020:09:23-05:41:08]  (Local) -> (LOCAL)[1](Z)SUPAPA: pero muy de vez en cuando
[2020:09:23-05:41:08]  (Local) -> (LOCAL)[3](CTA)POPI(BORRACHO): sisas por uqe si no se vuleve un desorden esto ni del hijuemadres
[2020:09:23-05:41:09]  (Local) -> (LOCAL)[7]2cb'JuanPablo: subete
[2020:09:23-05:41:10]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: añañay
[2020:09:23-05:41:10]  (Local) -> (LOCAL)[1][CAPU]Elmenor: a
[2020:09:23-05:41:12]  (Local) -> (LOCAL)[1][Zetas]MAJACA: ish
[2020:09:23-05:41:13]  (Local) -> (LOCAL)[7]Lauriita: enseñame
[2020:09:23-05:41:15]  (Local) -> (LOCAL)[5]2cb'tussy: WHEN HACES TU MOMOS EN VIDEO :V
[2020:09:23-05:41:16]  (Local) -> (LOCAL)[3](CTA)POPI(BORRACHO): y les vamos a dar rangos
[2020:09:23-05:41:16]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: bajese
[2020:09:23-05:41:17]  (Global) -> [CAPU]riki28xd: ./SOBRIO
[2020:09:23-05:41:18]  (Local) -> (LOCAL)[6]2cb'JuanPablo: por eso subete
[2020:09:23-05:41:19]  (Global) -> [GT]Jhojan: sñsñsi
[2020:09:23-05:41:22]  (Local) -> (LOCAL)[3](CTA)juann: sikas
[2020:09:23-05:41:22]  (Local) -> (LOCAL)[6]2cb'tussy: BUT TE TERMINAN BANEANDO :V
[2020:09:23-05:41:23]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#A9A9A9 Francine98: yo manejo
[2020:09:23-05:41:26]  (Local) -> (LOCAL)[3](CTA)juann: ya somos artos?
[2020:09:23-05:41:28]  (Local) -> (LOCAL)[8][EVG]RicardoJorge: espere
[2020:09:23-05:41:28]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#A9A9A9 Francine98: sbe crudo
[2020:09:23-05:41:29]  (Local) -> (LOCAL)[3]2cB'Q'Piskero: ponganse un temita de arcangel
[2020:09:23-05:41:29]  (Global) -> (POPEYE):  COMO ES KEVIN
[2020:09:23-05:41:32]  (Local) -> (LOCAL)[7][EVG]RicardoJorge: tirela al piso
[2020:09:23-05:41:33]  (Local) -> (LOCAL)[4]2cB'Q'Piskero: el de tussi nuevo
[2020:09:23-05:41:36]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: uyyy
[2020:09:23-05:41:36]  (Global) -> Uribe: jajajaa
[2020:09:23-05:41:37]  (Local) -> (LOCAL)[5]GT|~[Orgalor]: peudio?=
[2020:09:23-05:41:40]  (Global) -> (CTA)POPI(BORRACHO): jhojannnnnnn onde tas
[2020:09:23-05:41:40]  (Local) -> (LOCAL)[6]GT|~[Orgalor]: puedo?
[2020:09:23-05:41:41]  (Local) -> (LOCAL)[1]Lauriita: cual trucco dices
[2020:09:23-05:41:47]  (Local) -> (LOCAL)[4][EVG]RicardoJorge: xddddd
[2020:09:23-05:41:49]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 [EVG]CrudoMeansRaw: jasdjjasdjaj
[2020:09:23-05:41:56]  (Local) -> (LOCAL)[6][EVG]RicardoJorge: no aguantaron el nivel
[2020:09:23-05:42:06]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): somos como 24
[2020:09:23-05:42:10]  (Local) -> (LOCAL)[8]GT|~[Orgalor]: ajajaja
[2020:09:23-05:42:13]  (Local) -> (LOCAL)[1]Lauriita: oyeeee
[2020:09:23-05:42:13]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: 1
[2020:09:23-05:42:13]  (Global) -> [GT]Jhojan: pai
[2020:09:23-05:42:13]  (Global) -> 2cB'Q'Piskero: bala
[2020:09:23-05:42:16]  (Global) -> [GT]Jhojan: en camionero
[2020:09:23-05:42:16]  (Local) -> (LOCAL)[1]2cb'JuanPablo: dale f3 y vas a ajustes y desactivas toggle vehicle speed meter
[2020:09:23-05:42:18]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: mis 95k?
[2020:09:23-05:42:21]  (Local) -> (LOCAL)[2](CTA)juann: ya tenemos re arta gente jajaja
[2020:09:23-05:42:22]  (Global) -> [GT]Jhojan: en lv
[2020:09:23-05:42:22]  (Global) -> #7F7F7F|CVR|#A9A9A9 KevinOcampo: ya kaigo
[2020:09:23-05:42:22]  (Local) -> (LOCAL)[10]GT|~[Orgalor]: reizerr
[2020:09:23-05:42:23]  (Global) -> 2cB'Q'Piskero: estas pai?
[2020:09:23-05:42:24]  (Team - Unemployed) -> (TEAM)2cb'JuanPablo: }
[2020:09:23-05:42:26]  (Global) -> [GT]Jhojan: caigaaa
[2020:09:23-05:42:26]  (Global) -> (POPEYE): JHOJAN ME DEJO MORI
[2020:09:23-05:42:29]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF7C00 ReizerB: que? jaja
[2020:09:23-05:42:30]  (Local) -> (LOCAL)[1]2cb'JuanPablo: y le das en save
[2020:09:23-05:42:31]  (Local) -> (LOCAL)[12]GT|~[Orgalor]: a cuanto llega el hotring de 10 millones?
[2020:09:23-05:42:32]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): sisas JJS
[2020:09:23-05:42:33]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF7C00 ReizerB: mire mi plata
[2020:09:23-05:42:34]  (Local) -> (LOCAL)[1][Zetas]MAJACA: aqui es
[2020:09:23-05:42:36]  (Global) -> (POPEYE):  TODO BIENN
[2020:09:23-05:42:37]  (Global) -> [GT]Jhojan: mka, se me reinicio el server
[2020:09:23-05:42:39]  (Local) -> (LOCAL)[1][Zetas]MAJACA: lo pongo
[2020:09:23-05:42:39]  (Local) -> (LOCAL)[1]2cb'JuanPablo: ya :3?
[2020:09:23-05:42:40]  (Global) -> (CTA)POPI(BORRACHO): YA CAIGO PUESSSSSSS
[2020:09:23-05:42:40]  (Global) -> [GT]MrNadieOwO: Hey Ocampo esa moto que come? pedigree?
[2020:09:23-05:42:42]  (Local) -> (LOCAL)[10][EVG]RicardoJorge: Estás cobrando 95k orgalor xd?
[2020:09:23-05:42:44]  (Global) -> [GT]Jhojan: jajja el pirobo
[2020:09:23-05:42:45]  (Local) -> (LOCAL)[1](Z)SUPAPA: sisas mai
[2020:09:23-05:42:47]  (Local) -> (LOCAL)[1]Lauriita: siii
[2020:09:23-05:42:47]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: muy pro
[2020:09:23-05:42:49]  (Local) -> (LOCAL)[3](CTA)juann: vamos a mandar esta mierda
[2020:09:23-05:42:49]  (Local) -> (LOCAL)[1]Lauriita: ahora que
[2020:09:23-05:42:50]  (Local) -> (LOCAL)[1]2cb'JuanPablo: maneja mi auto
[2020:09:23-05:42:51]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: master crack
[2020:09:23-05:42:57]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): y no tenemos ni la semana ajajajajja
[2020:09:23-05:42:58]  (Local) -> (LOCAL)[1]2cb'JuanPablo: no necesitas mas gasofa
[2020:09:23-05:43:01]  (Local) -> (LOCAL)[1](Z)SUPAPA: ahora coja la principal
[2020:09:23-05:43:04]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: Capu
[2020:09:23-05:43:04]  (Local) -> (LOCAL)[1]2cb'JuanPablo: se discreta
[2020:09:23-05:43:05]  (Local) -> (LOCAL)[1][Zetas]MAJACA: ya mano
[2020:09:23-05:43:05]  (Local) -> (LOCAL)[9]ZetasValeria: capu curioso pa staff
[2020:09:23-05:43:09]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): esa es la idea pai
[2020:09:23-05:43:11]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: uy
[2020:09:23-05:43:13]  (Global) -> (POPEYE):  OTRA DECEPCION JHOJAN :(
[2020:09:23-05:43:13]  (Local) -> (LOCAL)[9][CAPU]Elmenor: claro
[2020:09:23-05:43:13]  (Global) -> [GT]Jhojan: popeye me mato?
[2020:09:23-05:43:14]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: santiago
[2020:09:23-05:43:14]  (Local) -> (LOCAL)[9][CAPU]~CapuCurioso~: Señor
[2020:09:23-05:43:15]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): esperemos que si
[2020:09:23-05:43:17]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: y yo
[2020:09:23-05:43:18]  (Local) -> (LOCAL)[9]GT|~[Orgalor]: q
[2020:09:23-05:43:19]  (Local) -> (LOCAL)[1](Z)SUPAPA: y tire para arriba
[2020:09:23-05:43:19]  (Local) -> (LOCAL)[9]ZetasValeria: dime linda
[2020:09:23-05:43:22]  (Global) -> (POPEYE):  HUY QUIETO JAJAJAJA
[2020:09:23-05:43:22]  (Global) -> [GT]Jhojan: solo decepciones ::(
[2020:09:23-05:43:22]  (Local) -> (LOCAL)[4]2cb'JuanPablo: :3
[2020:09:23-05:43:22]  (Local) -> (LOCAL)[9]GT|~[LilPeep]: reizer
[2020:09:23-05:43:23]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: Cómo estás
[2020:09:23-05:43:24]  (Local) -> (LOCAL)[9]ZetasValeria: orgalor pa staff
[2020:09:23-05:43:27]  (Local) -> (LOCAL)[10]GT|~[Orgalor]: apoyeme
[2020:09:23-05:43:27]  (Global) -> [GT]Jhojan: aaa
[2020:09:23-05:43:27]  (Local) -> (LOCAL)[10][CAPU]~CapuCurioso~: Bien y tu?
[2020:09:23-05:43:28]  (Local) -> (LOCAL)[10]ZetasValeria: es el mejor
[2020:09:23-05:43:28]  (Local) -> (LOCAL)[2](CTA)juann: sikas eso mandamos JAJAJAJ
[2020:09:23-05:43:29]  (Local) -> (LOCAL)[10]GT|~[Orgalor]: eso
[2020:09:23-05:43:29]  (Local) -> (LOCAL)[5]2cb'bosnian: pq me matan sapos
[2020:09:23-05:43:30]  (Global) -> [GT]Jhojan: listooooo
[2020:09:23-05:43:31]  (Local) -> (LOCAL)[5]Lauriita: jajaja
[2020:09:23-05:43:31]  (Global) -> (POPEYE):  NO MATO A NADIE 0 KILL :(
[2020:09:23-05:43:32]  (Local) -> (LOCAL)[9]GT|~[LilPeep]: dame una vueltica
[2020:09:23-05:43:33]  (Global) -> [GT]Jhojan: listoooo
[2020:09:23-05:43:33]  (Local) -> (LOCAL)[5]2cb'tussy: por canson
[2020:09:23-05:43:33]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: donde reaparecio
[2020:09:23-05:43:35]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: era pa probar
[2020:09:23-05:43:36]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: Muy bien lindo, gracias
[2020:09:23-05:43:38]  (Local) -> (LOCAL)[6]2cb'tussy: donde reaparecio
[2020:09:23-05:43:39]  (Local) -> (LOCAL)[6]Lauriita: por que matan a tribilin
[2020:09:23-05:43:40]  (Global) -> [GT]Jhojan: jaa
[2020:09:23-05:43:40]  (Local) -> (LOCAL)[1](Z)SUPAPA: cuanto le pagaron?
[2020:09:23-05:43:42]  (Local) -> (LOCAL)[6]2cb'tussy: hostpital?
[2020:09:23-05:43:44]  (Local) -> (LOCAL)[6]2cB'Q'Piskero: donde reaparecio
[2020:09:23-05:43:45]  (Local) -> (LOCAL)[1][Zetas]MAJACA: 26 p
[2020:09:23-05:43:45]  (Local) -> (LOCAL)[7][CAPU]~CapuCurioso~: Me alegro mucho :3
[2020:09:23-05:43:46]  (Local) -> (LOCAL)[6]2cb'JuanPablo: me cae mal
[2020:09:23-05:43:47]  (Local) -> (LOCAL)[6]ZetasValeria: quienes pues
[2020:09:23-05:43:49]  (Local) -> (LOCAL)[6]Lauriita: q
[2020:09:23-05:43:52]  (Local) -> (LOCAL)[0][CAPU]Elmenor: ajajjajaja
[2020:09:23-05:43:53]  (Local) -> (LOCAL)[6]2cb'tussy: RESOPNDA
[2020:09:23-05:43:53]  (Local) -> (LOCAL)[8][EVG]RicardoJorge: xd
[2020:09:23-05:43:55]  (Local) -> (LOCAL)[6]2cb'tussy: BOSNIAN CARE CHIMBA
[2020:09:23-05:43:55]  (Local) -> (LOCAL)[9]ZetasValeria: quienes pueeeeeeees
[2020:09:23-05:43:56]  (Local) -> (LOCAL)[7][CAPU]~CapuCurioso~: :3
[2020:09:23-05:43:58]  (Local) -> (LOCAL)[7]Lauriita: a
[2020:09:23-05:43:59]  (Global) -> (CTA)POPI(BORRACHO): OLVIDALA MEJOR OLVIDALAAAAAAAAAA
[2020:09:23-05:44:03]  (Local) -> (LOCAL)[1][Zetas]MAJACA: esta bien?
[2020:09:23-05:44:05]  (Local) -> (LOCAL)[7]2cb'JuanPablo: le voy a quitar ala novia
[2020:09:23-05:44:05]  (Local) -> (LOCAL)[1](Z)SUPAPA: sisas este viaje aca paga re poquito
[2020:09:23-05:44:07]  (Global) -> [GT]Jhojan: ole borracho
[2020:09:23-05:44:10]  (Global) -> [GT]Jhojan: llegue pues
[2020:09:23-05:44:10]  (Local) -> (LOCAL)[1](Z)SUPAPA: eso es lo mas poquito
[2020:09:23-05:44:13]  (Local) -> (LOCAL)[7]2cb'JuanPablo: pa q aprenda
[2020:09:23-05:44:15]  (Local) -> (LOCAL)[7]Lauriita: no
[2020:09:23-05:44:15]  (Global) -> [S.A.S][P]DonAlberto: 7sound
[2020:09:23-05:44:15]  (Global) -> (CTA)POPI(BORRACHO): VOY
[2020:09:23-05:44:17]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aa
[2020:09:23-05:44:18]  (Local) -> (LOCAL)[6]2cb'JuanPablo: pq
[2020:09:23-05:44:24]  (Global) -> [GT]Jhojan: uy mka ,ya somos re poquitos en el server
[2020:09:23-05:44:26]  (Local) -> (LOCAL)[1][Zetas]Tartarus: bn
[2020:09:23-05:44:26]  (Local) -> (LOCAL)[1]2cb'Jabon: aaa
[2020:09:23-05:44:27]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): enga vamos a parchar
[2020:09:23-05:44:28]  (Global) -> Krono: manco de mierda
[2020:09:23-05:44:31]  (Global) -> [GT]Jhojan: la gente duerme temprano :(
[2020:09:23-05:44:33]  (Local) -> (LOCAL)[1][Zetas]MAJACA: xd
[2020:09:23-05:44:33]  (Local) -> (LOCAL)[1](CTA)juann: breve
[2020:09:23-05:44:33]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: hey
[2020:09:23-05:44:37]  (Local) -> (LOCAL)[4]2cb'tussy: laurita
[2020:09:23-05:44:39]  (Local) -> (LOCAL)[4]2cB'Q'Piskero: k nos hagan un mapeo
[2020:09:23-05:44:41]  (Local) -> (LOCAL)[4]2cb'tussy: escribi esto
[2020:09:23-05:44:41]  (Local) -> (LOCAL)[4]2cb'JuanPablo: oye
[2020:09:23-05:44:42]  (Local) -> (LOCAL)[4]2cB'Q'Piskero: y que diga 2cB club
[2020:09:23-05:44:45]  (Local) -> (LOCAL)[5]Lauriita: q
[2020:09:23-05:44:46]  (Global) -> Krono: no espaldee maldito ct.s
[2020:09:23-05:44:48]  (Local) -> (LOCAL)[1](Z)SUPAPA: pare
[2020:09:23-05:44:49]  (Local) -> (LOCAL)[6]2cb'tussy: /nick 2cb'laurita
[2020:09:23-05:44:57]  (Local) -> (LOCAL)[1](Z)SUPAPA: coja por este carril
[2020:09:23-05:44:57]  (Global) -> Krono: buena tartarus
[2020:09:23-05:45:01]  (Local) -> (LOCAL)[1](Z)SUPAPA: el de la izquierda
[2020:09:23-05:45:03]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: sera muy dificil cambiar esas letras?
[2020:09:23-05:45:05]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: enga
[2020:09:23-05:45:06]  (Local) -> (LOCAL)[5]Lauriita: /nick 2cb'laurita
[2020:09:23-05:45:07]  (Local) -> (LOCAL)[5]2cb'JuanPablo: que rico besas :3
[2020:09:23-05:45:08]  (Local) -> (LOCAL)[1](Z)SUPAPA: y decuelvase
[2020:09:23-05:45:09]  (Global) -> Krono: ese siu era yo
[2020:09:23-05:45:09]  (Local) -> (LOCAL)[5]Lauriita: q
[2020:09:23-05:45:11]  (Local) -> (LOCAL)[1](Z)SUPAPA: epa
[2020:09:23-05:45:12]  (Local) -> (LOCAL)[5]2cb'tussy: wao
[2020:09:23-05:45:13]  (Local) -> (LOCAL)[5]2cb'JuanPablo: xD
[2020:09:23-05:45:14]  (Local) -> (LOCAL)[1](Z)SUPAPA: izquierda
[2020:09:23-05:45:16]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: 2cB Club
[2020:09:23-05:45:19]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: un sueño
[2020:09:23-05:45:19]  (Local) -> (LOCAL)[2](CTA)juann: no se cierra ajajaa
[2020:09:23-05:45:21]  (Local) -> (LOCAL)[1](Z)SUPAPA: coja por ese roto
[2020:09:23-05:45:24]  (Local) -> (LOCAL)[5]Lauriita: jajajaj bobo
[2020:09:23-05:45:25]  (Local) -> (LOCAL)[5]2cb'tussy: te propongo un sueño
[2020:09:23-05:45:25]  (Local) -> (LOCAL)[1](Z)SUPAPA: atras
[2020:09:23-05:45:29]  (Local) -> (LOCAL)[5]2cb'bosnian: pq me matan
[2020:09:23-05:45:30]  (Local) -> (LOCAL)[2](CTA)POPI(BORRACHO): pere jajajaj
[2020:09:23-05:45:30]  (Local) -> (LOCAL)[5]2cb'JuanPablo: ajjajaja
[2020:09:23-05:45:30]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: dime
[2020:09:23-05:45:31]  (Local) -> (LOCAL)[5]2cb'tussy: LAURITA
[2020:09:23-05:45:34]  (Local) -> (LOCAL)[6]Lauriita: oigan
[2020:09:23-05:45:36]  (Local) -> (LOCAL)[2](Z)SUPAPA: bajese
[2020:09:23-05:45:38]  (Local) -> (LOCAL)[5]2cb'tussy: ESCRIBA /nick 2cb'Laurita
[2020:09:23-05:45:38]  (Local) -> (LOCAL)[5]Lauriita: no lo maten
[2020:09:23-05:45:40]  (Local) -> (LOCAL)[5]2cb'tussy: ESCRIBA /nick 2cb'Laurita
[2020:09:23-05:45:41]  (Local) -> (LOCAL)[5]2cb'tussy: ESCRIBA /nick 2cb'Laurita
[2020:09:23-05:45:43]  (Local) -> (LOCAL)[5]Lauriita: ya
[2020:09:23-05:45:46]  (Local) -> (LOCAL)[1][Zetas]MAJACA: pertae 3 minutos
[2020:09:23-05:45:50]  (Local) -> (LOCAL)[5]2cb'JuanPablo: bno si lo pides tu no le hare daño
[2020:09:23-05:45:51]  (Local) -> (LOCAL)[1][Zetas]MAJACA: unite a discor
[2020:09:23-05:45:57]  (Local) -> (LOCAL)[1][Zetas]MAJACA: estamos cantando
[2020:09:23-05:45:57]  (Local) -> (LOCAL)[1](Z)SUPAPA: como?
[2020:09:23-05:45:59]  (Local) -> (LOCAL)[5]2cb'tussy: XD
[2020:09:23-05:46:01]  (Local) -> (LOCAL)[5]2cB'Q'Piskero: XD
[2020:09:23-05:46:05]  (Local) -> (LOCAL)[1](Z)SUPAPA: en que canal?
[2020:09:23-05:46:08]  (Local) -> (LOCAL)[5]2cb'JuanPablo: abre con la tecla t el chat y pones eso
[2020:09:23-05:46:09]  (Local) -> (LOCAL)[1](CTA)juann: temaaaa
[2020:09:23-05:46:11]  (Local) -> (LOCAL)[1](POPEYE): olleeee
[2020:09:23-05:46:18]  (Local) -> (LOCAL)[1][Zetas]MAJACA: general
[2020:09:23-05:46:23]  (Global) -> [GT]Jhojan: ole borracho
[2020:09:23-05:46:24]  (Local) -> (LOCAL)[2](POPEYE): paaaa
[2020:09:23-05:46:25]  (Global) -> [GT]Jhojan: me fui
[2020:09:23-05:46:28]  (Local) -> (LOCAL)[5]2cb'tussy: Q
[2020:09:23-05:46:29]  (Local) -> (LOCAL)[5]2cb'JuanPablo: uuf
[2020:09:23-05:46:29]  (Local) -> (LOCAL)[5]2cb'tussy: grosera
[2020:09:23-05:46:30]  (Local) -> (LOCAL)[1](Z)SUPAPA: breve
[2020:09:23-05:46:32]  (Global) -> (CTA)POPI(BORRACHO): PEREEEEEEEEEEE
[2020:09:23-05:46:34]  (Local) -> (LOCAL)[1](Z)SUPAPA: ponga cuidado
