This file was generated by Console at 2020:10:11-00:00:00



[2020:10:11-00:00:00]  (Global) -> |2cb|dilan: a
[2020:10:11-06:36:19]  (Global) -> ET3RN0: gangbarang
[2020:10:11-06:36:21]  (Global) -> 2cBPrexto: Nah percy, muy lento
[2020:10:11-06:36:23]  (Global) -> ET3RN0: o gangbang
[2020:10:11-06:36:29]  (Local) -> (LOCAL)[12]2cb'ratix: patron vengo arrepentido
[2020:10:11-06:36:29]  (Global) -> [M19]arete[GT]: wd 
[2020:10:11-06:36:30]  (Local) -> (LOCAL)[11]|GT|~SubditoDeSatanas: suyo
[2020:10:11-06:36:32]  (Local) -> (LOCAL)[11]2cb'Makintosh: me sigo preguntando porque por mas que le disparara a andres no le hacia daño y no era lag
[2020:10:11-06:36:34]  (Local) -> (LOCAL)[13]2cb*sumadre: RATIX ES DEL CARTEL
[2020:10:11-06:36:36]  (Local) -> (LOCAL)[13]2cb'ratix: con nuevos aires
[2020:10:11-06:36:36]  (Local) -> (LOCAL)[11]2cb'Makintosh: me sigo preguntando porque por mas que le disparara a andres no le hacia daño y no era lag
[2020:10:11-06:36:36]  (Local) -> (LOCAL)[11]2CbSCRYMBOY: onichiwan
[2020:10:11-06:36:42]  (Local) -> (LOCAL)[11]2cb'Makintosh: jummm
[2020:10:11-06:36:42]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF7C00 Patches: cual arrepentido ome pirobo respeta al jefe
[2020:10:11-06:36:42]  (Local) -> (LOCAL)[13]2cb'ratix: si señor
[2020:10:11-06:36:48]  (Local) -> (LOCAL)[11]2CbSCRYMBOY: report
[2020:10:11-06:36:49]  (Local) -> (LOCAL)[11]2CbSCRYMBOY: xd
[2020:10:11-06:36:51]  (Local) -> (LOCAL)[13]2cb'ratix: :o
[2020:10:11-06:36:54]  (Local) -> (LOCAL)[13]2cb'ratix: si
[2020:10:11-06:36:56]  (Local) -> (LOCAL)[10]2cb'Makintosh: no es la primera vez que veo a un gt con eso
[2020:10:11-06:36:56]  (Local) -> (LOCAL)[13]2cb'Lauriita: a tusi
[2020:10:11-06:37:06]  (Local) -> (LOCAL)[13]2cb'ratix: sumadre 20 se lo juro a si se llama xd
[2020:10:11-06:37:09]  (Global) -> Harold21: joinevent
[2020:10:11-06:37:11]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF0000[EVG]Lopez: XDDDDD
[2020:10:11-06:37:14]  (Local) -> (LOCAL)[14]2cb*sumadre: aa
[2020:10:11-06:37:18]  (Local) -> (LOCAL)[14]2cb*sumadre: nooooooooooooooooooooooo
[2020:10:11-06:37:21]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: XD
[2020:10:11-06:37:29]  (Global) -> Garu: Browser
[2020:10:11-06:37:30]  (Global) -> TIROFIJO420: PATRON YA VOY PA  ALLA
[2020:10:11-06:37:33]  (Local) -> (LOCAL)[12]2CbSCRYMBOY: ola
[2020:10:11-06:37:38]  (Local) -> (LOCAL)[13]Satania: holaa
[2020:10:11-06:37:42]  (Global) -> [CAPU]Dillom: ajja
[2020:10:11-06:37:48]  (Local) -> (LOCAL)[13]2cb*sumadre: RATIX
[2020:10:11-06:37:51]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: xdddddddd
[2020:10:11-06:37:52]  (Local) -> (LOCAL)[13]2cb*sumadre: ES DEL CARTEL
[2020:10:11-06:37:55]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF0000Kreator: xddddddd
[2020:10:11-06:37:55]  (Global) -> [CAPU]Dillom: aa
[2020:10:11-06:38:06]  (Local) -> (LOCAL)[12]chocorramo: a como
[2020:10:11-06:38:10]  (Local) -> (LOCAL)[0]2cb'ratix: patron ome no me mate
[2020:10:11-06:38:14]  (Local) -> (LOCAL)[14]2cb'Lauriita: a ratix
[2020:10:11-06:38:15]  (Local) -> (LOCAL)[14]2cb'ratix: no me mate ome
[2020:10:11-06:38:18]  (Local) -> (LOCAL)[12][GT]~$Fabio_vidal69$:): oe
[2020:10:11-06:38:20]  (Local) -> (LOCAL)[12]|GT|~SubditoDeSatanas: oe
[2020:10:11-06:38:25]  (Local) -> (LOCAL)[14]2cb*sumadre: VEALO
[2020:10:11-06:38:25]  (Local) -> (LOCAL)[12][GT]~$Fabio_vidal69$:): se demora en el car?
[2020:10:11-06:38:32]  (Local) -> (LOCAL)[11]|GT|~SubditoDeSatanas: cual car?
[2020:10:11-06:38:32]  (Global) -> [CAPU]Dillom: a
[2020:10:11-06:38:36]  (Local) -> (LOCAL)[12][GT]~$Fabio_vidal69$:): de la gng
[2020:10:11-06:38:38]  (Local) -> (LOCAL)[13]2cb'ratix: aaa
[2020:10:11-06:38:39]  (Local) -> (LOCAL)[14]2CbSCRYMBOY: cocacolo man
[2020:10:11-06:38:40]  (Local) -> (LOCAL)[14]|GT|~SubditoDeSatanas: a luego se lo doy
[2020:10:11-06:38:42]  (Local) -> (LOCAL)[14][GT]AndresDirector: que
[2020:10:11-06:38:43]  (Local) -> (LOCAL)[14]|GT|~SubditoDeSatanas: tengo perecita
[2020:10:11-06:38:46]  (Local) -> (LOCAL)[14]|GT|~SubditoDeSatanas: tome este
[2020:10:11-06:38:47]  (Global) -> EymarArchila1234: HPTA QUITESE LOS HACKS
[2020:10:11-06:38:47]  (Local) -> (LOCAL)[14]2CbSCRYMBOY: nada xd
[2020:10:11-06:38:47]  (Local) -> (LOCAL)[14][GT]AndresDirector: chocó man
[2020:10:11-06:38:53]  (Local) -> (LOCAL)[13]|GT|~SubditoDeSatanas: xd
[2020:10:11-06:38:55]  (Local) -> (LOCAL)[15][GT]~$Fabio_vidal69$:): por eso le digo si se demora
[2020:10:11-06:38:57]  (Local) -> (LOCAL)[16]2CbSCRYMBOY: xd
[2020:10:11-06:38:57]  (Local) -> (LOCAL)[9]2cb*sumadre: AJAJAJ
[2020:10:11-06:38:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[GTD]MenteMaestra: No vaya amatar a nadie
[2020:10:11-06:38:58]  (Local) -> (LOCAL)[14]|GT|~SubditoDeSatanas: sisas
[2020:10:11-06:38:58]  (Local) -> (LOCAL)[7]Rastacuando: bala 2palos para que me suba las llantas
[2020:10:11-06:39:01]  (Local) -> (LOCAL)[13][GT]AndresDirector: xdd
[2020:10:11-06:39:02]  (Global) -> TIROFIJO420: PATRON
[2020:10:11-06:39:03]  (Global) -> #browser'-.2cb-: no.
[2020:10:11-06:39:08]  (Local) -> (LOCAL)[14][GT]~$Fabio_vidal69$:): ahha me lo da mañana
[2020:10:11-06:39:12]  (Global) -> TIROFIJO420: PATRON
[2020:10:11-06:39:14]  (Global) -> [DTA]iTTJJCandela: r
[2020:10:11-06:39:15]  (Global) -> TIROFIJO420: LLEGUE YO
[2020:10:11-06:39:15]  (Global) -> ET3RN0: sanoo
[2020:10:11-06:39:26]  (Local) -> (LOCAL)[1]Garu: sucede algo?
[2020:10:11-06:39:27]  (Global) -> [CAPU]Dillom: a
[2020:10:11-06:39:33]  (Global) -> TIROFIJO420: OE PATRON
[2020:10:11-06:39:35]  (Global) -> [S.A.S][G]Daniels: NO PA
[2020:10:11-06:39:40]  (Local) -> (LOCAL)[4]2cb'Lauriita: holaaa
[2020:10:11-06:39:42]  (Global) -> TIROFIJO420: ESTA ENOJADO
[2020:10:11-06:39:42]  (Local) -> (LOCAL)[1]Garu: ok
[2020:10:11-06:39:43]  (Local) -> (LOCAL)[12]2cb'ratix: aaa que bulla
[2020:10:11-06:39:44]  (Local) -> (LOCAL)[3]2cb'tussy: y tu novio
[2020:10:11-06:39:44]  (Global) -> TIROFIJO420: O QUE PATRON
[2020:10:11-06:39:47]  (Global) -> TIROFIJO420: A QUIEN HAY QUE PELAR
[2020:10:11-06:39:47]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: llego el dueño del party
[2020:10:11-06:39:47]  (Local) -> (LOCAL)[1]Garu: informa al /991
[2020:10:11-06:39:47]  (Local) -> (LOCAL)[2]2cb'tussy: nuestro novio*
[2020:10:11-06:39:48]  (Local) -> (LOCAL)[12]Tribilin: quiten esa champeta hp
[2020:10:11-06:39:51]  (Local) -> (LOCAL)[1]2cb'Lauriita: esta alla
[2020:10:11-06:39:54]  (Global) -> Rumons: hombre
[2020:10:11-06:39:56]  (Global) -> TIROFIJO420: A QUIEN HAY QUE PELAR PATRON
[2020:10:11-06:39:57]  (Local) -> (LOCAL)[12]2cb'ratix: patron mi amigo no se encuentra en estos momentos en la ciudad
[2020:10:11-06:39:57]  (Local) -> (LOCAL)[11]2cb'Makintosh: mata
[2020:10:11-06:39:58]  (Local) -> (LOCAL)[11]2cb'Makintosh: mata
[2020:10:11-06:39:59]  (Local) -> (LOCAL)[7]Rastacuando: bala 2palos para que me suba las llantas
[2020:10:11-06:39:59]  (Local) -> (LOCAL)[1]2cb'Lauriita: vamos esta con el que habla como escobar
[2020:10:11-06:40:00]  (Global) -> Rumons: porfavoor
[2020:10:11-06:40:00]  (Local) -> (LOCAL)[2]2cBPrexto: me los voy a comer
[2020:10:11-06:40:01]  (Local) -> (LOCAL)[11]2cb'Makintosh: revise discord
[2020:10:11-06:40:02]  (Global) -> Rumons: :,0
[2020:10:11-06:40:03]  (Local) -> (LOCAL)[1]Garu: al /911*
[2020:10:11-06:40:04]  (Local) -> (LOCAL)[13]2cb'ratix: lil.pussy
[2020:10:11-06:40:05]  (Local) -> (LOCAL)[1]2cb'tussy: jmm
[2020:10:11-06:40:08]  (Global) -> Rumons: nooooooo
[2020:10:11-06:40:08]  (Local) -> (LOCAL)[11]2cb'Makintosh: mata
[2020:10:11-06:40:10]  (Local) -> (LOCAL)[2]2cBPrexto: Para donde van
[2020:10:11-06:40:10]  (Local) -> (LOCAL)[14]2cb'ratix: ._.
[2020:10:11-06:40:13]  (Global) -> Rumons: ya es la 3era vez
[2020:10:11-06:40:15]  (Local) -> (LOCAL)[1]2cb'Lauriita: MENTIRAS
[2020:10:11-06:40:16]  (Local) -> (LOCAL)[11][GT]AndresDirector: parcero
[2020:10:11-06:40:17]  (Global) -> TIROFIJO420: Jajajajjaajajaa
[2020:10:11-06:40:20]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000[EVG]Lopez: subditodestanas
[2020:10:11-06:40:21]  (Global) -> EymarArchila1234: estamos comprando un carrito
[2020:10:11-06:40:21]  (Local) -> (LOCAL)[11][GT]AndresDirector: cuales eran los cheats??
[2020:10:11-06:40:23]  (Local) -> (LOCAL)[2]2cBPrexto: para donde van
[2020:10:11-06:40:23]  (Local) -> (LOCAL)[11]2cb'Makintosh: pq no te bajaba la vida
[2020:10:11-06:40:25]  (Global) -> [M19]arete[GT]: subdito
[2020:10:11-06:40:25]  (Local) -> (LOCAL)[2]2cBPrexto: a bueno
[2020:10:11-06:40:26]  (Local) -> (LOCAL)[1]2cb'Lauriita: el lo quiere matar a usted
[2020:10:11-06:40:27]  (Local) -> (LOCAL)[11]2cb'Makintosh: si no tenias lag
[2020:10:11-06:40:28]  (Local) -> (LOCAL)[2]2cBPrexto: los acompaño
[2020:10:11-06:40:30]  (Local) -> (LOCAL)[2]2cBPrexto: freneeee
[2020:10:11-06:40:30]  (Local) -> (LOCAL)[10][GT]AndresDirector: y yo que se
[2020:10:11-06:40:31]  (Global) -> Rumons: mi tio pablo tiene mucha plata
[2020:10:11-06:40:32]  (Local) -> (LOCAL)[2]2cb'tussy: y yo a el claro
[2020:10:11-06:40:32]  (Local) -> (LOCAL)[10]2cb'Makintosh: no tenias el simbolo
[2020:10:11-06:40:33]  (Global) -> TIROFIJO420: jajajajajaajajja
[2020:10:11-06:40:34]  (Local) -> (LOCAL)[10][GT]~$Fabio_vidal69$:): ah traques?
[2020:10:11-06:40:35]  (Local) -> (LOCAL)[11]2cb'Makintosh: no se me haga el loco
[2020:10:11-06:40:36]  (Local) -> (LOCAL)[2]2cBPrexto: ahora si
[2020:10:11-06:40:37]  (Global) -> EymarArchila1234: donde se compran los ferraris
[2020:10:11-06:40:37]  (Local) -> (LOCAL)[12]2cb'ratix: xd ._. pere recuerdo :V
[2020:10:11-06:40:37]  (Local) -> (LOCAL)[2]2cBPrexto: vamos
[2020:10:11-06:40:38]  (Global) -> TIROFIJO420: esta enojado el patron
[2020:10:11-06:40:38]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF7C00 Patches: patron tiene un escarabajo que pena
[2020:10:11-06:40:39]  (Local) -> (LOCAL)[9][CAPU]Dillom: a
[2020:10:11-06:40:41]  (Local) -> (LOCAL)[1]2cb'Lauriita: jajajaja es que es super chistoso
[2020:10:11-06:40:42]  (Local) -> (LOCAL)[13][GT]AndresDirector: na parcero
[2020:10:11-06:40:42]  (Local) -> (LOCAL)[9][CAPU]Dillom: se me daño este tutuco
[2020:10:11-06:40:42]  (Local) -> (LOCAL)[2]2cBPrexto: sigame
[2020:10:11-06:40:43]  (Local) -> (LOCAL)[13]2cb'Makintosh: he visto a varios gts con eso
[2020:10:11-06:40:46]  (Local) -> (LOCAL)[9][CAPU]Dillom: hppp
[2020:10:11-06:40:47]  (Team - Unemployed) -> (TEAM)TIROFIJO420:  un zancudo
[2020:10:11-06:40:48]  (Local) -> (LOCAL)[13][CAPU]penecabezon: oe
[2020:10:11-06:40:48]  (Global) -> TIROFIJO420: patron
[2020:10:11-06:40:52]  (Local) -> (LOCAL)[13][CAPU]penecabezon: el gallo
[2020:10:11-06:40:55]  (Local) -> (LOCAL)[13][CAPU]penecabezon: subase
[2020:10:11-06:41:00]  (Local) -> (LOCAL)[8][EVG]RicardoJorge: oeeee
[2020:10:11-06:41:01]  (Local) -> (LOCAL)[14][GT]AndresDirector: bre xd
[2020:10:11-06:41:01]  (Local) -> (LOCAL)[15][CAPU]penecabezon: oeee
[2020:10:11-06:41:01]  (Local) -> (LOCAL)[8][EVG]RicardoJorge: ahhh
[2020:10:11-06:41:01]  (Local) -> (LOCAL)[8][CAPU]Dillom: stunt
[2020:10:11-06:41:05]  (Local) -> (LOCAL)[14][CAPU]penecabezon: el gallo
[2020:10:11-06:41:06]  (Local) -> (LOCAL)[13][Zetas]Matachivos: siempre por la eslpada
[2020:10:11-06:41:06]  (Global) -> TIROFIJO420: patron
[2020:10:11-06:41:09]  (Global) -> TIROFIJO420: yo lo escolto
[2020:10:11-06:41:09]  (Local) -> (LOCAL)[13][Zetas]Matachivos: que pesar subdito
[2020:10:11-06:41:09]  (Local) -> (LOCAL)[14][CAPU]penecabezon: subaseee
[2020:10:11-06:41:10]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: escoltandolo
[2020:10:11-06:41:10]  (Global) -> EymarArchila1234: gracias
[2020:10:11-06:41:12]  (Global) -> TIROFIJO420: soy popeye
[2020:10:11-06:41:16]  (Local) -> (LOCAL)[13]2cb'tussy: pa q me tragiste lopez
[2020:10:11-06:41:17]  (Global) -> [GT]percy: deni
[2020:10:11-06:41:17]  (Local) -> (LOCAL)[8][EVG]RicardoJorge: Bala, me los podés pasar por favor
[2020:10:11-06:41:17]  (Local) -> (LOCAL)[15]2cb'Makintosh: mata
[2020:10:11-06:41:18]  (Local) -> (LOCAL)[13]2cb'tussy: digo mente
[2020:10:11-06:41:19]  (Local) -> (LOCAL)[2]2cBPrexto: Les doy 60 segundos
[2020:10:11-06:41:20]  (Global) -> ET3RN0: sano
[2020:10:11-06:41:20]  (Local) -> (LOCAL)[13]2cb'Makintosh: venga
[2020:10:11-06:41:22]  (Local) -> (LOCAL)[13]|GT|~SubditoDeSatanas: de que?
[2020:10:11-06:41:22]  (Global) -> ET3RN0: me dejo herido
[2020:10:11-06:41:23]  (Local) -> (LOCAL)[4]Garu: hl browser
[2020:10:11-06:41:24]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Balaclava: hace rato se los pasé bobo
[2020:10:11-06:41:25]  (Local) -> (LOCAL)[15][CAPU]penecabezon: GALLO
[2020:10:11-06:41:26]  (Local) -> (LOCAL)[13]2cb'ratix: no recuerdo patron
[2020:10:11-06:41:27]  (Local) -> (LOCAL)[4]CAPU|DENII: q
[2020:10:11-06:41:28]  (Local) -> (LOCAL)[13][GT]AndresDirector: de que uso hacks
[2020:10:11-06:41:28]  (Local) -> (LOCAL)[14][CAPU]penecabezon: BAUSUBASEE
[2020:10:11-06:41:29]  (Local) -> (LOCAL)[14]2cb'Makintosh: revise discord mk
[2020:10:11-06:41:29]  (Global) -> [GT]percy: te puedo chupar el pipi?
[2020:10:11-06:41:32]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: Ay nea
[2020:10:11-06:41:32]  (Local) -> (LOCAL)[14][Zetas]Matachivos: dale
[2020:10:11-06:41:32]  (Local) -> (LOCAL)[3]#browser'-.2cb-: hola maquina
[2020:10:11-06:41:33]  (Local) -> (LOCAL)[12]|GT|~SubditoDeSatanas: no le digo al otro
[2020:10:11-06:41:34]  (Global) -> TIROFIJO420ALIASPOPEYE: EPA
[2020:10:11-06:41:35]  (Local) -> (LOCAL)[14]|GT|~SubditoDeSatanas: que dice que pesar
[2020:10:11-06:41:36]  (Local) -> (LOCAL)[13]|GT|~SubditoDeSatanas: ajajaj
[2020:10:11-06:41:37]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: dígame bobo hp
[2020:10:11-06:41:38]  (Local) -> (LOCAL)[14][GT]AndresDirector: aah XD
[2020:10:11-06:41:39]  (Local) -> (LOCAL)[14][CAPU]penecabezon: SANTANAS
[2020:10:11-06:41:40]  (Local) -> (LOCAL)[2]2cBPrexto: venga los mando directo al hospital rapidito
[2020:10:11-06:41:40]  (Local) -> (LOCAL)[2]#browser'-.2cb-: eres el gmo?
[2020:10:11-06:41:40]  (Local) -> (LOCAL)[9][EVG]RicardoJorge: porque no sabía
[2020:10:11-06:41:41]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: hablele claro patron
[2020:10:11-06:41:41]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF0000[EVG]Lopez: venga lindo
[2020:10:11-06:41:41]  (Local) -> (LOCAL)[2]Garu: ¿Como va todo?
[2020:10:11-06:41:43]  (Local) -> (LOCAL)[6][EVG]RicardoJorge: gracias
[2020:10:11-06:41:45]  (Local) -> (LOCAL)[3]Garu: No ya no xd
[2020:10:11-06:41:45]  (Local) -> (LOCAL)[14]2cb'ratix: aun asi relajese y tomese un soka patronsito
[2020:10:11-06:41:45]  (Local) -> (LOCAL)[14][GT]AndresDirector: SJDAJSDSJASAJ
[2020:10:11-06:41:48]  (Global) -> Rumons: esta cariñoso
[2020:10:11-06:41:49]  (Global) -> TIROFIJO420ALIASPOPEYE: A QUIEN HAY QUE PELAR
[2020:10:11-06:41:49]  (Local) -> (LOCAL)[15][GT]AndresDirector: QUE CAJA ESA SKIN
[2020:10:11-06:41:50]  (Global) -> TIROFIJO420ALIASPOPEYE: PATRON
[2020:10:11-06:41:52]  (Local) -> (LOCAL)[4]Garu: Me sali apenas termino el torneo
[2020:10:11-06:41:53]  (Local) -> (LOCAL)[4]#browser'-.2cb-: tienes clan aqui'?
[2020:10:11-06:41:56]  (Local) -> (LOCAL)[14]TIROFIJO420ALIASPOPEYE: LILPUSSY?
[2020:10:11-06:41:56]  (Global) -> Rumons: espere
[2020:10:11-06:41:57]  (Local) -> (LOCAL)[4]Garu: No
[2020:10:11-06:42:01]  (Local) -> (LOCAL)[4]#browser'-.2cb-: quieres ser 2cb?
[2020:10:11-06:42:03]  (Local) -> (LOCAL)[14]TIROFIJO420ALIASPOPEYE: USTED DICE LILPUSSY O QUE
[2020:10:11-06:42:09]  (Global) -> Rumons: oye
[2020:10:11-06:42:11]  (Global) -> Rumons: una rpegunta
[2020:10:11-06:42:11]  (Local) -> (LOCAL)[4]Garu: Pues como quieras xd
[2020:10:11-06:42:16]  (Local) -> (LOCAL)[4]Garu: Es clan de gans
[2020:10:11-06:42:17]  (Local) -> (LOCAL)[2]2cBPrexto: dimelo
[2020:10:11-06:42:19]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: inmune
[2020:10:11-06:42:20]  (Local) -> (LOCAL)[4]Garu: ?
[2020:10:11-06:42:21]  (Local) -> (LOCAL)[14]2cb'ratix: patron
[2020:10:11-06:42:22]  (Global) -> Tetranutra~2cB: a
[2020:10:11-06:42:22]  (Global) -> Rumons: que pasa cuando me arrestan?
[2020:10:11-06:42:25]  (Local) -> (LOCAL)[15]2cb'ratix: se llama lilpussy ome
[2020:10:11-06:42:25]  (Local) -> (LOCAL)[14][GT]AndresDirector: XDD
[2020:10:11-06:42:27]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: XDD
[2020:10:11-06:42:27]  (Global) -> #7F7F7F|CVR|#FF7C00 [GTD]Kaicer: XDDD
[2020:10:11-06:42:29]  (Global) -> TIROFIJO420ALIASPOPEYE: PATRON
[2020:10:11-06:42:30]  (Local) -> (LOCAL)[2]2cBPrexto: no te vas
[2020:10:11-06:42:32]  (Local) -> (LOCAL)[15][CAPU]penecabezon: opa
[2020:10:11-06:42:32]  (Global) -> TIROFIJO420ALIASPOPEYE: QUIEN ES ENTONCES
[2020:10:11-06:42:35]  (Global) -> TIROFIJO420ALIASPOPEYE: HABLE CLARO
[2020:10:11-06:42:35]  (Local) -> (LOCAL)[15]2cb'ratix: yandrix
[2020:10:11-06:42:37]  (Local) -> (LOCAL)[15]2cb'ratix: yandrix
[2020:10:11-06:42:38]  (Local) -> (LOCAL)[2]2cBPrexto: uvengan
[2020:10:11-06:42:38]  (Global) -> TIROFIJO420ALIASPOPEYE: PA VOLARLE LA CABEZA
[2020:10:11-06:42:39]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: XDDDD
[2020:10:11-06:42:43]  (Global) -> ElPipa: xsmx
[2020:10:11-06:42:43]  (Global) -> [CAPU]Dillom: a
[2020:10:11-06:42:46]  (Local) -> (LOCAL)[15]2cb'ratix: ese es el costeño :V
[2020:10:11-06:42:47]  (Global) -> TIROFIJO420ALIASPOPEYE: OME PATRON
[2020:10:11-06:42:48]  (Local) -> (LOCAL)[15]2cb'tussy: mmm
[2020:10:11-06:42:53]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: EY
[2020:10:11-06:42:54]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: MIRAME
[2020:10:11-06:43:00]  (Local) -> (LOCAL)[3]Garu: Browser, te fuiste rapido y no me diste invite clan
[2020:10:11-06:43:02]  (Local) -> (LOCAL)[3]Garu: ._.
[2020:10:11-06:43:04]  (Global) -> TIROFIJO420ALIASPOPEYE: DIGALE 
[2020:10:11-06:43:07]  (Local) -> (LOCAL)[15]#7F7F7F|CVR|#FF7C00 Patches: XDALJSDÑ
[2020:10:11-06:43:07]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: TENES UNA LAGAÑA
[2020:10:11-06:43:09]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: Q PENA PA
[2020:10:11-06:43:11]  (Local) -> (LOCAL)[2]#browser'-.2cb-: mala mia jaja
[2020:10:11-06:43:11]  (Global) -> EymarArchila1234: quien iba pa el hospital?
[2020:10:11-06:43:16]  (Local) -> (LOCAL)[15]#7F7F7F|CVR|#FF7C00 Patches: gracias pa
[2020:10:11-06:43:17]  (Local) -> (LOCAL)[2]Garu: Y como estan los chicos?
[2020:10:11-06:43:18]  (Local) -> (LOCAL)[13]2cb'ratix: de mas que si patron
[2020:10:11-06:43:18]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: MI PARSE CHOCORRAMO NO ANDABA BAN?
[2020:10:11-06:43:20]  (Global) -> TIROFIJO420ALIASPOPEYE: QUIETO RADIAL NO JODA
[2020:10:11-06:43:26]  (Global) -> TIROFIJO420ALIASPOPEYE: QUE YO A USTED NO LE ESTOY HACIENDO NADA
[2020:10:11-06:43:26]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: quIETO
[2020:10:11-06:43:27]  (Local) -> (LOCAL)[1]#browser'-.2cb-: Mal ajajdskasjkda, perdimos vs hfs wtf
[2020:10:11-06:43:29]  (Local) -> (LOCAL)[1]Garu: SAF seguira?
[2020:10:11-06:43:30]  (Local) -> (LOCAL)[6][CAPU]Dillom: pqqq
[2020:10:11-06:43:35]  (Local) -> (LOCAL)[1]#browser'-.2cb-: se, yo lo seguire
[2020:10:11-06:43:35]  (Local) -> (LOCAL)[1]Garu: Si, eso vi
[2020:10:11-06:43:38]  (Local) -> (LOCAL)[6]CAPU|~CapuCurioso~|: Nos estan tuneando los carros
[2020:10:11-06:43:38]  (Local) -> (LOCAL)[3]#browser'-.2cb-: asi perdamos cada dia
[2020:10:11-06:43:43]  (Local) -> (LOCAL)[16][Z]XhnGuaracha: YA LO PROBE
[2020:10:11-06:43:43]  (Local) -> (LOCAL)[5][CAPU]Dillom: quiero
[2020:10:11-06:43:43]  (Global) -> TIROFIJO420ALIASPOPEYE: QUE HPTAS TAN CANSONES
[2020:10:11-06:43:45]  (Local) -> (LOCAL)[5][CAPU]Dillom: quiero
[2020:10:11-06:43:46]  (Local) -> (LOCAL)[12]2cb'Radial: aa
[2020:10:11-06:43:48]  (Local) -> (LOCAL)[6]Garu: k
[2020:10:11-06:43:48]  (Global) -> Rumons: no policia
[2020:10:11-06:43:48]  (Local) -> (LOCAL)[13][CAPU]penecabezon: jaja
[2020:10:11-06:43:49]  (Local) -> (LOCAL)[5]Rastacuando: bala 2palos para que me suba las llantas
[2020:10:11-06:43:49]  (Local) -> (LOCAL)[5]Garu: jajaj
[2020:10:11-06:43:50]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: Pues saquelo
[2020:10:11-06:43:52]  (Local) -> (LOCAL)[11]2cb'ratix: patron estan ofreciendo por usted
[2020:10:11-06:43:52]  (Local) -> (LOCAL)[5]#browser'-.2cb-: ya volvera denai
[2020:10:11-06:43:55]  (Local) -> (LOCAL)[5]Garu: bueno ahora me tienes a mi
[2020:10:11-06:43:55]  (Local) -> (LOCAL)[4]CAPU|~CapuCurioso~|: Y le dice a bala
[2020:10:11-06:43:55]  (Global) -> Rumons: ya me mandaron al hospital como 4 veces
[2020:10:11-06:43:56]  (Global) -> EymarArchila1234: esots hptas hackers
[2020:10:11-06:43:59]  (Local) -> (LOCAL)[5]#browser'-.2cb-: Y empezare a normalizar todo
[2020:10:11-06:44:02]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Balaclava: q hablas
[2020:10:11-06:44:02]  (Local) -> (LOCAL)[12]2cb'ratix: mire
[2020:10:11-06:44:03]  (Global) -> #7F7F7F|CVR|#FFFB00Khausu: yp
[2020:10:11-06:44:05]  (Local) -> (LOCAL)[12]2cb'Radial: no disparen
[2020:10:11-06:44:07]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: PERMISO
[2020:10:11-06:44:08]  (Local) -> (LOCAL)[13]2cb'Radial: a
[2020:10:11-06:44:11]  (Local) -> (LOCAL)[4]Garu: Antes de que te vayas dame la invite ._.
[2020:10:11-06:44:11]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]MenteMaestra: VAYANSE DE MI EDIFICIO
[2020:10:11-06:44:11]  (Local) -> (LOCAL)[1]2cBPrexto: les dije
[2020:10:11-06:44:12]  (Local) -> (LOCAL)[12]2cb'ratix: 2mil 700 millones
[2020:10:11-06:44:17]  (Local) -> (LOCAL)[6]2cBPrexto: quietos
[2020:10:11-06:44:19]  (Global) -> Rumons: ay kyc
[2020:10:11-06:44:20]  (Local) -> (LOCAL)[11]2cb*sumadre: KITEN ESOOOOOOOOOOOOOOO
[2020:10:11-06:44:20]  (Local) -> (LOCAL)[6]2cBPrexto: y se revelarron
