This file was generated by Console at 2021:02:04-00:00:00



[2021:02:04-00:00:00]  (Local) -> (LOCAL)[1]manuuwu: q
[2021:02:04-17:52:25]  (Local) -> (LOCAL)[1]Poison2cb: ñro jajajajaja
[2021:02:04-17:52:25]  (Local) -> (LOCAL)[3]COSCULLUELA[CDP]: jajajaa
[2021:02:04-17:52:27]  (Local) -> (LOCAL)[8]enmanuel(AK): yo?
[2021:02:04-17:52:27]  (Local) -> (LOCAL)[8]Elvis_Ajoso: yo?
[2021:02:04-17:52:29]  (Local) -> (LOCAL)[1]SICARIO(GT): me bugue
[2021:02:04-17:52:30]  (Local) -> (LOCAL)[1]Jesus'2cb: no me deja hacer el coso
[2021:02:04-17:52:31]  (Local) -> (LOCAL)[7]javierRD|AK|: fui a buscar a enmanuel
[2021:02:04-17:52:31]  (Local) -> (LOCAL)[1]SICARIO(GT): jaja
[2021:02:04-17:52:31]  (Local) -> (LOCAL)[1]Poison2cb: perdon ya lo dejo sano
[2021:02:04-17:52:37]  (Global) -> Gonzalo-gaviria[CM]: esoereme aqui ya reinicio haber
[2021:02:04-17:52:39]  (Team - Unemployed) -> (TEAM)CANNABISATIVO:  si yo no lo mate
[2021:02:04-17:52:40]  (Global) -> (SANTIAGO)(Z): viene a buscar informacuion patron
[2021:02:04-17:52:45]  (Local) -> (LOCAL)[7]javierRD|AK|: si patron
[2021:02:04-17:52:46]  (Local) -> (LOCAL)[7]Elvis_Ajoso: mmmmu
[2021:02:04-17:52:50]  (Local) -> (LOCAL)[2]Samantha~2Aucb: oye aun estamos en tregua con 2cb?
[2021:02:04-17:52:51]  (Local) -> (LOCAL)[1]SICARIO(GT): jaja
[2021:02:04-17:52:52]  (Local) -> (LOCAL)[7]Elvis_Ajoso: nos rescartó de un amricon
[2021:02:04-17:52:54]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000_!Catre: si
[2021:02:04-17:52:54]  (Global) -> (SANTIAGO)(Z): informacion
[2021:02:04-17:52:55]  (Local) -> (LOCAL)[1]CANNABISATIVO: pero explote mi carro
[2021:02:04-17:52:58]  (Global) -> CANNABISATIVO: :C
[2021:02:04-17:52:59]  (Global) -> (SANTIAGO)(Z): de nosotros
[2021:02:04-17:53:00]  (Local) -> (LOCAL)[1]COSCULLUELA[CDP]: jajajajaa
[2021:02:04-17:53:02]  (Local) -> (LOCAL)[1]SICARIO(GT): jaja
[2021:02:04-17:53:03]  (Local) -> (LOCAL)[7]Elvis_Ajoso: elcabo
[2021:02:04-17:53:05]  (Local) -> (LOCAL)[1]Samantha~2Aucb: ahh es que como no tienes el 2Aucb
[2021:02:04-17:53:06]  (Local) -> (LOCAL)[1]CANNABISATIVO: casi lo mato sin culpa pues
[2021:02:04-17:53:07]  (Global) -> SICARIO(GT): iene vip
[2021:02:04-17:53:11]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000_!Catre: aaa ya lo coloco
[2021:02:04-17:53:11]  (Local) -> (LOCAL)[7]Elvis_Ajoso: el que se infiltró
[2021:02:04-17:53:12]  (Local) -> (LOCAL)[1]Samantha~2Aucb: bueno a camellar
[2021:02:04-17:53:15]  (Local) -> (LOCAL)[1]Samantha~2Aucb: cuidates
[2021:02:04-17:53:18]  (Local) -> (LOCAL)[1]COSCULLUELA[CDP]: mancoo
[2021:02:04-17:53:18]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: a
[2021:02:04-17:53:21]  (Local) -> (LOCAL)[3]Jolyne|2cb: SOLO GENTE CON HR3
[2021:02:04-17:53:22]  (Local) -> (LOCAL)[2]LocaJijijij: ai
[2021:02:04-17:53:23]  (Local) -> (LOCAL)[3]El_Chopo(CM): donde esta el patron
[2021:02:04-17:53:24]  (Local) -> (LOCAL)[7]Elvis_Ajoso: que usted dijo que alto al fuego y tal
[2021:02:04-17:53:26]  (Local) -> (LOCAL)[3]Flaco|2cb: oe
[2021:02:04-17:53:28]  (Local) -> (LOCAL)[2][GR]Juanjo_Perez: de malas :3
[2021:02:04-17:53:29]  (Local) -> (LOCAL)[1]CANNABISATIVO: no, se puede pagar con enqui
[2021:02:04-17:53:32]  (Global) -> Samantha~2Aucb: esta g8?
[2021:02:04-17:53:34]  (Global) -> ALVAROURIBE|CM|: no se, escribale a  wp
[2021:02:04-17:53:34]  (Local) -> (LOCAL)[0]LocaJijijij: jijji
[2021:02:04-17:53:36]  (Global) -> LocaJijijij: aver mi palo
[2021:02:04-17:53:36]  (Local) -> (LOCAL)[3]Jolyne|2cb: OE
[2021:02:04-17:53:38]  (Local) -> (LOCAL)[3]Jolyne|2cb: jasjsa
[2021:02:04-17:53:39]  (Global) -> #7F7F7F|ADM|#FF0000_!Catre|2AucB: creo que no
[2021:02:04-17:53:41]  (Local) -> (LOCAL)[1]SICARIO(GT): si
[2021:02:04-17:53:41]  (Local) -> (LOCAL)[3]Flaco|2cb: deja ?
[2021:02:04-17:53:45]  (Global) -> LocaJijijij: jijijij
[2021:02:04-17:53:46]  (Team - Unemployed) -> (TEAM)COSCULLUELA[CDP]: jajajjajajajajaja
[2021:02:04-17:53:46]  (Team - Unemployed) -> (TEAM)CANNABISATIVO: nequi breve lo voy a comprar 
[2021:02:04-17:53:47]  (Local) -> (LOCAL)[2]Jolyne|2cb: ahora pere
[2021:02:04-17:53:49]  (Local) -> (LOCAL)[7]javierRD|AK|: yo le dije
[2021:02:04-17:53:51]  (Local) -> (LOCAL)[2]Jolyne|2cb: solo entre a comprarlo
[2021:02:04-17:53:52]  (Local) -> (LOCAL)[1]CANNABISATIVO: me lo dan de una?
[2021:02:04-17:53:54]  (Local) -> (LOCAL)[2]Flaco|2cb: a quien se lo compro?
[2021:02:04-17:53:55]  (Global) -> COSCULLUELA[CDP]: JUANJJOOO MUY MALO
[2021:02:04-17:53:56]  (Local) -> (LOCAL)[7]javierRD|AK|: si el cabo
[2021:02:04-17:53:57]  (Local) -> (LOCAL)[7]Elvis_Ajoso: nos salió a buscar porque nos mataron
[2021:02:04-17:53:59]  (Local) -> (LOCAL)[1]Flaco|2cb: y a cuanto '
[2021:02:04-17:53:59]  (Local) -> (LOCAL)[1]Jolyne|2cb: mini
[2021:02:04-17:54:06]  (Local) -> (LOCAL)[1]Flaco|2cb: se lo vendio Mini ?
[2021:02:04-17:54:09]  (Local) -> (LOCAL)[2]Jolyne|2cb: 30 y un rustler
[2021:02:04-17:54:11]  (Local) -> (LOCAL)[3]Flaco|2cb: por cuato ?
[2021:02:04-17:54:11]  (Global) -> SAPAhpta: busco gang activa
[2021:02:04-17:54:12]  (Local) -> (LOCAL)[1]SICARIO(GT): isi pormucho dos dias se demoran
[2021:02:04-17:54:17]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: EY
[2021:02:04-17:54:17]  (Global) -> LocaJijijij: claro yo
[2021:02:04-17:54:18]  (Local) -> (LOCAL)[7]Bellaqueohpta: patron puedo ir a entregar el carreo
[2021:02:04-17:54:19]  (Global) -> SoplaMondalCDPl: porque me sacaron??????
[2021:02:04-17:54:19]  (Local) -> (LOCAL)[7]enmanuel(AK): mu
[2021:02:04-17:54:20]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: GT
[2021:02:04-17:54:21]  (Local) -> (LOCAL)[1]Poison2cb: ñro
[2021:02:04-17:54:21]  (Local) -> (LOCAL)[2]SAPAhpta: oe
[2021:02:04-17:54:21]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: llegue al banco
[2021:02:04-17:54:23]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: GT es re activo
[2021:02:04-17:54:24]  (Local) -> (LOCAL)[2]Flaco|2cb: cual es el rustler
[2021:02:04-17:54:24]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: loca
[2021:02:04-17:54:25]  (Local) -> (LOCAL)[1]Poison2cb: se lo juro por mi mama
[2021:02:04-17:54:26]  (Local) -> (LOCAL)[1]CANNABISATIVO: y cuando uno es vip q tiene
[2021:02:04-17:54:28]  (Global) -> LocaJijijij: ya 
[2021:02:04-17:54:28]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: GT reyes de sf
[2021:02:04-17:54:29]  (Local) -> (LOCAL)[2]Flaco|2cb: el que dispara ?
[2021:02:04-17:54:29]  (Local) -> (LOCAL)[2]Jolyne|2cb: el avion q dispara
[2021:02:04-17:54:32]  (Local) -> (LOCAL)[2]Jolyne|2cb: szs
[2021:02:04-17:54:35]  (Global) -> SoplaMondalCDPl: porque me sacaron de la carrera?
[2021:02:04-17:54:35]  (Local) -> (LOCAL)[2]Jolyne|2cb: ya no lo usaba
[2021:02:04-17:54:35]  (Local) -> (LOCAL)[1]Mnrpatecumbias'GT: SubditoDeSatanas|~GT
[2021:02:04-17:54:36]  (Local) -> (LOCAL)[1]Poison2cb: se lojuro q termine y me mando al suyo
[2021:02:04-17:54:37]  (Local) -> (LOCAL)[1]SAPAhpta: hablame como entro
[2021:02:04-17:54:40]  (Local) -> (LOCAL)[0]Mnrpatecumbias'GT: espere
[2021:02:04-17:54:40]  (Local) -> (LOCAL)[2]Jolyne|2cb: y tengo stuntplane
[2021:02:04-17:54:40]  (Local) -> (LOCAL)[2]Flaco|2cb: cuanto costaba ?
[2021:02:04-17:54:43]  (Global) -> {GR}Santiago: pabl0escobar[MP] 
[2021:02:04-17:54:43]  (Local) -> (LOCAL)[2]Speartick: jajajaj
[2021:02:04-17:54:44]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: porque ya
[2021:02:04-17:54:46]  (Local) -> (LOCAL)[2]Jolyne|2cb: si me animo lo vuelvo a comprar
[2021:02:04-17:54:47]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: gano alguien
[2021:02:04-17:54:47]  (Local) -> (LOCAL)[8]Elvis_Ajoso: callese
[2021:02:04-17:54:47]  (Global) -> Mnrpatecumbias'GT: SubditoDeSatanas|~GT
[2021:02:04-17:54:49]  (Global) -> Gonzalo-gaviria[CM]: oes
[2021:02:04-17:54:50]  (Local) -> (LOCAL)[2]Speartick: que casualidad
[2021:02:04-17:54:50]  (Local) -> (LOCAL)[2]Jolyne|2cb: lo compre en 15 mca
[2021:02:04-17:54:50]  (Local) -> (LOCAL)[2]Flaco|2cb: cual es ese muestre
[2021:02:04-17:54:51]  (Local) -> (LOCAL)[1]Poison2cb: ñro enserio jajajaja
[2021:02:04-17:54:51]  (Local) -> (LOCAL)[8]Elvis_Ajoso: deje hablar al patron
[2021:02:04-17:54:52]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: dime menor?
[2021:02:04-17:54:53]  (Local) -> (LOCAL)[2]CANNABISATIVO: holaaa
[2021:02:04-17:54:54]  (Global) -> Mnrpatecumbias'GT: como es el bind de gc?
[2021:02:04-17:54:54]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: oe patron
[2021:02:04-17:54:56]  (Local) -> (LOCAL)[2]CANNABISATIVO: ajjaja si mi so como va
[2021:02:04-17:54:57]  (Local) -> (LOCAL)[4]Flaco|2cb: y donde lo venden ?
[2021:02:04-17:54:59]  (Local) -> (LOCAL)[1]Jesus'2cb: ñro me demoro media hroa matandolos
[2021:02:04-17:55:01]  (Global) -> #7F7F7F|ADM|#FF5C00Cazaputas42: francine esperamw
[2021:02:04-17:55:01]  (Local) -> (LOCAL)[2]CANNABISATIVO: q le paso s eperdio el evento
[2021:02:04-17:55:03]  (Local) -> (LOCAL)[2]Speartick: bien bien
[2021:02:04-17:55:04]  (Local) -> (LOCAL)[1]Jesus'2cb: y ud me reinicia eso
[2021:02:04-17:55:06]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: pense que ganaria yo
[2021:02:04-17:55:08]  (Local) -> (LOCAL)[2]CANNABISATIVO: ami me atropello una mula y me mando a la mierd
[2021:02:04-17:55:08]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: jajjaaja
[2021:02:04-17:55:09]  (Local) -> (LOCAL)[7]|don|jimenez|AK|: q pasa aqui patron
[2021:02:04-17:55:09]  (Local) -> (LOCAL)[4]Jolyne|2cb: en el aeropuerto
[2021:02:04-17:55:10]  (Local) -> (LOCAL)[4]Flaco|2cb: ah eso tan maluco
[2021:02:04-17:55:12]  (Local) -> (LOCAL)[2]Speartick: me bugueó un tipo parado en el hospital
[2021:02:04-17:55:12]  (Local) -> (LOCAL)[2]SICARIO(GT): puede elegir estilos de pelea , vesttirse, habilidad con armas
[2021:02:04-17:55:14]  (Phone:SMS) -> From JuanFrancisco | To: HackermanStark>TZ< | Message: DONDE ESTAS
[2021:02:04-17:55:15]  (Global) -> #7F7F7F|ADM|#FF0000Francine98|bonker|AUC: Mnrpatecumbias'GT /bind telca chatbox gc
[2021:02:04-17:55:19]  (Local) -> (LOCAL)[2]Poison2cb: ñro no le digo q yo termine el mio
[2021:02:04-17:55:19]  (Local) -> (LOCAL)[2]Jolyne|2cb: pa volar sirve
[2021:02:04-17:55:20]  (Local) -> (LOCAL)[2]Flaco|2cb: ese Rustler
[2021:02:04-17:55:20]  (Global) -> Mnrpatecumbias'GT: ya
[2021:02:04-17:55:20]  (Global) -> #7F7F7F|ADM|#FF0000Francine98|bonker|AUC: tecla
[2021:02:04-17:55:23]  (Local) -> (LOCAL)[2]SICARIO(GT): repar los carros
[2021:02:04-17:55:24]  (Global) -> YEFER: AYUDAAAAAA
[2021:02:04-17:55:24]  (Local) -> (LOCAL)[2]Poison2cb: y me mando pal suyo
[2021:02:04-17:55:25]  (Global) -> Mnrpatecumbias'GT: gracias fransin
[2021:02:04-17:55:32]  (Global) -> {GR}Santiago: pabl0escobar[MP] 
[2021:02:04-17:55:33]  (Local) -> (LOCAL)[3]Flaco|2cb: lo venden por cuanto ?
[2021:02:04-17:55:33]  (Local) -> (LOCAL)[1]El_Chopo(CM): no responde
[2021:02:04-17:55:36]  (Global) -> IamJuancho|Ak|: que pasooooo
[2021:02:04-17:55:37]  (Local) -> (LOCAL)[2]Speartick: euu
[2021:02:04-17:55:37]  (Global) -> CANNABISATIVO: como no puedo trepoar
[2021:02:04-17:55:40]  (Local) -> (LOCAL)[2]Jesus'2cb: ñro
[2021:02:04-17:55:41]  (Local) -> (LOCAL)[2]Jolyne|2cb: lo consegui en 15
[2021:02:04-17:55:42]  (Local) -> (LOCAL)[2]Poison2cb: si pilla
[2021:02:04-17:55:42]  (Local) -> (LOCAL)[2]Jesus'2cb: sea serio
[2021:02:04-17:55:42]  (Global) -> Gonzalo-gaviria[CM]: caza putas nada eso no da no entiendo por que no me da
[2021:02:04-17:55:43]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: patron era briahn
[2021:02:04-17:55:44]  (Local) -> (LOCAL)[2]CANNABISATIVO: trepar si no soy vip
[2021:02:04-17:55:44]  (Local) -> (LOCAL)[2]Jesus'2cb: quitese
[2021:02:04-17:55:46]  (Local) -> (LOCAL)[2]Jolyne|2cb: pero vale 25 en la tienda
[2021:02:04-17:55:47]  (Local) -> (LOCAL)[2]Poison2cb: me deja al lado
[2021:02:04-17:55:48]  (Global) -> (SANTIAGO)(Z): una que
[2021:02:04-17:55:51]  (Local) -> (LOCAL)[2]Jesus'2cb: QUITESE HP
[2021:02:04-17:55:52]  (Local) -> (LOCAL)[2]Poison2cb: me mando pa aca
[2021:02:04-17:55:52]  (Global) -> CANNABISATIVO:  oobvioo
[2021:02:04-17:55:53]  (Global) -> #7F7F7F|ADM|#FF0000_!Catre|2AucB: Gonzalo-gaviria[CM] que sucede
[2021:02:04-17:55:54]  (Local) -> (LOCAL)[2]Flaco|2cb: ah
[2021:02:04-17:55:54]  (Local) -> (LOCAL)[1]Samantha~2Aucb: ai
[2021:02:04-17:55:54]  (Local) -> (LOCAL)[2]LocaJijijij: garcias :3
[2021:02:04-17:55:56]  (Local) -> (LOCAL)[8]enmanuel(AK): patron cuando pa presidente?
[2021:02:04-17:55:57]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: pobrepelao lo pelaron}
[2021:02:04-17:56:01]  (Local) -> (LOCAL)[2]CANNABISATIVO: si se puede
[2021:02:04-17:56:01]  (Local) -> (LOCAL)[2]SICARIO(GT): oere
[2021:02:04-17:56:02]  (Local) -> (LOCAL)[1]Samantha~2Aucb: a
[2021:02:04-17:56:04]  (Global) -> Gonzalo-gaviria[CM]: venga yo te explico
[2021:02:04-17:56:06]  (Local) -> (LOCAL)[2]CANNABISATIVO: el loco me enseño
[2021:02:04-17:56:07]  (Global) -> #7F7F7F|ADM|#FF0000_!Catre|2AucB: ya voy
[2021:02:04-17:56:10]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Francine98|bonker|AUC: hey ese man quiere que lo metan a una gang
[2021:02:04-17:56:13]  (Local) -> (LOCAL)[2]SICARIO(GT): cuanto,lleva jugando
[2021:02:04-17:56:19]  (Local) -> (LOCAL)[7]|don|jimenez|AK|: era briam
[2021:02:04-17:56:20]  (Global) -> CANNABISATIVO: 4 dias 
[2021:02:04-17:56:24]  (Local) -> (LOCAL)[2]Speartick: yo llevo unos 3 mesese
[2021:02:04-17:56:26]  (Global) -> Mnrpatecumbias'GT: SAPAhpta
[2021:02:04-17:56:27]  (Global) -> #7F7F7F|LG|#FF5C00SubditoDeSatanas|~GT: amigo eJdexx|2cb te desbugueaste?
[2021:02:04-17:56:30]  (Local) -> (LOCAL)[7]|don|jimenez|AK|: si
[2021:02:04-17:56:31]  (Local) -> (LOCAL)[3]Mnrpatecumbias'GT: oe
[2021:02:04-17:56:31]  (Global) -> Skertchet2cb: weed
[2021:02:04-17:56:34]  (Local) -> (LOCAL)[3]SAPAhpta: oe
[2021:02:04-17:56:34]  (Local) -> (LOCAL)[3]Mnrpatecumbias'GT: ya lo invito
[2021:02:04-17:56:37]  (Team - Unemployed) -> (TEAM)SAPAhpta: r
[2021:02:04-17:56:39]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: es q piensa q es de sudbdito
[2021:02:04-17:56:42]  (Global) -> CANNABISATIVO:  es q aprendo rapido por la bareta
[2021:02:04-17:56:43]  (Local) -> (LOCAL)[2]SICARIO(GT): chimba
[2021:02:04-17:56:43]  (Local) -> (LOCAL)[6]Skertchet2cb: miau
[2021:02:04-17:56:44]  (Local) -> (LOCAL)[6]Miccaty: ??
[2021:02:04-17:56:44]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: por eso bienen
[2021:02:04-17:56:46]  (Local) -> (LOCAL)[2]LocaJijijij: diosmio
[2021:02:04-17:56:47]  (Local) -> (LOCAL)[2]Speartick: xD
[2021:02:04-17:56:47]  (Local) -> (LOCAL)[2]Flaco|2cb: ey
[2021:02:04-17:56:51]  (Local) -> (LOCAL)[8]Bellaqueohpta: patron
[2021:02:04-17:56:52]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: pero es suyo
[2021:02:04-17:56:53]  (Local) -> (LOCAL)[2]Strange|2cb: agh
[2021:02:04-17:56:53]  (Local) -> (LOCAL)[8]javierRD|AK|: pablo
[2021:02:04-17:56:54]  (Local) -> (LOCAL)[2]Flaco|2cb: hp perdon
[2021:02:04-17:56:54]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: si sabe aceptarla ,no?
[2021:02:04-17:56:54]  (Local) -> (LOCAL)[2]LocaJijijij: esq el mkon de mini estaba vendiendo una rancher
[2021:02:04-17:56:58]  (Local) -> (LOCAL)[2]Strange|2cb: eso si me da rabia
[2021:02:04-17:56:58]  (Global) -> CANNABISATIVO:  vamos a matar
[2021:02:04-17:56:59]  (Local) -> (LOCAL)[3]SAPAhpta: como
[2021:02:04-17:57:00]  (Local) -> (LOCAL)[1]Skertchet2cb: Hola BB
[2021:02:04-17:57:00]  (Local) -> (LOCAL)[2]SICARIO(GT): jjaja
[2021:02:04-17:57:00]  (Local) -> (LOCAL)[2]CANNABISATIVO: tombos
[2021:02:04-17:57:01]  (Local) -> (LOCAL)[2]LocaJijijij: me lo robo
[2021:02:04-17:57:02]  (Local) -> (LOCAL)[1]Skertchet2cb: como vas
[2021:02:04-17:57:06]  (Local) -> (LOCAL)[8]javierRD|AK|: voy a comprar arma
[2021:02:04-17:57:07]  (Local) -> (LOCAL)[2]CANNABISATIVO: por to una ak47
[2021:02:04-17:57:07]  (Local) -> (LOCAL)[3]Mnrpatecumbias'GT: con f2
[2021:02:04-17:57:08]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: vamos si usted quiere vamos resolver con sudbdito
[2021:02:04-17:57:10]  (Local) -> (LOCAL)[2]Speartick: como hizo lo de los altavoces
[2021:02:04-17:57:13]  (Local) -> (LOCAL)[4]Samantha~2Aucb: agh
[2021:02:04-17:57:15]  (Local) -> (LOCAL)[2]Speartick: eso si no sé xD
[2021:02:04-17:57:16]  (Local) -> (LOCAL)[2]Flaco|2cb: como asi ?
[2021:02:04-17:57:16]  (Global) -> CANNABISATIVO:  /sound
[2021:02:04-17:57:17]  (Local) -> (LOCAL)[8]|don|jimenez|AK|: si patron
[2021:02:04-17:57:21]  (Local) -> (LOCAL)[8]Bellaqueohpta: patron se acabo de conectar el q se hace pasar por ud
[2021:02:04-17:57:22]  (Local) -> (LOCAL)[1]Jesus'2cb: ñro me va a dejar o no
[2021:02:04-17:57:24]  (Local) -> (LOCAL)[2]Speartick: a pos
[2021:02:04-17:57:25]  (Local) -> (LOCAL)[2]SICARIO(GT): sisas pero me matan a mi primero jaja
[2021:02:04-17:57:27]  (Local) -> (LOCAL)[8]enmanuel(AK): yo ire por vida señor pablo
[2021:02:04-17:57:27]  (Local) -> (LOCAL)[6]SAPAhpta: no llega
[2021:02:04-17:57:28]  (Local) -> (LOCAL)[1]Poison2cb: vea q estoy a 2
[2021:02:04-17:57:30]  (Local) -> (LOCAL)[3]LocaJijijij: ey q ht mas facil de manejar
[2021:02:04-17:57:32]  (Phone:SMS) -> From {GR}Santiago | To: pabl0escobar | Message: buenas caballero Pablo Escobar
[2021:02:04-17:57:32]  (Local) -> (LOCAL)[7]Bellaqueohpta: patron se acabo de conectar el q se hace pasar por ud
[2021:02:04-17:57:33]  (Local) -> (LOCAL)[7]|don|jimenez|AK|: la jente piensa q es de sudbditodesatana
[2021:02:04-17:57:34]  (Local) -> (LOCAL)[4]LocaJijijij: no se voltea tanto
[2021:02:04-17:57:34]  (Local) -> (LOCAL)[2]CANNABISATIVO: cuanto lleva ud sicario
[2021:02:04-17:57:35]  (Local) -> (LOCAL)[6]Mnrpatecumbias'GT: espere que no la han mandado
[2021:02:04-17:57:35]  (Local) -> (LOCAL)[2]SICARIO(GT): vamos
[2021:02:04-17:57:36]  (Local) -> (LOCAL)[2]Speartick: voy a trabajar de piloto
[2021:02:04-17:57:36]  (Local) -> (LOCAL)[4]Strange|2cb: si
[2021:02:04-17:57:36]  (Local) -> (LOCAL)[6]Mnrpatecumbias'GT: jjjjjjajj
[2021:02:04-17:57:39]  (Local) -> (LOCAL)[2]Speartick: vemos
[2021:02:04-17:57:41]  (Local) -> (LOCAL)[1]Jesus'2cb: pero dejeme yo hago mi coso primero
[2021:02:04-17:57:41]  (Local) -> (LOCAL)[2]Strange|2cb: por las llantas
[2021:02:04-17:57:41]  (Local) -> (LOCAL)[4]SAPAhpta: avisa
[2021:02:04-17:57:41]  (Local) -> (LOCAL)[7]|don|jimenez|AK|: el q era ak
[2021:02:04-17:57:42]  (Local) -> (LOCAL)[7]Elvis_Ajoso: oe pa
[2021:02:04-17:57:44]  (Local) -> (LOCAL)[1]Jesus'2cb: luego haga ud el suyo
[2021:02:04-17:57:47]  (Local) -> (LOCAL)[2]CANNABISATIVO: bro
[2021:02:04-17:57:47]  (Local) -> (LOCAL)[2]Strange|2cb: y la altura q le puse
[2021:02:04-17:57:48]  (Phone:SMS) -> From {GR}Santiago | To: pabl0escobar | Message: me gustaria hablar con ud de negocios
[2021:02:04-17:57:50]  (Global) -> Mnrpatecumbias'GT: oreo
[2021:02:04-17:57:50]  (Local) -> (LOCAL)[5]|don|jimenez|AK|: pero se volvio gt
[2021:02:04-17:57:51]  (Local) -> (LOCAL)[1]Elvis_Ajoso: que vamos s a hacer?
[2021:02:04-17:57:54]  (Local) -> (LOCAL)[1]Elvis_Ajoso: cura?
[2021:02:04-17:57:54]  (Local) -> (LOCAL)[2]SICARIO(GT): 4 dias de acumulado
[2021:02:04-17:57:56]  (Global) -> #7F7F7F|ADM|#FF5C00Cazaputas42: auc a turfear
[2021:02:04-17:57:57]  (Global) -> Skertchet2cb: hey bb
[2021:02:04-17:57:57]  (Local) -> (LOCAL)[2]CANNABISATIVO: q le vaya bien luego nos pillamos en el camello
[2021:02:04-17:57:58]  (Local) -> (LOCAL)[1]IamJuancho|Ak|: HAGALE
[2021:02:04-17:57:59]  (Local) -> (LOCAL)[1]enmanuel(AK): al hospital pa
[2021:02:04-17:58:00]  (Local) -> (LOCAL)[5]Bellaqueohpta: si sr
[2021:02:04-17:58:02]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: como aparece en DC?
[2021:02:04-17:58:02]  (Local) -> (LOCAL)[5]|don|jimenez|AK|: no me acuerdo pere miro
[2021:02:04-17:58:04]  (Global) -> (SANTIAGO)(Z): si señor
[2021:02:04-17:58:04]  (Local) -> (LOCAL)[2]Speartick: valee
[2021:02:04-17:58:06]  (Local) -> (LOCAL)[1]Elvis_Ajoso: ojo por si cabo sigue
[2021:02:04-17:58:08]  (Local) -> (LOCAL)[2]Speartick: bendiciones
[2021:02:04-17:58:10]  (Local) -> (LOCAL)[2]Mnrpatecumbias'GT: para meterlo al dc
[2021:02:04-17:58:11]  (Local) -> (LOCAL)[2]CANNABISATIVO: bro con /sound
[2021:02:04-17:58:12]  (Local) -> (LOCAL)[2]SAPAhpta: es ajuro discord?
[2021:02:04-17:58:13]  (Local) -> (LOCAL)[1]Elvis_Ajoso: necesito armas eso si
[2021:02:04-17:58:20]  (Local) -> (LOCAL)[5]Bellaqueohpta: yo vi con mis propìos ojos patron
[2021:02:04-17:58:21]  (Local) -> (LOCAL)[1]CANNABISATIVO: a si bro yo tambien
[2021:02:04-17:58:22]  (Local) -> (LOCAL)[3]Mnrpatecumbias'GT: es que?
[2021:02:04-17:58:23]  (Local) -> (LOCAL)[1]DonBazuco(D.D.P): SAPA PTA
[2021:02:04-17:58:24]  (Team - Unemployed) -> (TEAM)Speartick: voy a probar
[2021:02:04-17:58:25]  ([Msg] de SubditoDeSatanas|~GT para Cazaputas42: mora pedia que si podian activarle los touges) -> nil
[2021:02:04-17:58:26]  (Local) -> (LOCAL)[2]CANNABISATIVO: 5 dias
[2021:02:04-17:58:26]  (Local) -> (LOCAL)[1]enmanuel(AK): tiene dinero?
[2021:02:04-17:58:27]  (Local) -> (LOCAL)[2]SICARIO(GT): chimba
[2021:02:04-17:58:31]  (Local) -> (LOCAL)[1]Elvis_Ajoso: 300k
[2021:02:04-17:58:32]  (Local) -> (LOCAL)[3]SAPAhpta: es obligatirop
[2021:02:04-17:58:33]  (Local) -> (LOCAL)[1]CANNABISATIVO: y como a ganado plata
[2021:02:04-17:58:33]  (Phone:SMS) -> From {GR}Santiago | To: pabl0escobar | Message: donde nos podriamos encontrar para hablar sobre trabajo
[2021:02:04-17:58:36]  (Local) -> (LOCAL)[1]IamJuancho|Ak|: PERO SE DEMORA 10 AÑOS
[2021:02:04-17:58:42]  (Local) -> (LOCAL)[1]Mnrpatecumbias'GT: pues no , pero por ahi siempre habalamos
[2021:02:04-17:58:44]  (Local) -> (LOCAL)[1]Elvis_Ajoso: tenia 500k pero pirobo cabo me lo quito
[2021:02:04-17:58:44]  (Local) -> (LOCAL)[5]|don|jimenez|AK|: patron a quien localiso a sudbdito de satanas o a pablo_escobar[cm]
