This file was generated by Console at 2021:01:26-00:00:00



[2021:01:26-00:00:00]  (Local) -> (LOCAL)[1]SffOquez|6969.: x2
[2021:01:26-05:45:45]  (Local) -> (LOCAL)[7]pipo: JULIANNNN
[2021:01:26-05:45:45]  (Global) -> #7F7F7F|ADM||LG|#FF5C00tussy'2cb: Jjjjjjj
[2021:01:26-05:45:46]  (Global) -> JUANCHO: me toco en san fierro
[2021:01:26-05:45:49]  (Global) -> Andres~|GT: JJJJJJJJJ
[2021:01:26-05:45:49]  (Local) -> (LOCAL)[5]pipo: SOPY DE 2CB
[2021:01:26-05:45:51]  (Global) -> #7F7F7F|ADM|#FF0000_SEMDS_: con /anti-lag
[2021:01:26-05:45:52]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#00FFFFFUMARASA: me encane con tigo bb
[2021:01:26-05:45:54]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#00FF00Balaclava|GDT: q es eso de na favela mlc
[2021:01:26-05:45:55]  (Local) -> (LOCAL)[3]Almighty: RADIALLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL
[2021:01:26-05:45:56]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#00FF00Balaclava|GDT: xddddddd
[2021:01:26-05:46:01]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00tussy'2cb: favela es barrio
[2021:01:26-05:46:03]  (Local) -> (LOCAL)[1]MiloJclAKk: ok espere busco uno para san fierro
[2021:01:26-05:46:03]  (Local) -> (LOCAL)[7]pipo: OK VAMOS
[2021:01:26-05:46:04]  (Global) -> #7F7F7F|ADM|#00FFFFFUMARASA: lleveme ne carro
[2021:01:26-05:46:04]  (Local) -> (LOCAL)[7]2cb'Julian'XX: ya te suelto
[2021:01:26-05:46:08]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#00FFFFFUMARASA: le presto mi buseta
[2021:01:26-05:46:08]  (Local) -> (LOCAL)[7]pipo: NONO ENCANEME
[2021:01:26-05:46:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00tussy'2cb: Mlc ni idea
[2021:01:26-05:46:22]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#00FF00LopezPisosPicados: ey
[2021:01:26-05:46:23]  (Local) -> (LOCAL)[1][POPPER]2cb: eres nuevo
[2021:01:26-05:46:26]  (Global) -> #7F7F7F|ADM|#00FF00LopezPisosPicados: q haces chaval
[2021:01:26-05:46:30]  (Global) -> #7F7F7F|ADM|#00FF00Balaclava|GDT: es hora de bassjar
[2021:01:26-05:46:35]  (Local) -> (LOCAL)[1]THeMasteryix: uy joven
[2021:01:26-05:46:35]  (Global) -> #7F7F7F|ADM|#00FF00Balaclava|GDT: como si le tuviera rabia al karro
[2021:01:26-05:46:38]  (Global) -> JefeRs|GT|: grx
[2021:01:26-05:46:39]  (Global) -> $Aragan$*[2cb]: Andres~|GT cierto?
[2021:01:26-05:46:39]  (Global) -> Andres~|GT: XD
[2021:01:26-05:46:39]  (Local) -> (LOCAL)[2][POPPER]2cb: perro
[2021:01:26-05:46:39]  (Global) -> #7F7F7F|ADM|#00FFFFFUMARASA: quede bug
[2021:01:26-05:46:41]  (Global) -> Carlos_xxD: xd
[2021:01:26-05:46:41]  (Local) -> (LOCAL)[2]|Chaman|2cb: sajsjas
[2021:01:26-05:46:42]  (Global) -> Andres~|GT: claro
[2021:01:26-05:46:42]  (Global) -> #7F7F7F|ADM||LG|#FF5C00tussy'2cb: owo
[2021:01:26-05:46:43]  (Local) -> (LOCAL)[5]alonso_lago: tombo
[2021:01:26-05:46:44]  (Local) -> (LOCAL)[2][POPPER]2cb: comom lo suelto
[2021:01:26-05:46:54]  (Local) -> (LOCAL)[2]|Chaman|2cb: dele /release abort
[2021:01:26-05:46:55]  (Local) -> (LOCAL)[3]Almighty: joda
[2021:01:26-05:47:01]  (Local) -> (LOCAL)[1]$Aragan$*[2cb]: por bobo hpta
[2021:01:26-05:47:01]  (Local) -> (LOCAL)[1]MiloJclAKk: vamos
[2021:01:26-05:47:02]  (Global) -> Andres~|GT: mucho gusto $Aragan$*[2cb][1]
[2021:01:26-05:47:02]  (Local) -> (LOCAL)[2]Pablo~|GT: atentado
[2021:01:26-05:47:03]  (Local) -> (LOCAL)[3]2cb'Julian'XX: os quieriooo
[2021:01:26-05:47:06]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: q hta curva
[2021:01:26-05:47:08]  (Local) -> (LOCAL)[2]Pablo~|GT: nooooooo
[2021:01:26-05:47:08]  (Global) -> THeMasteryix: perdonen la pregunta-... como ce que ruta me toco?
[2021:01:26-05:47:14]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Catre|2cb: pvp o que manco
[2021:01:26-05:47:16]  (Local) -> (LOCAL)[1]alonso_lago: venga oa curarlo
[2021:01:26-05:47:18]  (Local) -> (LOCAL)[6]soyklamonda: ey pasa tu dc
[2021:01:26-05:47:20]  (Global) -> Carlos_xxD: Xd
[2021:01:26-05:47:27]  (Local) -> (LOCAL)[2]Pablo~|GT: me va a tocar ir a misa
[2021:01:26-05:47:27]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: THeMasteryix cuando pasas por el punto rojo
[2021:01:26-05:47:27]  (Local) -> (LOCAL)[6]Almighty: UY QUE VOZ HERMOSA
[2021:01:26-05:47:30]  (Global) -> $Aragan$*[2cb]: Andres~|GT igualmente
[2021:01:26-05:47:31]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: te indica la ruta
[2021:01:26-05:47:32]  (Local) -> (LOCAL)[1][POPPER]2cb: no lo coja
[2021:01:26-05:47:33]  (Local) -> (LOCAL)[6]Almighty: QN ES
[2021:01:26-05:47:33]  (Local) -> (LOCAL)[0]Stivenv28[GT]: PARQUEADO SI SR
[2021:01:26-05:47:35]  (Local) -> (LOCAL)[1]|Chaman|2cb: rela
[2021:01:26-05:47:39]  (Local) -> (LOCAL)[6]pipo: YO
[2021:01:26-05:47:43]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: uy quieto
[2021:01:26-05:47:44]  (Local) -> (LOCAL)[6]Almighty: Fumarasa la amo
[2021:01:26-05:47:51]  (Local) -> (LOCAL)[1]AK_Sebastian_largote: oiga
[2021:01:26-05:47:52]  (Local) -> (LOCAL)[2]DrAGaN: ayuda
[2021:01:26-05:47:54]  (Global) -> THeMasteryix: vale gracias
[2021:01:26-05:47:54]  (Local) -> (LOCAL)[1]AK_Sebastian_largote: una pregunta
[2021:01:26-05:47:54]  (Global) -> TenseEscopetaPisadaAUC: hola ojos
[2021:01:26-05:47:55]  (Local) -> (LOCAL)[6]Almighty: tu eres feo
[2021:01:26-05:47:56]  (Local) -> (LOCAL)[1]$Aragan$*[2cb]: q pirobo tan canson
[2021:01:26-05:47:57]  (Local) -> (LOCAL)[1]Cristian21(AK): dimelo
[2021:01:26-05:47:58]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Catre|2cb: pvp o que manco
[2021:01:26-05:47:59]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: hola
[2021:01:26-05:48:03]  (Local) -> (LOCAL)[2]alonso_lago: hay coma mierda
[2021:01:26-05:48:04]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#00FF00LopezPisosPicados: q es tu groseria
[2021:01:26-05:48:05]  (Local) -> (LOCAL)[1]AK_Sebastian_largote: mi carro esta total mente destruido
[2021:01:26-05:48:05]  (Global) -> pipo: UY Q
[2021:01:26-05:48:09]  (Local) -> (LOCAL)[2]Pablo~|GT: uy ayer regalaron vips en auc antes de la gang war
[2021:01:26-05:48:12]  (Local) -> (LOCAL)[1]AK_Sebastian_largote: intento spawnearlo pero nada
[2021:01:26-05:48:16]  (Local) -> (LOCAL)[3]El_raya'2cb: yo?
[2021:01:26-05:48:20]  (Local) -> (LOCAL)[2]Cristian21(AK): el que tienes ahora?
[2021:01:26-05:48:20]  (Local) -> (LOCAL)[5]alonso_lago: no no
[2021:01:26-05:48:23]  (Local) -> (LOCAL)[4]DrAGaN: que quiere hp
[2021:01:26-05:48:24]  (Local) -> (LOCAL)[2]AK_Sebastian_largote: uno
[2021:01:26-05:48:26]  (Local) -> (LOCAL)[3]Almighty: uhey juancho cuanto te falntan?
[2021:01:26-05:48:27]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF8C00FUMARASA: shhh
[2021:01:26-05:48:28]  (Local) -> (LOCAL)[5]2cb'Julian'XX: estar contigo
[2021:01:26-05:48:29]  (Local) -> (LOCAL)[4]El_raya'2cb: eso es monda medico cv
[2021:01:26-05:48:33]  (Local) -> (LOCAL)[2]Cristian21(AK): ya intentaste con recover
[2021:01:26-05:48:36]  (Local) -> (LOCAL)[3]Almighty: RADIALLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL
[2021:01:26-05:48:37]  (Local) -> (LOCAL)[1]DrAGaN: que romantica
[2021:01:26-05:48:38]  (Local) -> (LOCAL)[2]AK_Sebastian_largote: uok
[2021:01:26-05:48:38]  (Global) -> MamaBurras420|LNC|: quien pa acariciarlo con el bolillo?
[2021:01:26-05:48:40]  (Local) -> (LOCAL)[4]alonso_lago: bueno abrace
[2021:01:26-05:48:41]  (Local) -> (LOCAL)[1]AK_Sebastian_largote: gracias
[2021:01:26-05:48:42]  (Local) -> (LOCAL)[3]Radial'2cb: DOMINIO?
[2021:01:26-05:48:42]  (Local) -> (LOCAL)[1]DrAGaN: pero no confio en tombos
[2021:01:26-05:48:43]  (Local) -> (LOCAL)[1]AK_Sebastian_largote: nospi
[2021:01:26-05:48:44]  (Local) -> (LOCAL)[1]Cristian21(AK): y el se repara un 30 porciento
[2021:01:26-05:48:45]  (Local) -> (LOCAL)[3]Almighty: shiiiiiiiiiiiii
[2021:01:26-05:48:49]  (Local) -> (LOCAL)[1]pipo: esto q es
[2021:01:26-05:48:50]  (Local) -> (LOCAL)[2]Radial'2cb: HOKLAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2021:01:26-05:48:55]  (Global) -> #7F7F7F|DJ|#FF0000Royal2cb: cacorro
[2021:01:26-05:48:56]  (Global) -> soyklamonda: 60 seg
[2021:01:26-05:48:57]  (Local) -> (LOCAL)[2]alonso_lago: tesuer es que te digo
[2021:01:26-05:49:02]  (Global) -> Almighty: te espero
[2021:01:26-05:49:12]  (Local) -> (LOCAL)[1]2cb'Julian'XX: no te are nada
[2021:01:26-05:49:19]  (Local) -> (LOCAL)[2]El_raya'2cb: ey que
[2021:01:26-05:49:19]  (Local) -> (LOCAL)[1]2cb'Julian'XX: en serio
[2021:01:26-05:49:20]  (Local) -> (LOCAL)[2]Pablo~|GT: nooooo como asi
[2021:01:26-05:49:26]  (Local) -> (LOCAL)[1]$Aragan$*[2cb]: q
[2021:01:26-05:49:32]  (Local) -> (LOCAL)[2]Pablo~|GT: ayer saque como 100 bajas sin vip
[2021:01:26-05:49:33]  (Local) -> (LOCAL)[1]El_raya'2cb: me disparas
[2021:01:26-05:49:37]  (Local) -> (LOCAL)[1]$Aragan$*[2cb]: se me fue el tiro
[2021:01:26-05:49:37]  (Local) -> (LOCAL)[1]alonso_lago: tombo
[2021:01:26-05:49:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Catre|2cb: a
[2021:01:26-05:49:40]  (Local) -> (LOCAL)[1]TenseEscopetaPisadaAUC: Bv
[2021:01:26-05:49:41]  (Global) -> Eusebio'2cb: yo
[2021:01:26-05:49:46]  (Local) -> (LOCAL)[2]Pablo~|GT: muchos tesos
[2021:01:26-05:49:49]  (Local) -> (LOCAL)[2]Andres~|GT: eyeeyeeyeey
[2021:01:26-05:49:52]  (Local) -> (LOCAL)[2]Pablo~|GT: vs todo el srv
[2021:01:26-05:49:52]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00tussy'2cb: 2cbMINI te gana
[2021:01:26-05:49:53]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: ey bala
[2021:01:26-05:49:54]  (Global) -> eJdexx|GT[Z|: guarachaa hass eventoo
[2021:01:26-05:49:55]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00tussy'2cb: ::V::v
[2021:01:26-05:49:55]  (Local) -> (LOCAL)[2]Andres~|GT: no me rayes la nave
[2021:01:26-05:49:56]  (Local) -> (LOCAL)[2]Andres~|GT: ;(
[2021:01:26-05:49:59]  (Local) -> (LOCAL)[2]Andres~|GT: eyeyeye
[2021:01:26-05:49:59]  (Local) -> (LOCAL)[3]$Aragan$*[2cb]: es q ando practicando
[2021:01:26-05:50:01]  (Local) -> (LOCAL)[2]THeMasteryix: buenas oficial
[2021:01:26-05:50:02]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: me tuneas mi elegy para driftear?
[2021:01:26-05:50:02]  (Local) -> (LOCAL)[2]Andres~|GT: diosmio
[2021:01:26-05:50:04]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#00FF00Balaclava|GDT: q
[2021:01:26-05:50:06]  (Global) -> #7F7F7F|ADM||LG|#FF5C00XhnGuaracha|Z: de q quieres evento amigo
[2021:01:26-05:50:08]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#00FF00Balaclava|GDT: los elegys no se tunean
[2021:01:26-05:50:09]  (Local) -> (LOCAL)[3]soyklamonda: comprame bareta
[2021:01:26-05:50:09]  (Global) -> #7F7F7F|ADM|#FF8C00FUMARASA: pimpo
[2021:01:26-05:50:11]  (Local) -> (LOCAL)[3]Andres~|GT: voy a allamar a la policia
[2021:01:26-05:50:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#00FF00Balaclava|GDT: el mio está normal
[2021:01:26-05:50:11]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: el mio no driftea
[2021:01:26-05:50:13]  (Global) -> eJdexx|GT[Z|: de lo que tuu quieras
[2021:01:26-05:50:14]  (Local) -> (LOCAL)[3]soyklamonda: lsd
[2021:01:26-05:50:15]  (Global) -> supreme: yu
[2021:01:26-05:50:15]  (Global) -> pipo: yo
[2021:01:26-05:50:16]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: el mio tiene mucho agarre
[2021:01:26-05:50:16]  (Local) -> (LOCAL)[3]Almighty: no como comprsr esda m onda
[2021:01:26-05:50:18]  (Local) -> (LOCAL)[3]Almighty: vamonos
[2021:01:26-05:50:19]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: af
[2021:01:26-05:50:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#00FF00Balaclava|GDT: ps sakelo
[2021:01:26-05:50:20]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF8C00FUMARASA: te quiero llevar a un lugar
[2021:01:26-05:50:22]  (Local) -> (LOCAL)[2]MamaBurras420|LNC|: YO SOY LA LEY
[2021:01:26-05:50:25]  (Local) -> (LOCAL)[2]Andres~|GT: NO SR
[2021:01:26-05:50:25]  (Local) -> (LOCAL)[3]pipo: a donde
[2021:01:26-05:50:27]  (Local) -> (LOCAL)[2]Andres~|GT: respet
[2021:01:26-05:50:30]  (Local) -> (LOCAL)[2]Andres~|GT: qn es ud
[2021:01:26-05:50:33]  (Local) -> (LOCAL)[4]El_raya'2cb: ye
[2021:01:26-05:50:34]  (Local) -> (LOCAL)[1]Andres~|GT: para pisarme mi nave
[2021:01:26-05:50:35]  (Global) -> Dukete: Un chance que?
[2021:01:26-05:50:35]  (Local) -> (LOCAL)[3]soyklamonda: te va a culiar
[2021:01:26-05:50:37]  (Local) -> (LOCAL)[3]Almighty: Hey saca la mula
[2021:01:26-05:50:38]  (Global) -> Asg18: Que pereza ese climae
[2021:01:26-05:50:41]  (Law) -> AbortiveDart84: bri
[2021:01:26-05:50:41]  (Law) -> (LAW)AbortiveDart84: #ffffffbri
[2021:01:26-05:50:41]  (Local) -> (LOCAL)[1]soyklamonda: joa si
[2021:01:26-05:50:41]  (Global) -> Andres~|GT: si
[2021:01:26-05:50:45]  (Global) -> Dukete: Uy
[2021:01:26-05:50:46]  (Local) -> (LOCAL)[1]soyklamonda: pa atropellarlos
[2021:01:26-05:50:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00tussy'2cb: q
[2021:01:26-05:50:48]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00FUMARASA: ajjaja
[2021:01:26-05:50:50]  (Global) -> Asg18: y
[2021:01:26-05:50:51]  (Global) -> pipo: jasjdjad
[2021:01:26-05:50:51]  (Local) -> (LOCAL)[1]Almighty: ajjjja
[2021:01:26-05:50:53]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF0000Royal2cb: ey
[2021:01:26-05:50:55]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF0000Royal2cb: xd
[2021:01:26-05:50:55]  (Local) -> (LOCAL)[2]Pablo~|GT: uy carrera o algo asi, es que de pvp los vips nos funan
[2021:01:26-05:50:58]  (Local) -> (LOCAL)[2]soyklamonda: a ecahrle gasolina
[2021:01:26-05:50:59]  (Local) -> (LOCAL)[1]2cb'Julian'XX: gallina haha
[2021:01:26-05:51:00]  (Local) -> (LOCAL)[1]DrAGaN: dejeme sano
[2021:01:26-05:51:06]  (Global) -> TenseEscopetaPisadaAUC: ojostristes
[2021:01:26-05:51:07]  (Local) -> (LOCAL)[2]MamaBurras420|LNC|: LO
[2021:01:26-05:51:07]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF0000Royal2cb: gracias
[2021:01:26-05:51:10]  (Global) -> supreme: ydtyd
[2021:01:26-05:51:12]  (Local) -> (LOCAL)[1]Almighty: Hey tu un dia ganas un concurso con esta mula ah?
[2021:01:26-05:51:16]  (Local) -> (LOCAL)[0]supreme: y
[2021:01:26-05:51:16]  (Global) -> Dukete: Mk la ambulanciaaaa
[2021:01:26-05:51:16]  (Local) -> (LOCAL)[2]Almighty: Ganaste*
[2021:01:26-05:51:19]  (Local) -> (LOCAL)[0]supreme: u
[2021:01:26-05:51:20]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: q
[2021:01:26-05:51:20]  (Local) -> (LOCAL)[1]Carlos_xxD: espera
[2021:01:26-05:51:21]  (Local) -> (LOCAL)[2]Pablo~|GT: de tractores si sr
[2021:01:26-05:51:23]  (Local) -> (LOCAL)[2]Pablo~|GT: JAJAJAJAJAJA
[2021:01:26-05:51:25]  (Local) -> (LOCAL)[1]soyklamonda: auf
[2021:01:26-05:51:30]  (Local) -> (LOCAL)[1]Almighty: ah?
[2021:01:26-05:51:33]  (Global) -> AK_Sebastian_largote: como doy recompensa por alguien?
[2021:01:26-05:51:34]  (Global) -> MamaBurras420|LNC|: Eusebio'2cb[2] evadiendo arrestos, ayer lo reporté por lo mismo
[2021:01:26-05:51:38]  (Local) -> (LOCAL)[2]soyklamonda: sias
[2021:01:26-05:51:39]  (Global) -> MamaBurras420|LNC|: jajajale toca
[2021:01:26-05:51:42]  (Local) -> (LOCAL)[7]alonso_lago: A QUIEN QUIERE MATAR?
[2021:01:26-05:51:46]  (Local) -> (LOCAL)[3]Almighty: Aro yo me acuerdo
[2021:01:26-05:51:47]  (Local) -> (LOCAL)[2]Pablo~|GT: Uno como ve eso?
[2021:01:26-05:51:49]  (Local) -> (LOCAL)[6]AK_Sebastian_largote: a un tal stiven
[2021:01:26-05:51:57]  (Global) -> Andres~|GT: XD
[2021:01:26-05:51:59]  (Local) -> (LOCAL)[6]alonso_lago: donde esta?
[2021:01:26-05:51:59]  (Global) -> #7F7F7F|DJ|#FF0000Royal2cb: f
[2021:01:26-05:51:59]  (Local) -> (LOCAL)[1]Almighty: Que te dieron?
[2021:01:26-05:52:02]  (Global) -> pipo: hey mi carro
[2021:01:26-05:52:07]  (Local) -> (LOCAL)[1]soyklamonda: 2 palos
[2021:01:26-05:52:08]  (Local) -> (LOCAL)[5]alonso_lago: vamos a casarlo yo lo ayudo
[2021:01:26-05:52:11]  (Local) -> (LOCAL)[7]AK_Sebastian_largote: hace un momento estaba en los custom de arruba
[2021:01:26-05:52:14]  (Local) -> (LOCAL)[2]Pablo~|GT: coooomo
[2021:01:26-05:52:16]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: agg pirobo
[2021:01:26-05:52:16]  (Global) -> #7F7F7F|ADM||LG|#FF5C00XhnGuaracha|Z: cooomo asi
[2021:01:26-05:52:18]  (Local) -> (LOCAL)[1]soyklamonda: apenas he ganao 3 eventos
[2021:01:26-05:52:18]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: no me queda plata xd
[2021:01:26-05:52:21]  (Global) -> 2cb-pericorosado: venndo cabbie, en un palo
[2021:01:26-05:52:22]  (Local) -> (LOCAL)[1]Carlos_xxD: alaverga
[2021:01:26-05:52:25]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Catre|2cb: vamos lopez
[2021:01:26-05:52:25]  (Local) -> (LOCAL)[8]MamaBurras420|LNC|: uy desde zona
[2021:01:26-05:52:26]  (Local) -> (LOCAL)[2]Almighty: Yo ese dia perdi jajaja
[2021:01:26-05:52:29]  (Local) -> (LOCAL)[8]Trabis: ajsasajsa
[2021:01:26-05:52:30]  (Global) -> #7F7F7F|ADM||LG|#FF5C00tussy'2cb:  7localizar Ojostristes
[2021:01:26-05:52:31]  (Local) -> (LOCAL)[5]$Aragan$*[2cb]: reportelo
[2021:01:26-05:52:32]  (Global) -> #7F7F7F|ADM||LG|#FF5C00tussy'2cb: #cc0099( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2021:01:26-05:52:33]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#00FF00LopezPisosPicados: a dionde
[2021:01:26-05:52:34]  (Global) -> 2cb-pericorosado: venndo cabbie, en un palo
[2021:01:26-05:52:36]  (Local) -> (LOCAL)[1]alonso_lago: le damos piso
[2021:01:26-05:52:37]  (Global) -> #7F7F7F|ADM|#FF0000KevinOcampo|GDT: JAJAJAJAJAJAJAJAJJAAJJAJAAJAJAJAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJA AY OMBE Q FELICIDAD!
[2021:01:26-05:52:40]  (Global) -> Chikkusaaaa: vamos al banco
[2021:01:26-05:52:41]  (Local) -> (LOCAL)[6]MamaBurras420|LNC|: no tomé cap
[2021:01:26-05:52:41]  (Local) -> (LOCAL)[2]soyklamonda: ese mk esta grave de interne
[2021:01:26-05:52:42]  (Global) -> Dukete: Como me curo?
[2021:01:26-05:52:52]  (Local) -> (LOCAL)[2]Almighty: Muy mal
[2021:01:26-05:52:54]  (Global) -> Chikkusaaaa: pa guardar lo que tenemos
[2021:01:26-05:53:00]  (Local) -> (LOCAL)[1]MiloJclAKk: no
[2021:01:26-05:53:01]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00FUMARASA: Q
[2021:01:26-05:53:03]  (Global) -> #7F7F7F|ADM||LG|#FF5C00tussy'2cb: Dukete tiene que comprar vendas en el hospital y con f6 las usa
[2021:01:26-05:53:03]  (Local) -> (LOCAL)[1]RubenSk8[C.D.P]: Men por que me matan ;(
[2021:01:26-05:53:07]  (Local) -> (LOCAL)[3]soyklamonda: alonso lago de riohacha
[2021:01:26-05:53:09]  (Local) -> (LOCAL)[3]soyklamonda: ?
[2021:01:26-05:53:10]  (Global) -> JUANCHO: q
[2021:01:26-05:53:11]  (Local) -> (LOCAL)[3]AK_Sebastian_largote: no
[2021:01:26-05:53:12]  (Local) -> (LOCAL)[3]soyklamonda: perro hpta
[2021:01:26-05:53:13]  (Local) -> (LOCAL)[3]AK_Sebastian_largote: no es el
[2021:01:26-05:53:15]  (Local) -> (LOCAL)[1]MiloJclAKk: sigame
[2021:01:26-05:53:15]  (Local) -> (LOCAL)[3]alonso_lago: szs
[2021:01:26-05:53:16]  (Local) -> (LOCAL)[2]Pablo~|GT: casi
[2021:01:26-05:53:17]  (Global) -> Andres~|GT:  (LOCAL)[3]Python'2cb: hijo mio
[2021:01:26-05:53:22]  (Global) -> AggressiveTiger19: carlos
[2021:01:26-05:53:24]  (Global) -> pipo: agg
[2021:01:26-05:53:24]  (Global) -> Dukete: Por gonorrea
[2021:01:26-05:53:25]  (Global) -> JUANCHO: pasemos
[2021:01:26-05:53:29]  (Local) -> (LOCAL)[5]Trabis: JAJAJAJAJA
[2021:01:26-05:53:30]  (Local) -> (LOCAL)[3]soyklamonda: hijo m,io
[2021:01:26-05:53:35]  (Local) -> (LOCAL)[2]Pablo~|GT: a donde vamos?
[2021:01:26-05:53:35]  (Local) -> (LOCAL)[4]soyklamonda: soy peregil
[2021:01:26-05:53:37]  (Local) -> (LOCAL)[4]alonso_lago: ajajajaja
[2021:01:26-05:53:45]  (Local) -> (LOCAL)[1]Almighty: Quien es ese cv?
[2021:01:26-05:53:49]  (Local) -> (LOCAL)[2]AK_Sebastian_largote: n "stivenv28"
[2021:01:26-05:53:50]  (Local) -> (LOCAL)[3]soyklamonda: un valecita ahi
[2021:01:26-05:53:54]  (Local) -> (LOCAL)[1]Almighty: Yas
[2021:01:26-05:54:02]  (Global) -> DrAGaN: tan bobito
[2021:01:26-05:54:05]  (Global) -> pipo: aaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:01:26-05:54:05]  (Local) -> (LOCAL)[3]AK_Sebastian_largote: como oofrezco recompensa por el
[2021:01:26-05:54:12]  (Local) -> (LOCAL)[3]alonso_lago: no se men
[2021:01:26-05:54:13]  (Global) -> Almighty: hey admin
[2021:01:26-05:54:17]  (Local) -> (LOCAL)[3]AK_Sebastian_largote: ok
[2021:01:26-05:54:18]  (Global) -> #7F7F7F|ADM|#00FF00LopezPisosPicados: dime
[2021:01:26-05:54:23]  (Local) -> (LOCAL)[3]alonso_lago: te puedo ayudar dnadole bala si lo vemos
[2021:01:26-05:54:25]  (Global) -> AK_Sebastian_largote: IMBOCO A UN ADMIN
[2021:01:26-05:54:26]  ([Msg] de Pablo~|GT para XhnGuaracha|Z: Ebiseu west) -> nil
[2021:01:26-05:54:27]  (Local) -> (LOCAL)[3]alonso_lago: pero no se nose
[2021:01:26-05:54:28]  (Local) -> (LOCAL)[1]THeMasteryix: pida taxi xd
[2021:01:26-05:54:29]  (Local) -> (LOCAL)[1]Stivenv28[GT]: oe le pago
[2021:01:26-05:54:31]  (Global) -> Chikkusaaaa: donde es el banco niño?
[2021:01:26-05:54:36]  (Local) -> (LOCAL)[1]Almighty: saca la cuenta de cuantos tombos matamos
[2021:01:26-05:54:38]  (Global) -> #7F7F7F|ADM||CelachoComeTrabucos|#FF0000Ojostristes: como asi q se andan sapiando mi locacion xdd
[2021:01:26-05:54:39]  (Local) -> (LOCAL)[1]2cb-pericorosado: cuanto
[2021:01:26-05:54:41]  (Local) -> (LOCAL)[1]Pablo~|GT: arriba de lv
[2021:01:26-05:54:41]  (Local) -> (LOCAL)[1]Almighty: Pa darte alguito
[2021:01:26-05:54:43]  (Local) -> (LOCAL)[1]soyklamonda: r
[2021:01:26-05:54:44]  (Local) -> (LOCAL)[2]Stivenv28[GT]: 50k
[2021:01:26-05:54:48]  (Local) -> (LOCAL)[1]Almighty: Porque a mi medan mas que a ti
