This file was generated by Console at 2020:12:18-00:00:04



[2020:12:18-00:00:04]  (Local) -> (LOCAL)[11]COMANDANTEEE: bn
[2020:12:18-17:30:33]  (Team - Law Enforcement) -> (TEAM)Patron_WK: los lleva a comisaria
[2020:12:18-17:30:35]  (Global) -> santyvasquez10: como bailo bro
[2020:12:18-17:30:38]  (Global) -> 0TostadoraGamer0: pero en k parte
[2020:12:18-17:30:39]  (Local) -> (LOCAL)[4]2cbcapojuan: no tengo xd
[2020:12:18-17:30:39]  (Local) -> (LOCAL)[2]RoyalCerveza: a
[2020:12:18-17:30:42]  (Local) -> (LOCAL)[1]Negan: con k
[2020:12:18-17:30:43]  (Global) -> 0TostadoraGamer0: salga.
[2020:12:18-17:30:43]  (Global) -> Sanrub20: maricon
[2020:12:18-17:30:44]  (Team - Law Enforcement) -> (TEAM)Patron_WK: sotano
[2020:12:18-17:30:44]  (Global) -> 0TostadoraGamer0: salga !
[2020:12:18-17:30:47]  (Global) -> 0TostadoraGamer0: salga.
[2020:12:18-17:30:49]  (Team - Law Enforcement) -> (TEAM)Patron_WK: los lleva abajo
[2020:12:18-17:30:51]  (Global) -> Sanrub20: salga
[2020:12:18-17:30:55]  (Global) -> [ak]jimenez: perico
[2020:12:18-17:30:57]  (Global) -> Negan: lleguen fiesta en la playa
[2020:12:18-17:30:58]  (Global) -> santyvasquez10: coloque hoy de jamby el favo 
[2020:12:18-17:31:01]  (Global) -> Sanrub20: nena
[2020:12:18-17:31:04]  (Global) -> 0TostadoraGamer0: salga.
[2020:12:18-17:31:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KhausuAguardiente: Kevin
[2020:12:18-17:31:06]  (Global) -> Sanrub20: salga jajajaja
[2020:12:18-17:31:08]  (Global) -> KEVLIEX: tostador lo voy a matar
[2020:12:18-17:31:08]  (Local) -> (LOCAL)[1]Negan: es la radio
[2020:12:18-17:31:10]  (Global) -> 0TostadoraGamer0: y nos vamos pa UPJ.
[2020:12:18-17:31:12]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KevinOcampo: q
[2020:12:18-17:31:12]  (Global) -> santyvasquez10: a ya
[2020:12:18-17:31:12]  (Global) -> Sanrub20: un pvp
[2020:12:18-17:31:14]  (Local) -> (LOCAL)[2]Patron_WK: eso es ilegal
[2020:12:18-17:31:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KhausuAguardiente: me vendes tu hotnife
[2020:12:18-17:31:17]  (Global) -> Patron_WK: ADMIN
[2020:12:18-17:31:18]  (Global) -> 0TostadoraGamer0: caiga papiç
[2020:12:18-17:31:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KevinOcampo: kuanto
[2020:12:18-17:31:21]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Señor
[2020:12:18-17:31:23]  (Global) -> 0TostadoraGamer0: aca no hay miedo de nada.
[2020:12:18-17:31:26]  (Global) -> |CAPU|Gualdronsito|: JUan
[2020:12:18-17:31:26]  (Global) -> Sanrub20: esta cagao
[2020:12:18-17:31:27]  (Global) -> Patron_WK: PUEDE HACER YP
[2020:12:18-17:31:29]  (Global) -> 0TostadoraGamer0: solo yo y jezukristo.
[2020:12:18-17:31:29]  (Global) -> Patron_WK: TP
[2020:12:18-17:31:31]  (Global) -> Patron_WK: PORFA
[2020:12:18-17:31:31]  (Global) -> -![Z]:_JUAN: |CAPU|Gualdronsito|[2]
[2020:12:18-17:31:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KhausuAguardiente: Te doy esta camioneta
[2020:12:18-17:31:33]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Para que
[2020:12:18-17:31:34]  (Local) -> (LOCAL)[1]|CAPU|Gualdronsito|: ya entre
[2020:12:18-17:31:35]  (Global) -> 0TostadoraGamer0: salga comemierdita.
[2020:12:18-17:31:36]  (Global) -> Sanrub20: andaaaaaaaaa
[2020:12:18-17:31:36]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: ?
[2020:12:18-17:31:37]  (Local) -> (LOCAL)[1]|CAPU|Gualdronsito|: pero no me escuchan
[2020:12:18-17:31:38]  (Global) -> Patron_WK: ESTAN ABUSANDO
[2020:12:18-17:31:39]  (Global) -> KEVLIEX: MANCO HP ESE TOSTADOR JAJA
[2020:12:18-17:31:40]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: que pasó
[2020:12:18-17:31:41]  (Local) -> (LOCAL)[1]|CAPU|Gualdronsito|: en discord :c
[2020:12:18-17:31:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KevinOcampo: yavengo
[2020:12:18-17:31:51]  (Global) -> Patron_WK: ME SACAN CON CARRO ESTANDO EN MODO PASIVO Y ME MATAN
[2020:12:18-17:31:51]  (Global) -> [ak]jimenez: marlonn
[2020:12:18-17:31:58]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00KevinOcampo: quien
[2020:12:18-17:31:58]  (Global) -> Sanrub20: anda
[2020:12:18-17:32:00]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: REFUERZOS EN AMMU NATION
[2020:12:18-17:32:00]  (Global) -> 2cb.tayson: fracine 
[2020:12:18-17:32:01]  (Global) -> Patron_WK: ESTOS HPS
[2020:12:18-17:32:02]  (Local) -> (LOCAL)[2]2cb.tayson: na pregutna
[2020:12:18-17:32:03]  (Global) -> Sanrub20: salga
[2020:12:18-17:32:05]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: habla
[2020:12:18-17:32:06]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: TODAS LAS UNIDADES PARA AMMU NATION
[2020:12:18-17:32:09]  (Global) -> santyvasquez10: lleguen a la playa hay fiesta
[2020:12:18-17:32:11]  (Global) -> [ak]jimenez: francine
[2020:12:18-17:32:13]  (Global) -> Patron_WK: eso es ilegal
[2020:12:18-17:32:15]  (Global) -> 0TostadoraGamer0: slga prosotuta
[2020:12:18-17:32:17]  (Global) -> 0TostadoraGamer0: salga prostituta
[2020:12:18-17:32:20]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: habla
[2020:12:18-17:32:23]  (Local) -> (LOCAL)[2]2cb.tayson: como se llama el gorro que tieen puesto
[2020:12:18-17:32:27]  (Local) -> (LOCAL)[3]Patron_WK: cure
[2020:12:18-17:32:30]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Francine98: sombrero vueltiao
[2020:12:18-17:32:33]  (Global) -> [ak]jimenez: me puedes tp adonde marlon cajica
[2020:12:18-17:32:34]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00KevinOcampo: Nadie de aqui tiene mp
[2020:12:18-17:32:35]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00KevinOcampo: XD
[2020:12:18-17:32:35]  (Global) -> Sanrub20: es marica jejeje
[2020:12:18-17:32:38]  (Global) -> 0TostadoraGamer0: papeles
[2020:12:18-17:32:43]  (Local) -> (LOCAL)[6][Kp]~Diego~: f
[2020:12:18-17:32:45]  (Global) -> 0TostadoraGamer0: usted.
[2020:12:18-17:32:46]  (Global) -> Patron_WK: kevin hable con ellos
[2020:12:18-17:32:51]  (Global) -> Patron_WK: estan rompiendo las reglas
[2020:12:18-17:32:53]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Nadie tiene MP
[2020:12:18-17:32:55]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: XD
[2020:12:18-17:33:00]  (Local) -> (LOCAL)[8]2cbcapojuan: oe
[2020:12:18-17:33:03]  (Global) -> Patron_WK: todos tienen escopeta
[2020:12:18-17:33:08]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Y?
[2020:12:18-17:33:11]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: No es ilegal eso
[2020:12:18-17:33:13]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: XDD
[2020:12:18-17:33:15]  (Local) -> (LOCAL)[5]2cbcapojuan: oe
[2020:12:18-17:33:18]  (Global) -> Patron_WK: pues estan matando sacandome con carro
[2020:12:18-17:33:19]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00KevinOcampo: eo
[2020:12:18-17:33:26]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: No he visto
[2020:12:18-17:33:27]  (Global) -> |EVG|Soltec: XDDDDDDD
[2020:12:18-17:33:27]  (Global) -> Negan: lleguen todos a la playa estamos de fiesta
[2020:12:18-17:33:27]  (Global) -> Patron_WK: sacar con carro estando en modo pásivo si
[2020:12:18-17:33:28]  (Global) -> 2cb'pinina: ya se fue a dormir Gualdronsito >.<
[2020:12:18-17:33:29]  (Local) -> (LOCAL)[8]2cbcapojuan: vea
[2020:12:18-17:33:29]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: si tienes capturas
[2020:12:18-17:33:31]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: me ayudarias
[2020:12:18-17:33:31]  (Global) -> Sanrub20: marica de hackerç
[2020:12:18-17:33:39]  (Local) -> (LOCAL)[2]2cb.tayson: como me ven el con el gorrito
[2020:12:18-17:33:42]  (Global) -> Patron_WK: voy a ver si le grabo
[2020:12:18-17:33:46]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Va
[2020:12:18-17:33:47]  (Global) -> santyvasquez10: lleguen a la playa estamos en fiesta 
[2020:12:18-17:33:48]  (Global) -> Patron_WK: capturas pa que hp
[2020:12:18-17:33:50]  (Global) -> 0TostadoraGamer0: sisa mucho cheto maricon
[2020:12:18-17:33:55]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Está bien
[2020:12:18-17:34:07]  (Global) -> 0TostadoraGamer0: papeles
[2020:12:18-17:34:12]  (Global) -> [ak]jimenez: kevin
[2020:12:18-17:34:14]  (Global) -> Sanrub20: quule marica
[2020:12:18-17:34:17]  (Local) -> (LOCAL)[1]2cb'pinina: hoy haces stream?
[2020:12:18-17:34:21]  (Global) -> |EVG|Soltec: XD
[2020:12:18-17:34:24]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: q fue
[2020:12:18-17:34:26]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: en la noche xd
[2020:12:18-17:34:28]  (Global) -> santyvasquez10: lleguen a la playa estamos en fiesya
[2020:12:18-17:34:30]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: dale unlock
[2020:12:18-17:34:32]  (Global) -> [ak]jimenez: kevin
[2020:12:18-17:34:45]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: q paso
[2020:12:18-17:34:49]  (Local) -> (LOCAL)[2][Kp]~Diego~: ESTO PA Q SIRVE?
[2020:12:18-17:34:51]  (Global) -> 0TostadoraGamer0: voy pa la party en la play
[2020:12:18-17:34:54]  (Global) -> 0TostadoraGamer0: voy pa la party en la playa
[2020:12:18-17:34:58]  (Local) -> (LOCAL)[3][Kp]~[S]p^cem: hacer grafitis
[2020:12:18-17:34:59]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: vendes ese carro
[2020:12:18-17:35:03]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: kual
[2020:12:18-17:35:06]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: el huntley
[2020:12:18-17:35:09]  (Local) -> (LOCAL)[4]2cbcapojuan: oe
[2020:12:18-17:35:09]  (Local) -> (LOCAL)[4][Kp]~[S]p^cem: /graffiti
[2020:12:18-17:35:11]  (Local) -> (LOCAL)[1]2cb'pinina: ojalá hagan otro gangwar
[2020:12:18-17:35:13]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: este?
[2020:12:18-17:35:14]  (Global) -> 0TostadoraGamer0: kitateeee
[2020:12:18-17:35:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: si
[2020:12:18-17:35:17]  (Local) -> (LOCAL)[1]2cb'pinina: todos con vips
[2020:12:18-17:35:19]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: kuanto
[2020:12:18-17:35:21]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: meda
[2020:12:18-17:35:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: cuanto pide
[2020:12:18-17:35:23]  (Local) -> (LOCAL)[5]2cbcapojuan: usted me puede invitar asu gidg
[2020:12:18-17:35:25]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: s
[2020:12:18-17:35:29]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: aa no
[2020:12:18-17:35:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: verdad q solo tengo este
[2020:12:18-17:35:36]  (Global) -> TIROFIJO420: AD MIN
[2020:12:18-17:35:36]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: este es mi bebe
[2020:12:18-17:35:40]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Señor
[2020:12:18-17:35:43]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: y vendes el hotnife
[2020:12:18-17:35:44]  (Global) -> TIROFIJO420: POR FAVOR RECOJA VEHICULOS ADMIN TIENEN TAPONADA AMMU
[2020:12:18-17:35:48]  (Local) -> (LOCAL)[6]2cbcapojuan: oe
[2020:12:18-17:35:49]  (Global) -> TIROFIJO420: Con helicoptero vip
[2020:12:18-17:35:51]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: voy
[2020:12:18-17:35:51]  (Local) -> (LOCAL)[6][Kp]-[C]ogoying: quiere entrar
[2020:12:18-17:35:54]  (Global) -> 0TostadoraGamer0: en cual playa
[2020:12:18-17:35:55]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: no creo que lo hagan
[2020:12:18-17:35:55]  (Global) -> #7F7F7F|CVR|#FF5C00KhausuAguardiente: Explotelos
[2020:12:18-17:35:57]  (Global) -> 0TostadoraGamer0: es la party
[2020:12:18-17:36:00]  (Local) -> (LOCAL)[6]2cbcapojuan: quien me puede invitar asu gidg
[2020:12:18-17:36:00]  (Global) -> [ak]jimenez: en la de 
[2020:12:18-17:36:00]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: todos creen que tenemos ventaja
[2020:12:18-17:36:01]  (Local) -> (LOCAL)[6][Kp]~Diego~: :o
[2020:12:18-17:36:03]  (Global) -> #7F7F7F|CVR|#FF5C00KhausuAguardiente: Tirofijo explotelo
[2020:12:18-17:36:05]  (Global) -> #7F7F7F|CVR|#FF5C00KhausuAguardiente: y me avisa
[2020:12:18-17:36:08]  (Local) -> (LOCAL)[9][Kp]-[C]ogoying: requisito 4k de kills
[2020:12:18-17:36:09]  (Local) -> (LOCAL)[11][Kp]~Diego~: ya estas en 2cb
[2020:12:18-17:36:10]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Francine98: ouwcampo
[2020:12:18-17:36:11]  (Local) -> (LOCAL)[1]2cb'pinina: xq
[2020:12:18-17:36:14]  (Local) -> (LOCAL)[1]2cb'pinina: por número?
[2020:12:18-17:36:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Francine98: me vendes tu moto
[2020:12:18-17:36:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Francine98: 50 palos ya
[2020:12:18-17:36:21]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Hmm
[2020:12:18-17:36:24]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: por buenos players jajaja
[2020:12:18-17:36:25]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Como es q se kita ese
[2020:12:18-17:36:27]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00KevinOcampo: intenta dañarlo
[2020:12:18-17:36:28]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00KevinOcampo: porfa
[2020:12:18-17:36:37]  (Global) -> |2cb|La-Quica: pajero
[2020:12:18-17:36:37]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: dañao
[2020:12:18-17:36:38]  (Local) -> (LOCAL)[2]2cb'pinina: bno es que
[2020:12:18-17:36:39]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: xdd
[2020:12:18-17:36:40]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: AAAAAAAAAAAAYYYY me secuatraron
[2020:12:18-17:36:43]  (Local) -> (LOCAL)[3][Kp]~Diego~: xddd
[2020:12:18-17:36:44]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Listo
[2020:12:18-17:36:48]  (Local) -> (LOCAL)[3]|2cb|La-Quica: tGracias
[2020:12:18-17:36:50]  (Global) -> [ak]jimenez: kevin
[2020:12:18-17:36:53]  (Local) -> (LOCAL)[4][Kp]~Diego~: aaa
[2020:12:18-17:36:57]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Señor
[2020:12:18-17:37:06]  (Global) -> |2cb|La-Quica: admin
[2020:12:18-17:37:07]  (Global) -> [ak]jimenez: me puedes tp adonde marlon cajica
[2020:12:18-17:37:10]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Señor
[2020:12:18-17:37:13]  (Global) -> |2cb|La-Quica: 2 tombos disparando de zona
[2020:12:18-17:37:16]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: Kevin
[2020:12:18-17:37:18]  (Local) -> (LOCAL)[3]2cbcapojuan: oe
[2020:12:18-17:37:21]  (Local) -> (LOCAL)[3]2cb.tayson: que pasow
[2020:12:18-17:37:23]  (Local) -> (LOCAL)[3]2cbcapojuan: eastoy bugç
[2020:12:18-17:37:24]  (Global) -> |2cb|La-Quica: estan en ammu de LS
[2020:12:18-17:37:24]  (Local) -> (LOCAL)[3][Z]Julian_SkiGg: soy nuebo
[2020:12:18-17:37:25]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: cuanto pides por el hotnife
[2020:12:18-17:37:26]  (Local) -> (LOCAL)[2]Apu_N'2cb: a con razon
[2020:12:18-17:37:27]  (Local) -> (LOCAL)[4][Kp]~Diego~: x2
[2020:12:18-17:37:29]  (Local) -> (LOCAL)[4]|2cb|La-Quica: Hola
[2020:12:18-17:37:30]  (Global) -> [ak]jimenez: si kevin o no
[2020:12:18-17:37:31]  (Local) -> (LOCAL)[3]2cbcapojuan: en esta gid
[2020:12:18-17:37:31]  (Local) -> (LOCAL)[3][Kp]~Diego~: hp tombo
[2020:12:18-17:37:35]  (Global) -> [Perico]: donde esta quica
[2020:12:18-17:37:40]  (Local) -> (LOCAL)[1]Apu_N'2cb: ud
[2020:12:18-17:37:41]  (Global) -> TIROFIJO420: XDDDD
[2020:12:18-17:37:44]  (Local) -> (LOCAL)[1]Apu_N'2cb: vaya a gasolinera
[2020:12:18-17:37:44]  (Local) -> (LOCAL)[1]2cb'pinina: yo
[2020:12:18-17:37:45]  (Local) -> (LOCAL)[3][Kp]~Diego~: quitese
[2020:12:18-17:37:48]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: cuanto me da
[2020:12:18-17:37:51]  (Global) -> Patron_WK: quica hp
[2020:12:18-17:37:52]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: baje
[2020:12:18-17:37:54]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: y le digo
[2020:12:18-17:38:02]  (Global) -> [ak]jimenez: kebin agale si
[2020:12:18-17:38:07]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: ocampo
[2020:12:18-17:38:07]  (Local) -> (LOCAL)[3]2cbcapojuan: oe
[2020:12:18-17:38:09]  (Local) -> (LOCAL)[2]|EVG|Soltec: ai
[2020:12:18-17:38:09]  (Local) -> (LOCAL)[2]Negan: poli
[2020:12:18-17:38:10]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: te doy
[2020:12:18-17:38:11]  (Local) -> (LOCAL)[3][Kp]~Diego~: q
[2020:12:18-17:38:11]  (Global) -> [ak]jimenez: agame tp
[2020:12:18-17:38:14]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: 25 ya por eso
[2020:12:18-17:38:17]  (Local) -> (LOCAL)[3]2cb.tayson: se fue subiendo
[2020:12:18-17:38:17]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: ja
[2020:12:18-17:38:19]  (Local) -> (LOCAL)[3]2cbcapojuan: usted mepuede invita su gid
[2020:12:18-17:38:19]  (Local) -> (LOCAL)[3]2cb.tayson: apues
[2020:12:18-17:38:19]  (Global) -> TIROFIJO420: AD MIN
[2020:12:18-17:38:21]  (Local) -> (LOCAL)[3]2cb.tayson: fracien
[2020:12:18-17:38:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: cuanto pues
[2020:12:18-17:38:24]  (Local) -> (LOCAL)[3]2cb.tayson: al carro
[2020:12:18-17:38:25]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: perra
[2020:12:18-17:38:25]  (Global) -> santyvasquez10: poli vengase ala fiesta
[2020:12:18-17:38:27]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: esto vale mas nobsito
[2020:12:18-17:38:28]  (Local) -> (LOCAL)[4][Kp]~Diego~: ut ya esta en una
[2020:12:18-17:38:28]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: TIROFIJO420 dime
[2020:12:18-17:38:31]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: ademas tiene hand
[2020:12:18-17:38:32]  (Global) -> TIROFIJO420: Tienen tapada la entrada de ammu
[2020:12:18-17:38:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: mio
[2020:12:18-17:38:33]  (Global) -> Sanrub20: cureme´
[2020:12:18-17:38:33]  (Global) -> [ak]jimenez: kevin si me tp adnde marlon
[2020:12:18-17:38:34]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: q va
[2020:12:18-17:38:36]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: avr
[2020:12:18-17:38:37]  (Local) -> (LOCAL)[10][Kp]~Diego~: 2cb
[2020:12:18-17:38:37]  (Global) -> TIROFIJO420: por favor limpie vehiculos xd
[2020:12:18-17:38:38]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: hablon malprido
[2020:12:18-17:38:39]  (Local) -> (LOCAL)[10]2cbcapojuan: es que estoy bug en esta
[2020:12:18-17:38:39]  (Local) -> (LOCAL)[10][Z]Julian_SkiGg: no
[2020:12:18-17:38:42]  (Global) -> Sanrub20: xd
[2020:12:18-17:38:44]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KevinOcampo: ps mire
[2020:12:18-17:38:45]  (Global) -> TIROFIJO420: hay una vaina toda bug en market
[2020:12:18-17:38:50]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: q 
[2020:12:18-17:38:51]  (Local) -> (LOCAL)[11][Z]Julian_SkiGg: venga
[2020:12:18-17:38:51]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: ?
[2020:12:18-17:38:54]  (Local) -> (LOCAL)[10]|2cb|La-Quica: Oe Parce
[2020:12:18-17:38:59]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: No hay nada ah
[2020:12:18-17:38:59]  (Global) -> TIROFIJO420: listo gracias
[2020:12:18-17:39:00]  (Local) -> (LOCAL)[7][Perico]: que paso Pana
[2020:12:18-17:39:03]  (Global) -> TIROFIJO420: ya se quitoxd
[2020:12:18-17:39:03]  (Global) -> [ak]jimenez: oe si
[2020:12:18-17:39:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KhausuAguardiente: ok te doy esto
[2020:12:18-17:39:10]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: Yo lo kite
[2020:12:18-17:39:11]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: XDD
[2020:12:18-17:39:17]  (Local) -> (LOCAL)[4]Patron_WK: cure
[2020:12:18-17:39:21]  (Local) -> (LOCAL)[3][Z]Julian_SkiGg: venga
[2020:12:18-17:39:27]  (Local) -> (LOCAL)[7]|2cb|La-Quica: Todo bienn parce
[2020:12:18-17:39:32]  (Global) -> [ak]jimenez: kevin tp adonde marlon cajica
[2020:12:18-17:39:32]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KhausuAguardiente: esper
[2020:12:18-17:39:39]  (Local) -> (LOCAL)[0]KRATTOSClarinet: hopital
[2020:12:18-17:39:49]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00KhausuAguardiente: pa drif
[2020:12:18-17:39:50]  (Global) -> KRATTOSClarinet: hopital
[2020:12:18-17:39:53]  (Global) -> Dr.Gaitan: quien me recoje?
[2020:12:18-17:39:53]  (Local) -> (LOCAL)[2]Negan: poli deje la mk al que se le moj la canoa cuando se emborracha?
[2020:12:18-17:39:54]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: YATENGO
[2020:12:18-17:39:56]  (Local) -> (LOCAL)[0]KRATTOSClarinet: refuerzos
[2020:12:18-17:39:56]  (Local) -> (LOCAL)[1]achu: oe
[2020:12:18-17:39:58]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: noo deme luca
[2020:12:18-17:39:58]  (Local) -> (LOCAL)[1]achu: mano
[2020:12:18-17:39:59]  (Global) -> Dr.Gaitan: necesito un uber
[2020:12:18-17:40:00]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: ud tiene plata
[2020:12:18-17:40:05]  (Local) -> (LOCAL)[1]achu: ayudame
[2020:12:18-17:40:07]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00KhausuAguardiente: cuanto
[2020:12:18-17:40:08]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: este bb es unico
[2020:12:18-17:40:08]  (Global) -> [ak]jimenez: kevinnn
[2020:12:18-17:40:09]  (Local) -> (LOCAL)[3]2cb.tayson: quein}
[2020:12:18-17:40:13]  (Global) -> santyvasquez10: tombo agase mujer y  listo papi pero esque hombre con hombre pa uyy
[2020:12:18-17:40:13]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: JNeaaaaaaaa
[2020:12:18-17:40:14]  (Global) -> Dr.Gaitan: necesito un taxi
[2020:12:18-17:40:29]  (Global) -> 0TostadoraGamer0: donde gaitan
[2020:12:18-17:40:29]  (Global) -> #7F7F7F|CVR|#FF5C00KevinOcampo: aghhhhhhhh
[2020:12:18-17:40:29]  (Local) -> (LOCAL)[2]Patron_WK: XDD
[2020:12:18-17:40:30]  (Global) -> JereGG: wwddwd
[2020:12:18-17:40:30]  (Global) -> santyvasquez10: tomo mucho guarito?
[2020:12:18-17:40:37]  (Global) -> [ak]jimenez: kevin agae  tp adonde marlon
[2020:12:18-17:40:38]  (Local) -> (LOCAL)[1]2cb'pinina: ya se mimió?
