This file was generated by Console at 2020:12:22-00:00:02



[2020:12:22-00:00:02]  (Global) -> |MZ|Omar: JOKEEEEEEERRRRRRRR
[2020:12:22-04:20:24]  (Global) -> 0TostadoraGamer0: ola amor.
[2020:12:22-04:20:26]  (Local) -> (LOCAL)[1]2CbLufero: ??
[2020:12:22-04:20:26]  (Global) -> 0TostadoraGamer0: severo.
[2020:12:22-04:20:27]  (Local) -> (LOCAL)[2]Royal: que quiere entrar
[2020:12:22-04:20:27]  (Local) -> (LOCAL)[3][Z]Julian_SkiGg: hppp nadie sin estrellas :c
[2020:12:22-04:20:28]  (Global) -> #7F7F7F|CVR|#0064FFDorian: yo pa
[2020:12:22-04:20:28]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|CrudoMeansRaw: ay mis
[2020:12:22-04:20:28]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: pero ud sabe
[2020:12:22-04:20:30]  (Local) -> (LOCAL)[3]Daniel-Diaz-c: F
[2020:12:22-04:20:31]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|CrudoMeansRaw: 3 de ram
[2020:12:22-04:20:32]  (Local) -> (LOCAL)[2]2cb'pinina: xq me dise sapa
[2020:12:22-04:20:32]  (Global) -> (SANTIAGO): al hospital
[2020:12:22-04:20:34]  (Local) -> (LOCAL)[2]2cb'pinina: sapa uste
[2020:12:22-04:20:35]  (Global) -> 0TostadoraGamer0: juajaja
[2020:12:22-04:20:35]  (Global) -> WorTp: como
[2020:12:22-04:20:35]  (Local) -> (LOCAL)[3][Z]stivenv28|LP: le vendo carros
[2020:12:22-04:20:36]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: usar programas y eso?
[2020:12:22-04:20:37]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFDorian: JSJAJSJ
[2020:12:22-04:20:38]  (Global) -> 2cb'Francesco: q nos vamo a mojaaaaaa
[2020:12:22-04:20:38]  (Global) -> 0TostadoraGamer0: juajaj calma
[2020:12:22-04:20:40]  (Local) -> (LOCAL)[2][EVG]juann: el royal me enseña
[2020:12:22-04:20:42]  (Local) -> (LOCAL)[2]Avalencia: Oe bala
[2020:12:22-04:20:43]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: XD
[2020:12:22-04:20:44]  (Local) -> (LOCAL)[2]Avalencia: Una pregunta
[2020:12:22-04:20:46]  (Local) -> (LOCAL)[2][Z]Julian_SkiGg: ya lo tengo pa
[2020:12:22-04:20:47]  (Local) -> (LOCAL)[2][EVG]juann: se como lo basico pero el royal me ayuda
[2020:12:22-04:20:48]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: Necesito q sepan
[2020:12:22-04:20:48]  (Local) -> (LOCAL)[2]Avalencia: las casas vuelven al server?
[2020:12:22-04:20:50]  (Local) -> (LOCAL)[3]lMZlroberto: y estoy con el raton del portatil xde
[2020:12:22-04:20:50]  (Local) -> (LOCAL)[3][EVG]BOMBITA: parse
[2020:12:22-04:20:51]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Balaclava: o
[2020:12:22-04:20:53]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Balaclava: no
[2020:12:22-04:20:54]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFDorian: OLA
[2020:12:22-04:20:54]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF00002cb'tussy: agh
[2020:12:22-04:20:54]  (Local) -> (LOCAL)[3][EVG]BOMBITA: el patron se fue
[2020:12:22-04:20:55]  (Global) -> 2cb'pinina: me censuraaan
[2020:12:22-04:20:55]  (Local) -> (LOCAL)[2]Emersocio: cojeme
[2020:12:22-04:20:56]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: Royal ayudele
[2020:12:22-04:20:57]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF00002cb'tussy: pq putas tengo 2 fps
[2020:12:22-04:20:57]  (Local) -> (LOCAL)[3][EVG]BOMBITA: vamosnos
[2020:12:22-04:20:58]  (Local) -> (LOCAL)[3]Daniel-Diaz-c: ci?
[2020:12:22-04:20:58]  (Local) -> (LOCAL)[2]2cb'Francesco: es q poncho siempre lo mejor
[2020:12:22-04:20:58]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Seb: Aaaaa
[2020:12:22-04:20:58]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFDorian: jasjajs
[2020:12:22-04:20:59]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: sea e tutor de el
[2020:12:22-04:20:59]  (Local) -> (LOCAL)[4]Avalencia: entonces
[2020:12:22-04:20:59]  (Global) -> (SANTIAGO): lleveme al hopital
[2020:12:22-04:21:00]  (Global) -> #7F7F7F|CVR|#0064FFDorian: PQ
[2020:12:22-04:21:01]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00FUMARATTO: cuando ya sepa
[2020:12:22-04:21:01]  (Global) -> #7F7F7F|CVR|#0064FFDorian: amigoi
[2020:12:22-04:21:01]  (Local) -> (LOCAL)[3]lMZlroberto: si
[2020:12:22-04:21:02]  (Local) -> (LOCAL)[3]Daniel-Diaz-c: a bueno
[2020:12:22-04:21:02]  (Local) -> (LOCAL)[4]Avalencia: los que teniasmos casas?
[2020:12:22-04:21:03]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00FUMARATTO: lo metemos
[2020:12:22-04:21:03]  (Local) -> (LOCAL)[3][EVG]BOMBITA: si si se fue
[2020:12:22-04:21:03]  (Local) -> (LOCAL)[3]Royal: sisa con gusto
[2020:12:22-04:21:03]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF8C00ReizerB: nea eso sera de su gta o que?
[2020:12:22-04:21:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Seb: Esperando a que se me quite esa mierda
[2020:12:22-04:21:05]  (Local) -> (LOCAL)[4]2CbLufero: el de animaciones perri
[2020:12:22-04:21:06]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: saque carro
[2020:12:22-04:21:07]  (Local) -> (LOCAL)[3]Royal: hagale yo le aviso
[2020:12:22-04:21:07]  (Global) -> #7F7F7F|CVR|#FF0000Balaclava: les pasa esto
[2020:12:22-04:21:09]  (Local) -> (LOCAL)[4]2CbLufero: con j
[2020:12:22-04:21:09]  (Local) -> (LOCAL)[4]Avalencia: se pierden?
[2020:12:22-04:21:09]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Seb: Venga
[2020:12:22-04:21:09]  (Global) -> 2cb'pinina: xq me censuras bro
[2020:12:22-04:21:10]  (Global) -> DapperDagger77: r
[2020:12:22-04:21:10]  (Local) -> (LOCAL)[4]2CbLufero: k
[2020:12:22-04:21:13]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00FUMARATTO: bueno usted me avisa
[2020:12:22-04:21:13]  (Local) -> (LOCAL)[3]Emersocio: ñero yo tengo 5
[2020:12:22-04:21:13]  (Global) -> DapperDagger77: ag no sé
[2020:12:22-04:21:14]  (Local) -> (LOCAL)[3]Royal: yo le enseño y le digo cuando este listo
[2020:12:22-04:21:15]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF00002cb'tussy: ajj
[2020:12:22-04:21:16]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Balaclava: suba adentroxddd
[2020:12:22-04:21:18]  (Local) -> (LOCAL)[4]2CbLufero: ese lo hizo reizer
[2020:12:22-04:21:18]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Seb: Que nos coja este man
[2020:12:22-04:21:18]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: vamo a camellar de camio
[2020:12:22-04:21:19]  (Global) -> DapperDagger77: cuando entre no sonaba así
[2020:12:22-04:21:19]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00FUMARATTO: listo
[2020:12:22-04:21:23]  (Local) -> (LOCAL)[3]Emersocio: arresteme oficial
[2020:12:22-04:21:25]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: pere
[2020:12:22-04:21:29]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Seb: Encaneme
[2020:12:22-04:21:30]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00ReizerB: suba
[2020:12:22-04:21:30]  (Local) -> (LOCAL)[4][EVG]juann: breve
[2020:12:22-04:21:34]  (Local) -> (LOCAL)[4]2CbLufero: bro
[2020:12:22-04:21:34]  (Local) -> (LOCAL)[4][EVG]juann: todo bien
[2020:12:22-04:21:35]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: yo soy el unico sin lvl 0?
[2020:12:22-04:21:38]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: vamos a buscar mi camion q un hp grua me lo quito
[2020:12:22-04:21:38]  (Global) -> #7F7F7F|CVR|#0064FFDorian: quien anda en la radio?
[2020:12:22-04:21:39]  (Local) -> (LOCAL)[3]Emersocio: oe bobo hpta tombo de mierda
[2020:12:22-04:21:39]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00ReizerB: le suenan radios?
[2020:12:22-04:21:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: a todos
[2020:12:22-04:21:40]  (Global) -> DapperDagger77: ya
[2020:12:22-04:21:42]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: se los quitaron
[2020:12:22-04:21:42]  (Local) -> (LOCAL)[5]2CbLufero: reizer
[2020:12:22-04:21:44]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: todos tienen
[2020:12:22-04:21:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: a ricardo, a todos
[2020:12:22-04:21:45]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00ReizerB: ah
[2020:12:22-04:21:45]  (Local) -> (LOCAL)[3]2cb'Francesco: pera vamos en burro
[2020:12:22-04:21:46]  (Local) -> (LOCAL)[5]2CbLufero: hola pana
[2020:12:22-04:21:46]  (Global) -> #7F7F7F|LG|#0064FFXhnGuaracha: yo
[2020:12:22-04:21:46]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: menos yo
[2020:12:22-04:21:48]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: ._.
[2020:12:22-04:21:48]  (Global) -> DapperDagger77: ya se quito el sonido
[2020:12:22-04:21:49]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Seb: Pegueme un bolillazo
[2020:12:22-04:21:49]  (Local) -> (LOCAL)[3]Royal: kuando pagan
[2020:12:22-04:21:51]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Guaracha
[2020:12:22-04:21:53]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Encaname
[2020:12:22-04:21:53]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#00FFFFFUMARASA: PA DONDE
[2020:12:22-04:21:54]  (Local) -> (LOCAL)[5]2CbLufero: tussy me mando con usted
[2020:12:22-04:21:54]  (Local) -> (LOCAL)[3]DIOMEDESXXX: salga
[2020:12:22-04:21:54]  (Global) -> #7F7F7F|CVR|#0064FFDorian: bre
[2020:12:22-04:21:57]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: pere pillo ps
[2020:12:22-04:21:58]  (Global) -> #7F7F7F|LG|#0064FFXhnGuaracha: ontas
[2020:12:22-04:21:59]  (Global) -> DapperDagger77: grax
[2020:12:22-04:22:00]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: r
[2020:12:22-04:22:00]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00ReizerB: pa que?
[2020:12:22-04:22:01]  (Local) -> (LOCAL)[2]lMZlroberto: yo tengo una camio
[2020:12:22-04:22:01]  (Local) -> (LOCAL)[2]Royal: uy F
[2020:12:22-04:22:04]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Seb: Aaaaaa
[2020:12:22-04:22:04]  (Global) -> larrykapija: jjaja un pato
[2020:12:22-04:22:06]  (Local) -> (LOCAL)[5]2CbLufero: es que le envio la invitacion a wortp
[2020:12:22-04:22:09]  (Local) -> (LOCAL)[5]2CbLufero: de la gang
[2020:12:22-04:22:11]  (Local) -> (LOCAL)[6]2CbLufero: pero esta en bug
[2020:12:22-04:22:11]  (Local) -> (LOCAL)[2]lMZlroberto: perdon
[2020:12:22-04:22:12]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: x2
[2020:12:22-04:22:14]  (Local) -> (LOCAL)[2]Avalencia: el mejor staff
[2020:12:22-04:22:17]  (Global) -> [Z]stivenv28|LP: #288228 VENDO BANDITO Y SUNRISE
[2020:12:22-04:22:18]  (Global) -> Emersocio: hx
[2020:12:22-04:22:20]  (Local) -> (LOCAL)[3]2cb'Francesco: aaaaa
[2020:12:22-04:22:21]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#0064FFDorian: ai
[2020:12:22-04:22:21]  (Local) -> (LOCAL)[3]Emersocio: thx
[2020:12:22-04:22:22]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: pero una grua me lo quito
[2020:12:22-04:22:24]  (Local) -> (LOCAL)[2][EVG]BOMBITA: onde los dejo
[2020:12:22-04:22:25]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00ReizerB: espere ayudo al nuevo
[2020:12:22-04:22:26]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#0064FFDorian: me pones
[2020:12:22-04:22:27]  (Local) -> (LOCAL)[3]2cb'Francesco: hp sincelejo
[2020:12:22-04:22:29]  (Local) -> (LOCAL)[7]2CbLufero: bre
[2020:12:22-04:22:30]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#0064FFDorian: una en un millon
[2020:12:22-04:22:32]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: ya
[2020:12:22-04:22:32]  (Local) -> (LOCAL)[5][Z]Julian_SkiGg: uy coomooooooooo
[2020:12:22-04:22:33]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00ReizerB: que mas quiere saber nea?
[2020:12:22-04:22:34]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: ud se va bombita?
[2020:12:22-04:22:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00(EVG)Llanerito: yo pense que yo tenia el job
[2020:12:22-04:22:37]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#0064FFDorian: ahorita si o q
[2020:12:22-04:22:37]  (Global) -> Royal: VENDO FREEWAY FLASH Y HOTRING RACER
[2020:12:22-04:22:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00(EVG)Llanerito: xdee
[2020:12:22-04:22:38]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: epa
[2020:12:22-04:22:41]  (Global) -> larrykapija: nea
[2020:12:22-04:22:42]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: pense q habia hecho algo malo
[2020:12:22-04:22:43]  (Local) -> (LOCAL)[2][EVG]BOMBITA: yo voy a camellar
[2020:12:22-04:22:45]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#0064FFXhnGuaracha: oki
[2020:12:22-04:22:45]  (Local) -> (LOCAL)[1]|EVG|Soltec: ola
[2020:12:22-04:22:47]  (Local) -> (LOCAL)[1]Avalencia: BASURERO?=
[2020:12:22-04:22:48]  (Global) -> DapperDagger77: que toca hacer o que
[2020:12:22-04:22:48]  (Global) -> #7F7F7F|CVR|#0064FFDorian: y la lanstaler=
[2020:12:22-04:22:49]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: nosotros tambien
[2020:12:22-04:22:49]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#0064FFXhnGuaracha: y con esa me desconecto jeje
[2020:12:22-04:22:50]  (Global) -> larrykapija: ya no es /dance?
[2020:12:22-04:22:50]  (Global) -> #7F7F7F|CVR|#0064FFDorian: ?
[2020:12:22-04:22:51]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: creo q si
[2020:12:22-04:22:52]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: pero de que camella ud?
[2020:12:22-04:22:53]  (Global) -> larrykapija: para bailar
[2020:12:22-04:22:54]  (Global) -> JoseCuelllar: muy aspera su pantaloneta de ponymalta
[2020:12:22-04:22:54]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#00FFFFFUMARASA: ESTA MIERDA ESTA RE LAG
[2020:12:22-04:22:55]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#0064FFDorian: jeje
[2020:12:22-04:22:56]  (Local) -> (LOCAL)[10]2CbLufero: ahora es on k
[2020:12:22-04:22:57]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00ReizerB: trabajos o criminal
[2020:12:22-04:22:57]  (Local) -> (LOCAL)[2][EVG]BOMBITA: de q trabajan ustedes?
[2020:12:22-04:22:57]  (Global) -> Royal: Ese vale como 500k en tienda xd
[2020:12:22-04:22:57]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Emersocio
[2020:12:22-04:22:57]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#0064FFDorian: gracias
[2020:12:22-04:22:58]  (Local) -> (LOCAL)[1]|EVG|Soltec: vamos a hacer la carrera o q?
[2020:12:22-04:22:58]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: comoo
[2020:12:22-04:22:59]  (Local) -> (LOCAL)[9]2CbLufero: con*
[2020:12:22-04:22:59]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#0064FFDorian: TKM
[2020:12:22-04:22:59]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: Se lo llevaron?
[2020:12:22-04:23:00]  (Global) -> Emersocio: k
[2020:12:22-04:23:00]  (Local) -> (LOCAL)[6]2cb'Francesco: joa
[2020:12:22-04:23:01]  (Global) -> Emersocio: sisas
[2020:12:22-04:23:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000|EVG|CrudoMeansRaw: joder
[2020:12:22-04:23:03]  (Global) -> DapperDagger77: criminal
[2020:12:22-04:23:04]  (Global) -> larrykapija: ahhhh
[2020:12:22-04:23:04]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00ReizerB: con la K se baila
[2020:12:22-04:23:05]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: yo camionero
[2020:12:22-04:23:05]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: xdd
[2020:12:22-04:23:06]  (Local) -> (LOCAL)[1]Avalencia: no era trabajar xD?
[2020:12:22-04:23:06]  (Global) -> larrykapija: ya vi
[2020:12:22-04:23:08]  (Local) -> (LOCAL)[9]2CbLufero: es un panel mucho mas comodo
[2020:12:22-04:23:10]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00ReizerB: nea criminal necesita armas
[2020:12:22-04:23:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000|EVG|CrudoMeansRaw: la otra vez vi que nos podemos colocar stats
[2020:12:22-04:23:11]  (Local) -> (LOCAL)[4]2cb'Francesco: maneja
[2020:12:22-04:23:11]  (Global) -> larrykapija: melo
[2020:12:22-04:23:12]  (Global) -> Emersocio: ñero 5 minutos 
[2020:12:22-04:23:12]  (Local) -> (LOCAL)[4]2cb'pinina: joa mani ceviche a 1000
[2020:12:22-04:23:14]  (Global) -> Emersocio: XD
[2020:12:22-04:23:14]  (Global) -> larrykapija: sisas
[2020:12:22-04:23:15]  (Local) -> (LOCAL)[2]lMZlroberto: x 3}
[2020:12:22-04:23:16]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: XDD
[2020:12:22-04:23:16]  (Local) -> (LOCAL)[2][EVG]BOMBITA: ah pos yo de piloto entonces espere
[2020:12:22-04:23:16]  (Local) -> (LOCAL)[1]|EVG|Soltec: noc
[2020:12:22-04:23:17]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00ReizerB: debe trabajar para comprarlas
[2020:12:22-04:23:17]  (Local) -> (LOCAL)[4]2cb'Francesco: q ando jopo de wifi
[2020:12:22-04:23:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000|EVG|CrudoMeansRaw: que ganas de ponerme las dobles jajajajaja
[2020:12:22-04:23:19]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Seb: A esperar
[2020:12:22-04:23:20]  (Global) -> DapperDagger77: lol
[2020:12:22-04:23:22]  (Local) -> (LOCAL)[1]|EVG|Soltec: pere
[2020:12:22-04:23:23]  (Local) -> (LOCAL)[7]2CbLufero: me trama el ultimo bailes
[2020:12:22-04:23:25]  (Local) -> (LOCAL)[7]2CbLufero: baile
[2020:12:22-04:23:26]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: espere
[2020:12:22-04:23:26]  (Local) -> (LOCAL)[3]2cb'Francesco: hey no
[2020:12:22-04:23:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFDorian: ey
[2020:12:22-04:23:27]  (Local) -> (LOCAL)[2][EVG]BOMBITA: vamos y los dejo aya
[2020:12:22-04:23:29]  (Global) -> HimeXD: OEEE
[2020:12:22-04:23:30]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00ReizerB: con /nick Nombre
[2020:12:22-04:23:31]  (Local) -> (LOCAL)[3]2cb'Francesco: quieto pini
[2020:12:22-04:23:31]  (Local) -> (LOCAL)[6]2CbLufero: sjjsjsjs
[2020:12:22-04:23:31]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: aa otro favorsito
[2020:12:22-04:23:31]  (Global) -> 0TostadoraGamer0: todoterreno papi !
[2020:12:22-04:23:32]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: vamos abuscar mi camion
[2020:12:22-04:23:33]  (Global) -> larrykapija: ainnsssss
[2020:12:22-04:23:33]  (Local) -> (LOCAL)[4]NeutroPimp2cb: BOMBERMAN
[2020:12:22-04:23:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00(EVG)Llanerito: yo intente darme minicion pero no se como
[2020:12:22-04:23:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: q
[2020:12:22-04:23:35]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00ReizerB: se cambia el nombre
[2020:12:22-04:23:35]  ([Msg] de Dorian para ReizerB: oeee) -> nil
[2020:12:22-04:23:35]  (Local) -> (LOCAL)[3]2cb'pinina: esa bokita
[2020:12:22-04:23:36]  (Local) -> (LOCAL)[2]Daniel-Diaz-c: que una grua se lo llevo
[2020:12:22-04:23:37]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: /dargang WorTp 2cB
[2020:12:22-04:23:37]  (Global) -> HimeXD: donde compro el blista compact
[2020:12:22-04:23:37]  (Global) -> larrykapija: guarachocos
[2020:12:22-04:23:40]  (Local) -> (LOCAL)[2]2cb'Francesco: gracias
[2020:12:22-04:23:42]  (Global) -> punto: asd
[2020:12:22-04:23:43]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: :D
[2020:12:22-04:23:44]  (Global) -> Avalencia: Compro el mini tanque
[2020:12:22-04:23:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Balaclava: ya
[2020:12:22-04:23:46]  (Local) -> (LOCAL)[6]2CbLufero: eserepe, alejemonos para reizer le explique al men
[2020:12:22-04:23:47]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: todo bn
[2020:12:22-04:23:48]  (Global) -> JoseCuellar: ah
[2020:12:22-04:23:48]  (Local) -> (LOCAL)[1]Emersocio: ñero como se llamaba el convertidor de los temas?
[2020:12:22-04:23:49]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: chao chao
[2020:12:22-04:23:50]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: a
[2020:12:22-04:23:52]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF00002cb'tussy: CUANDO ME BANEARON
[2020:12:22-04:23:54]  (Local) -> (LOCAL)[6]2CbLufero: y no se vean los mensajes
[2020:12:22-04:23:54]  (Global) -> punto: ASD
[2020:12:22-04:23:55]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: ytmp3.cc
[2020:12:22-04:23:58]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: ME BANEARON MUERTO
[2020:12:22-04:24:01]  (Local) -> (LOCAL)[6]2CbLufero: xd
[2020:12:22-04:24:01]  (Local) -> (LOCAL)[1]Daniel-Diaz-c: olee espere
[2020:12:22-04:24:02]  (Global) -> JoseCuellar: como pongo mi musica en el bafle?
[2020:12:22-04:24:03]  (Local) -> (LOCAL)[1]Daniel-Diaz-c: dejeme manejar
[2020:12:22-04:24:05]  (Global) -> Emersocio: bre
[2020:12:22-04:24:05]  (Global) -> punto: S
[2020:12:22-04:24:08]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFDorian: UU
[2020:12:22-04:24:09]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: y perdi las 9000 c4 q me diste
[2020:12:22-04:24:11]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: XD
[2020:12:22-04:24:11]  (Local) -> (LOCAL)[1]|EVG|Soltec: pere
[2020:12:22-04:24:12]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00ReizerB: ahora deberia trabajar
[2020:12:22-04:24:14]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFDorian: XD
[2020:12:22-04:24:14]  (Team - Unemployed) -> (TEAM)punto: T
[2020:12:22-04:24:16]  (Global) -> JoseCuellar: oe
[2020:12:22-04:24:16]  (Global) -> WorTp: cd
[2020:12:22-04:24:17]  (Local) -> (LOCAL)[1][EVG]BOMBITA: espere ya meneja
[2020:12:22-04:24:19]  (Local) -> (LOCAL)[6]2CbLufero: xd
[2020:12:22-04:24:21]  (Global) -> WorTp: xd
[2020:12:22-04:24:22]  (Global) -> punto: asd
[2020:12:22-04:24:22]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: JoseCuellar[MP] Convierte el link de yt en ytmp3.cc, y copia el enlace de descarga en /sound
[2020:12:22-04:24:24]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Balaclava: comprelas
[2020:12:22-04:24:26]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Balaclava: xddd
[2020:12:22-04:24:29]  (Local) -> (LOCAL)[6]#7F7F7F|LG|#FF00002cb'tussy: si ok entiendo
[2020:12:22-04:24:33]  (Local) -> (LOCAL)[1]2cb'Francesco: has escuchado de los manuales amir?
[2020:12:22-04:24:34]  (Global) -> punto: trash
[2020:12:22-04:24:34]  (Global) -> larrykapija: pusieron mas chimba el sv
[2020:12:22-04:24:38]  (Global) -> HimeXD: oe seb donde puedo comprar el blista compact
[2020:12:22-04:24:39]  (Local) -> (LOCAL)[1]|EVG|Soltec: hagamos una ruta pa irme a mimir
[2020:12:22-04:24:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#00FFFFFUMARASA: jajaja
