This file was generated by Console at 2020:10:28-00:00:02



[2020:10:28-00:00:02]  (Local) -> (LOCAL)[4]C4rtex: veni
[2020:10:28-14:25:25]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FFFF00Zllanerito: ajaja
[2020:10:28-14:25:25]  (Global) -> [PEPES]Lil.Dream: ajajajaj
[2020:10:28-14:25:26]  (Local) -> (LOCAL)[15]pablito2200: claro
[2020:10:28-14:25:26]  (Global) -> [PEPES]JUAN-AA: pruebas mr.nea
[2020:10:28-14:25:27]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Listo
[2020:10:28-14:25:30]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Hola
[2020:10:28-14:25:30]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: jajajajaj
[2020:10:28-14:25:31]  (Global) -> GT|Mr.Nea|69: TOME FOTO
[2020:10:28-14:25:34]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: JAJAJAJA LANNERROO SEVERA MUSICA
[2020:10:28-14:25:34]  (Global) -> [PEPES]JUAN-AA: breve
[2020:10:28-14:25:35]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Nah
[2020:10:28-14:25:35]  (Local) -> (LOCAL)[1]Oskicrack0511: espere
[2020:10:28-14:25:38]  (Global) -> [PEPES]JUAN-AA: si se ve bien??
[2020:10:28-14:25:38]  (Local) -> (LOCAL)[4][Z]opj: spawnkill pff
[2020:10:28-14:25:41]  (Global) -> GT|Mr.Nea|69: AUN TENIA LA PROTECCION GRACIASA A DIOS O SINO ME MATA
[2020:10:28-14:25:44]  (Local) -> (LOCAL)[1]Oskicrack0511: no la voy a estallar
[2020:10:28-14:25:48]  (Local) -> (LOCAL)[4][GT]CARDING: sixa
[2020:10:28-14:25:49]  (Global) -> [Z]opj: GRACIASADIOS
[2020:10:28-14:25:50]  (Local) -> (LOCAL)[1]Oskicrack0511: es por mi seguridad
[2020:10:28-14:25:51]  (Global) -> MontesSicario: ahdahsdhads
[2020:10:28-14:25:52]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Conmigo esos trucos no funcionan, no soy nuevo
[2020:10:28-14:25:55]  (Global) -> [Z]opj: miralo como nos intenta matar
[2020:10:28-14:25:56]  (Local) -> (LOCAL)[1]Oskicrack0511: cuantos años tiene?
[2020:10:28-14:25:57]  (Global) -> [Z]opj: miarlo
[2020:10:28-14:26:00]  (Global) -> MontesSicario: Mr nea va reportar por acoso
[2020:10:28-14:26:02]  (Global) -> MontesSicario: Ojo
[2020:10:28-14:26:03]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: SOYYYYYYY GUAPOOOOOOOOOOOOO
[2020:10:28-14:26:07]  (Global) -> [PEPES]JUAN-AA: Ojo
[2020:10:28-14:26:08]  (Global) -> |MZ|MauricioCa07: pero por que lloran por spawn kill? no lo vi en las reglas xd
[2020:10:28-14:26:10]  (Global) -> GT|Mr.Nea|69: SZS
[2020:10:28-14:26:10]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Ve al grano brother jajajaa
[2020:10:28-14:26:14]  (Local) -> (LOCAL)[4][GT]CARDING: sin vip no son nd
[2020:10:28-14:26:18]  (Local) -> (LOCAL)[1]Oskicrack0511: necesito plata
[2020:10:28-14:26:19]  (Global) -> GT|Mr.Nea|69: Y TAMBIEN POR USTD ES UN ENFERMO
[2020:10:28-14:26:19]  (Local) -> (LOCAL)[4][Z]opj: verdad
[2020:10:28-14:26:20]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Estoy aquí porque a pesar de que me mataste me caíste bien
[2020:10:28-14:26:22]  (Local) -> (LOCAL)[4][Z]opj: sin vip no soy nada
[2020:10:28-14:26:23]  (Local) -> (LOCAL)[1]MontesSicario: aa
[2020:10:28-14:26:26]  (Global) -> [PEPES]JUAN-AA: a solo uzis pss
[2020:10:28-14:26:26]  (Local) -> (LOCAL)[4][Z]opj: tengo 24 fps
[2020:10:28-14:26:27]  (Local) -> (LOCAL)[4][GT]CARDING: jajajaj
[2020:10:28-14:26:28]  (Local) -> (LOCAL)[1]MontesSicario: so conecto la loli
[2020:10:28-14:26:30]  (Local) -> (LOCAL)[4][PEPES]JUAN-AA: a solo uzis pss
[2020:10:28-14:26:30]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Me pareces chistoso, así que dime
[2020:10:28-14:26:30]  (Local) -> (LOCAL)[4][GT]CARDING: XD
[2020:10:28-14:26:33]  (Local) -> (LOCAL)[1]Oskicrack0511: bastante porque le debo a casi todo el server
[2020:10:28-14:26:33]  (Local) -> (LOCAL)[4]GT|Mr.Nea|69: nadie le pregunto
[2020:10:28-14:26:36]  (Local) -> (LOCAL)[1]|GT|~IceWipe: aja
[2020:10:28-14:26:36]  (Local) -> (LOCAL)[4][GT]CARDING: breve
[2020:10:28-14:26:45]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: las seilor mun
[2020:10:28-14:26:46]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FFFF00Zllanerito: nooooooooooo
[2020:10:28-14:26:47]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: seilor
[2020:10:28-14:26:49]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FFFF00Zllanerito: hahah
[2020:10:28-14:26:50]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Y eso
[2020:10:28-14:26:53]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: mun mun mun
[2020:10:28-14:26:55]  (Local) -> (LOCAL)[1]MontesSicario: a volar
[2020:10:28-14:26:58]  (Global) -> GT|Mr.Nea|69: LLANERIO
[2020:10:28-14:26:59]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: sielor
[2020:10:28-14:27:01]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: mun mun mun
[2020:10:28-14:27:01]  (Global) -> #7F7F7F|CVR|#FFFF00Zllanerito: dime
[2020:10:28-14:27:02]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: PABLITO DEJEME A MI FARAON QUIETO QUITE ESA VAINA
[2020:10:28-14:27:03]  (Local) -> (LOCAL)[1]Oskicrack0511: hice muchos prestamos y me los gaste con putas y farras
[2020:10:28-14:27:06]  (Global) -> GT|Mr.Nea|69: ACA MIS AMIGOS Z ESTAN HACIENDO SPAW KILL
[2020:10:28-14:27:09]  (Global) -> [PEPES]JUAN-AA: reporte por acoso
[2020:10:28-14:27:09]  (Local) -> (LOCAL)[4][GT]CARDING: no por uno
[2020:10:28-14:27:10]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: ensiendete
[2020:10:28-14:27:11]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Buena decisión
[2020:10:28-14:27:18]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: fulmina
[2020:10:28-14:27:19]  (Global) -> #7F7F7F|CVR|#FFFF00Zllanerito: ya sabes que hacer mr nea
[2020:10:28-14:27:19]  (Local) -> (LOCAL)[4][GT]CARDING: uno por uno
[2020:10:28-14:27:21]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: acion
[2020:10:28-14:27:24]  (Local) -> (LOCAL)[1]Oskicrack0511: me presta plata y yo se la pago la otra semana?
[2020:10:28-14:27:27]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: tranformaste
[2020:10:28-14:27:30]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: seliro
[2020:10:28-14:27:32]  (Local) -> (LOCAL)[18]2cB-Apu_N: ola
[2020:10:28-14:27:32]  (Global) -> [PEPES]JUAN-AA: facil
[2020:10:28-14:27:33]  (Local) -> (LOCAL)[1]|GT|~IceWipe: aa
[2020:10:28-14:27:33]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: mun mun mun
[2020:10:28-14:27:35]  (Global) -> [PEPES]JUAN-AA: si señor
[2020:10:28-14:27:35]  (Global) -> #7F7F7F|CVR|#FFFF00Zllanerito: todavia no hecerrado el otro reporte
[2020:10:28-14:27:35]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: No presto dinero, solo a mi gang
[2020:10:28-14:27:37]  (Local) -> (LOCAL)[1]|GT|~IceWipe: no se que hacer
[2020:10:28-14:27:40]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: enseiendete
[2020:10:28-14:27:41]  (Global) -> #7F7F7F|CVR|#FFFF00Zllanerito: subelo hay el ss
[2020:10:28-14:27:46]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: fulmina
[2020:10:28-14:27:47]  (Global) -> #7F7F7F|CVR|#FFFF00Zllanerito: de quien lo este haciendo
[2020:10:28-14:27:47]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: fulmina
[2020:10:28-14:27:50]  (Local) -> (LOCAL)[1]Oskicrack0511: puedo ser de su gang?
[2020:10:28-14:27:51]  (Local) -> (LOCAL)[1]MontesSicario: porque mientras haces trabajos trabajas?
[2020:10:28-14:27:53]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: hasy
[2020:10:28-14:27:53]  (Local) -> (LOCAL)[1]|GT|~IceWipe: necesito a (popeye)
[2020:10:28-14:27:54]  (Local) -> (LOCAL)[1]MontesSicario: En pesca afk
[2020:10:28-14:27:56]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: me trasformaste
[2020:10:28-14:27:57]  (Local) -> (LOCAL)[1]|GT|~IceWipe: naa
[2020:10:28-14:28:01]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: jjajajajajaja
[2020:10:28-14:28:03]  (Local) -> (LOCAL)[1]|GT|~IceWipe: xd
[2020:10:28-14:28:07]  (Local) -> (LOCAL)[1]|GT|~IceWipe: ya termine
[2020:10:28-14:28:21]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: RAAAAAAAAAAAAAAAAAAAAAAAAAA
[2020:10:28-14:28:21]  (Local) -> (LOCAL)[4]GT|Mr.Nea|69: si señores se van de reporte
[2020:10:28-14:28:21]  (Local) -> (LOCAL)[4][Z]opj: dejalo
[2020:10:28-14:28:30]  (Local) -> (LOCAL)[1]Oskicrack0511: puedo ser de su gang?
[2020:10:28-14:28:35]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: DUROOOOOOOO 2 HORAS HACIENDOLO BIENNN RICOOOOOOOOOO OHHHHHHHHHHHHHHH
[2020:10:28-14:28:40]  (Global) -> [PEPES]Lil.Dream: al principio que ique eramos pescadores ahora q
[2020:10:28-14:28:42]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Están abiertas las inscripciones en discord
[2020:10:28-14:28:52]  (Local) -> (LOCAL)[4][PEPES]Lil.Dream: q somos ahora
[2020:10:28-14:29:01]  (Global) -> [PEPES]JUAN-AA: g
[2020:10:28-14:29:02]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: acto
[2020:10:28-14:29:02]  (Local) -> (LOCAL)[4][Z]opj: matame
[2020:10:28-14:29:03]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: claro
[2020:10:28-14:29:04]  (Local) -> (LOCAL)[4][GT]CARDING: jajaja
[2020:10:28-14:29:04]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: acto
[2020:10:28-14:29:05]  (Global) -> GT|Andres: XDDDDDDDDDDDDD
[2020:10:28-14:29:06]  (Global) -> 2cb'LILPUSSY: o
[2020:10:28-14:29:06]  (Local) -> (LOCAL)[1]Oskicrack0511: como hago para entrar al discord del server?
[2020:10:28-14:29:07]  (Local) -> (LOCAL)[1]|GT|~IceWipe: xd
[2020:10:28-14:29:09]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: acto
[2020:10:28-14:29:11]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: No estás?
[2020:10:28-14:29:16]  (Local) -> (LOCAL)[1]Oskicrack0511: no
[2020:10:28-14:29:16]  (Local) -> (LOCAL)[4]GT|Mr.Nea|69: no es spaw kill ustdes llevan mas tiempo
[2020:10:28-14:29:17]  (Local) -> (LOCAL)[1]MontesSicario: mucho derrap
[2020:10:28-14:29:20]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Tienes discord?
[2020:10:28-14:29:20]  (Global) -> [PEPES]JUAN-AA: mr.nea realizado
[2020:10:28-14:29:22]  (Global) -> [Z]opj: ahi esta su spawnkill mrnea
[2020:10:28-14:29:22]  (Local) -> (LOCAL)[4]GT|Mr.Nea|69: y no acaban de spawnear
[2020:10:28-14:29:25]  (Global) -> [Z]opj: ahi esta su spawnkill mrnea
[2020:10:28-14:29:25]  (Local) -> (LOCAL)[1]Oskicrack0511: si
[2020:10:28-14:29:29]  (Local) -> (LOCAL)[4][PEPES]Lil.Dream: lo tengo grabado
[2020:10:28-14:29:31]  (Local) -> (LOCAL)[1]|GT|~IceWipe: tenias casa?
[2020:10:28-14:29:33]  (Global) -> GT|Mr.Nea|69: TENGO PRUEBAS QUE ELLOS NO DEJABAN DE HACER SPAWW KILL
[2020:10:28-14:29:39]  (Global) -> MontesSicario: q pro el mr nea
[2020:10:28-14:29:39]  (Global) -> GT|Mr.Nea|69: HACI QUE ES LEGAL MATARLOS
[2020:10:28-14:29:41]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Damelo, te envío la invitación
[2020:10:28-14:29:48]  (Local) -> (LOCAL)[4][GT]CARDING: 2
[2020:10:28-14:29:54]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: actouactouacto
[2020:10:28-14:29:58]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: acto
[2020:10:28-14:29:59]  (Local) -> (LOCAL)[1]MontesSicario: tienes casa?
[2020:10:28-14:30:02]  (Global) -> [PEPES]JUAN-AA: llanero me hisieron spawn kill
[2020:10:28-14:30:03]  (Local) -> (LOCAL)[4][GT]CARDING: 2 para 1
[2020:10:28-14:30:05]  (Local) -> (LOCAL)[1]Oskicrack0511: oskicrack0511
[2020:10:28-14:30:05]  (Local) -> (LOCAL)[4]GT|Mr.Nea|69: carding si grabaste ??
[2020:10:28-14:30:05]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: acto
[2020:10:28-14:30:06]  (Local) -> (LOCAL)[1]|GT|~IceWipe: si
[2020:10:28-14:30:09]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: voy
[2020:10:28-14:30:10]  (Local) -> (LOCAL)[1]Oskicrack0511: en minuscula todo
[2020:10:28-14:30:11]  (Local) -> (LOCAL)[1]MontesSicario: o cual es?
[2020:10:28-14:30:13]  (Local) -> (LOCAL)[1]|GT|~IceWipe: y casi compro esta
[2020:10:28-14:30:14]  (Local) -> (LOCAL)[4][PEPES]JUAN-AA: ud y yo pss
[2020:10:28-14:30:16]  (Local) -> (LOCAL)[3][PEPES]JUAN-AA: a solo uzis
[2020:10:28-14:30:17]  (Local) -> (LOCAL)[3][GT]CARDING: que cosa
[2020:10:28-14:30:21]  (Local) -> (LOCAL)[12]2cb'LILPUSSY: para donde nos vamos?
[2020:10:28-14:30:23]  (Local) -> (LOCAL)[4][GT]CARDING: a mi me vale vrg
[2020:10:28-14:30:25]  (Local) -> (LOCAL)[1]MontesSicario: a verdad que las quitaron
[2020:10:28-14:30:26]  (Local) -> (LOCAL)[1]|GT|~IceWipe: estuve a nada de comprarla
[2020:10:28-14:30:31]  (Local) -> (LOCAL)[1]|GT|~IceWipe: y tenia una
[2020:10:28-14:30:35]  (Local) -> (LOCAL)[1]MontesSicario: no te devolvieron la plata?
[2020:10:28-14:30:38]  (Local) -> (LOCAL)[1]|GT|~IceWipe: o sea la tengo pero estan desactivadas
[2020:10:28-14:30:38]  (Global) -> [Z]KawaiiiSiracusaaa: XDD?
[2020:10:28-14:30:38]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: JAJAJAJAJAJAJAJJAAJJAJAJA
[2020:10:28-14:30:39]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: XDDDDDDDDDDDDDDDDDDD
[2020:10:28-14:30:42]  (Local) -> (LOCAL)[1]|GT|~IceWipe: en lv
[2020:10:28-14:30:46]  (Local) -> (LOCAL)[1]|GT|~IceWipe: por el area t1
[2020:10:28-14:30:47]  (Global) -> [Z]KawaiiiSiracusaaa: estoy debajo de la carretera noOoooo sdajdkskjas
[2020:10:28-14:30:47]  (Local) -> (LOCAL)[1]|GT|~IceWipe: 51
[2020:10:28-14:30:49]  (Local) -> (LOCAL)[1]MontesSicario: cuanto te valio?
[2020:10:28-14:30:50]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Wait
[2020:10:28-14:30:51]  (Local) -> (LOCAL)[4][PEPES]JUAN-AA: entonces porque lloras
[2020:10:28-14:30:54]  (Local) -> (LOCAL)[1]|GT|~IceWipe: 4-5m
[2020:10:28-14:30:54]  (Local) -> (LOCAL)[4][PEPES]JUAN-AA: entonces porque lloras
[2020:10:28-14:30:57]  (Global) -> [EVG]RicardoJorge: Zllanerito sabes agregar en discord?
[2020:10:28-14:30:58]  (Local) -> (LOCAL)[5]|GT|~La_Loli~: salta invesil
[2020:10:28-14:30:59]  (Local) -> (LOCAL)[1]|GT|~IceWipe: no me acuerdo
[2020:10:28-14:31:03]  (Local) -> (LOCAL)[4]GT|Mr.Nea|69: yo ??
[2020:10:28-14:31:04]  (Global) -> [Z]KawaiiiSiracusaaa: algun staff?
[2020:10:28-14:31:09]  (Local) -> (LOCAL)[6]|GT|~La_Loli~: saltaaaaaaaaaaaa
[2020:10:28-14:31:09]  (Local) -> (LOCAL)[6][Z]KawaiiiSiracusaaa: no me deja saltar ._.
[2020:10:28-14:31:15]  (Local) -> (LOCAL)[1]|GT|~La_Loli~: ya
[2020:10:28-14:31:17]  (Global) -> [Z]KawaiiiSiracusaaa: q mierda
[2020:10:28-14:31:17]  (Global) -> [PEPES]JUAN-AA: izi
[2020:10:28-14:31:21]  (Global) -> [Z]KawaiiiSiracusaaa: aaa mo ne deja moverme
[2020:10:28-14:31:22]  (Global) -> GT|Mr.Nea|69: LISTO LLANERITO YA TE PASE TODO
[2020:10:28-14:31:25]  (Local) -> (LOCAL)[1][Z]KawaiiiSiracusaaa: a ya
[2020:10:28-14:31:27]  (Local) -> (LOCAL)[1][Z]KawaiiiSiracusaaa: xd
[2020:10:28-14:31:29]  (Local) -> (LOCAL)[4][GT]CARDING: 1x1
[2020:10:28-14:31:35]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Oskicrack#0511
[2020:10:28-14:31:35]  (Global) -> GT|Mr.Nea|69: si pillas que los mate por hacer spaw kill no tengo nada que ver 
[2020:10:28-14:31:36]  (Local) -> (LOCAL)[1][Z]KawaiiiSiracusaaa: sube
[2020:10:28-14:31:37]  (Local) -> (LOCAL)[1]|GT|~IceWipe: aaa
[2020:10:28-14:31:39]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Así?
[2020:10:28-14:31:40]  (Local) -> (LOCAL)[1]|GT|~IceWipe: yo quiero ese
[2020:10:28-14:31:46]  (Global) -> [PEPES]Lil.Dream: JAJAJAJA
[2020:10:28-14:31:47]  (Local) -> (LOCAL)[1]MontesSicario: me lo encontre jajaj
[2020:10:28-14:31:48]  (Global) -> [PEPES]JUAN-AA: xd??
[2020:10:28-14:31:49]  (Global) -> #7F7F7F|CVR|#FFFF00Zllanerito: ya voy mr nea
[2020:10:28-14:31:50]  (Global) -> [PEPES]Lil.Dream: Y ESTA GONORREA QU
[2020:10:28-14:31:51]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: HIIIIIIIII KENNNNNNNNNNNNNN
[2020:10:28-14:31:51]  (Local) -> (LOCAL)[1]Oskicrack0511: no
[2020:10:28-14:31:52]  (Local) -> (LOCAL)[1]|GT|~IceWipe: es el de criminañ
[2020:10:28-14:31:52]  (Local) -> (LOCAL)[1]MontesSicario: llevalo a un punto
[2020:10:28-14:31:53]  (Local) -> (LOCAL)[1]|GT|~IceWipe: yo se
[2020:10:28-14:31:55]  (Local) -> (LOCAL)[1]MontesSicario: a
[2020:10:28-14:31:56]  (Local) -> (LOCAL)[1]|GT|~IceWipe: pero me refiero
[2020:10:28-14:31:57]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: IM A BARBIEEE GIRLLLLLLLLLLLLLLLLLLLLLLL
[2020:10:28-14:31:58]  (Local) -> (LOCAL)[1]|GT|~IceWipe: pa comprarlo
[2020:10:28-14:32:00]  (Local) -> (LOCAL)[1]MontesSicario: a comprarlo
[2020:10:28-14:32:03]  (Local) -> (LOCAL)[1]|GT|~IceWipe: me acompañas?
[2020:10:28-14:32:05]  (Local) -> (LOCAL)[1]Oskicrack0511: todo en minuscula
[2020:10:28-14:32:06]  (Local) -> (LOCAL)[1]|GT|~IceWipe: necesito a loli
[2020:10:28-14:32:08]  (Local) -> (LOCAL)[1]MontesSicario: sip
[2020:10:28-14:32:10]  (Local) -> (LOCAL)[1][Z]KawaiiiSiracusaaa: en donde te dejo
[2020:10:28-14:32:11]  (Local) -> (LOCAL)[17]2cb'LILPUSSY: IMAGINATIONSSSSSSSSSSSSSS
[2020:10:28-14:32:17]  (Global) -> GT|Mr.Nea|69: SI PILLAS
[2020:10:28-14:32:19]  (Local) -> (LOCAL)[1]|GT|~La_Loli~: central
[2020:10:28-14:32:20]  (Local) -> (LOCAL)[17]2cb'ratix: aaa
[2020:10:28-14:32:23]  (Local) -> (LOCAL)[17]2cb'ratix: barbie girl
[2020:10:28-14:32:25]  (Local) -> (LOCAL)[17]|2cb|pablitopai69: XDDDDDDDDDDDDDDDDDDDDD
[2020:10:28-14:32:29]  (Local) -> (LOCAL)[17]2cb_ElSocito: JAJAJAJAJAJAAJAJAJAJAAAAAAAAAA
[2020:10:28-14:32:38]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Ya te estoy buscando
[2020:10:28-14:32:38]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: PABLITO QUITAME ESA CAGA
[2020:10:28-14:32:39]  (Local) -> (LOCAL)[1]|GT|~La_Loli~: por esto no te reportare por lo que hcisite auer
[2020:10:28-14:32:42]  (Local) -> (LOCAL)[18]2cb'ratix: im a barbie girll in a barbie world
[2020:10:28-14:32:44]  (Local) -> (LOCAL)[18]|2cb|pablitopai69: XDDDDDDDDDDDD
[2020:10:28-14:32:45]  (Global) -> GT|Mr.Nea|69: SI MIRAS
[2020:10:28-14:32:46]  (Local) -> (LOCAL)[1][Z]KawaiiiSiracusaaa: q hice ayer
[2020:10:28-14:32:48]  (Local) -> (LOCAL)[1]|GT|~La_Loli~: dejame aca en el banco mejor
[2020:10:28-14:32:50]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: NO ME DEJAS ESCUCHAR MI BARBIEEEEE GIRLLLL
[2020:10:28-14:32:54]  (Local) -> (LOCAL)[18]2cb'ratix: asi es
[2020:10:28-14:32:55]  (Global) -> [PEPES]JUAN-AA: ajjaa no es spawn kill
[2020:10:28-14:32:56]  (Local) -> (LOCAL)[1]|GT|~La_Loli~: no te dejaste coger con el helicotero
[2020:10:28-14:32:57]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: JAJAJAJAJAJAJAJAJAJAJA
[2020:10:28-14:32:57]  (Local) -> (LOCAL)[18]2cb'ratix: solo musica de clase
[2020:10:28-14:32:59]  (Local) -> (LOCAL)[3][Z]KawaiiiSiracusaaa: XDD
[2020:10:28-14:33:00]  (Local) -> (LOCAL)[18]2cb'ratix: barbie girl
[2020:10:28-14:33:01]  (Global) -> [Z]KawaiiiSiracusaaa: fue casualidad
[2020:10:28-14:33:02]  (Global) -> GT|Mr.Nea|69: COMO QUE NO
[2020:10:28-14:33:04]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Llevas 6 días en el sv
[2020:10:28-14:33:05]  (Global) -> [PEPES]JUAN-AA: que te pasa malparido
[2020:10:28-14:33:06]  (Local) -> (LOCAL)[2][Z]KawaiiiSiracusaaa: yo lo estaba guardando
[2020:10:28-14:33:06]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: baja dale
[2020:10:28-14:33:09]  (Local) -> (LOCAL)[3][Z]KawaiiiSiracusaaa: pq me lo explotaron
[2020:10:28-14:33:12]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: si que casualidad
[2020:10:28-14:33:13]  (Local) -> (LOCAL)[3][Z]KawaiiiSiracusaaa: y lo saque y me taseas
[2020:10:28-14:33:14]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: COMEEE ONN BARBIEEE LETSS GOOO PARTYYYYYYYYYYYYYYYY
[2020:10:28-14:33:16]  (Local) -> (LOCAL)[3]|GT|~IceWipe: hola amor
[2020:10:28-14:33:16]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: Qué hiciste todo este tiempo si no has estado en el discord o algo
[2020:10:28-14:33:16]  (Global) -> GT|Mr.Nea|69: tengo muchas fotos que dicen lop contrario
[2020:10:28-14:33:18]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: gracias
[2020:10:28-14:33:22]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: hola mor
[2020:10:28-14:33:28]  (Local) -> (LOCAL)[3]|GT|~IceWipe: cuadraste algo?
[2020:10:28-14:33:30]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: ay q hace ese con usted
[2020:10:28-14:33:33]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: de q
[2020:10:28-14:33:34]  (Local) -> (LOCAL)[3]MontesSicario: :c
[2020:10:28-14:33:37]  (Local) -> (LOCAL)[3]|GT|~IceWipe: la rifa
[2020:10:28-14:33:38]  (Global) -> GT|Mr.Nea|69: ESO VALLANSE HPTAS BOBOS
[2020:10:28-14:33:40]  (Local) -> (LOCAL)[3]|GT|~IceWipe: o lo vendo mejor
[2020:10:28-14:33:43]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: no eso no se dio ayer
[2020:10:28-14:33:49]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: mejor lo vendemos
[2020:10:28-14:33:52]  (Local) -> (LOCAL)[3]|GT|~IceWipe: popeye
[2020:10:28-14:33:54]  (Global) -> [PEPES]Lil.Dream: tienes fotos donde nos acusas de pescadores?
[2020:10:28-14:33:55]  (Global) -> JuanLeal: ferddy
[2020:10:28-14:33:55]  (Local) -> (LOCAL)[3]|GT|~IceWipe: creo que lo compra
[2020:10:28-14:34:00]  (Local) -> (LOCAL)[3]|GT|~IceWipe: o nos da algo bueno
[2020:10:28-14:34:04]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: si pero q hae ese con usted
[2020:10:28-14:34:05]  (Local) -> (LOCAL)[2]GT|Mr.Nea|69: pescadores ??
[2020:10:28-14:34:10]  (Local) -> (LOCAL)[3]|GT|~IceWipe: me acompaña
[2020:10:28-14:34:12]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: no hablar activando mods
[2020:10:28-14:34:16]  (Local) -> (LOCAL)[3]|GT|~IceWipe: vale
[2020:10:28-14:34:17]  (Local) -> (LOCAL)[3]MontesSicario: bno
[2020:10:28-14:34:20]  (Local) -> (LOCAL)[2]GT|Mr.Nea|69: aa szs en las foto que mando se v
[2020:10:28-14:34:30]  (Global) -> [PEPES]Lil.Dream: bre
[2020:10:28-14:34:30]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: me cae mal
[2020:10:28-14:34:30]  (Local) -> (LOCAL)[3]|GT|~IceWipe: que hacia el z con usted?
[2020:10:28-14:34:34]  (Local) -> (LOCAL)[2]GT|Mr.Nea|69: al igual ustedes tienen la de peder asi que no me importa
[2020:10:28-14:34:34]  (Global) -> [Z]KawaiiiSiracusaaa: XDD
[2020:10:28-14:34:37]  (Local) -> (LOCAL)[17]2cb'ratix: presencia y plata
[2020:10:28-14:34:40]  (Global) -> GT|Andres: XDDDD
[2020:10:28-14:34:42]  (Local) -> (LOCAL)[17]2cb'ratix: solo barco de oro
[2020:10:28-14:34:45]  (Global) -> [Z]KawaiiiSiracusaaa: parchao
