This file was generated by Console at 2021:01:11-00:00:00



[2021:01:11-00:00:00]  (Local) -> (LOCAL)[1]Royal2cb: pere
[2021:01:11-05:01:00]  (Local) -> (LOCAL)[3]Ak-JuanPablo: kevin
[2021:01:11-05:01:01]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Berna: uy
[2021:01:11-05:01:03]  (Local) -> (LOCAL)[3]Ak-JuanPablo: dame tu wsp
[2021:01:11-05:01:04]  (Local) -> (LOCAL)[1]Avalencia: jajaja
[2021:01:11-05:01:05]  (Local) -> (LOCAL)[6]2cb_Paula:3: no sirve xd
[2021:01:11-05:01:07]  (Global) -> ZETA-bledcov: ALEXBA USTED SE CAMBIOE EL NOMBRE PA QUE NO LO MATARA
[2021:01:11-05:01:07]  (Global) -> KevinM: szs nea mala mia cucho
[2021:01:11-05:01:08]  (Local) -> (LOCAL)[6]2cbChicoGel: a
[2021:01:11-05:01:09]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: eso quien se lo paga a uno nadieee
[2021:01:11-05:01:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C002cb'tussy: q ganas de jailearlo
[2021:01:11-05:01:13]  (Global) -> KevinM: pero save que
[2021:01:11-05:01:17]  (Local) -> (LOCAL)[8]2cb_Paula:3: ajjaj si
[2021:01:11-05:01:17]  (Team - Services) -> (TEAM)KevinM:  yo
[2021:01:11-05:01:17]  (Local) -> (LOCAL)[8]2cbChicoGel: yo crei q estaban robando turfs
[2021:01:11-05:01:17]  (Local) -> (LOCAL)[8]Walter: x
[2021:01:11-05:01:18]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: por favor
[2021:01:11-05:01:20]  (Global) -> |CAPU|~mauricio~: guts mato a griffith xD
[2021:01:11-05:01:24]  (Global) -> FRESITA: ricomo mi vida
[2021:01:11-05:01:24]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: gracias
[2021:01:11-05:01:29]  (Local) -> (LOCAL)[4]Aguardiente: resign
[2021:01:11-05:01:30]  (Global) -> KevinM: le digo a un marica que le rote lo que trabajo eso queda registrado
[2021:01:11-05:01:30]  (Local) -> (LOCAL)[5]Dominio: Shi
[2021:01:11-05:01:32]  (Local) -> (LOCAL)[7]2cbChicoGel: eyy aguentense
[2021:01:11-05:01:37]  (Local) -> (LOCAL)[6]2cbChicoGel: aaaaaaa
[2021:01:11-05:01:38]  (Global) -> Strange'2cb: :v
[2021:01:11-05:01:38]  (Local) -> (LOCAL)[2]Groow: ta blindad contra pendejos
[2021:01:11-05:01:39]  (Local) -> (LOCAL)[1]Walter: sajsajsajsa
[2021:01:11-05:01:42]  (Global) -> Strange'2cb: ai
[2021:01:11-05:01:50]  (Local) -> (LOCAL)[1]|EVG|Soltec: ai
[2021:01:11-05:01:50]  (Global) -> |CAPU|~mauricio~: hey en el serv er nunca llueve?
[2021:01:11-05:01:56]  (Global) -> KevinM: szs todo bien pues si quiere entre en unas 2 horas
[2021:01:11-05:01:56]  (Team - Criminals) -> (TEAM)krlos.garcia94: donde vendo el LCD y mariguana gass? 
[2021:01:11-05:01:59]  (Local) -> (LOCAL)[6]2cbChicoGel: aiñ
[2021:01:11-05:02:05]  (Local) -> (LOCAL)[2]BocatoPa: nhhh
[2021:01:11-05:02:09]  (Global) -> FRESITA: tombo sapa hpt
[2021:01:11-05:02:10]  (Local) -> (LOCAL)[2]BocatoPa: segun eso no lo mato
[2021:01:11-05:02:13]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: no mk compre el pase y todo y estan dañado el juego
[2021:01:11-05:02:14]  (Local) -> (LOCAL)[4]Groow: ak?
[2021:01:11-05:02:14]  (Local) -> (LOCAL)[3][Z]Razzork: no muere
[2021:01:11-05:02:21]  (Team - Unemployed) -> (TEAM)Sayayin'fumarrato: jajajaja
[2021:01:11-05:02:23]  (Team - Services) -> (TEAM)KevinM: ay nea 
[2021:01:11-05:02:24]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: hablare por discord
[2021:01:11-05:02:28]  (Local) -> (LOCAL)[6]2cb_Paula:3: kha
[2021:01:11-05:02:28]  (Global) -> Walter: hpta
[2021:01:11-05:02:29]  (Global) -> Dominio: Severo tema jjjasa
[2021:01:11-05:02:30]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Berna: jasjda
[2021:01:11-05:02:30]  (Local) -> (LOCAL)[2]Ak-JuanPablo: uff
[2021:01:11-05:02:31]  (Global) -> Walter: declaro la guerra
[2021:01:11-05:02:32]  (Local) -> (LOCAL)[4]Sayayin'fumarrato: que dijieron tranport
[2021:01:11-05:02:33]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: abusar cómo furry
[2021:01:11-05:02:35]  (Global) -> KevinM: no gvon szs es mejor que hable por discord
[2021:01:11-05:02:38]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: por bobo jja
[2021:01:11-05:02:39]  (Local) -> (LOCAL)[6]2cb_Paula:3: jajaj dio mio xd
[2021:01:11-05:02:41]  (Global) -> KevinM: hay gente de mas rango
[2021:01:11-05:02:42]  (Team - Criminals) -> (TEAM)CaceresParaco: fresita no
[2021:01:11-05:02:43]  (Global) -> #7F7F7F|DJ|#FF00002cb'DJ_Nico: ey porque megu no murio con esas bombas
[2021:01:11-05:02:45]  (Local) -> (LOCAL)[6]2cbChicoGel: uy pq lo kikearon
[2021:01:11-05:02:46]  (Global) -> Walter: ese  hpta
[2021:01:11-05:02:46]  (Global) -> #7F7F7F|ADM||LG|#FF8C00|EVG|RicardoJorge: así como pa no hacerlo xddd
[2021:01:11-05:02:48]  (Local) -> (LOCAL)[6]2cbChicoGel: q hizo la tusa
[2021:01:11-05:02:50]  (Global) -> Walter: se la pasa matandome
[2021:01:11-05:02:50]  (Local) -> (LOCAL)[1]zarconea: ey
[2021:01:11-05:02:53]  (Local) -> (LOCAL)[1]Dominio: Habla
[2021:01:11-05:02:54]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Meter a Berna jail, porque sí
[2021:01:11-05:02:56]  (Local) -> (LOCAL)[2]Ak-JuanPablo: xD
[2021:01:11-05:02:59]  (Local) -> (LOCAL)[7]2cbChicoGel: eyy sapohp
[2021:01:11-05:03:00]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: Se pone a molestar con los jails
[2021:01:11-05:03:01]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: igual que cagada con esto
[2021:01:11-05:03:02]  (Local) -> (LOCAL)[1]zarconea: qu queres
[2021:01:11-05:03:03]  (Local) -> (LOCAL)[2]Ak-JuanPablo: mera skin
[2021:01:11-05:03:06]  (Global) -> KevinM: szs
[2021:01:11-05:03:06]  (Local) -> (LOCAL)[3]Ak-JuanPablo: uff
[2021:01:11-05:03:08]  (Local) -> (LOCAL)[1]Dominio: Que voy a queres
[2021:01:11-05:03:10]  (Local) -> (LOCAL)[1]Dominio: Nada cv
[2021:01:11-05:03:10]  (Local) -> (LOCAL)[7]2cbChicoGel: enseñame el Qbug y te doy un besito
[2021:01:11-05:03:11]  (Global) -> Ak-JuanPablo: uy gonorreaaaaaaaaaaaaaaaaaaa
[2021:01:11-05:03:12]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: Ahhh entiendo
[2021:01:11-05:03:12]  (Local) -> (LOCAL)[7]Walter: y el pastuso
[2021:01:11-05:03:12]  (Team - Unemployed) -> (TEAM)Pecueca: /ropita
[2021:01:11-05:03:14]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: Vale, gracias
[2021:01:11-05:03:14]  (Local) -> (LOCAL)[8]Walter: .____.
[2021:01:11-05:03:15]  (Local) -> (LOCAL)[8]2cb.CapoGod: esto
[2021:01:11-05:03:16]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: gracias kevin buena noche
[2021:01:11-05:03:16]  (Global) -> CaceresParaco: berna por fin hablas
[2021:01:11-05:03:16]  (Local) -> (LOCAL)[1]zarconea: a bueno
[2021:01:11-05:03:18]  (Local) -> (LOCAL)[8]Willow'2cb: bueans
[2021:01:11-05:03:20]  (Global) -> Ak-JuanPablo: mk que fue eso
[2021:01:11-05:03:20]  (Local) -> (LOCAL)[8]2cbChicoGel: xd
[2021:01:11-05:03:22]  (Global) -> KevinM: lo mismo
[2021:01:11-05:03:23]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: Tu hueles tussy yo le meto al wisi
[2021:01:11-05:03:23]  (Local) -> (LOCAL)[8]$$$PIMP$$$: q niña tan inteligente ome
[2021:01:11-05:03:24]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: Pero en broma no por sancion o asi
[2021:01:11-05:03:25]  (Local) -> (LOCAL)[8]Willow'2cb: yo queiro comer
[2021:01:11-05:03:29]  (Local) -> (LOCAL)[8]2cbChicoGel: corran
[2021:01:11-05:03:40]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: No alcancé a ver
[2021:01:11-05:03:43]  (Global) -> KevinM: te llevo?
[2021:01:11-05:03:44]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF00002cb'DJ_Nico: otra vez este hp
[2021:01:11-05:03:47]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF00002cb'DJ_Nico: soltame
[2021:01:11-05:03:49]  (Local) -> (LOCAL)[5]2cbChicoGel: yo les dije corran
[2021:01:11-05:03:49]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: malparida pirobaaa
[2021:01:11-05:03:50]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF00002cb'DJ_Nico: cuanto quieres
[2021:01:11-05:03:52]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: Malparida piroba
[2021:01:11-05:03:52]  (Global) -> Ak-JuanPablo: mk un vago me presto la bicicleta y me mando pa jupiter
[2021:01:11-05:03:55]  (Global) -> KevinM: donde te llevo?
[2021:01:11-05:03:55]  (Local) -> (LOCAL)[3]$$$PIMP$$$: xd
[2021:01:11-05:03:55]  (Global) -> Ak-JuanPablo: q gonorrea
[2021:01:11-05:03:57]  (Global) -> Sayayin,JulianLT10: que otro trabajo
[2021:01:11-05:03:58]  (Local) -> (LOCAL)[2]2cBPrexto: sube
[2021:01:11-05:03:59]  (Local) -> (LOCAL)[2]2cBPrexto: con g
[2021:01:11-05:04:01]  (Local) -> (LOCAL)[2]KawaiiGirlsG: Esta mela
[2021:01:11-05:04:02]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Por eso es mejor desactivar los anuncios de arriba y que aparezcan en chat, ahí quedan xd
[2021:01:11-05:04:04]  (Local) -> (LOCAL)[2]2cb_Paula:3: yo se
[2021:01:11-05:04:06]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: ese es el unico que si da
[2021:01:11-05:04:07]  (Local) -> (LOCAL)[1]|CAPU|~mauricio~: yo o que cosa
[2021:01:11-05:04:12]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF00002cb'DJ_Nico: NAAAAAAA
[2021:01:11-05:04:13]  (Local) -> (LOCAL)[1]Sayayin,JulianLT10: y lo caga ese bug
[2021:01:11-05:04:14]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF00002cb'DJ_Nico: cuanto quieres
[2021:01:11-05:04:15]  (Local) -> (LOCAL)[1]KawaiiGirlsG: el tema
[2021:01:11-05:04:18]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#0064FFLopez: cuanto da
[2021:01:11-05:04:19]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#0064FFLopez: jjjaj
[2021:01:11-05:04:19]  (Local) -> (LOCAL)[1]|CAPU|~mauricio~: agt jojos
[2021:01:11-05:04:21]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: lo q dijo furry x2
[2021:01:11-05:04:22]  (Local) -> (LOCAL)[1]2cBPrexto: me gusta el rosa
[2021:01:11-05:04:25]  (Local) -> (LOCAL)[1]KawaiiGirlsG: Solo jojos
[2021:01:11-05:04:26]  (Global) -> BocatoPa: ocampo
[2021:01:11-05:04:26]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF00002cb'DJ_Nico: CUANTO QUIERE PA
[2021:01:11-05:04:28]  (Local) -> (LOCAL)[4]2cb_Paula:3: jajaj cool
[2021:01:11-05:04:30]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: q
[2021:01:11-05:04:30]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#0064FFLopez: 15k
[2021:01:11-05:04:31]  (Global) -> BocatoPa: donde estas
[2021:01:11-05:04:33]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF00002cb'DJ_Nico: VOY
[2021:01:11-05:04:35]  (Local) -> (LOCAL)[2]|CAPU|~mauricio~: agt toda la vida
[2021:01:11-05:04:35]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: ne mi casa y tu
[2021:01:11-05:04:36]  (Global) -> CaceresParaco: buena jajajja
[2021:01:11-05:04:36]  (Local) -> (LOCAL)[2]KawaiiGirlsG: Mi novia se vistio de jojo
[2021:01:11-05:04:37]  (Global) -> KevinM: prb
[2021:01:11-05:04:38]  (Global) -> #7F7F7F|ADM||LG|#FF5C00|EVG|RicardoJorge: Mmmm en parte si y en parte no
[2021:01:11-05:04:39]  (Local) -> (LOCAL)[5]|EVG|Soltec: wow
[2021:01:11-05:04:40]  (Global) -> BocatoPa: aaa bobo
[2021:01:11-05:04:41]  (Local) -> (LOCAL)[4][POPPER]: ES AMIERDA
[2021:01:11-05:04:41]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: ey Furry
[2021:01:11-05:04:43]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: con todo respeto
[2021:01:11-05:04:43]  (Local) -> (LOCAL)[2]|CAPU|~mauricio~: que aspero
[2021:01:11-05:04:44]  (Global) -> BocatoPa: pa preguntarte algo
[2021:01:11-05:04:45]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: por que tan sapo
[2021:01:11-05:04:45]  (Local) -> (LOCAL)[2]KawaiiGirlsG: es que jojos es lo mejor
[2021:01:11-05:04:46]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: ???????
[2021:01:11-05:04:46]  (Local) -> (LOCAL)[4]Ak-JuanPablo: xD
[2021:01:11-05:04:48]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: uyy
[2021:01:11-05:04:48]  (Global) -> 2cBPrexto: xd
[2021:01:11-05:04:50]  (Local) -> (LOCAL)[5]Walter: callese
[2021:01:11-05:04:51]  (Local) -> (LOCAL)[3]Ak-JuanPablo: vamos ammu
[2021:01:11-05:04:54]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF00002cb'DJ_Nico: ya
[2021:01:11-05:04:58]  (Local) -> (LOCAL)[5]2cb_Paula:3: ajjw{-
[2021:01:11-05:04:59]  (Global) -> 2cb.CapoGod: oe furry pvp o que manco hijueputa ?
[2021:01:11-05:04:59]  (Global) -> #7F7F7F|ADM||LG|#0064FFXhnGuaracha: jajsadjasjda
[2021:01:11-05:04:59]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Yo veré
[2021:01:11-05:05:00]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF00002cb'DJ_Nico: gracias
[2021:01:11-05:05:02]  (Global) -> $$$PIMP$$$: hp canson
[2021:01:11-05:05:03]  (Local) -> (LOCAL)[4]Willow'2cb: huy gonorrea
[2021:01:11-05:05:03]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#0064FFLopez: a ud
[2021:01:11-05:05:08]  (Global) -> #7F7F7F|ADM||LG|#0064FFXhnGuaracha: tussy ud no debería hacer y yo
[2021:01:11-05:05:08]  (Global) -> $$$PIMP$$$: quedate quieto walter
[2021:01:11-05:05:10]  (Global) -> Dominio: HEY LILPIMP
[2021:01:11-05:05:11]  (Global) -> #7F7F7F|ADM||LG|#0064FFXhnGuaracha: nada de sapo
[2021:01:11-05:05:12]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Mientras siga vivo en cuerpo y sigas aquí te tendré vigilado
[2021:01:11-05:05:12]  (Local) -> (LOCAL)[2][AK][Perico]: HUY
[2021:01:11-05:05:13]  (Global) -> Dominio: HEY LILPIMP
[2021:01:11-05:05:14]  (Local) -> (LOCAL)[5]Willow'2cb: mk quedo vivo
[2021:01:11-05:05:14]  (Local) -> (LOCAL)[2][AK][Perico]: HUY
[2021:01:11-05:05:15]  (Global) -> Walter: callese
[2021:01:11-05:05:16]  (Local) -> (LOCAL)[3][AK][Perico]: HUY
[2021:01:11-05:05:17]  (Local) -> (LOCAL)[2][AK][Perico]: HUY
[2021:01:11-05:05:17]  (Global) -> 2cb.CapoGod: furry pvp
[2021:01:11-05:05:17]  (Global) -> Walter: furry
[2021:01:11-05:05:18]  (Local) -> (LOCAL)[2]Ak-JuanPablo: q
[2021:01:11-05:05:18]  (Local) -> (LOCAL)[2][AK][Perico]: HUY
[2021:01:11-05:05:18]  (Global) -> 2cb.CapoGod: o miedo
[2021:01:11-05:05:19]  (Global) -> 2cb.CapoGod: manquito
[2021:01:11-05:05:20]  (Local) -> (LOCAL)[2][POPPER]: RSCO EL PANA
[2021:01:11-05:05:20]  (Global) -> Walter: silencio
[2021:01:11-05:05:22]  (Global) -> CaceresParaco: ayuda
[2021:01:11-05:05:22]  (Global) -> 2cb|rambo: TUSSY
[2021:01:11-05:05:23]  (Local) -> (LOCAL)[2][AK][Perico]: EL CARRO
[2021:01:11-05:05:26]  (Global) -> BocatoPa: ocampo toncs
[2021:01:11-05:05:27]  (Global) -> #7F7F7F|ADM||LG|#0064FFXhnGuaracha: hacer eso y ya*
[2021:01:11-05:05:29]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: q
[2021:01:11-05:05:29]  (Global) -> BocatoPa: sapo
[2021:01:11-05:05:31]  (Local) -> (LOCAL)[2]Ak-JuanPablo: que fue
[2021:01:11-05:05:32]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: Berna es parcero mio 
[2021:01:11-05:05:34]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: usted no
[2021:01:11-05:05:36]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: tonces q
[2021:01:11-05:05:37]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: asi que yo vere lo que hago con el
[2021:01:11-05:05:37]  (Local) -> (LOCAL)[3][POPPER]: SAQUE EL MULO
[2021:01:11-05:05:38]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Da igual
[2021:01:11-05:05:39]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: sapo hp
[2021:01:11-05:05:40]  (Local) -> (LOCAL)[3][AK][Perico]: AAAAAAAAAAAAAA
[2021:01:11-05:05:41]  (Global) -> BocatoPa: donde estas 
[2021:01:11-05:05:45]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: jajsd a
[2021:01:11-05:05:47]  (Local) -> (LOCAL)[6]Walter: beuno ya mor
[2021:01:11-05:05:48]  (Local) -> (LOCAL)[3][POPPER]: HYYESTO SI HPTT QUE VIVA EL VERDE
[2021:01:11-05:05:48]  (Global) -> CaceresParaco: porque esta aca sapa hpta?
[2021:01:11-05:05:48]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo: hospital
[2021:01:11-05:05:50]  (Local) -> (LOCAL)[2][POPPER]: PA
[2021:01:11-05:05:52]  ([Msg] de #01f2e52cb'DJ_Nico para [Z]Razzork: papi tomo screen de eso pa reportarlo xdd ??) -> nil
[2021:01:11-05:05:56]  (Local) -> (LOCAL)[3]AleBa21:v: eo
[2021:01:11-05:05:56]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Es como si jodiera a todos los staff porque sí xd
[2021:01:11-05:05:59]  (Local) -> (LOCAL)[6]Walter: pico y listo
[2021:01:11-05:06:00]  (Local) -> (LOCAL)[6]2cb_Paula:3: eso hacen siempre
[2021:01:11-05:06:00]  (Local) -> (LOCAL)[6]Walter: a
[2021:01:11-05:06:01]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: nea pues furry eso es normal
[2021:01:11-05:06:03]  (Local) -> (LOCAL)[5]2cb_Paula:3: ?
[2021:01:11-05:06:04]  (Global) -> FRESITA: err
[2021:01:11-05:06:06]  (Local) -> (LOCAL)[1]Willow'2cb: suba
[2021:01:11-05:06:06]  ([Msg] de #01f2e52cb'DJ_Nico para [Z]Razzork: papi tomo screen de eso pa reportarlo xdd ??) -> nil
[2021:01:11-05:06:06]  (Local) -> (LOCAL)[5]2cb_Paula:3: jajaja
[2021:01:11-05:06:08]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: No jodi a un "staff"
[2021:01:11-05:06:08]  (Local) -> (LOCAL)[5]$$$PIMP$$$: no
[2021:01:11-05:06:10]  (Local) -> (LOCAL)[5]$$$PIMP$$$: solo ahora
[2021:01:11-05:06:12]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: pa han habido hasta momentos re XD con esos jails
[2021:01:11-05:06:12]  (Local) -> (LOCAL)[4]$$$PIMP$$$: jaja
[2021:01:11-05:06:14]  (Local) -> (LOCAL)[4]$$$PIMP$$$: no te preocupes
[2021:01:11-05:06:15]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: no ha pillado
[2021:01:11-05:06:15]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: estoy chimbeando con berna por que ees parcero mio
[2021:01:11-05:06:18]  (Local) -> (LOCAL)[5]BocatoPa: mano
[2021:01:11-05:06:19]  (Local) -> (LOCAL)[4]$$$PIMP$$$: eso es rabia momentanea
[2021:01:11-05:06:23]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Da igual, no intente excusarse, tengo todo el derecho de ver que abusan del LG y ya xd
[2021:01:11-05:06:25]  ([Msg] de #01f2e52cb'DJ_Nico para [Z]Razzork: papi tomo screen de eso pa reportarlo xdd ??) -> nil
[2021:01:11-05:06:26]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: y es rango mayor que usted
[2021:01:11-05:06:29]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: intenten*
[2021:01:11-05:06:30]  (Local) -> (LOCAL)[5]AleBa21:v: tonss
[2021:01:11-05:06:30]  (Global) -> 2cb.CapoGod: furryy
[2021:01:11-05:06:30]  (Global) -> Sayayin,JulianLT10: no trabajen de camionero, es una mierda de trabajo
[2021:01:11-05:06:30]  (Global) -> Dominio: HEY LILPIMP
[2021:01:11-05:06:30]  (Local) -> (LOCAL)[4]$$$PIMP$$$: nos ponemos makabros
[2021:01:11-05:06:32]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: asi que mejor quedese callado yn o vuelva a ser tan sapo
[2021:01:11-05:06:32]  (Global) -> Walter: furry resumen
[2021:01:11-05:06:33]  (Global) -> 2cb.CapoGod: vaya y duerma
[2021:01:11-05:06:33]  (Local) -> (LOCAL)[7]BocatoPa: vendes tu hpv100?
[2021:01:11-05:06:33]  (Global) -> Walter: callese
[2021:01:11-05:06:34]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: Dime CapoGod
[2021:01:11-05:06:36]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00KevinOcampo: ononono
[2021:01:11-05:06:37]  (Global) -> 2cb.CapoGod: JAJJAJAJAJA
[2021:01:11-05:06:37]  (Global) -> Walter: :3
[2021:01:11-05:06:38]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: Nea pero furry no era una sancion
[2021:01:11-05:06:38]  (Local) -> (LOCAL)[1]Groow: qie intentas ?
[2021:01:11-05:06:39]  (Global) -> #7F7F7F|ADM|#FF8C00FurryTrash: a
[2021:01:11-05:06:40]  (Global) -> KevinM: szs nea nose que trabajar
[2021:01:11-05:06:43]  (Global) -> FRESITA: nose
[2021:01:11-05:06:43]  (Local) -> (LOCAL)[1][POPPER]: LOPEZ
[2021:01:11-05:06:43]  ([Msg] de #01f2e52cb'DJ_Nico para [Z]Razzork: papi tomo screen de eso pa reportarlo xdd ??) -> nil
[2021:01:11-05:06:43]  (Local) -> (LOCAL)[1]Groow: que*
[2021:01:11-05:06:43]  (Local) -> (LOCAL)[1]BocatoPa: aaaa
[2021:01:11-05:06:44]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: Y no abuse de ni mierda
[2021:01:11-05:06:45]  (Global) -> #7F7F7F|ADM|#FF5C00Berna: ni me saco de la carce o aso
[2021:01:11-05:06:46]  (Global) -> 2cb.CapoGod: furry pvp o que ?
[2021:01:11-05:06:47]  (Local) -> (LOCAL)[2][POPPER]: QE LEVEN ERES DE ADMI+
[2021:01:11-05:06:47]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FFLopez: a ver
[2021:01:11-05:06:48]  (Global) -> #7F7F7F|ADM||LG|#FF5C002cb'tussy: Dejeme de chimbear y no sea sapo y punto
[2021:01:11-05:06:51]  (Global) -> FRESITA: pq pvtita
[2021:01:11-05:06:52]  (Global) -> Walter: jsajsasa
[2021:01:11-05:06:52]  (Global) -> Guapi: s
[2021:01:11-05:06:52]  (Local) -> (LOCAL)[4]BocatoPa: haga la vuelta
[2021:01:11-05:06:56]  (Local) -> (LOCAL)[5]Sayayin,JulianLT10: vamonos de tombos
[2021:01:11-05:06:57]  (Global) -> Sayayin'fumarrato: admin como reparo el vehiculo
[2021:01:11-05:06:58]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00KevinOcampo: cual
[2021:01:11-05:06:58]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#0064FFLopez: q
[2021:01:11-05:06:59]  (Local) -> (LOCAL)[8]2cb_Paula:3: como?
[2021:01:11-05:07:00]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF00002cb'DJ_Nico: hola
[2021:01:11-05:07:02]  (Local) -> (LOCAL)[2][POPPER]: ERES ADMI
[2021:01:11-05:07:03]  (Local) -> (LOCAL)[5]KawaiiGirlsG: Mire a la bebeb
[2021:01:11-05:07:05]  (Local) -> (LOCAL)[5]BocatoPa: la moto de tombo
[2021:01:11-05:07:06]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#0064FFLopez: si
[2021:01:11-05:07:09]  (Local) -> (LOCAL)[4]|CAPU|~mauricio~: mera linda
[2021:01:11-05:07:10]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: frry mk
[2021:01:11-05:07:11]  (Local) -> (LOCAL)[4]KawaiiGirlsG: si esta linda?
[2021:01:11-05:07:11]  (Local) -> (LOCAL)[5]$$$PIMP$$$: JAJAJAJAJAJAJAJ
[2021:01:11-05:07:11]  (Local) -> (LOCAL)[5]2cb_Paula:3: ajajja xq no tengo audifonos xd
[2021:01:11-05:07:11]  (Local) -> (LOCAL)[5]2cbChicoGel: miren polvora
[2021:01:11-05:07:12]  (Local) -> (LOCAL)[5][POPPER]: ME TUNEAS UN CARRO
[2021:01:11-05:07:12]  (Global) -> FRESITA: pq no te puedo matar
[2021:01:11-05:07:14]  (Local) -> (LOCAL)[5]#7F7F7F|ADM||LG|#FF5C002cb'tussy: vamos a zona pa q no chimbeen
[2021:01:11-05:07:15]  (Global) -> 2cb.CapoGod: furry pvp a ban o miedo ?
[2021:01:11-05:07:15]  (Local) -> (LOCAL)[5]$$$PIMP$$$: este prezto q
[2021:01:11-05:07:15]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Berna: es que vea,
