This file was generated by Console at 2020:11:27-00:00:00



[2020:11:27-00:00:00]  (Global) -> 2cb'ViejoRichard: si
[2020:11:27-17:25:19]  (Global) -> 2cb'JEFERuwu: XD
[2020:11:27-17:25:19]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: discusion
[2020:11:27-17:25:20]  (Local) -> (LOCAL)[1]2cb'CamilaShade: amazing
[2020:11:27-17:25:22]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: a puño
[2020:11:27-17:25:22]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: a ver
[2020:11:27-17:25:24]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: matense
[2020:11:27-17:25:33]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: dios mio que agresividad
[2020:11:27-17:25:34]  (Local) -> (LOCAL)[3](Z)LOKILLO: ya
[2020:11:27-17:25:35]  (Local) -> (LOCAL)[3](Z)LOKILLO: que pena
[2020:11:27-17:25:35]  (Global) -> [EVG]Fakita: bno cambio ocampo car por vincent
[2020:11:27-17:25:36]  (Local) -> (LOCAL)[1]fernanda: ja
[2020:11:27-17:25:37]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: nea ese man me puso con un amigo como una hora haciendo marihuana y no nos pago
[2020:11:27-17:25:39]  (Local) -> (LOCAL)[1]Luna_gil: ja
[2020:11:27-17:25:40]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: jajajajajjaa
[2020:11:27-17:25:40]  (Global) -> MZ-changua21: ola
[2020:11:27-17:25:41]  (Global) -> Chiklee: AGA LO QUE SE LE DE LA GANA
[2020:11:27-17:25:43]  (Local) -> (LOCAL)[1]Luna_gil: jjasjjasja
[2020:11:27-17:25:46]  (Global) -> |DJ|BadRoyal: 7lock
[2020:11:27-17:25:46]  (Local) -> (LOCAL)[2]COSTELAND-2cbDrStrange: ese man es cule rata
[2020:11:27-17:25:46]  (Local) -> (LOCAL)[1][Zetas]_Hir0: ammu
[2020:11:27-17:25:47]  (Global) -> |DJ|BadRoyal: aa
[2020:11:27-17:25:48]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: es complicado llegue al x50 como con 10000 puntos o mas
[2020:11:27-17:25:49]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: xd
[2020:11:27-17:25:51]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: el tiene su historial
[2020:11:27-17:25:51]  (Local) -> (LOCAL)[2]|CAPU|JulianGg: ajajajaja
[2020:11:27-17:25:52]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: como con 15k
[2020:11:27-17:25:54]  (Global) -> (Z)LOKILLO: royaaaaaaaal
[2020:11:27-17:25:58]  (Local) -> (LOCAL)[2]COSTELAND-2cbDrStrange: busque ps
[2020:11:27-17:25:59]  (Global) -> chocomiiiiiiiiiilk: uribe pongase "verdades" de hansel camacho en el  chat porfavor
[2020:11:27-17:26:00]  (Local) -> (LOCAL)[2]|CAPU|JulianGg: lo quemaron xd
[2020:11:27-17:26:01]  (Local) -> (LOCAL)[1]2cb'CamilaShade: aaaa
[2020:11:27-17:26:03]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: vamos
[2020:11:27-17:26:03]  (Global) -> (Z)LOKILLO: mk tengo la plata que me presto uribe
[2020:11:27-17:26:03]  (Local) -> (LOCAL)[2]|DJ|BadRoyal: pa q afine
[2020:11:27-17:26:05]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: es que no se
[2020:11:27-17:26:06]  (Local) -> (LOCAL)[2]2cb'JEFERuwu: ya tengo la plata aca
[2020:11:27-17:26:08]  (Local) -> (LOCAL)[1]Yandrix: listo
[2020:11:27-17:26:09]  (Global) -> |DJ|[CAPU]DoctorUribe: nea no ando de yiyei
[2020:11:27-17:26:10]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: esto ahora tiene un bug
[2020:11:27-17:26:12]  (Global) -> |DJ|[CAPU]DoctorUribe: es Royal
[2020:11:27-17:26:15]  (Local) -> (LOCAL)[1][Doomer]Eneas: si
[2020:11:27-17:26:15]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: aaa vale
[2020:11:27-17:26:15]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: aveces sirve a veces no
[2020:11:27-17:26:15]  (Local) -> (LOCAL)[1]2cb'CamilaShade: aaaaa
[2020:11:27-17:26:17]  (Local) -> (LOCAL)[1]2cb'CamilaShade: neta?
[2020:11:27-17:26:22]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: sii ajajaj
[2020:11:27-17:26:22]  (Local) -> (LOCAL)[1]2cb'CamilaShade: aaaa
[2020:11:27-17:26:27]  (Local) -> (LOCAL)[3](Z)LOKILLO: epre
[2020:11:27-17:26:27]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: eso eso
[2020:11:27-17:26:35]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: cuando no sirve toca reconectar y que mamera
[2020:11:27-17:26:35]  (Local) -> (LOCAL)[1]PATRON: ey{w a
[2020:11:27-17:26:39]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: no se lo fumen
[2020:11:27-17:26:42]  (Local) -> (LOCAL)[1]2cb'CamilaShade: aaaa
[2020:11:27-17:26:43]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: le preste 800
[2020:11:27-17:26:44]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: xdddd
[2020:11:27-17:26:45]  (Local) -> (LOCAL)[1]2cb'CamilaShade: tonces no
[2020:11:27-17:26:46]  (Local) -> (LOCAL)[1]PATRON: le vendo de la verde
[2020:11:27-17:26:47]  (Local) -> (LOCAL)[1][Doomer]Eneas: ya lo tuve
[2020:11:27-17:26:55]  (Global) -> t2pack: gracias
[2020:11:27-17:26:55]  (Local) -> (LOCAL)[1][Doomer]Eneas: nonas xd
[2020:11:27-17:26:56]  (Global) -> 2cb|Kapu|: nbo
[2020:11:27-17:26:58]  (Local) -> (LOCAL)[1]2cb'CamilaShade: me siento responsable
[2020:11:27-17:26:59]  (Global) -> [CAPU]Alucard: De nada <3
[2020:11:27-17:26:59]  (Local) -> (LOCAL)[1]PATRON: pq
[2020:11:27-17:27:00]  (Global) -> |DJ|BadRoyal: RADIO ACTIVA CON ROYALDJ PIDAN SUS TEMAS
[2020:11:27-17:27:08]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: no me refier
[2020:11:27-17:27:09]  (Global) -> [EVG]Fakita: bno cambio ocampo car por vincent
[2020:11:27-17:27:14]  (Local) -> (LOCAL)[1][Doomer]Eneas: dame un seg
[2020:11:27-17:27:15]  (Global) -> |DJ|BadRoyal: XDDDDD
[2020:11:27-17:27:16]  (Local) -> (LOCAL)[1]PATRON: le vendo de la verde
[2020:11:27-17:27:16]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: este tema se me hace buenisimo
[2020:11:27-17:27:17]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: osea que el bug es que no da puntos
[2020:11:27-17:27:19]  (Global) -> Orion|LR: Si es viable?
[2020:11:27-17:27:19]  (Global) -> 2cb|Kapu|: no ace efento
[2020:11:27-17:27:20]  (Global) -> Orion|LR: jaja
[2020:11:27-17:27:22]  (Local) -> (LOCAL)[1]2cb'CamilaShade: aaaaaa
[2020:11:27-17:27:23]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: por eso toca reconectar
[2020:11:27-17:27:23]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: listo pa
[2020:11:27-17:27:23]  (Local) -> (LOCAL)[1]2cb'CamilaShade: jajajaja
[2020:11:27-17:27:24]  (Local) -> (LOCAL)[1]PATRON: si
[2020:11:27-17:27:24]  (Global) -> 2cb|Kapu|: efecto
[2020:11:27-17:27:24]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: DJEEMEPARAR GONORREA
[2020:11:27-17:27:26]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: ya esta ahi
[2020:11:27-17:27:27]  (Local) -> (LOCAL)[3](Z)LOKILLO: YA IJUPUTA
[2020:11:27-17:27:28]  (Local) -> (LOCAL)[3](Z)LOKILLO: VAMOS
[2020:11:27-17:27:28]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: no se te daña a ti nada jaajja
[2020:11:27-17:27:29]  (Local) -> (LOCAL)[1]2cb'CamilaShade: ah no si no da nos vamos
[2020:11:27-17:27:30]  (Global) -> 2cb|Kapu|: no
[2020:11:27-17:27:30]  (Local) -> (LOCAL)[1]2cb'CamilaShade: jajaja
[2020:11:27-17:27:31]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: como se llama
[2020:11:27-17:27:34]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: hermes
[2020:11:27-17:27:35]  (Global) -> [CAPU]Alucard: Lo siento  - Sucia Alianza
[2020:11:27-17:27:36]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: sii
[2020:11:27-17:27:37]  (Global) -> [CAPU]Alucard: Pido ese tema
[2020:11:27-17:27:37]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: royal
[2020:11:27-17:27:40]  (Local) -> (LOCAL)[2]PATRON: mirela
[2020:11:27-17:27:43]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: XD
[2020:11:27-17:27:44]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: a
[2020:11:27-17:27:49]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: listo pa
[2020:11:27-17:27:50]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: vuelvete capu pa q estemos juntos
[2020:11:27-17:27:52]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: ya lo compre
[2020:11:27-17:27:52]  (Local) -> (LOCAL)[1][Doomer]Eneas: dame esta y la moto
[2020:11:27-17:27:53]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: q lo disfrute
[2020:11:27-17:27:56]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: gracias
[2020:11:27-17:27:56]  (Local) -> (LOCAL)[3](Z)LOKILLO: ROYAL
[2020:11:27-17:27:57]  (Local) -> (LOCAL)[1]COSTELAND-2cbDrStrange: un placer
[2020:11:27-17:27:57]  (Local) -> (LOCAL)[1]Yandrix: bueno
[2020:11:27-17:27:58]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: soy fiel a 2cb perdon
[2020:11:27-17:27:58]  (Global) -> |CAPU|JulianGg: (
[2020:11:27-17:28:00]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: q
[2020:11:27-17:28:01]  (Global) -> 2cb|Kapu|: venga
[2020:11:27-17:28:01]  (Local) -> (LOCAL)[3](Z)LOKILLO: TENGO LA PLTA PARA LA CMAIOENTA
[2020:11:27-17:28:03]  (Local) -> (LOCAL)[3](Z)LOKILLO: NO ME MATE
[2020:11:27-17:28:03]  (Global) -> [CAPU]ZeroTwo: gracias wey
[2020:11:27-17:28:08]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: nooo royal :c
[2020:11:27-17:28:09]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: mmmsi
[2020:11:27-17:28:10]  (Local) -> (LOCAL)[3]PATRON: espereme
[2020:11:27-17:28:13]  (Global) -> Orion|LR: Hay dj?
[2020:11:27-17:28:17]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: lokillo lo mato?
[2020:11:27-17:28:19]  (Local) -> (LOCAL)[3](Z)LOKILLO: ELE
[2020:11:27-17:28:20]  (Global) -> |DJ|BadRoyal: si
[2020:11:27-17:28:22]  (Global) -> 2cb|Kapu|: dispRme un SOLa ves
[2020:11:27-17:28:24]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: JAJAJAJAJAJAJAJAJAJ
[2020:11:27-17:28:24]  (Local) -> (LOCAL)[0][Z]Petrosky: espero se haya bug
[2020:11:27-17:28:26]  (Global) -> 2cb|Kapu|: disparame 
[2020:11:27-17:28:29]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: jmmm como que no sirve
[2020:11:27-17:28:32]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: espera
[2020:11:27-17:28:35]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: al revez
[2020:11:27-17:28:39]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: uy q rico lo chupas
[2020:11:27-17:28:40]  (Team - Law Enforcement) -> (TEAM)TestigoDeDiomedes: Buenosy
[2020:11:27-17:28:41]  (Local) -> (LOCAL)[1]Yandrix: espera
[2020:11:27-17:28:42]  (Local) -> (LOCAL)[3](Z)LOKILLO: NO MK PORFA
[2020:11:27-17:28:45]  (Global) -> [EVG]Fakita: bno cambio ocampo car por vincent
[2020:11:27-17:28:45]  (Local) -> (LOCAL)[3](Z)LOKILLO: URIBE
[2020:11:27-17:28:45]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: aaa
[2020:11:27-17:28:47]  (Team - Law Enforcement) -> (TEAM)TestigoDeDiomedes: Buenas tardesm gente.
[2020:11:27-17:28:47]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: ufffffffff
[2020:11:27-17:28:47]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: q
[2020:11:27-17:28:51]  (Local) -> (LOCAL)[3](Z)LOKILLO: ROTAME 100K
[2020:11:27-17:28:54]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: XDDD
[2020:11:27-17:28:55]  (Local) -> (LOCAL)[3](Z)LOKILLO: QUE YA PERDI ESO
[2020:11:27-17:28:55]  (Local) -> (LOCAL)[1][Doomer]Eneas: tienda de q
[2020:11:27-17:28:58]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: ponga musica pa tener secso
[2020:11:27-17:28:58]  (Global) -> C|Algarete'SiCkOMoDe: ud solo
[2020:11:27-17:29:02]  (Global) -> 2cb'JEFERuwu: mani mire discord
[2020:11:27-17:29:04]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: nah nea como asi
[2020:11:27-17:29:09]  (Local) -> (LOCAL)[3](Z)LOKILLO: SI ROYAL ME AMTA
[2020:11:27-17:29:10]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: mmm tengo una, luego de las que me pidieron la pongo
[2020:11:27-17:29:14]  (Local) -> (LOCAL)[3](Z)LOKILLO: COMO QUIERE QUE NO
[2020:11:27-17:29:16]  (Global) -> [EVG]Fakita: parcerito ud es sickomode ni opinion tiene
[2020:11:27-17:29:18]  (Global) -> CAPU|PadreChucho: pork no me cuenta los puntos
[2020:11:27-17:29:22]  (Local) -> (LOCAL)[3](Z)LOKILLO: PORFA
[2020:11:27-17:29:24]  (Global) -> C|Algarete'SiCkOMoDe: si pa
[2020:11:27-17:29:24]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: jum ya me debería un palo
[2020:11:27-17:29:24]  (Global) -> [EVG]Fakita: reconecte
[2020:11:27-17:29:25]  (Local) -> (LOCAL)[1]2cb'CamilaShade: no sirve
[2020:11:27-17:29:27]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: naa esta bug vamonos
[2020:11:27-17:29:28]  (Local) -> (LOCAL)[1]2cb'CamilaShade: jajaja
[2020:11:27-17:29:31]  (Local) -> (LOCAL)[1]2cb'CamilaShade: lo supuse
[2020:11:27-17:29:32]  (Global) -> Orion|LR: Pueden colocar haciendo que me amas :c
[2020:11:27-17:29:33]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: intenta tu aver
[2020:11:27-17:29:34]  (Local) -> (LOCAL)[3](Z)LOKILLO: 900
[2020:11:27-17:29:35]  (Local) -> (LOCAL)[1]2cb'CamilaShade: vamoooooooon
[2020:11:27-17:29:37]  (Local) -> (LOCAL)[3](Z)LOKILLO: 900
[2020:11:27-17:29:39]  (Global) -> [CAPU]Alucard: Finoooooo
[2020:11:27-17:29:40]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: cuales 900
[2020:11:27-17:29:41]  (Local) -> (LOCAL)[3](Z)LOKILLO: NO 1 PALOS
[2020:11:27-17:29:43]  (Local) -> (LOCAL)[1]2cb'CamilaShade: aaaa
[2020:11:27-17:29:45]  (Local) -> (LOCAL)[3](Z)LOKILLO: BUENO SI HAGALE
[2020:11:27-17:29:45]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: yo le di 900
[2020:11:27-17:29:45]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: lo vuelvo a pelar pa q le deba el palo
[2020:11:27-17:29:46]  (Global) -> [CAPU]Alucard: Que chimba de temaaaaaaaaaa
[2020:11:27-17:29:54]  (Local) -> (LOCAL)[3](Z)LOKILLO: NO
[2020:11:27-17:29:57]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: jajaja
[2020:11:27-17:30:02]  (Global) -> 2cb|Kapu|: la probe 
[2020:11:27-17:30:03]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: es un poco complicado
[2020:11:27-17:30:05]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: bueno vamos
[2020:11:27-17:30:09]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: es de practica
[2020:11:27-17:30:10]  (Global) -> 2cB'Mani_jkl: Algun Staff?
[2020:11:27-17:30:11]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: puedo conducir
[2020:11:27-17:30:14]  (Local) -> (LOCAL)[3](Z)LOKILLO: ROTEME LOS 100K PLIS
[2020:11:27-17:30:15]  (Global) -> Chiklee: qn esta de yiyei?
[2020:11:27-17:30:16]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: si
[2020:11:27-17:30:17]  (Local) -> (LOCAL)[1]2cb'CamilaShade: JAJAJAJ
[2020:11:27-17:30:19]  (Global) -> DIMETILTRIPTAMINA: DJ PONGA QUIZAS DE K33
[2020:11:27-17:30:19]  (Local) -> (LOCAL)[1]2cb'CamilaShade: MUY MALA
[2020:11:27-17:30:20]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: trata de no acelerarlo tanto
[2020:11:27-17:30:21]  (Global) -> DIMETILTRIPTAMINA: PLS
[2020:11:27-17:30:23]  (Global) -> [EVG]Fakita: bno cambio ocampo car por vincent
[2020:11:27-17:30:24]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: aaaaaaa
[2020:11:27-17:30:27]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: me bugueee
[2020:11:27-17:30:28]  (Global) -> 2cB'Mani_jkl: Algun Staff?
[2020:11:27-17:30:31]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: peguenme
[2020:11:27-17:30:31]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: y no usar mucho el espacio
[2020:11:27-17:30:33]  (Global) -> 2cb'JEFERuwu: MANI
[2020:11:27-17:30:34]  (Global) -> [EVG]Fakita: si yo pasa lago?
[2020:11:27-17:30:35]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: esiii masomenos asi
[2020:11:27-17:30:39]  (Global) -> [EVG]Fakita: algo*
[2020:11:27-17:30:43]  (Local) -> (LOCAL)[3](Z)LOKILLO: OE
[2020:11:27-17:30:44]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: sii vas perfecto
[2020:11:27-17:30:45]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: pa ls
[2020:11:27-17:30:46]  (Global) -> 2cb'JEFERuwu: lago xd
[2020:11:27-17:30:47]  (Local) -> (LOCAL)[3](Z)LOKILLO: VAMOS PAL CHILIAD
[2020:11:27-17:30:49]  (Local) -> (LOCAL)[3](Z)LOKILLO: PLIS
[2020:11:27-17:30:53]  (Global) -> 2cB'Mani_jkl: Si pa me puede colaborar poniendo mi moto en default?
[2020:11:27-17:30:53]  (Local) -> (LOCAL)[3](Z)LOKILLO: A COMPRAR EL CARRO
[2020:11:27-17:30:54]  (Local) -> (LOCAL)[1]2cb'CamilaShade: PERO CERO MONEY
[2020:11:27-17:30:56]  (Global) -> 2cB'Mani_jkl: Si pa me puede colaborar poniendo mi moto en default?
[2020:11:27-17:30:56]  (Local) -> (LOCAL)[1]2cb'CamilaShade: jajajaja}
[2020:11:27-17:30:59]  (Global) -> 2cB'Mani_jkl: asd
[2020:11:27-17:30:59]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: pero no te quedes llendo de frente
[2020:11:27-17:30:59]  (Global) -> 2cb'JEFERuwu: uy
[2020:11:27-17:31:00]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: aaaaaaaaa
[2020:11:27-17:31:00]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: quedo abierta la puerta pare chofer
[2020:11:27-17:31:01]  (Global) -> 2cB'Mani_jkl: siudh
[2020:11:27-17:31:01]  (Global) -> [EVG]Fakita: voy
[2020:11:27-17:31:01]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: mani
[2020:11:27-17:31:03]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: discord
[2020:11:27-17:31:05]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: tranqui es para que practiques
[2020:11:27-17:31:06]  (Global) -> 2cB'Mani_jkl: Uy
[2020:11:27-17:31:08]  (Global) -> 2cB'Mani_jkl: LAg
[2020:11:27-17:31:13]  (Local) -> (LOCAL)[1]2cb'CamilaShade: obvi
[2020:11:27-17:31:16]  (Local) -> (LOCAL)[3](Z)LOKILLO: CHOFER
[2020:11:27-17:31:18]  (Local) -> (LOCAL)[3](Z)LOKILLO: PARE
[2020:11:27-17:31:19]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: señor
[2020:11:27-17:31:24]  (Local) -> (LOCAL)[3](Z)LOKILLO: PARE CERRAR LA PUESRTA
[2020:11:27-17:31:30]  (Local) -> (LOCAL)[0]Chiklee: a
[2020:11:27-17:31:31]  (Local) -> (LOCAL)[3](Z)LOKILLO: CHOFER
[2020:11:27-17:31:34]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: q paso
[2020:11:27-17:31:35]  (Local) -> (LOCAL)[2](Z)ELPATAS: ostia
[2020:11:27-17:31:37]  (Local) -> (LOCAL)[3](Z)LOKILLO: PASE POR EL CHULIAD PROFAVOR
[2020:11:27-17:31:39]  (Global) -> CAPU|PadreChucho: pork no me cuenta los puntos
[2020:11:27-17:31:40]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: ajajajja
[2020:11:27-17:31:43]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: nea
[2020:11:27-17:31:45]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: discord
[2020:11:27-17:31:46]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: ta bug
[2020:11:27-17:31:47]  (Global) -> [Z]~$Fabio_vidal69$:)~: esta bug
[2020:11:27-17:31:47]  (Global) -> COSTELAND-2cbDrStrange: esta bug
[2020:11:27-17:31:48]  (Global) -> [EVG]Fakita: reconecte bago
[2020:11:27-17:31:49]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: ahi iba bien
[2020:11:27-17:31:49]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: rapido
[2020:11:27-17:31:50]  (Local) -> (LOCAL)[1]2cB'Mani_jkl: QUE No
[2020:11:27-17:31:50]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: espera tengo algo
[2020:11:27-17:31:50]  (Global) -> CAPU|PadreChucho: malditasea
[2020:11:27-17:31:53]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: bobo dijueputa
[2020:11:27-17:31:55]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: mire
[2020:11:27-17:31:55]  (Local) -> (LOCAL)[1]Chiklee: ola
[2020:11:27-17:32:01]  (Local) -> (LOCAL)[1][Z]~$Fabio_vidal69$:)~: una vuelta cami ya vuelvo
[2020:11:27-17:32:02]  (Local) -> (LOCAL)[3](Z)LOKILLO: D:
[2020:11:27-17:32:03]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: tiene q enviarme 1 palo y vera q le funcionara
[2020:11:27-17:32:04]  (Global) -> Orion|LR: Dios santo
[2020:11:27-17:32:07]  (Local) -> (LOCAL)[3](Z)LOKILLO: :c
[2020:11:27-17:32:07]  (Global) -> CAPU|PadreChucho: ya voy
[2020:11:27-17:32:08]  (Local) -> (LOCAL)[1]2cb'CamilaShade: vale vale te espero
[2020:11:27-17:32:12]  (Local) -> (LOCAL)[1]2cb'JEFERuwu: subase
[2020:11:27-17:32:14]  (Local) -> (LOCAL)[3](Z)LOKILLO: >_<
[2020:11:27-17:32:17]  (Local) -> (LOCAL)[3](Z)LOKILLO: XD
[2020:11:27-17:32:20]  (Local) -> (LOCAL)[3](Z)LOKILLO: :3
[2020:11:27-17:32:20]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: drift cvr
[2020:11:27-17:32:27]  (Global) -> |2cb|-CASPA_-_-_|C&A|: quien me presta un millon se lo pago al hoy al correr de la tarde  500k por mi cuenta 
[2020:11:27-17:32:27]  (Global) -> [CAPU]Alucard: Un admin pidiendo plata JAJAJAJA
[2020:11:27-17:32:28]  (Global) -> |2cb|-CASPA_-_-_|C&A|: quien me presta un millon se lo pago al hoy al correr de la tarde  500k por mi cuenta 
[2020:11:27-17:32:30]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: no yo vendi mi elegy xd
[2020:11:27-17:32:33]  (Global) -> [EVG]Fakita: ud solow
[2020:11:27-17:32:33]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: pere
[2020:11:27-17:32:34]  (Local) -> (LOCAL)[3](Z)LOKILLO: #EVENTO EN CVR
[2020:11:27-17:32:34]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: si yo
[2020:11:27-17:32:37]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: me escribio fuamrasa
[2020:11:27-17:32:42]  (Global) -> CAPU|PadreChucho: A Mente le doi pa un colchon
[2020:11:27-17:32:43]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: lo dice un nuevito
[2020:11:27-17:32:46]  (Global) -> COSTELAND-2cbDrStrange: #00ff00 VENDO SUPER GT- MAQUINA DEL TIEMPO!!
[2020:11:27-17:32:48]  (Local) -> (LOCAL)[3]|DJ|BadRoyal: su tema julian
[2020:11:27-17:32:53]  (Global) -> COSTELAND-2cbDrStrange: #00ff00 VENDO SUPER GT- MAQUINA DEL TIEMPO!!
[2020:11:27-17:32:54]  (Local) -> (LOCAL)[3]|CAPU|JulianGg: uy mero tema
[2020:11:27-17:32:57]  (Global) -> 2cB'Mani_jkl: Fakita me va a colaborar?
[2020:11:27-17:32:57]  (Global) -> |2cb|-CASPA_-_-_|C&A|: quien me presta un millon se lo pago al hoy al correr de la tarde  500k por mi cuenta 
[2020:11:27-17:32:58]  (Global) -> chocomiiiiiiiiiilk: precio
[2020:11:27-17:32:58]  (Local) -> (LOCAL)[3]|DJ|[CAPU]DoctorUribe: uy kieto
[2020:11:27-17:32:59]  (Local) -> (LOCAL)[3](Z)LOKILLO: XXXXXXXXXDDDDDDDDDDDDDDDDDDDD
[2020:11:27-17:33:02]  (Global) -> Chiklee: dios mio la gente esta q vende estos días
[2020:11:27-17:33:04]  (Local) -> (LOCAL)[2][Doomer]Eneas: pone un carro primero
