This file was generated by Console at 2020:11:11-00:00:00



[2020:11:11-00:00:00]  (Global) -> 2cB'Sant:D: NA DJ CALLESE  HP
[2020:11:11-00:00:05]  (Global) -> 2cb|ZACK|: wii
[2020:11:11-15:02:30]  (Local) -> (LOCAL)[2]|Z|~$Fabio_vidal69$:)~: uy
[2020:11:11-15:02:32]  (Local) -> (LOCAL)[4]2cb'Escobar: que si r tienes vip?
[2020:11:11-15:02:35]  (Local) -> (LOCAL)[2][Z]katalina*_*P: haces ronmper relaciones
[2020:11:11-15:02:39]  (Local) -> (LOCAL)[1][CAPU]~morales~: nea grove en gta5 es mera mierda
[2020:11:11-15:02:39]  (Local) -> (LOCAL)[2]|Z|~$Fabio_vidal69$:)~: perdonn
[2020:11:11-15:02:40]  (Local) -> (LOCAL)[5]IceWipe: pido entre 20-30
[2020:11:11-15:02:41]  (Local) -> (LOCAL)[5]IceWipe: cuanto da
[2020:11:11-15:02:42]  (Local) -> (LOCAL)[5][BRAYAN]: ADMIN
[2020:11:11-15:02:45]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: seguridadddddddd
[2020:11:11-15:02:46]  (Local) -> (LOCAL)[4][Z]Petrosky: pues si tengos las dobles es por quew tengo vip xd
[2020:11:11-15:02:50]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: la limoosina
[2020:11:11-15:02:54]  (Local) -> (LOCAL)[1]CAPU|TegoCalderon: parce nunca he jugado gta5
[2020:11:11-15:02:56]  (Local) -> (LOCAL)[3][Z]katalina*_*P: que llamas a segurida
[2020:11:11-15:02:56]  (Local) -> (LOCAL)[4]2cb'Helado: joder q bruto es escobar
[2020:11:11-15:02:57]  (Local) -> (LOCAL)[4]2cb'Escobar: zssssssssssssssxsssssssssss
[2020:11:11-15:03:01]  (Local) -> (LOCAL)[3][Z]Lil.Dream: :0
[2020:11:11-15:03:02]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: xd
[2020:11:11-15:03:04]  (Local) -> (LOCAL)[5][BRAYAN]: LE COMPRIO EESE JEEP
[2020:11:11-15:03:04]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00ReizerBM: nada jaja ya tengo una y esa muy sobrevalorada la vuelta
[2020:11:11-15:03:05]  (Local) -> (LOCAL)[4][Z]Petrosky: si me doy cuenta
[2020:11:11-15:03:06]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: capu
[2020:11:11-15:03:08]  (Local) -> (LOCAL)[4][Z]katalina*_*P: jajaajaj
[2020:11:11-15:03:09]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: el evento
[2020:11:11-15:03:15]  (Local) -> (LOCAL)[4]IceWipe: cuanto da
[2020:11:11-15:03:16]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: pa hacerlo
[2020:11:11-15:03:18]  (Local) -> (LOCAL)[4][Z]katalina*_*P: cual evento
[2020:11:11-15:03:21]  (Local) -> (LOCAL)[4]GT|JuanEs: en el pecho
[2020:11:11-15:03:21]  (Local) -> (LOCAL)[2]ScanorFX: casi no hay gasolina
[2020:11:11-15:03:21]  (Local) -> (LOCAL)[4][BRAYAN]: CUANTO PIDE
[2020:11:11-15:03:22]  (Local) -> (LOCAL)[4][Z]Lil.Dream: una purga
[2020:11:11-15:03:23]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: uno que hare
[2020:11:11-15:03:23]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00ReizerBM: puedo?
[2020:11:11-15:03:25]  (Local) -> (LOCAL)[4]IceWipe: suba
[2020:11:11-15:03:27]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: ey no lo mates
[2020:11:11-15:03:27]  (Local) -> (LOCAL)[4]GT|JuanEs: ci
[2020:11:11-15:03:42]  (Local) -> (LOCAL)[3]IceWipe: con g
[2020:11:11-15:03:43]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: woww
[2020:11:11-15:03:46]  (Local) -> (LOCAL)[3][Zetas]stivenv28|LP|: pure
[2020:11:11-15:03:48]  (Local) -> (LOCAL)[4][BRAYAN]: WSUPERDONM
[2020:11:11-15:03:50]  (Local) -> (LOCAL)[4]2cb'Helado: spe
[2020:11:11-15:03:51]  (Local) -> (LOCAL)[3]Z~|Loli|~: tengo lag
[2020:11:11-15:03:51]  (Global) -> |Z|~$Fabio_vidal69$:)~: un asesinato dios mioooo
[2020:11:11-15:03:54]  (Local) -> (LOCAL)[2]|Z|~$Fabio_vidal69$:)~: x2
[2020:11:11-15:03:57]  (Global) -> DA|JUANSEN: ya tengo el millon
[2020:11:11-15:03:58]  (Local) -> (LOCAL)[3][CAPU]~morales~: dele 1
[2020:11:11-15:03:58]  (Local) -> (LOCAL)[2]|Z|~$Fabio_vidal69$:)~: siempre jajaja
[2020:11:11-15:03:58]  (Global) -> Julito: una pregunta para todos para los medicos cuando undo el 'f5' y no sale nada esque no hay muertos
[2020:11:11-15:04:06]  (Local) -> (LOCAL)[3][CAPU]~morales~: steven
[2020:11:11-15:04:06]  (Local) -> (LOCAL)[2]IceWipe: cuanto da
[2020:11:11-15:04:11]  (Local) -> (LOCAL)[3][CAPU]~morales~: dee al 1
[2020:11:11-15:04:17]  (Local) -> (LOCAL)[1]2cb'Helado: joder
[2020:11:11-15:04:17]  (Local) -> (LOCAL)[1][Z]Lil.Dream: asjasj
[2020:11:11-15:04:18]  (Global) -> Z~|Loli|~: me ensucie las manos de sangreeeeeeeeeeee
[2020:11:11-15:04:19]  (Local) -> (LOCAL)[1][BRAYAN]: TREINTA MIL
[2020:11:11-15:04:20]  (Local) -> (LOCAL)[3][Zetas]stivenv28|LP|: pere reconecto
[2020:11:11-15:04:22]  (Global) -> [Z]Lil.Dream: :c
[2020:11:11-15:04:26]  (Team - Unemployed) -> (TEAM)[Zetas]stivenv28|LP|: ya
[2020:11:11-15:04:28]  (Global) -> #7F7F7F|CVR|#0064FF~Piskero~2cb: aun no se ha hecho el panel de medicos julito
[2020:11:11-15:04:29]  (Global) -> |Z|~$Fabio_vidal69$:)~: nooooooo te hirieron
[2020:11:11-15:04:32]  (Local) -> (LOCAL)[1]CAPU|TegoCalderon: breve
[2020:11:11-15:04:32]  (Local) -> (LOCAL)[1]IceWipe: por nequi?
[2020:11:11-15:04:33]  (Local) -> (LOCAL)[1][CAPU]~morales~: :(
[2020:11:11-15:04:34]  (Global) -> |Z|~$Fabio_vidal69$:)~: debes ir al medicoo
[2020:11:11-15:04:36]  (Global) -> COSTELAND|2cBDrStrange: buenas buenas
[2020:11:11-15:04:36]  (Local) -> (LOCAL)[2]|Z|~$Fabio_vidal69$:)~: xdd
[2020:11:11-15:04:37]  (Local) -> (LOCAL)[1][BRAYAN]: CIEN MIL
[2020:11:11-15:04:38]  (Global) -> [Z]Lil.Dream: rol
[2020:11:11-15:04:39]  (Global) -> Z~|Loli|~: un medico 
[2020:11:11-15:04:40]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: esto es un atraco
[2020:11:11-15:04:40]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: oee
[2020:11:11-15:04:40]  (Local) -> (LOCAL)[3]ScanorFX: cuanto costara una de estas
[2020:11:11-15:04:43]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: curioso
[2020:11:11-15:04:43]  (Local) -> (LOCAL)[1]IceWipe: no papa
[2020:11:11-15:04:44]  (Global) -> Julito: donde=
[2020:11:11-15:04:45]  (Local) -> (LOCAL)[3]COSTELAND|2cBDrStrange: no
[2020:11:11-15:04:47]  (Local) -> (LOCAL)[1]IceWipe: en el juego
[2020:11:11-15:04:48]  (Local) -> (LOCAL)[4][Z]katalina*_*P: ganeeee
[2020:11:11-15:04:49]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: al fin?
[2020:11:11-15:04:50]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF~Piskero~2cb: ola
[2020:11:11-15:04:54]  (Local) -> (LOCAL)[2]IceWipe: vale mas de 20 millones
[2020:11:11-15:04:54]  (Local) -> (LOCAL)[2][CAPU]pablito5654: reizer xd
[2020:11:11-15:04:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: oal
[2020:11:11-15:04:58]  (Local) -> (LOCAL)[2][BRAYAN]: CUANTYOPIDE
[2020:11:11-15:05:02]  (Local) -> (LOCAL)[4][Z]katalina*_*P: noo
[2020:11:11-15:05:02]  (Global) -> Julito: disculpe
[2020:11:11-15:05:11]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: curiosoo
[2020:11:11-15:05:12]  (Local) -> (LOCAL)[2][CAPU]pablito5654: puedo volar para parchar contigo?
[2020:11:11-15:05:12]  (Global) -> Julito: lleguen all hspi
[2020:11:11-15:05:17]  (Local) -> (LOCAL)[2][CAPU]pablito5654: :c
[2020:11:11-15:05:18]  (Local) -> (LOCAL)[4]#005F55|#00D3BDLG#005F55|#FF5C00CAPU|~CapuCurioso~|: q
[2020:11:11-15:05:20]  (Global) -> #7F7F7F|CVR|#0064FF~Piskero~2cb: uy q
[2020:11:11-15:05:21]  (Local) -> (LOCAL)[2]IceWipe: deme 25 lukas por nequi
[2020:11:11-15:05:22]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: el evento
[2020:11:11-15:05:22]  (Local) -> (LOCAL)[4][Z]Lil.Dream: quieto
[2020:11:11-15:05:22]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: esta en mp
[2020:11:11-15:05:25]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF8C00ReizerBM: no
[2020:11:11-15:05:26]  (Local) -> (LOCAL)[4][Z]katalina*_*P: cuel purga
[2020:11:11-15:05:31]  (Local) -> (LOCAL)[2][CAPU]pablito5654: xd
[2020:11:11-15:05:35]  (Local) -> (LOCAL)[4][Z]Lil.Dream: cuiroso va a hacer una puga bb
[2020:11:11-15:05:36]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: vea
[2020:11:11-15:05:36]  (Team - Emergency) -> (TEAM)Julito: holas bbs
[2020:11:11-15:05:40]  (Local) -> (LOCAL)[4]#005F55|#00D3BDLG#005F55|#FF5C00CAPU|~CapuCurioso~|: ESpere
[2020:11:11-15:05:41]  (Local) -> (LOCAL)[2][CAPU]pablito5654: cuanto es q vale una zorra
[2020:11:11-15:05:44]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: ::(((
[2020:11:11-15:05:45]  (Local) -> (LOCAL)[6][BRAYAN]: VENTISINCO MIL
[2020:11:11-15:05:46]  (Global) -> DA|JUANSEN: diga como que yo no se
[2020:11:11-15:05:46]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF8C00ReizerBM: 99M
[2020:11:11-15:05:47]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: yo la pogo ud le da click en add vehicle
[2020:11:11-15:05:48]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: aun anda ocupado?
[2020:11:11-15:05:52]  (Global) -> Julito: holasbb
[2020:11:11-15:05:52]  (Local) -> (LOCAL)[4]#005F55|#00D3BDLG#005F55|#FF5C00CAPU|~CapuCurioso~|: ando ocupadinho
[2020:11:11-15:05:53]  (Local) -> (LOCAL)[2][CAPU]pablito5654: uy kieto
[2020:11:11-15:05:54]  (Local) -> (LOCAL)[2]GT|JuanEs: ta cara xd
[2020:11:11-15:05:58]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: ud la busca y le da
[2020:11:11-15:05:58]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF8C00ReizerBM: si
[2020:11:11-15:05:58]  (Local) -> (LOCAL)[3]ScanorFX: yo no tengo auto ni moto :,v
[2020:11:11-15:05:58]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: va relag
[2020:11:11-15:06:00]  (Local) -> (LOCAL)[4]|Z|~$Fabio_vidal69$:)~: asjasjsaj
[2020:11:11-15:06:00]  (Local) -> (LOCAL)[3][EVG]Mr.Nea|no_turfea: a
[2020:11:11-15:06:01]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: add vehicle
[2020:11:11-15:06:04]  (Local) -> (LOCAL)[3]2cb-Apu_N: xd
[2020:11:11-15:06:06]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFFrancine98: ey
[2020:11:11-15:06:06]  (Local) -> (LOCAL)[5][CAPU]~morales~: xd
[2020:11:11-15:06:06]  (Global) -> #7F7F7F|CVR|#0064FF~Piskero~2cb: mm
[2020:11:11-15:06:07]  (Local) -> (LOCAL)[1]DA|JUANSEN: no entendi
[2020:11:11-15:06:07]  (Local) -> (LOCAL)[4][Z]Lil.Dream: si
[2020:11:11-15:06:08]  (Local) -> (LOCAL)[5]CAPU|TegoCalderon: xd
[2020:11:11-15:06:08]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FF~Piskero~2cb: jajaj
[2020:11:11-15:06:11]  (Local) -> (LOCAL)[3][Z]Lil.Dream: asjjas
[2020:11:11-15:06:11]  (Global) -> 2cB'TRAQUETO: donde compro un rc bandi
[2020:11:11-15:06:13]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: la purga es en duos los ganadores se llevan palo y medio
[2020:11:11-15:06:14]  (Local) -> (LOCAL)[3][Z]katalina*_*P: cuel purga}
[2020:11:11-15:06:14]  (Global) -> Julito: ignorado este puto
[2020:11:11-15:06:14]  (Local) -> (LOCAL)[1][CAPU]pablito5654: estas activandoi vip?
[2020:11:11-15:06:15]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: ud se mete a lo amarillo
[2020:11:11-15:06:18]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: pero tocara esperar
[2020:11:11-15:06:18]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: oe
[2020:11:11-15:06:20]  (Local) -> (LOCAL)[4][EVG]Mr.Nea|no_turfea: hola bb
[2020:11:11-15:06:20]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00ReizerBM: oe
[2020:11:11-15:06:21]  (Local) -> (LOCAL)[3][Z]Lil.Dream: amor curioso va hacer una
[2020:11:11-15:06:23]  (Local) -> (LOCAL)[1][CAPU]pablito5654: suba rapido
[2020:11:11-15:06:26]  (Local) -> (LOCAL)[6][CAPU]~morales~: oe
[2020:11:11-15:06:27]  (Local) -> (LOCAL)[3][Z]Lil.Dream: un evento
[2020:11:11-15:06:28]  (Global) -> Julito: re perro
[2020:11:11-15:06:28]  (Local) -> (LOCAL)[3][Z]katalina*_*P: ese
[2020:11:11-15:06:30]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: es un evento por mi xd
[2020:11:11-15:06:31]  (Local) -> (LOCAL)[3][Z]Lil.Dream: shi
[2020:11:11-15:06:31]  (Local) -> (LOCAL)[5][EVG]Mr.Nea|no_turfea: hola
[2020:11:11-15:06:34]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FF~Piskero~2cb: no pvp con job soxio
[2020:11:11-15:06:34]  (Global) -> DA|JUANSEN: despues que le dony
[2020:11:11-15:06:36]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00ReizerBM: por que mataste al parcero?
[2020:11:11-15:06:38]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: es como battle royale
[2020:11:11-15:06:39]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: busquela y le da
[2020:11:11-15:06:40]  (Local) -> (LOCAL)[5][EVG]Mr.Nea|no_turfea: que haces
[2020:11:11-15:06:40]  (Local) -> (LOCAL)[4][CAPU]~morales~: nc
[2020:11:11-15:06:43]  (Local) -> (LOCAL)[2]ScanorFX: que verga
[2020:11:11-15:06:43]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: purchease
[2020:11:11-15:06:44]  (Local) -> (LOCAL)[3][Z]katalina*_*P: ?? porque por ti
[2020:11:11-15:06:45]  (Local) -> (LOCAL)[4]2cb-Apu_N: b
[2020:11:11-15:06:46]  (Global) -> Julito: no tranajando
[2020:11:11-15:06:46]  (Local) -> (LOCAL)[4][CAPU]~morales~: le arreglo un carro?
[2020:11:11-15:06:51]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FF~Piskero~2cb: q mas
[2020:11:11-15:06:52]  (Local) -> (LOCAL)[1][CAPU]pablito5654: xddddddddddddd
[2020:11:11-15:06:52]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: yo doy el premio y lo organizo
[2020:11:11-15:06:53]  (Global) -> COSTELAND|2cBDrStrange: jajjajajajaja
[2020:11:11-15:06:53]  (Local) -> (LOCAL)[4]2cb-Apu_N: que nub piske e
[2020:11:11-15:06:54]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: busque hay la moto
[2020:11:11-15:06:55]  (Local) -> (LOCAL)[4][EVG]Mr.Nea|no_turfea: quieres dnero ??
[2020:11:11-15:06:55]  (Local) -> (LOCAL)[3][Z]Lil.Dream: prq son novios
[2020:11:11-15:06:58]  (Local) -> (LOCAL)[4]2cb-Apu_N: sea pro
[2020:11:11-15:06:58]  (Local) -> (LOCAL)[4][EVG]Mr.Nea|no_turfea: te doy XD
[2020:11:11-15:06:59]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: xdd
[2020:11:11-15:07:00]  (Local) -> (LOCAL)[4][CAPU]~morales~: nesesito plata tengo una familia porfavor
[2020:11:11-15:07:02]  (Global) -> Julito: sabaver
[2020:11:11-15:07:03]  (Global) -> [BRAYAN]: EL DE EL JEEP NOS VEMOS EN EL BANCO
[2020:11:11-15:07:04]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FF~Piskero~2cb: :'v estoy en modo ventana
[2020:11:11-15:07:04]  (Local) -> (LOCAL)[5]CAPU|TegoCalderon: xd
[2020:11:11-15:07:05]  (Local) -> (LOCAL)[1]GT|JuanEs: i belive i can fly
[2020:11:11-15:07:07]  (Local) -> (LOCAL)[4][EVG]Mr.Nea|no_turfea: ven
[2020:11:11-15:07:07]  (Global) -> 2cb'ElSocito: francine
[2020:11:11-15:07:08]  (Local) -> (LOCAL)[1]2cb-Apu_N: a xD
[2020:11:11-15:07:08]  (Global) -> Julito: toy pobre
[2020:11:11-15:07:09]  (Global) -> Avalencia: COMPRO MINI TANQUE O EL RC BANDIT
[2020:11:11-15:07:10]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: dime
[2020:11:11-15:07:13]  (Global) -> Julito: voyy
[2020:11:11-15:07:15]  (Local) -> (LOCAL)[1]CAPU|TegoCalderon: ajjaja
[2020:11:11-15:07:15]  (Local) -> (LOCAL)[3][Z]katalina*_*P: epa
[2020:11:11-15:07:15]  (Local) -> (LOCAL)[1]alejo: bajeme soy nuevo
[2020:11:11-15:07:15]  (Global) -> 2cb'ElSocito: captureme
[2020:11:11-15:07:16]  (Local) -> (LOCAL)[1]GT|JuanEs: i belive cant to sky
[2020:11:11-15:07:16]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: oe
[2020:11:11-15:07:17]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerBM: disque noc
[2020:11:11-15:07:20]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: ven a comisaria
[2020:11:11-15:07:21]  (Local) -> (LOCAL)[2]COSTELAND|2cBDrStrange: vamos
[2020:11:11-15:07:21]  (Local) -> (LOCAL)[4]CAPU|TegoCalderon: nea
[2020:11:11-15:07:23]  (Local) -> (LOCAL)[1]GT|JuanEs: i belive i can fly
[2020:11:11-15:07:25]  (Global) -> #7F7F7F|CVR|#0064FF~Piskero~2cb: donde esta socito
[2020:11:11-15:07:26]  (Local) -> (LOCAL)[2]COSTELAND|2cBDrStrange: a comprar la regina
[2020:11:11-15:07:28]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: eso
[2020:11:11-15:07:28]  (Local) -> (LOCAL)[1]GT|JuanEs: i belive cant to sky
[2020:11:11-15:07:28]  (Local) -> (LOCAL)[5]2cb'ElSocito: prestamela
[2020:11:11-15:07:30]  (Local) -> (LOCAL)[1]alejo: estabamos negociando un carro plis
[2020:11:11-15:07:30]  (Global) -> DA|JUANSEN: ya?
[2020:11:11-15:07:31]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: grax
[2020:11:11-15:07:33]  (Local) -> (LOCAL)[5]CAPU|TegoCalderon: me podes ayudar porfa con esto de los carros
[2020:11:11-15:07:34]  (Global) -> Julito: la chiupada vale 1m
[2020:11:11-15:07:36]  (Local) -> (LOCAL)[2][EVG]Mr.Nea|no_turfea: dale a la g
[2020:11:11-15:07:39]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00ReizerBM: sisas
[2020:11:11-15:07:42]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: dele f3 refresh y le sale
[2020:11:11-15:07:43]  (Global) -> DA|JUANSEN: grax a ud yo queria esa hace rato
[2020:11:11-15:07:43]  (Local) -> (LOCAL)[5][BRAYAN]: EO EL DE JEEP
[2020:11:11-15:07:44]  (Local) -> (LOCAL)[0][EVG]Mr.Nea|no_turfea: XD
[2020:11:11-15:07:47]  (Local) -> (LOCAL)[3][Z]katalina*_*P: como hacen el de fortnite
[2020:11:11-15:07:49]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: dele pa
[2020:11:11-15:07:53]  (Local) -> (LOCAL)[1][CAPU]pablito5654: 12 fps
[2020:11:11-15:07:54]  (Local) -> (LOCAL)[3]IceWipe: q paso
[2020:11:11-15:07:54]  (Local) -> (LOCAL)[1][EVG]Mr.Nea|no_turfea: quieres tener esta skin ??
[2020:11:11-15:07:55]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF8C00ReizerBM: que?
[2020:11:11-15:07:58]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: con /bailey un numero pegado
[2020:11:11-15:07:59]  (Local) -> (LOCAL)[3][Z]Lil.Dream: amor /baile y un numero pegado
[2020:11:11-15:08:04]  (Global) -> Julito: cuidado mijo me gusta que me den pero no haci
[2020:11:11-15:08:05]  (Local) -> (LOCAL)[3][Z]Lil.Dream: ajsajsa
[2020:11:11-15:08:06]  (Local) -> (LOCAL)[1][BRAYAN]: CUANTO ME PIDIO}
[2020:11:11-15:08:07]  (Local) -> (LOCAL)[4]CAPU|TegoCalderon: le bajaron el peso y eso se voltea mucho
[2020:11:11-15:08:08]  (Local) -> (LOCAL)[3][Z]Lil.Dream: me debes un chicle
[2020:11:11-15:08:08]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: asi
[2020:11:11-15:08:11]  (Local) -> (LOCAL)[1]IceWipe: 30 palos aca
[2020:11:11-15:08:11]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: /baile5
[2020:11:11-15:08:13]  (Local) -> (LOCAL)[3][Z]Lil.Dream: ./baile2
[2020:11:11-15:08:13]  (Local) -> (LOCAL)[1][EVG]Mr.Nea|no_turfea: XDDD
[2020:11:11-15:08:14]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: eso
[2020:11:11-15:08:14]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FF~Piskero~2cb: uy no
[2020:11:11-15:08:15]  (Local) -> (LOCAL)[2]COSTELAND|2cBDrStrange: qn eres tu paapi
[2020:11:11-15:08:19]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: el de fornai es el 8 creo
[2020:11:11-15:08:20]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF~Piskero~2cb: apuntar en ventana es re raro XD
[2020:11:11-15:08:22]  (Local) -> (LOCAL)[1][BRAYAN]: TREINTAMIL
[2020:11:11-15:08:23]  (Local) -> (LOCAL)[4][EVG]Mr.Nea|no_turfea: reizer
[2020:11:11-15:08:25]  (Local) -> (LOCAL)[3]2cb-Apu_N: aa
[2020:11:11-15:08:25]  (Global) -> Julito: deje y la cuto
[2020:11:11-15:08:27]  (Local) -> (LOCAL)[5]2cb'ElSocito: oee lllevame rapido ando en examen
[2020:11:11-15:08:29]  (Local) -> (LOCAL)[1]IceWipe: no
[2020:11:11-15:08:31]  (Local) -> (LOCAL)[7]2cb-Apu_N: xd
[2020:11:11-15:08:31]  (Local) -> (LOCAL)[1]IceWipe: 30 millones aca
[2020:11:11-15:08:32]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: lollllll
[2020:11:11-15:08:33]  (Local) -> (LOCAL)[7][EVG]Mr.Nea|no_turfea: pillate
[2020:11:11-15:08:38]  (Local) -> (LOCAL)[3]ScanorFX: yo
[2020:11:11-15:08:38]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF8C00ReizerBM: ya vi
[2020:11:11-15:08:38]  (Local) -> (LOCAL)[3]COSTELAND|2cBDrStrange: vamos a comprar la rehina
[2020:11:11-15:08:39]  (Local) -> (LOCAL)[3][EVG]Mr.Nea|no_turfea: vips pagos ya XD
[2020:11:11-15:08:40]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: scanor
[2020:11:11-15:08:40]  (Local) -> (LOCAL)[3]|COSTELAND|LilPimp2cb: strange
[2020:11:11-15:08:40]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: accidente automovilistico woww
[2020:11:11-15:08:42]  (Local) -> (LOCAL)[3]CAPU|TegoCalderon: breve
[2020:11:11-15:08:42]  (Global) -> Julito: cuibo
[2020:11:11-15:08:45]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: tu quien eres?
[2020:11:11-15:08:50]  (Local) -> (LOCAL)[1][EVG]Mr.Nea|no_turfea: venga
[2020:11:11-15:08:50]  (Local) -> (LOCAL)[2]2cb'ElSocito: go go go
[2020:11:11-15:08:54]  (Global) -> Julito: todo rico ve
[2020:11:11-15:08:54]  (Local) -> (LOCAL)[3]ScanorFX: no nadie
[2020:11:11-15:08:54]  (Local) -> (LOCAL)[3]|COSTELAND|LilPimp2cb: scanor quien eres?
[2020:11:11-15:08:57]  (Local) -> (LOCAL)[3][Z]Lil.Dream: nooo
[2020:11:11-15:08:58]  (Local) -> (LOCAL)[1][BRAYAN]: LAS GUEVAS SE LOS DARA SU MADRE
[2020:11:11-15:09:00]  (Local) -> (LOCAL)[3]CAPU|TegoCalderon: ya lo intente aca y sigue bug
[2020:11:11-15:09:03]  (Local) -> (LOCAL)[1]IceWipe: JAJA
[2020:11:11-15:09:04]  (Local) -> (LOCAL)[2]2cb'ElSocito: ese hpta carro ni corre duro
[2020:11:11-15:09:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: sube
[2020:11:11-15:09:04]  (Local) -> (LOCAL)[1]IceWipe: eso vale
[2020:11:11-15:09:06]  (Global) -> [Z]katalina*_*P: quieto con mi amor
[2020:11:11-15:09:07]  (Local) -> (LOCAL)[3]COSTELAND|2cBDrStrange: ummm
[2020:11:11-15:09:07]  (Local) -> (LOCAL)[1]IceWipe: tan mk
[2020:11:11-15:09:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF8C00ReizerBM: espere a ver
[2020:11:11-15:09:10]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FF~Piskero~2cb: nao
[2020:11:11-15:09:11]  (Local) -> (LOCAL)[2]CAPU|TegoCalderon: brev
[2020:11:11-15:09:11]  (Local) -> (LOCAL)[2][Z]Lil.Dream: asjajssa teamo
