This file was generated by Console at 2020:09:10-00:00:00



[2020:09:10-00:00:00]  (Global) -> dilan: Patches
[2020:09:10-16:12:20]  (Local) -> (LOCAL)[9][GT]FranciscoBY: YA LO CALME JAJAJ
[2020:09:10-16:12:24]  (Local) -> (LOCAL)[10]DonJuan: oe naranjo
[2020:09:10-16:12:25]  (Local) -> (LOCAL)[1][Z]Pacho: okas
[2020:09:10-16:12:26]  (Global) -> [Z]opj: oe no
[2020:09:10-16:12:27]  (Global) -> Naranjo: q paso
[2020:09:10-16:12:27]  (Local) -> (LOCAL)[9]DonJuan: me puedes
[2020:09:10-16:12:28]  (Global) -> [Z]opj: hagase a mi lado
[2020:09:10-16:12:30]  (Local) -> (LOCAL)[9]DonJuan: prestar
[2020:09:10-16:12:32]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: arranke
[2020:09:10-16:12:32]  (Local) -> (LOCAL)[9]DonJuan: 3k
[2020:09:10-16:12:34]  (Local) -> (LOCAL)[9]DonJuan: pal taser
[2020:09:10-16:12:38]  (Global) -> [DTA]LEANDRO: por ataras nos quieren caer a tiros
[2020:09:10-16:12:38]  (Global) -> Naranjo: tan mk
[2020:09:10-16:12:39]  (Global) -> [CAPU]Dillom: fransin acepte
[2020:09:10-16:12:45]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: ñao
[2020:09:10-16:12:48]  (Local) -> (LOCAL)[10]DonJuan: q
[2020:09:10-16:12:53]  (Global) -> [CT-S]bray: gg
[2020:09:10-16:12:56]  (Global) -> Naranjo: no hermano
[2020:09:10-16:12:59]  (Local) -> (LOCAL)[10]DonJuan: mklovin
[2020:09:10-16:13:02]  (Global) -> Naranjo: no tengo
[2020:09:10-16:13:05]  (Local) -> (LOCAL)[9]DonJuan: me prestas 3k pal taser
[2020:09:10-16:13:05]  (Global) -> Jeison_Aspero: vamos a teasear gente
[2020:09:10-16:13:19]  (Local) -> (LOCAL)[9]DonJuan: oe francisco
[2020:09:10-16:13:27]  (Local) -> (LOCAL)[5][GT]FranciscoBY: DIGALE
[2020:09:10-16:13:28]  (Local) -> (LOCAL)[7]DonJuan: mandeme 3k
[2020:09:10-16:13:33]  (Local) -> (LOCAL)[7][GT]FranciscoBY: USH MUCHA PLATA
[2020:09:10-16:13:34]  (Global) -> Anakin: ������������������
[2020:09:10-16:13:39]  (Local) -> (LOCAL)[6]DonJuan: ah mandelos y ya
[2020:09:10-16:13:42]  (Local) -> (LOCAL)[6]DonJuan: porfavor
[2020:09:10-16:13:48]  (Local) -> (LOCAL)[6]DonJuan: y mine a trabajar
[2020:09:10-16:13:49]  (Global) -> Bachatombo: oe ped
[2020:09:10-16:13:56]  (Global) -> Bachatombo: aba curando
[2020:09:10-16:13:57]  (Local) -> (LOCAL)[7]DonJuan: makclocvin
[2020:09:10-16:13:58]  (Global) -> EliteAlejo: ups
[2020:09:10-16:14:00]  (Team - Unemployed) -> (TEAM)terse: xd
[2020:09:10-16:14:04]  (Local) -> (LOCAL)[2][Z]Pacho: Xd
[2020:09:10-16:14:04]  (Global) -> [CAPU]Dillom: a
[2020:09:10-16:14:08]  (Local) -> (LOCAL)[4]DonJuan: mcklovoinn
[2020:09:10-16:14:08]  (Global) -> [CT-S]bray: perdon
[2020:09:10-16:14:11]  (Global) -> EliteAlejo: me falto la herramienta xed
[2020:09:10-16:14:11]  (Global) -> [CT-S]bray: era la necesidad
[2020:09:10-16:14:16]  (Local) -> (LOCAL)[2][GT]ToxicOcupado: amonosssssssssss
[2020:09:10-16:14:19]  (Local) -> (LOCAL)[3]EVG|~[CrudoMeansRaw]~: xd
[2020:09:10-16:14:19]  (Local) -> (LOCAL)[2][GT]ToxicOcupado: sobelossssssssss
[2020:09:10-16:14:20]  (Global) -> Anakin: hola brai
[2020:09:10-16:14:21]  (Local) -> (LOCAL)[3][CT-S]bray: a
[2020:09:10-16:14:24]  (Local) -> (LOCAL)[3]EVG|~[CrudoMeansRaw]~: yo pense q estaba activo el de aca
[2020:09:10-16:14:25]  (Local) -> (LOCAL)[3][CT-S]bray: ola
[2020:09:10-16:14:26]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: relajao
[2020:09:10-16:14:26]  (Global) -> Anakin: ������������������
[2020:09:10-16:14:32]  (Local) -> (LOCAL)[3][GT]ToxicOcupado: reposao
[2020:09:10-16:14:33]  (Global) -> Yeici: afk
[2020:09:10-16:14:47]  (Global) -> [GT]$Fabio_vidal69$: volvi
[2020:09:10-16:14:50]  (Local) -> (LOCAL)[3][CT-S]bray: yeici suena a nombre de mujer
[2020:09:10-16:14:51]  (Local) -> (LOCAL)[4][CT-S]bray: xd
[2020:09:10-16:15:03]  (Global) -> [GT]OLAVE: mataron al admin
[2020:09:10-16:15:06]  (Global) -> [GT]OLAVE: paila
[2020:09:10-16:15:11]  (Local) -> (LOCAL)[2][CT-S]bray: a
[2020:09:10-16:15:23]  (Local) -> (LOCAL)[1]DonJuan: oeeed
[2020:09:10-16:15:24]  (Global) -> afvc717: que dice mi chico
[2020:09:10-16:15:30]  (Global) -> Anakin: llego adriii corran todos
[2020:09:10-16:15:37]  (Local) -> (LOCAL)[1][GT]FranciscoBY: VENGA LO PELO
[2020:09:10-16:15:49]  (Global) -> Jeison_Aspero: a los traques
[2020:09:10-16:15:50]  (Local) -> (LOCAL)[7][GT]ToxicOcupado: hablalooooooooo
[2020:09:10-16:15:52]  (Local) -> (LOCAL)[7]EVG|~[CrudoMeansRaw]~: oe
[2020:09:10-16:15:55]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF0000MenteMaestra: PERE
[2020:09:10-16:15:58]  (Local) -> (LOCAL)[8]EVG|~[CrudoMeansRaw]~: estas en ds o q
[2020:09:10-16:16:02]  (Local) -> (LOCAL)[7][CAPU]Dillom: acepta
[2020:09:10-16:16:03]  (Local) -> (LOCAL)[7][GT]ToxicOcupado: nada
[2020:09:10-16:16:09]  (Local) -> (LOCAL)[8][GT]ToxicOcupado: le llego?
[2020:09:10-16:16:09]  (Local) -> (LOCAL)[8][CT-S]bray: sentao de pana
[2020:09:10-16:16:11]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF0000Francine98: dale cabron
[2020:09:10-16:16:17]  (Local) -> (LOCAL)[8]EVG|~[CrudoMeansRaw]~: pa entro que no me gusta chatear jajaja
[2020:09:10-16:16:18]  (Local) -> (LOCAL)[8][CAPU]Dillom: /touge 2 #873BF9Francine98
[2020:09:10-16:16:20]  (Local) -> (LOCAL)[7][GT]ToxicOcupado: VOYYYTTTTTTTT
[2020:09:10-16:16:21]  (Local) -> (LOCAL)[7]EVG|~[CrudoMeansRaw]~: q cosa?
[2020:09:10-16:16:22]  (Global) -> [CAPU]Dillom: a
[2020:09:10-16:16:27]  (Global) -> [GT]FranciscoBY: bueeeeeeeeeeee
[2020:09:10-16:16:29]  (Local) -> (LOCAL)[6][CT-S]bray: que es un touge
[2020:09:10-16:16:35]  (Global) -> [CAPU]Dillom: dale
[2020:09:10-16:16:38]  (Local) -> (LOCAL)[2]PabloGanster: este carro k we
[2020:09:10-16:16:40]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: alguien sabe como desactivar el sonido de los carros
[2020:09:10-16:16:41]  (Global) -> PabloGanster: no 
[2020:09:10-16:16:42]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: :L
[2020:09:10-16:16:44]  (Local) -> (LOCAL)[5][CT-S]bray: a
[2020:09:10-16:16:45]  (Local) -> (LOCAL)[3]DonJuan: SAPA
[2020:09:10-16:16:50]  (Local) -> (LOCAL)[4][GT]ToxicOcupado: ESPERE A QUE NETRE
[2020:09:10-16:16:50]  (Local) -> (LOCAL)[1]PabloGanster: hpta
[2020:09:10-16:16:51]  (Local) -> (LOCAL)[4][CT-S]bray: no nea
[2020:09:10-16:16:58]  (Local) -> (LOCAL)[4][GT]ToxicOcupado: este tostao
[2020:09:10-16:17:06]  (Global) -> [GT]OLAVE: bajale el volumen
[2020:09:10-16:17:08]  (Global) -> [GT]OLAVE: al sfx
[2020:09:10-16:17:14]  (Global) -> EliteAlejo: asi se cura
[2020:09:10-16:17:21]  (Local) -> (LOCAL)[1][CT-S]bray: sentao e pana
[2020:09:10-16:17:36]  (Global) -> [Z]opj: tu q hacei aqui
[2020:09:10-16:17:48]  (Global) -> [Z]opj: ay papai
[2020:09:10-16:17:52]  (Global) -> [CT-S]bray: a
[2020:09:10-16:17:54]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: anoche quede aqui
[2020:09:10-16:17:54]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: DELE
[2020:09:10-16:17:56]  (Global) -> [Z]opj: lo q hace las polas
[2020:09:10-16:18:00]  (Team - Unemployed) -> (TEAM)terse: no mate siendo trabajador
[2020:09:10-16:18:02]  (Local) -> (LOCAL)[3][CT-S]bray: adri mala
[2020:09:10-16:18:05]  (Global) -> Jeison_Aspero: veo
[2020:09:10-16:18:07]  (Global) -> #7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: Hola bray
[2020:09:10-16:18:12]  (Global) -> [CT-S]bray: oal
[2020:09:10-16:18:14]  (Global) -> BoliloDeBombero: a
[2020:09:10-16:18:20]  (Global) -> Jeison_Aspero: manos arriba
[2020:09:10-16:18:22]  (Team - Unemployed) -> (TEAM)terse: que no mate siendo trabajador concha tu madre
[2020:09:10-16:18:23]  (Global) -> #7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: HOLA BUEOS DIAS LINDOS
[2020:09:10-16:18:33]  (Global) -> BoliloDeBombero: como dejo de ser comunista??
[2020:09:10-16:18:35]  (Global) -> [CT-S]bray: ola
[2020:09:10-16:18:36]  (Global) -> ElHugo: Holi Adrii
[2020:09:10-16:18:40]  (Global) -> [EVG]FIPPER: Voy acabar la violencia
[2020:09:10-16:18:42]  (Team - Law Enforcement) -> (TEAM)DonJuan: HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHDDH
[2020:09:10-16:18:46]  (Local) -> (LOCAL)[7]DonJuan: FRANCISCO
[2020:09:10-16:18:49]  (Global) -> EliteAlejo: asi se cura genio
[2020:09:10-16:18:51]  (Global) -> Jeison_Aspero: JAJAJAJAJA
[2020:09:10-16:18:51]  (Global) -> #7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: QUE HACEN?
[2020:09:10-16:18:54]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: cabron tramposo
[2020:09:10-16:18:56]  (Global) -> [CAPU]Dillom: adri mi salchipapa
[2020:09:10-16:18:56]  (Global) -> Jeison_Aspero: pere
[2020:09:10-16:18:58]  (Global) -> [GT]FranciscoBY: YO NO FUI
[2020:09:10-16:18:59]  (Global) -> [CAPU]Dillom: pq trampsoo
[2020:09:10-16:19:01]  (Global) -> #7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: YA ESTOY PREPARANDO EL SANCOCHO
[2020:09:10-16:19:01]  (Global) -> Jeison_Aspero: metame a la carcell}
[2020:09:10-16:19:04]  (Global) -> EliteAlejo: a golpes lo curo 
[2020:09:10-16:19:06]  (Local) -> (LOCAL)[2]DonJuan: a
[2020:09:10-16:19:08]  (Global) -> Jaca: tiene q tener el coso en la mano si no me hace daño
[2020:09:10-16:19:08]  (Global) -> EliteAlejo: calmese
[2020:09:10-16:19:15]  (Global) -> [CAPU]Dillom: fransin
[2020:09:10-16:19:15]  (Global) -> [CT.S]ElZarco$$$: ADRI DONDE FUE LA FARRITA
[2020:09:10-16:19:16]  (Global) -> [CAPU]Dillom: acepta
[2020:09:10-16:19:17]  (Global) -> EliteAlejo: por eso
[2020:09:10-16:19:18]  (Global) -> [CAPU]Dillom: q sos malo
[2020:09:10-16:19:19]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: echemos otra
[2020:09:10-16:19:20]  (Global) -> Jeison_Aspero: metame a lña cacer
[2020:09:10-16:19:21]  (Global) -> [CAPU]Dillom: .l.
[2020:09:10-16:19:21]  (Local) -> (LOCAL)[4]DonJuan: no da
[2020:09:10-16:19:23]  (Global) -> #7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: fracine mato a diliom
[2020:09:10-16:19:24]  (Global) -> EliteAlejo: no lo ve?
[2020:09:10-16:19:24]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: CABRÓN 
[2020:09:10-16:19:26]  (Global) -> Jeison_Aspero: carcel
[2020:09:10-16:19:28]  (Global) -> Jaca: no 
[2020:09:10-16:19:28]  (Local) -> (LOCAL)[5][GT]FranciscoBY: jajajajaja
[2020:09:10-16:19:32]  (Local) -> (LOCAL)[5]DonJuan: no da
[2020:09:10-16:19:32]  (Local) -> (LOCAL)[5][GT]FranciscoBY: se me fue
[2020:09:10-16:19:33]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: ñao ñao amigao
[2020:09:10-16:19:35]  (Global) -> [CAPU]Dillom: voy
[2020:09:10-16:19:35]  (Local) -> (LOCAL)[5]DonJuan: espere
[2020:09:10-16:19:37]  (Local) -> (LOCAL)[5]DonJuan: ensaye
[2020:09:10-16:19:38]  (Global) -> EliteAlejo: si lo cure
[2020:09:10-16:19:38]  (Local) -> (LOCAL)[3]DonJuan: conmigo
[2020:09:10-16:19:43]  (Global) -> EliteAlejo: mire su vida
[2020:09:10-16:19:48]  (Global) -> [GT]ToxicOcupado: VENDO ELEGY NUEVO, FULL TUNING
[2020:09:10-16:19:49]  (Local) -> (LOCAL)[2]DonJuan: GALE
[2020:09:10-16:19:49]  (Global) -> EliteAlejo: no me pegue
[2020:09:10-16:19:50]  (Global) -> Jaca: a vale .v
[2020:09:10-16:19:52]  (Global) -> [CAPU]Dillom: acepta cabron
[2020:09:10-16:19:54]  (Local) -> (LOCAL)[1]DonJuan: RARO
[2020:09:10-16:19:55]  (Local) -> (LOCAL)[2][GT]FranciscoBY: ahi esta
[2020:09:10-16:19:58]  (Local) -> (LOCAL)[2][GT]FranciscoBY: porque
[2020:09:10-16:20:03]  (Local) -> (LOCAL)[4]DonJuan: PORQ A EL no da?
[2020:09:10-16:20:13]  (Global) -> [CT-S]bray: cuanto
[2020:09:10-16:20:26]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: ta practicando q
[2020:09:10-16:20:31]  (Global) -> PabloGanster: mlpridos tombos
[2020:09:10-16:20:31]  (Local) -> (LOCAL)[4][CT-S]bray: a
[2020:09:10-16:20:40]  (Global) -> DonJuan: vendo curcuma  a 4k+
[2020:09:10-16:20:45]  (Local) -> (LOCAL)[1][Z]opj: sisas
[2020:09:10-16:20:46]  (Global) -> [CT-S]bray: a ver
[2020:09:10-16:20:46]  (Global) -> Jeison_Aspero: metame a la carcel
[2020:09:10-16:20:48]  (Local) -> (LOCAL)[1][Z]opj: perdi 2 palos jugando con mente :(
[2020:09:10-16:20:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: q me enseña a hacer drift
[2020:09:10-16:20:58]  (Local) -> (LOCAL)[1][Z]opj: q
[2020:09:10-16:20:58]  (Global) -> EliteAlejo: lo curo
[2020:09:10-16:21:00]  (Global) -> BoliloDeBombero: se murio
[2020:09:10-16:21:01]  (Local) -> (LOCAL)[4][GT]FranciscoBY: quiere que lometa preso
[2020:09:10-16:21:05]  (Global) -> BoliloDeBombero: non
[2020:09:10-16:21:06]  (Local) -> (LOCAL)[2]DonJuan: SI
[2020:09:10-16:21:13]  (Global) -> Elcapo$$: hola
[2020:09:10-16:21:18]  (Local) -> (LOCAL)[2]DonJuan: ah
[2020:09:10-16:21:23]  (Global) -> EliteAlejo: locuro
[2020:09:10-16:21:41]  (Global) -> [GT]ToxicOcupado: VENDO ELEGY NUEVO, FULL TUNING 5 MILLONES
[2020:09:10-16:21:44]  (Global) -> [GT]ToxicOcupado: VENDO ELEGY NUEVO, FULL TUNING 5 MILLONES
[2020:09:10-16:21:46]  (Global) -> EliteAlejo: toca en zona
[2020:09:10-16:21:46]  (Team - Unemployed) -> (TEAM)terse:  oiga
[2020:09:10-16:21:51]  (Global) -> terse: oiga
[2020:09:10-16:21:52]  (Global) -> DonJuan: se klo comproo
[2020:09:10-16:21:57]  (Global) -> [DTA]LEANDRO: COMA MIERDA MAS BARATO
[2020:09:10-16:21:57]  (Global) -> DonJuan: llege al amu
[2020:09:10-16:21:57]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: naaah
[2020:09:10-16:21:57]  (Global) -> Jeison_Aspero: ahora si jajaj
[2020:09:10-16:21:58]  (Global) -> [CAPU]Dillom: nao nao fransin
[2020:09:10-16:22:07]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: lo tenés handleado cabron
[2020:09:10-16:22:10]  (Global) -> [CAPU]Dillom: q hablas
[2020:09:10-16:22:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: xddddddddddd
[2020:09:10-16:22:14]  (Global) -> [CAPU]Dillom: tonto
[2020:09:10-16:22:19]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: otra
[2020:09:10-16:22:21]  (Local) -> (LOCAL)[5][GT]FranciscoBY: lo suelto?
[2020:09:10-16:22:24]  (Team - Unemployed) -> (TEAM)terse: se
[2020:09:10-16:22:28]  (Global) -> Jeison_Aspero: sii
[2020:09:10-16:22:36]  (Team - Unemployed) -> (TEAM)terse: no sea corrupto
[2020:09:10-16:22:41]  (Global) -> EliteAlejo: lo curo
[2020:09:10-16:22:50]  (Team - Unemployed) -> (TEAM)terse: como los dos que mataron al abogado
[2020:09:10-16:22:51]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 ($BABY$)ADRII: aaaaaaaaaaa
[2020:09:10-16:23:10]  (Local) -> (LOCAL)[3][CT-S]bray: perdon
[2020:09:10-16:23:15]  (Global) -> EliteAlejo: curo a domicilio
[2020:09:10-16:23:17]  (Local) -> (LOCAL)[1](CTS)MAURO: malparida
[2020:09:10-16:23:17]  (Global) -> DonJuan: compro el carro elegy de toxic
[2020:09:10-16:23:22]  (Local) -> (LOCAL)[3]EVG|~[CrudoMeansRaw]~: gas como quedo sonando
[2020:09:10-16:23:24]  (Local) -> (LOCAL)[1][Z]Pacho: JIJI
[2020:09:10-16:23:27]  (Global) -> [Z]opj: ez
[2020:09:10-16:23:34]  (Global) -> gecogeta797: HOLA
[2020:09:10-16:23:36]  (Global) -> [Z]opj: facil
[2020:09:10-16:23:37]  (Local) -> (LOCAL)[2]McLovin: hola
[2020:09:10-16:23:38]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: ez?xd
[2020:09:10-16:23:40]  (Global) -> [Z]opj: no das level
[2020:09:10-16:23:44]  (Global) -> gecogeta797: ME VA A CAPTURAR NO
[2020:09:10-16:23:46]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: xd
[2020:09:10-16:23:47]  (Global) -> [Z]opj: no das level mente 
[2020:09:10-16:23:48]  (Global) -> EliteAlejo: lo cure genio
[2020:09:10-16:23:50]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: nop
[2020:09:10-16:23:51]  (Global) -> [Z]opj: a ver otro
[2020:09:10-16:23:55]  (Global) -> gecogeta797: O KHE PASHO
[2020:09:10-16:23:56]  (Local) -> (LOCAL)[6][CT-S]bray: juan
[2020:09:10-16:23:57]  (Global) -> Jeison_Aspero: no lo se tu dime
[2020:09:10-16:23:57]  (Global) -> ElVago: tombos hp
[2020:09:10-16:24:06]  (Global) -> Jeison_Aspero: nah¿
[2020:09:10-16:24:06]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000($BABY$)ADRII: qn me enseña
[2020:09:10-16:24:08]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000($BABY$)ADRII: no se
[2020:09:10-16:24:10]  (Global) -> EliteAlejo: lo estaba curando genio
[2020:09:10-16:24:12]  (Local) -> (LOCAL)[2][GT]FranciscoBY: ush mk
[2020:09:10-16:24:13]  (Local) -> (LOCAL)[4]EVG|~[CrudoMeansRaw]~: sacate un elegy ps
[2020:09:10-16:24:13]  (Local) -> (LOCAL)[2]PabloGanster: HPTA
[2020:09:10-16:24:14]  (Global) -> gecogeta797: AAAAAAAAAAAAAA
[2020:09:10-16:24:18]  (Local) -> (LOCAL)[2]DonJuan: mine de paseo
[2020:09:10-16:24:18]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000($BABY$)ADRII: ni tego
[2020:09:10-16:24:19]  (Global) -> EliteAlejo: se cura pegando 
[2020:09:10-16:24:20]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000($BABY$)ADRII: xd
[2020:09:10-16:24:21]  (Team - Criminals) -> (TEAM)gecogeta797: AAAAAAAAAAAAA
[2020:09:10-16:24:25]  (Local) -> (LOCAL)[2]PabloGanster: buena ajaja
[2020:09:10-16:24:30]  (Local) -> (LOCAL)[1]DonJuan: sto es vinevood
[2020:09:10-16:24:31]  (Local) -> (LOCAL)[4]EVG|~[CrudoMeansRaw]~: del spawner adri
[2020:09:10-16:24:31]  (Global) -> [CAPU]Dillom: gg
[2020:09:10-16:24:32]  (Local) -> (LOCAL)[4][CT-S]bray: pote drifter y de los gratis tons
[2020:09:10-16:24:33]  (Global) -> Jeison_Aspero: AJJAJAJJAJAJ
[2020:09:10-16:24:34]  (Global) -> EliteAlejo: por que me lleva
[2020:09:10-16:24:36]  (Local) -> (LOCAL)[1]DonJuan: lindo
[2020:09:10-16:24:41]  (Local) -> (LOCAL)[1]DonJuan: de paseo
[2020:09:10-16:24:41]  (Global) -> [CAPU]Dillom: q paso fransin
[2020:09:10-16:24:42]  (Local) -> (LOCAL)[5]EVG|~[CrudoMeansRaw]~: aca hay uno
[2020:09:10-16:24:44]  (Global) -> gecogeta797: D,X
[2020:09:10-16:24:44]  (Local) -> (LOCAL)[1]EliteAlejo: t
[2020:09:10-16:24:49]  (Global) -> EliteAlejo: Gracias
[2020:09:10-16:24:54]  (Local) -> (LOCAL)[1]DonJuan: aca es el banco de los santos
[2020:09:10-16:24:54]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: naah cuándo aprenda te gano
[2020:09:10-16:25:00]  (Global) -> [CAPU]Dillom: mente
[2020:09:10-16:25:02]  (Global) -> [CAPU]Dillom: mente
[2020:09:10-16:25:04]  (Local) -> (LOCAL)[1]DonJuan: aca dodne descansa
[2020:09:10-16:25:06]  (Global) -> EliteAlejo: interesante
[2020:09:10-16:25:07]  (Local) -> (LOCAL)[5][CT-S]bray: QUIEN ESTA CARTELADO
[2020:09:10-16:25:08]  (Local) -> (LOCAL)[1]DonJuan: mi familia
[2020:09:10-16:25:08]  (Local) -> (LOCAL)[5][CT-S]bray: xdxd
[2020:09:10-16:25:13]  (Local) -> (LOCAL)[1]Capitanllanerito: tenes un lag
[2020:09:10-16:25:15]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Francine98: ud
[2020:09:10-16:25:16]  (Global) -> EliteAlejo: oh 
[2020:09:10-16:25:17]  (Local) -> (LOCAL)[1]Capitanllanerito: mlp
[2020:09:10-16:25:17]  (Local) -> (LOCAL)[1]DonJuan: ci
[2020:09:10-16:25:18]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000($BABY$)ADRII: yo
[2020:09:10-16:25:18]  (Global) -> PabloGanster: malparidos tombos
[2020:09:10-16:25:22]  (Local) -> (LOCAL)[5][CT-S]bray: a
[2020:09:10-16:25:23]  (Global) -> terse: xd
[2020:09:10-16:25:27]  (Global) -> EliteAlejo: lamento su perdida
[2020:09:10-16:25:35]  (Local) -> (LOCAL)[1]DonJuan: entremos
[2020:09:10-16:25:39]  (Global) -> gecogeta797: khe pdo
[2020:09:10-16:25:39]  (Global) -> [CAPU]Dillom: una ultima
[2020:09:10-16:25:41]  (Global) -> [CAPU]Dillom: q me voy
[2020:09:10-16:25:42]  (Local) -> (LOCAL)[1]DonJuan: nooooooooooooo
[2020:09:10-16:25:44]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: pq
[2020:09:10-16:25:46]  (Global) -> [CAPU]Dillom: clase
[2020:09:10-16:25:47]  (Local) -> (LOCAL)[1]DonJuan: profanaron sus tumbas
[2020:09:10-16:25:48]  (Global) -> [CAPU]Dillom: dale
[2020:09:10-16:25:49]  (Global) -> gecogeta797: ajajajajajajajajajajajajajajajajajajajajajajajajajaja
[2020:09:10-16:25:57]  (Local) -> (LOCAL)[2][CT-S]bray: f
[2020:09:10-16:25:57]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000($BABY$)ADRII: aaaaaaaaaaaaaa
[2020:09:10-16:25:58]  (Global) -> [GT]La_Loli: fabip
[2020:09:10-16:25:58]  (Global) -> [GT]OLAVE: dillom pq clase hoy
[2020:09:10-16:25:58]  (Global) -> EliteAlejo: noooo
[2020:09:10-16:25:59]  (Global) -> EVG|~[CrudoMeansRaw]~: ayy niño se fue
[2020:09:10-16:26:00]  (Local) -> (LOCAL)[1]PabloGanster: cuantos tombos te as bajado?
[2020:09:10-16:26:00]  (Global) -> (DV)POPEYE:  paa
[2020:09:10-16:26:02]  (Local) -> (LOCAL)[1]DonJuan: hernmanooooooooooooooooooo
[2020:09:10-16:26:02]  (Global) -> [GT]$Fabio_vidal69$: dimee
[2020:09:10-16:26:03]  (Global) -> [GT]OLAVE: hoy es paro hppppp
[2020:09:10-16:26:06]  (Local) -> (LOCAL)[2][GT]FranciscoBY: jajajaja
[2020:09:10-16:26:08]  (Global) -> [GT]La_Loli: donde estas
[2020:09:10-16:26:12]  (Global) -> [GT]FranciscoBY: hajajaja buena
[2020:09:10-16:26:13]  (Local) -> (LOCAL)[2][CT-S]bray: XD
[2020:09:10-16:26:14]  (Global) -> Jeison_Aspero: ajjajaj
[2020:09:10-16:26:17]  (Global) -> [GT]$Fabio_vidal69$: trabajando y tu?
[2020:09:10-16:26:18]  (Global) -> ElHugo: En donde va a aser el paro?
[2020:09:10-16:26:19]  (Global) -> EL_PATRON: TODOS CONTRA LOS TOMBOS
[2020:09:10-16:26:22]  (Local) -> (LOCAL)[1]DonJuan: q gonorreas
[2020:09:10-16:26:23]  (Global) -> gecogeta797: solo 1 por que yo no tengo problemas con nadie XD
[2020:09:10-16:26:26]  (Global) -> [GT]La_Loli: me acabo de conectar
[2020:09:10-16:26:30]  (Global) -> PabloGanster: lokota
[2020:09:10-16:26:31]  (Global) -> EliteAlejo: si
[2020:09:10-16:26:35]  (Global) -> gecogeta797: yo dije aprobecha el bug
[2020:09:10-16:26:35]  (Team - Emergency) -> (TEAM)EliteAlejo: d
[2020:09:10-16:26:35]  (Global) -> [GT]OLAVE: hugo, hablo del paro del magisterio en la colombia real
[2020:09:10-16:26:37]  (Local) -> (LOCAL)[1]DonJuan: a mimir
[2020:09:10-16:26:39]  (Global) -> [GT]$Fabio_vidal69$: yo volvi apenas jasjjas
[2020:09:10-16:26:42]  (Global) -> [GT]OLAVE: es hoy
[2020:09:10-16:26:43]  (Local) -> (LOCAL)[1]DonJuan: vamis
[2020:09:10-16:26:43]  (Global) -> gecogeta797: y lo mate
[2020:09:10-16:26:44]  (Global) -> #7F7F7F|CVR|#FF0000MenteMaestra: se saltó media pista el loko
[2020:09:10-16:26:45]  (Global) -> [Z]opj: casi no me gana mente
[2020:09:10-16:26:47]  (Global) -> ElHugo: Ah ya
[2020:09:10-16:26:49]  (Global) -> gecogeta797: XD
[2020:09:10-16:26:50]  (Team - Unemployed) -> (TEAM)terse: esto caunto vale?
[2020:09:10-16:26:51]  (Local) -> (LOCAL)[1]DonJuan: mine
